,Layer,Cluster,Image,PCC
0,backbone.res2.0.conv1,1,handbag_383842,0.046414667182198124
1,backbone.res2.0.conv2,1,handbag_383842,0.050650347618179895
2,backbone.res2.0.conv3,1,handbag_383842,0.07406886034460551
3,backbone.res2.1.conv1,1,handbag_383842,0.08852037452162176
4,backbone.res2.1.conv2,1,handbag_383842,0.07983876345674211
5,backbone.res2.1.conv3,1,handbag_383842,0.06517501889585937
6,backbone.res2.2.conv1,1,handbag_383842,0.08508175677656363
7,backbone.res2.2.conv2,2,handbag_383842,0.04886485125284386
8,backbone.res2.2.conv3,2,handbag_383842,0.047966800151705846
9,backbone.res3.0.conv1,1,handbag_383842,0.05717803779826884
10,backbone.res3.0.conv2,1,handbag_383842,0.06487565889139646
11,backbone.res3.0.conv3,1,handbag_383842,0.07695990065994865
12,backbone.res3.1.conv1,1,handbag_383842,0.06990643332860058
13,backbone.res3.1.conv2,1,handbag_383842,0.05533508803932419
14,backbone.res3.1.conv3,1,handbag_383842,0.08082216679800783
15,backbone.res3.2.conv1,1,handbag_383842,0.08641022243377762
16,backbone.res3.2.conv2,1,handbag_383842,0.047627209733221446
17,backbone.res3.2.conv3,1,handbag_383842,0.05648102761508985
18,backbone.res3.3.conv1,1,handbag_383842,0.06354680410860358
19,backbone.res3.3.conv2,2,handbag_383842,0.04897581945925854
20,backbone.res3.3.conv3,2,handbag_383842,0.03024147745790087
21,backbone.res4.0.conv1,1,handbag_383842,0.07451892597157554
22,backbone.res4.0.conv2,1,handbag_383842,0.11366499919963609
23,backbone.res4.0.conv3,1,handbag_383842,0.07564254955324405
24,backbone.res4.1.conv1,1,handbag_383842,0.07075622046433482
25,backbone.res4.1.conv2,1,handbag_383842,0.11977804509250321
26,backbone.res4.1.conv3,1,handbag_383842,0.12107236399401927
27,backbone.res4.2.conv1,1,handbag_383842,0.11666829741513103
28,backbone.res4.2.conv2,1,handbag_383842,0.14069835028132954
29,backbone.res4.2.conv3,1,handbag_383842,0.13573570520226583
30,backbone.res4.3.conv1,1,handbag_383842,0.12319619097428788
31,backbone.res4.3.conv2,2,handbag_383842,0.12449029722012543
32,backbone.res4.3.conv3,2,handbag_383842,0.11839509217007158
33,backbone.res4.4.conv1,2,handbag_383842,0.0970393663220471
34,backbone.res4.4.conv2,2,handbag_383842,0.11265503874064245
35,backbone.res4.4.conv3,2,handbag_383842,0.10816140613816433
36,backbone.res4.5.conv1,2,handbag_383842,0.10689074613495408
37,backbone.res4.5.conv2,2,handbag_383842,0.1171783147107423
38,backbone.res4.5.conv3,2,handbag_383842,0.09663619974630179
39,backbone.res2.0.conv1,1,sandwich_465430,0.32918345461505033
40,backbone.res2.0.conv2,1,sandwich_465430,0.3429776085856363
41,backbone.res2.0.conv3,1,sandwich_465430,0.32123102420872457
42,backbone.res2.1.conv1,1,sandwich_465430,0.3420644477572523
43,backbone.res2.1.conv2,1,sandwich_465430,0.36546225515597713
44,backbone.res2.1.conv3,1,sandwich_465430,0.27178231619735266
45,backbone.res2.2.conv1,1,sandwich_465430,0.3457097412981463
46,backbone.res2.2.conv2,2,sandwich_465430,0.22815854711482256
47,backbone.res2.2.conv3,2,sandwich_465430,0.20957478854676612
48,backbone.res3.0.conv1,1,sandwich_465430,0.36729371838520536
49,backbone.res3.0.conv2,1,sandwich_465430,0.34039541941255497
50,backbone.res3.0.conv3,1,sandwich_465430,0.36282387521421816
51,backbone.res3.1.conv1,1,sandwich_465430,0.3254488862458694
52,backbone.res3.1.conv2,1,sandwich_465430,0.30892652854235364
53,backbone.res3.1.conv3,1,sandwich_465430,0.3619959509651643
54,backbone.res3.2.conv1,1,sandwich_465430,0.35590879607200565
55,backbone.res3.2.conv2,1,sandwich_465430,0.32061469719157554
