,Layer,Cluster,Image,PCC
0,backbone.res2.0.conv1,1,962,0.5821207213965217
1,backbone.res2.0.conv2,1,962,0.6098442228807884
2,backbone.res2.0.conv3,1,962,0.5450645398455314
3,backbone.res2.1.conv1,1,962,0.6510187393664555
4,backbone.res2.1.conv2,1,962,0.5858146848756124
5,backbone.res2.1.conv3,2,962,0.44910919221061035
6,backbone.res2.2.conv1,1,962,0.5422481932437361
7,backbone.res2.2.conv2,2,962,0.3805596846768821
8,backbone.res2.2.conv3,2,962,0.39836661740551266
9,backbone.res3.0.conv1,1,962,0.680539046574098
10,backbone.res3.0.conv2,1,962,0.6450458297802961
11,backbone.res3.0.conv3,1,962,0.6923683048850539
12,backbone.res3.1.conv1,1,962,0.7311026577815437
13,backbone.res3.1.conv2,1,962,0.6631151332878022
14,backbone.res3.1.conv3,1,962,0.6844328206714807
15,backbone.res3.2.conv1,1,962,0.5710039533424941
16,backbone.res3.2.conv2,1,962,0.5668983085646654
17,backbone.res3.2.conv3,1,962,0.639768679551921
18,backbone.res3.3.conv1,2,962,0.5531320294134127
19,backbone.res3.3.conv2,2,962,0.35223820703973063
20,backbone.res3.3.conv3,2,962,0.3799447248610507
21,backbone.res4.0.conv1,1,962,0.659161671023369
22,backbone.res4.0.conv2,1,962,0.5869577444381111
23,backbone.res4.0.conv3,1,962,0.8287992785450337
24,backbone.res4.1.conv1,1,962,0.6831364895085847
25,backbone.res4.1.conv2,1,962,0.7234600382961149
26,backbone.res4.1.conv3,1,962,0.6370589176133884
27,backbone.res4.2.conv1,1,962,0.6339878476264759
28,backbone.res4.2.conv2,1,962,0.5680618830020469
29,backbone.res4.2.conv3,1,962,0.6135684413027106
30,backbone.res4.3.conv1,1,962,0.6357366261609292
31,backbone.res4.3.conv2,1,962,0.7150044146305915
32,backbone.res4.3.conv3,1,962,0.5503463175866602
33,backbone.res4.4.conv1,1,962,0.602323077189444
34,backbone.res4.4.conv2,1,962,0.6404728915120043
35,backbone.res4.4.conv3,1,962,0.5440437557267943
36,backbone.res4.5.conv1,1,962,0.5912086990251805
37,backbone.res4.5.conv2,2,962,0.4283510133178285
38,backbone.res4.5.conv3,2,962,0.5246221296942416
39,backbone.res2.0.conv1,1,2170,0.6038593253430714
40,backbone.res2.0.conv2,1,2170,0.5838712576551746
41,backbone.res2.0.conv3,1,2170,0.6177505081292562
42,backbone.res2.1.conv1,1,2170,0.6147886490812965
43,backbone.res2.1.conv2,1,2170,0.6171149151680502
44,backbone.res2.1.conv3,2,2170,0.504832261299398
45,backbone.res2.2.conv1,1,2170,0.6251192699093155
46,backbone.res2.2.conv2,2,2170,0.3844563676915635
47,backbone.res2.2.conv3,2,2170,0.4297209300511089
48,backbone.res3.0.conv1,1,2170,0.6113069110887179
49,backbone.res3.0.conv2,1,2170,0.5667737616508648
50,backbone.res3.0.conv3,1,2170,0.6773665874108508
51,backbone.res3.1.conv1,1,2170,0.7005623528004741
52,backbone.res3.1.conv2,1,2170,0.6631403670888456
53,backbone.res3.1.conv3,1,2170,0.6756407289022521
54,backbone.res3.2.conv1,1,2170,0.68701004353947
55,backbone.res3.2.conv2,1,2170,0.5282497080567263
56,backbone.res3.2.conv3,1,2170,0.5694985443030608
57,backbone.res3.3.conv1,2,2170,0.5560816161338661
58,backbone.res3.3.conv2,2,2170,0.36256363445084894
59,backbone.res3.3.conv3,2,2170,0.41640615885606846
60,backbone.res4.0.conv1,1,2170,0.673652769157336
61,backbone.res4.0.conv2,1,2170,0.6517341681767512
62,backbone.res4.0.conv3,1,2170,0.6670484700278764
63,backbone.res4.1.conv1,1,2170,0.6422590461099941
64,backbone.res4.1.conv2,1,2170,0.7230202347392727
65,backbone.res4.1.conv3,1,2170,0.6575476697389113
66,backbone.res4.2.conv1,1,2170,0.7040309034683861
67,backbone.res4.2.conv2,1,2170,0.5968594369078564
68,backbone.res4.2.conv3,1,2170,0.5070745633131833
69,backbone.res4.3.conv1,1,2170,0.5524882306623876
70,backbone.res4.3.conv2,1,2170,0.5914381489324584
71,backbone.res4.3.conv3,1,2170,0.6609805920967081
72,backbone.res4.4.conv1,1,2170,0.7153364262640005
73,backbone.res4.4.conv2,1,2170,0.6163111038264356
74,backbone.res4.4.conv3,1,2170,0.6316619654061042
75,backbone.res4.5.conv1,1,2170,0.5889221487212224
76,backbone.res4.5.conv2,2,2170,0.46592842286975317
77,backbone.res4.5.conv3,2,2170,0.5241467332277748
78,backbone.res2.0.conv1,1,1227,0.5531993733763564
79,backbone.res2.0.conv2,1,1227,0.5469921172715134
80,backbone.res2.0.conv3,1,1227,0.4801226937274775
81,backbone.res2.1.conv1,1,1227,0.5534132334615811
82,backbone.res2.1.conv2,1,1227,0.519113792266304
83,backbone.res2.1.conv3,2,1227,0.40143987581291657
84,backbone.res2.2.conv1,1,1227,0.5321347695402983
85,backbone.res2.2.conv2,2,1227,0.2837777769997466
86,backbone.res2.2.conv3,2,1227,0.32237393015207444
87,backbone.res3.0.conv1,1,1227,0.5703310884426438
88,backbone.res3.0.conv2,1,1227,0.5679892343148394
89,backbone.res3.0.conv3,1,1227,0.5887381772701281
90,backbone.res3.1.conv1,1,1227,0.556907949503383
91,backbone.res3.1.conv2,1,1227,0.5549342092675889
92,backbone.res3.1.conv3,1,1227,0.6053382632442901
93,backbone.res3.2.conv1,1,1227,0.5335732038422936
94,backbone.res3.2.conv2,1,1227,0.5952724450348365
95,backbone.res3.2.conv3,1,1227,0.5941499378270264
96,backbone.res3.3.conv1,2,1227,0.47594954169953874
97,backbone.res3.3.conv2,2,1227,0.3439984708853268
98,backbone.res3.3.conv3,2,1227,0.3779615779773093
99,backbone.res4.0.conv1,1,1227,0.5904383399316901
100,backbone.res4.0.conv2,1,1227,0.632370080966249
101,backbone.res4.0.conv3,1,1227,0.6135926216490596
102,backbone.res4.1.conv1,1,1227,0.6396658387139782
103,backbone.res4.1.conv2,1,1227,0.5137568447682652
104,backbone.res4.1.conv3,1,1227,0.514206696299887
105,backbone.res4.2.conv1,1,1227,0.6573938859184354
106,backbone.res4.2.conv2,1,1227,0.5239878198665386
107,backbone.res4.2.conv3,1,1227,0.5034073452049471
108,backbone.res4.3.conv1,1,1227,0.6872527122844387
109,backbone.res4.3.conv2,1,1227,0.6152081386792927
110,backbone.res4.3.conv3,1,1227,0.49032602221623744
111,backbone.res4.4.conv1,1,1227,0.5576338905413227
112,backbone.res4.4.conv2,1,1227,0.5145555671049531
113,backbone.res4.4.conv3,1,1227,0.4884875573395163
114,backbone.res4.5.conv1,1,1227,0.46172097645009574
115,backbone.res4.5.conv2,2,1227,0.44232529231861206
116,backbone.res4.5.conv3,2,1227,0.48693697599279573
117,backbone.res2.0.conv1,1,1430,0.6079241160442743
118,backbone.res2.0.conv2,1,1430,0.6094380903844504
119,backbone.res2.0.conv3,1,1430,0.6382090666514584
120,backbone.res2.1.conv1,1,1430,0.6329516086052154
121,backbone.res2.1.conv2,1,1430,0.5793494211211266
122,backbone.res2.1.conv3,2,1430,0.5484210527088873
123,backbone.res2.2.conv1,1,1430,0.6099345931963904
124,backbone.res2.2.conv2,2,1430,0.3602658237175928
125,backbone.res2.2.conv3,2,1430,0.4240982831434768
126,backbone.res3.0.conv1,1,1430,0.6222651972041905
127,backbone.res3.0.conv2,1,1430,0.5668159707486341
128,backbone.res3.0.conv3,1,1430,0.6747335618709941
129,backbone.res3.1.conv1,1,1430,0.7076185074646708
130,backbone.res3.1.conv2,1,1430,0.5805463595795033
131,backbone.res3.1.conv3,1,1430,0.6499550245247497
132,backbone.res3.2.conv1,1,1430,0.5672216228504741
133,backbone.res3.2.conv2,1,1430,0.5979392489395396
134,backbone.res3.2.conv3,1,1430,0.6076054745683485
135,backbone.res3.3.conv1,2,1430,0.6551671250412562
136,backbone.res3.3.conv2,2,1430,0.4159962539482704
137,backbone.res3.3.conv3,2,1430,0.39877382418050117
138,backbone.res4.0.conv1,1,1430,0.5782530028615889
139,backbone.res4.0.conv2,1,1430,0.558931893571616
140,backbone.res4.0.conv3,1,1430,0.6482089704354743
141,backbone.res4.1.conv1,1,1430,0.6079002995131678
142,backbone.res4.1.conv2,1,1430,0.6537945032321034
143,backbone.res4.1.conv3,1,1430,0.5997777394563447
144,backbone.res4.2.conv1,1,1430,0.7319386415685163
145,backbone.res4.2.conv2,1,1430,0.6340270633214399
146,backbone.res4.2.conv3,1,1430,0.6168801499358233
147,backbone.res4.3.conv1,1,1430,0.6030431042679844
148,backbone.res4.3.conv2,1,1430,0.7036789471833027
149,backbone.res4.3.conv3,1,1430,0.5856353160592236
150,backbone.res4.4.conv1,1,1430,0.5620283708955695
151,backbone.res4.4.conv2,1,1430,0.61023608088054
152,backbone.res4.4.conv3,1,1430,0.5979827741556024
153,backbone.res4.5.conv1,1,1430,0.6711201299434923
154,backbone.res4.5.conv2,2,1430,0.4161842711657765
155,backbone.res4.5.conv3,2,1430,0.5626236522515051
156,backbone.res2.0.conv1,1,2108,0.5710804856866877
157,backbone.res2.0.conv2,1,2108,0.5678774468915295
158,backbone.res2.0.conv3,1,2108,0.4896128379394155
159,backbone.res2.1.conv1,1,2108,0.5245731092877827
160,backbone.res2.1.conv2,1,2108,0.5208785279370772
161,backbone.res2.1.conv3,2,2108,0.47423113146745727
162,backbone.res2.2.conv1,1,2108,0.5122588278864613
163,backbone.res2.2.conv2,2,2108,0.29584125178176596
164,backbone.res2.2.conv3,2,2108,0.37648485769973133
165,backbone.res3.0.conv1,1,2108,0.536224872860705
166,backbone.res3.0.conv2,1,2108,0.5504118533231225
167,backbone.res3.0.conv3,1,2108,0.6319701239755791
168,backbone.res3.1.conv1,1,2108,0.5725293985826051
169,backbone.res3.1.conv2,1,2108,0.5941110642356788
170,backbone.res3.1.conv3,1,2108,0.6153788372756861
171,backbone.res3.2.conv1,1,2108,0.640814923753527
172,backbone.res3.2.conv2,1,2108,0.5541484958446703
173,backbone.res3.2.conv3,1,2108,0.5377819679938982
174,backbone.res3.3.conv1,2,2108,0.46151097626300314
175,backbone.res3.3.conv2,2,2108,0.36549094571370094
176,backbone.res3.3.conv3,2,2108,0.342665521653662
177,backbone.res4.0.conv1,1,2108,0.6008355006422332
178,backbone.res4.0.conv2,1,2108,0.5821268150053065
179,backbone.res4.0.conv3,1,2108,0.7132838295818851
180,backbone.res4.1.conv1,1,2108,0.6168928679266805
181,backbone.res4.1.conv2,1,2108,0.5928364528667646
182,backbone.res4.1.conv3,1,2108,0.6185300473804236
183,backbone.res4.2.conv1,1,2108,0.5120264688538833
184,backbone.res4.2.conv2,1,2108,0.4782823713778299
185,backbone.res4.2.conv3,1,2108,0.4998032875623078
186,backbone.res4.3.conv1,1,2108,0.5526451652890492
187,backbone.res4.3.conv2,1,2108,0.5925430174218798
188,backbone.res4.3.conv3,1,2108,0.5049239808554319
189,backbone.res4.4.conv1,1,2108,0.4971093873812233
190,backbone.res4.4.conv2,1,2108,0.5072433722357351
191,backbone.res4.4.conv3,1,2108,0.5294222923701716
192,backbone.res4.5.conv1,1,2108,0.5527528309939289
193,backbone.res4.5.conv2,2,2108,0.35627285173675904
194,backbone.res4.5.conv3,2,2108,0.4909289520363827
195,backbone.res2.0.conv1,1,760,0.5507562333864371
196,backbone.res2.0.conv2,1,760,0.5671524001473879
197,backbone.res2.0.conv3,1,760,0.5897844663354909
198,backbone.res2.1.conv1,1,760,0.5647724819764683
199,backbone.res2.1.conv2,1,760,0.5551349522214235
200,backbone.res2.1.conv3,2,760,0.4782149682278591
201,backbone.res2.2.conv1,1,760,0.5005965937072755
202,backbone.res2.2.conv2,2,760,0.3184834953411614
203,backbone.res2.2.conv3,2,760,0.3348768271284604
204,backbone.res3.0.conv1,1,760,0.5370442513511499
205,backbone.res3.0.conv2,1,760,0.5601692038952669
206,backbone.res3.0.conv3,1,760,0.5906753555605068
207,backbone.res3.1.conv1,1,760,0.499759059555469
208,backbone.res3.1.conv2,1,760,0.5668049548814789
209,backbone.res3.1.conv3,1,760,0.5178953257782083
210,backbone.res3.2.conv1,1,760,0.5351717490092794
211,backbone.res3.2.conv2,1,760,0.5566187551192529
212,backbone.res3.2.conv3,1,760,0.4650530854474337
213,backbone.res3.3.conv1,2,760,0.45708491303251225
214,backbone.res3.3.conv2,2,760,0.23038993576114553
215,backbone.res3.3.conv3,2,760,0.34365693408984943
216,backbone.res4.0.conv1,1,760,0.5998052601765493
217,backbone.res4.0.conv2,1,760,0.44048672531802613
218,backbone.res4.0.conv3,1,760,0.31938863952503027
219,backbone.res4.1.conv1,1,760,0.6622174947814468
220,backbone.res4.1.conv2,1,760,0.5271858916602623
221,backbone.res4.1.conv3,1,760,0.4926047916287308
222,backbone.res4.2.conv1,1,760,0.3630331806005958
223,backbone.res4.2.conv2,1,760,0.5159765894601099
224,backbone.res4.2.conv3,1,760,0.577870792417018
225,backbone.res4.3.conv1,1,760,0.4353629160502675
226,backbone.res4.3.conv2,1,760,0.5856543481177461
227,backbone.res4.3.conv3,1,760,0.5649685580950634
228,backbone.res4.4.conv1,1,760,0.5407729844315003
229,backbone.res4.4.conv2,1,760,0.4970022617660685
