,Layer,Cluster,Image,PCC
0,backbone.res2.0.conv1,1,54,0.1989285320514113
1,backbone.res2.0.conv2,1,54,0.2119917116798213
2,backbone.res2.0.conv3,1,54,0.1291996571619495
3,backbone.res2.1.conv1,1,54,0.24922434311536032
4,backbone.res2.1.conv2,1,54,0.1989168439164317
5,backbone.res2.1.conv3,1,54,0.10679537820568599
6,backbone.res2.2.conv1,1,54,0.28010927036569516
7,backbone.res2.2.conv2,2,54,0.19464495041464447
8,backbone.res2.2.conv3,2,54,0.09431540716487402
9,backbone.res3.0.conv1,1,54,0.2115871176832325
10,backbone.res3.0.conv2,1,54,0.2952037855306871
11,backbone.res3.0.conv3,1,54,0.2145905156805716
12,backbone.res3.1.conv1,1,54,0.16509523501621967
13,backbone.res3.1.conv2,1,54,0.2536259113069009
14,backbone.res3.1.conv3,1,54,0.28427625207141927
15,backbone.res3.2.conv1,1,54,0.2788536654211422
16,backbone.res3.2.conv2,1,54,0.2897440566817903
17,backbone.res3.2.conv3,1,54,0.2529638127358253
18,backbone.res3.3.conv1,1,54,0.280992571113808
19,backbone.res3.3.conv2,2,54,0.15691035746101517
20,backbone.res3.3.conv3,2,54,0.20549248014191765
21,backbone.res4.0.conv1,1,54,0.27861688746692675
22,backbone.res4.0.conv2,1,54,0.25010954949491304
23,backbone.res4.0.conv3,1,54,0.23747586420467137
24,backbone.res4.1.conv1,1,54,0.24217168296732933
25,backbone.res4.1.conv2,1,54,0.24034686830296398
26,backbone.res4.1.conv3,1,54,0.23969973101883726
27,backbone.res4.2.conv1,1,54,0.21742803442789446
28,backbone.res4.2.conv2,1,54,0.11685620349065465
29,backbone.res4.2.conv3,1,54,0.25153835142286735
30,backbone.res4.3.conv1,1,54,0.1984309334589499
31,backbone.res4.3.conv2,1,54,0.19659106521459635
32,backbone.res4.3.conv3,1,54,0.24811466881801897
33,backbone.res4.4.conv1,1,54,0.24631942851741603
34,backbone.res4.4.conv2,1,54,0.16372124670471028
35,backbone.res4.4.conv3,1,54,0.21635646748016382
36,backbone.res4.5.conv1,1,54,0.14565774903852594
37,backbone.res4.5.conv2,1,54,0.16149836704202403
38,backbone.res4.5.conv3,1,54,0.19063404707414114
39,backbone.res2.0.conv1,1,1319,0.5379187611990768
40,backbone.res2.0.conv2,1,1319,0.5307298629204568
41,backbone.res2.0.conv3,1,1319,0.494638011133271
42,backbone.res2.1.conv1,1,1319,0.48286105373841764
43,backbone.res2.1.conv2,1,1319,0.49036371367033665
44,backbone.res2.1.conv3,1,1319,0.3556703168392351
45,backbone.res2.2.conv1,1,1319,0.47411106261683333
46,backbone.res2.2.conv2,2,1319,0.24748263506924473
47,backbone.res2.2.conv3,2,1319,0.2725369532300594
48,backbone.res3.0.conv1,1,1319,0.5448393738965291
49,backbone.res3.0.conv2,1,1319,0.3935017628833956
50,backbone.res3.0.conv3,1,1319,0.48015722905734887
51,backbone.res3.1.conv1,1,1319,0.5130621402476451
52,backbone.res3.1.conv2,1,1319,0.4329526294364816
53,backbone.res3.1.conv3,1,1319,0.39268925242005454
54,backbone.res3.2.conv1,1,1319,0.47694212003310116
55,backbone.res3.2.conv2,1,1319,0.41107426052284696
56,backbone.res3.2.conv3,1,1319,0.4843738582661366
57,backbone.res3.3.conv1,1,1319,0.4778217672393128
58,backbone.res3.3.conv2,2,1319,0.2912889143292724
59,backbone.res3.3.conv3,2,1319,0.32321250503768845
60,backbone.res4.0.conv1,1,1319,0.6472590792816261
61,backbone.res4.0.conv2,1,1319,0.6081955447259688
62,backbone.res4.0.conv3,1,1319,0.6221726057009359
63,backbone.res4.1.conv1,1,1319,0.3544331215052477
64,backbone.res4.1.conv2,1,1319,0.512071951911868
65,backbone.res4.1.conv3,1,1319,0.6229881185123826
66,backbone.res4.2.conv1,1,1319,0.510001255099152
67,backbone.res4.2.conv2,1,1319,0.7227096456946812
68,backbone.res4.2.conv3,1,1319,0.5884812962497956
69,backbone.res4.3.conv1,1,1319,0.5362891699351844
70,backbone.res4.3.conv2,1,1319,0.5212216183674906
71,backbone.res4.3.conv3,1,1319,0.5814881642357438
72,backbone.res4.4.conv1,1,1319,0.5998369900927017
73,backbone.res4.4.conv2,1,1319,0.4473000073647236
74,backbone.res4.4.conv3,1,1319,0.5350731414266026
75,backbone.res4.5.conv1,1,1319,0.5607776510424021
76,backbone.res4.5.conv2,1,1319,0.5504807480610818
77,backbone.res4.5.conv3,1,1319,0.5589143348137721
78,backbone.res2.0.conv1,1,68,0.38823784461337757
79,backbone.res2.0.conv2,1,68,0.3486693580138529
80,backbone.res2.0.conv3,1,68,0.257691520596482
81,backbone.res2.1.conv1,1,68,0.2702522554192689
82,backbone.res2.1.conv2,1,68,0.28099041127074537
83,backbone.res2.1.conv3,1,68,0.20640708236962052
84,backbone.res2.2.conv1,1,68,0.3367480381110503
85,backbone.res2.2.conv2,2,68,0.16840510597715885
86,backbone.res2.2.conv3,2,68,0.16194341050778785
87,backbone.res3.0.conv1,1,68,0.24174566038424644
88,backbone.res3.0.conv2,1,68,0.20326313723377196
89,backbone.res3.0.conv3,1,68,0.2486663404658767
90,backbone.res3.1.conv1,1,68,0.32862089035077563
91,backbone.res3.1.conv2,1,68,0.3125587386768568
92,backbone.res3.1.conv3,1,68,0.23689602839482718
93,backbone.res3.2.conv1,1,68,0.22405845908991334
94,backbone.res3.2.conv2,1,68,0.2938050052113953
95,backbone.res3.2.conv3,1,68,0.28327695931810176
96,backbone.res3.3.conv1,1,68,0.23269147139591675
97,backbone.res3.3.conv2,2,68,0.2120616627696173
98,backbone.res3.3.conv3,2,68,0.20012476589092468
99,backbone.res4.0.conv1,1,68,0.36264800391091645
100,backbone.res4.0.conv2,1,68,0.35186759373684345
101,backbone.res4.0.conv3,1,68,0.4062631086255381
102,backbone.res4.1.conv1,1,68,0.3661683998866925
103,backbone.res4.1.conv2,1,68,0.43472848222855237
104,backbone.res4.1.conv3,1,68,0.4650598223144397
105,backbone.res4.2.conv1,1,68,0.426835994147241
106,backbone.res4.2.conv2,1,68,0.4981028285966093
107,backbone.res4.2.conv3,1,68,0.3827753748464571
108,backbone.res4.3.conv1,1,68,0.30982691975291876
109,backbone.res4.3.conv2,1,68,0.2689135634140911
110,backbone.res4.3.conv3,1,68,0.4530036165807101
111,backbone.res4.4.conv1,1,68,0.37244271392528366
112,backbone.res4.4.conv2,1,68,0.3169940695258602
113,backbone.res4.4.conv3,1,68,0.4096352317156461
114,backbone.res4.5.conv1,1,68,0.40773730531553387
115,backbone.res4.5.conv2,1,68,0.32951067372766063
116,backbone.res4.5.conv3,1,68,0.4110359980029293
117,backbone.res2.0.conv1,1,629,0.40775214540174737
118,backbone.res2.0.conv2,1,629,0.4794678480010229
119,backbone.res2.0.conv3,1,629,0.43612314450896966
120,backbone.res2.1.conv1,1,629,0.4587938708214024
121,backbone.res2.1.conv2,1,629,0.4684597716834567
122,backbone.res2.1.conv3,1,629,0.39347488737582104
123,backbone.res2.2.conv1,1,629,0.4724025387720363
124,backbone.res2.2.conv2,2,629,0.34427804930883277
125,backbone.res2.2.conv3,2,629,0.30535434076387763
126,backbone.res3.0.conv1,1,629,0.5248025755920884
127,backbone.res3.0.conv2,1,629,0.4959888755323483
128,backbone.res3.0.conv3,1,629,0.45978964602872113
129,backbone.res3.1.conv1,1,629,0.5250744071005071
130,backbone.res3.1.conv2,1,629,0.5823462252186694
131,backbone.res3.1.conv3,1,629,0.4546541166564415
132,backbone.res3.2.conv1,1,629,0.5410284996318736
133,backbone.res3.2.conv2,1,629,0.5988122697028306
134,backbone.res3.2.conv3,1,629,0.5518315772149639
135,backbone.res3.3.conv1,1,629,0.5049328342148858
136,backbone.res3.3.conv2,2,629,0.38598429844012644
137,backbone.res3.3.conv3,2,629,0.3893470509613345
138,backbone.res4.0.conv1,1,629,0.5516245146734476
139,backbone.res4.0.conv2,1,629,0.5197138173216455
140,backbone.res4.0.conv3,1,629,0.622931301153141
141,backbone.res4.1.conv1,1,629,0.5188599217840366
142,backbone.res4.1.conv2,1,629,0.5284265249567981
143,backbone.res4.1.conv3,1,629,0.5760267684916294
144,backbone.res4.2.conv1,1,629,0.6349141201331572
145,backbone.res4.2.conv2,1,629,0.5456642574502308
146,backbone.res4.2.conv3,1,629,0.5410947400914939
147,backbone.res4.3.conv1,1,629,0.6500101377652555
148,backbone.res4.3.conv2,1,629,0.6021628014400123
149,backbone.res4.3.conv3,1,629,0.5575040782037431
150,backbone.res4.4.conv1,1,629,0.5204187879824326
151,backbone.res4.4.conv2,1,629,0.6333565713450768
152,backbone.res4.4.conv3,1,629,0.5961873025038844
153,backbone.res4.5.conv1,1,629,0.6064964818381491
154,backbone.res4.5.conv2,1,629,0.5908923943390266
155,backbone.res4.5.conv3,1,629,0.610979603686886
156,backbone.res2.0.conv1,1,1178,0.5863413663411522
157,backbone.res2.0.conv2,1,1178,0.6469996792069942
158,backbone.res2.0.conv3,1,1178,0.6009600071601007
159,backbone.res2.1.conv1,1,1178,0.6059956656861027
160,backbone.res2.1.conv2,1,1178,0.6089126635167168
161,backbone.res2.1.conv3,1,1178,0.48294197938696876
162,backbone.res2.2.conv1,1,1178,0.5197844332731962
163,backbone.res2.2.conv2,2,1178,0.3597227493734632
164,backbone.res2.2.conv3,2,1178,0.4036377644620806
