,Layer,Cluster,Image,PCC
0,backbone.res2.0.conv1,1,54,0.21935972835736328
1,backbone.res2.0.conv2,1,54,0.20035872632463053
2,backbone.res2.0.conv3,1,54,0.21279520453341172
3,backbone.res2.1.conv1,1,54,0.21506840439459243
4,backbone.res2.1.conv2,1,54,0.1856134080741876
5,backbone.res2.1.conv3,2,54,0.1707295113824354
6,backbone.res2.2.conv1,1,54,0.1810093180705625
7,backbone.res2.2.conv2,2,54,0.12592110928359687
8,backbone.res2.2.conv3,2,54,0.14750593410394547
9,backbone.res3.0.conv1,1,54,0.26056818404598436
10,backbone.res3.0.conv2,1,54,0.2150416639188173
11,backbone.res3.0.conv3,1,54,0.24276847150053524
12,backbone.res3.1.conv1,1,54,0.21243278614760863
13,backbone.res3.1.conv2,1,54,0.21842617931921737
14,backbone.res3.1.conv3,1,54,0.24640959631710657
15,backbone.res3.2.conv1,1,54,0.1416285642885369
16,backbone.res3.2.conv2,1,54,0.17621099775050553
17,backbone.res3.2.conv3,1,54,0.2434724545529823
18,backbone.res3.3.conv1,1,54,0.2700735629790773
19,backbone.res3.3.conv2,2,54,0.18855671808974325
20,backbone.res3.3.conv3,2,54,0.1912313791885177
21,backbone.res4.0.conv1,1,54,0.20050956905235873
22,backbone.res4.0.conv2,1,54,0.11763730504478462
23,backbone.res4.0.conv3,1,54,0.2327558147795114
24,backbone.res4.1.conv1,1,54,0.13931393283091953
25,backbone.res4.1.conv2,1,54,0.13515025462964983
26,backbone.res4.1.conv3,1,54,0.23445636104734288
27,backbone.res4.2.conv1,1,54,0.1495875821045862
28,backbone.res4.2.conv2,1,54,0.14556035514545324
29,backbone.res4.2.conv3,1,54,0.1813420912516469
30,backbone.res4.3.conv1,1,54,0.15172630382284838
31,backbone.res4.3.conv2,1,54,0.05304961636744846
32,backbone.res4.3.conv3,1,54,0.09209394306669921
33,backbone.res4.4.conv1,1,54,0.0842945062377524
34,backbone.res4.4.conv2,1,54,0.1336024746919185
35,backbone.res4.4.conv3,1,54,0.10858900623187923
36,backbone.res4.5.conv1,1,54,0.1247573400240771
37,backbone.res4.5.conv2,1,54,0.050688912929971186
38,backbone.res4.5.conv3,1,54,0.027986455171284355
39,backbone.res2.0.conv1,1,1319,0.5766487852757693
40,backbone.res2.0.conv2,1,1319,0.5751731977400489
41,backbone.res2.0.conv3,1,1319,0.5378257107744394
42,backbone.res2.1.conv1,1,1319,0.5280089345737584
43,backbone.res2.1.conv2,1,1319,0.5450040683259219
44,backbone.res2.1.conv3,2,1319,0.40252335634010816
45,backbone.res2.2.conv1,1,1319,0.5306184127446494
46,backbone.res2.2.conv2,2,1319,0.2747931858953629
47,backbone.res2.2.conv3,2,1319,0.30401694760938
48,backbone.res3.0.conv1,1,1319,0.5793135002548224
49,backbone.res3.0.conv2,1,1319,0.44727572853324665
50,backbone.res3.0.conv3,1,1319,0.5265690941268687
51,backbone.res3.1.conv1,1,1319,0.570934584340118
52,backbone.res3.1.conv2,1,1319,0.47094223975633953
53,backbone.res3.1.conv3,1,1319,0.4296164595423641
54,backbone.res3.2.conv1,1,1319,0.5285088721193577
55,backbone.res3.2.conv2,1,1319,0.467032844952867
56,backbone.res3.2.conv3,1,1319,0.5305624613025788
57,backbone.res3.3.conv1,1,1319,0.5282440293324338
58,backbone.res3.3.conv2,2,1319,0.32420020774779174
59,backbone.res3.3.conv3,2,1319,0.36166130467624036
60,backbone.res4.0.conv1,1,1319,0.6998581387482978
61,backbone.res4.0.conv2,1,1319,0.6721556009741079
62,backbone.res4.0.conv3,1,1319,0.6567657608406668
63,backbone.res4.1.conv1,1,1319,0.4480531708083513
64,backbone.res4.1.conv2,1,1319,0.5837543954370625
65,backbone.res4.1.conv3,1,1319,0.6541248513443371
66,backbone.res4.2.conv1,1,1319,0.47440433493542783
67,backbone.res4.2.conv2,1,1319,0.7428972274664567
68,backbone.res4.2.conv3,1,1319,0.6578930690797439
69,backbone.res4.3.conv1,1,1319,0.5856670775470504
70,backbone.res4.3.conv2,1,1319,0.5819273213956888
71,backbone.res4.3.conv3,1,1319,0.642769786295918
72,backbone.res4.4.conv1,1,1319,0.639916469520022
73,backbone.res4.4.conv2,1,1319,0.5250556521861557
74,backbone.res4.4.conv3,1,1319,0.6018829967418716
75,backbone.res4.5.conv1,1,1319,0.6072847665313582
76,backbone.res4.5.conv2,1,1319,0.5928588589528048
77,backbone.res4.5.conv3,1,1319,0.6284518096656694
78,backbone.res2.0.conv1,1,68,0.47722080782619075
79,backbone.res2.0.conv2,1,68,0.5190626575045865
80,backbone.res2.0.conv3,1,68,0.4559102412340259
81,backbone.res2.1.conv1,1,68,0.47138361065457285
82,backbone.res2.1.conv2,1,68,0.4510886913537921
83,backbone.res2.1.conv3,2,68,0.3511179211962118
84,backbone.res2.2.conv1,1,68,0.44389458774863594
85,backbone.res2.2.conv2,2,68,0.2765919485702415
86,backbone.res2.2.conv3,2,68,0.2726188400130509
87,backbone.res3.0.conv1,1,68,0.48074752343036703
88,backbone.res3.0.conv2,1,68,0.4571057148785991
89,backbone.res3.0.conv3,1,68,0.4724307753856378
90,backbone.res3.1.conv1,1,68,0.44389610366742316
91,backbone.res3.1.conv2,1,68,0.45833972796105754
92,backbone.res3.1.conv3,1,68,0.44988325649527416
93,backbone.res3.2.conv1,1,68,0.49378503440139304
94,backbone.res3.2.conv2,1,68,0.37913707832274124
95,backbone.res3.2.conv3,1,68,0.43324247996998533
96,backbone.res3.3.conv1,1,68,0.4294714984627504
97,backbone.res3.3.conv2,2,68,0.3149736164828123
98,backbone.res3.3.conv3,2,68,0.295493803809232
99,backbone.res4.0.conv1,1,68,0.492739823857382
100,backbone.res4.0.conv2,1,68,0.469255964019002
101,backbone.res4.0.conv3,1,68,0.3488409873996423
102,backbone.res4.1.conv1,1,68,0.5057858433768156
103,backbone.res4.1.conv2,1,68,0.46215194034798684
