,Layer,Cluster,Image,PCC
0,backbone.res2.0.conv1,2,handbag_383842,0.40238247673543104
1,backbone.res2.0.conv2,2,handbag_383842,0.4378083258721602
2,backbone.res2.0.conv3,2,handbag_383842,0.5525766473525443
3,backbone.res2.1.conv1,2,handbag_383842,0.49117919794973014
4,backbone.res2.1.conv2,2,handbag_383842,0.4853701279325865
5,backbone.res2.1.conv3,2,handbag_383842,0.5967389871588893
6,backbone.res2.2.conv1,2,handbag_383842,0.5804243132361324
7,backbone.res2.2.conv2,2,handbag_383842,0.4672452910640912
8,backbone.res2.2.conv3,2,handbag_383842,0.5919993562014114
9,backbone.res3.0.conv1,2,handbag_383842,0.5062925564115919
10,backbone.res3.0.conv2,2,handbag_383842,0.3999261849791676
11,backbone.res3.0.conv3,2,handbag_383842,0.4338396821031144
12,backbone.res3.1.conv1,2,handbag_383842,0.4128777343656197
13,backbone.res3.1.conv2,2,handbag_383842,0.3668063004486207
14,backbone.res3.1.conv3,2,handbag_383842,0.4509186352129004
15,backbone.res3.2.conv1,2,handbag_383842,0.46464055913627506
16,backbone.res3.2.conv2,2,handbag_383842,0.3445494906886567
17,backbone.res3.2.conv3,2,handbag_383842,0.44613173274904633
18,backbone.res3.3.conv1,2,handbag_383842,0.45031460204444723
19,backbone.res3.3.conv2,2,handbag_383842,0.47198010018022146
20,backbone.res3.3.conv3,2,handbag_383842,0.23161986044255367
21,backbone.res4.0.conv1,2,handbag_383842,0.264676064534798
22,backbone.res4.0.conv2,2,handbag_383842,0.6264349718343379
23,backbone.res4.0.conv3,2,handbag_383842,0.5692597590923829
24,backbone.res4.1.conv1,2,handbag_383842,0.3782051931479929
25,backbone.res4.1.conv2,2,handbag_383842,0.6975352978612438
26,backbone.res4.1.conv3,2,handbag_383842,0.7118176033898008
27,backbone.res4.2.conv1,2,handbag_383842,0.6624816661661634
28,backbone.res4.2.conv2,1,handbag_383842,0.7311103257345473
29,backbone.res4.2.conv3,1,handbag_383842,0.7103027983871367
30,backbone.res4.3.conv1,1,handbag_383842,0.6825839590786653
31,backbone.res4.3.conv2,1,handbag_383842,0.7375095462337308
32,backbone.res4.3.conv3,1,handbag_383842,0.6846631633823829
33,backbone.res4.4.conv1,1,handbag_383842,0.6262961320712566
34,backbone.res4.4.conv2,1,handbag_383842,0.7528021339141827
35,backbone.res4.4.conv3,1,handbag_383842,0.5442411266968592
36,backbone.res4.5.conv1,1,handbag_383842,0.5785698741539909
37,backbone.res4.5.conv2,1,handbag_383842,0.6491148220089963
38,backbone.res4.5.conv3,1,handbag_383842,0.5373930287569235
39,backbone.res2.0.conv1,2,sandwich_465430,0.47984052539336974
40,backbone.res2.0.conv2,2,sandwich_465430,0.4853560702347811
41,backbone.res2.0.conv3,2,sandwich_465430,0.5130845890542953
42,backbone.res2.1.conv1,2,sandwich_465430,0.4941106542097235
43,backbone.res2.1.conv2,2,sandwich_465430,0.5261059150297259
44,backbone.res2.1.conv3,2,sandwich_465430,0.529825373923953
45,backbone.res2.2.conv1,2,sandwich_465430,0.5045762471807046
46,backbone.res2.2.conv2,2,sandwich_465430,0.5243087601856303
47,backbone.res2.2.conv3,2,sandwich_465430,0.5236334491313301
48,backbone.res3.0.conv1,2,sandwich_465430,0.583860318004433
49,backbone.res3.0.conv2,2,sandwich_465430,0.5456837297396044
50,backbone.res3.0.conv3,2,sandwich_465430,0.46453581532737426
51,backbone.res3.1.conv1,2,sandwich_465430,0.5002053106551216
52,backbone.res3.1.conv2,2,sandwich_465430,0.5051764055140223
53,backbone.res3.1.conv3,2,sandwich_465430,0.48098034836310893
54,backbone.res3.2.conv1,2,sandwich_465430,0.4655346825326749
55,backbone.res3.2.conv2,2,sandwich_465430,0.5464258932639589
56,backbone.res3.2.conv3,2,sandwich_465430,0.4540637642997551
57,backbone.res3.3.conv1,2,sandwich_465430,0.5216008716630345
58,backbone.res3.3.conv2,2,sandwich_465430,0.49198138360878235
59,backbone.res3.3.conv3,2,sandwich_465430,0.5662074203907626
60,backbone.res4.0.conv1,2,sandwich_465430,0.523338438447394
61,backbone.res4.0.conv2,2,sandwich_465430,0.2646416964257671
62,backbone.res4.0.conv3,2,sandwich_465430,0.44520491961781294
63,backbone.res4.1.conv1,2,sandwich_465430,0.36231418381529523
64,backbone.res4.1.conv2,2,sandwich_465430,0.33764061469144846
65,backbone.res4.1.conv3,2,sandwich_465430,0.46501540487350335
66,backbone.res4.2.conv1,2,sandwich_465430,0.4990167115510281
67,backbone.res4.2.conv2,1,sandwich_465430,0.526750941979005
68,backbone.res4.2.conv3,1,sandwich_465430,0.3806208508612291
69,backbone.res4.3.conv1,1,sandwich_465430,0.4560317382743182
70,backbone.res4.3.conv2,1,sandwich_465430,0.5428005017731634
71,backbone.res4.3.conv3,1,sandwich_465430,0.4805510078350166
72,backbone.res4.4.conv1,1,sandwich_465430,0.4538989038222453
73,backbone.res4.4.conv2,1,sandwich_465430,0.5264666661893386
74,backbone.res4.4.conv3,1,sandwich_465430,0.39693335353244613
75,backbone.res4.5.conv1,1,sandwich_465430,0.4447828483912332
