,Layer,Cluster,Image,PCC
0,backbone.res2.0.conv1,1,962,0.8080024651996993
1,backbone.res2.0.conv2,1,962,0.8755971725978663
2,backbone.res2.0.conv3,1,962,0.8202651278181943
3,backbone.res2.1.conv1,1,962,0.8775938958277214
4,backbone.res2.1.conv2,1,962,0.8657550818452642
5,backbone.res2.1.conv3,1,962,0.752153712440095
6,backbone.res2.2.conv1,1,962,0.8198332938246778
7,backbone.res2.2.conv2,1,962,0.6994501592827629
8,backbone.res2.2.conv3,1,962,0.7531389353755705
9,backbone.res3.0.conv1,1,962,0.7921854649446856
10,backbone.res3.0.conv2,1,962,0.8149906076054471
11,backbone.res3.0.conv3,1,962,0.8615672574493953
12,backbone.res3.1.conv1,1,962,0.8539134116806194
13,backbone.res3.1.conv2,1,962,0.8105305154340405
14,backbone.res3.1.conv3,1,962,0.855408844731658
15,backbone.res3.2.conv1,1,962,0.734260993277659
16,backbone.res3.2.conv2,1,962,0.7293311076687977
17,backbone.res3.2.conv3,1,962,0.8055756071455669
18,backbone.res3.3.conv1,2,962,0.7512891709787409
19,backbone.res3.3.conv2,2,962,0.5688868453497272
20,backbone.res3.3.conv3,2,962,0.6412012346073455
21,backbone.res4.0.conv1,2,962,0.6315469576772328
22,backbone.res4.0.conv2,2,962,0.5931564793452435
23,backbone.res4.0.conv3,2,962,0.7998418455268218
24,backbone.res4.1.conv1,2,962,0.6583328971089145
25,backbone.res4.1.conv2,2,962,0.6880688796485236
26,backbone.res4.1.conv3,2,962,0.6170611858308637
27,backbone.res4.2.conv1,2,962,0.6134038338215041
28,backbone.res4.2.conv2,2,962,0.5597660575899115
29,backbone.res4.2.conv3,2,962,0.595440648312273
30,backbone.res4.3.conv1,2,962,0.6258656991567666
31,backbone.res4.3.conv2,2,962,0.71873945975918
32,backbone.res4.3.conv3,2,962,0.540679292255726
33,backbone.res4.4.conv1,2,962,0.585322784788949
34,backbone.res4.4.conv2,2,962,0.6522166366584522
35,backbone.res4.4.conv3,2,962,0.5433570231950573
36,backbone.res4.5.conv1,2,962,0.6019998438523878
37,backbone.res4.5.conv2,2,962,0.4679549455924791
38,backbone.res4.5.conv3,2,962,0.5299794373637571
39,backbone.res2.0.conv1,1,2170,0.9455862629540331
40,backbone.res2.0.conv2,1,2170,0.9146887395940144
41,backbone.res2.0.conv3,1,2170,0.9761781635752582
42,backbone.res2.1.conv1,1,2170,0.9659782873286868
43,backbone.res2.1.conv2,1,2170,0.9915858907707658
44,backbone.res2.1.conv3,1,2170,0.8215088147670713
45,backbone.res2.2.conv1,1,2170,0.9737971838220864
46,backbone.res2.2.conv2,1,2170,0.9816122695729985
47,backbone.res2.2.conv3,1,2170,0.7815336458379348
48,backbone.res3.0.conv1,1,2170,0.7761900970743439
49,backbone.res3.0.conv2,1,2170,0.7274170787858482
