,Layer,Cluster,Image,PCC
0,backbone.res2.0.conv1,1,54,0.3399372350803028
1,backbone.res2.0.conv2,1,54,0.3408013730807305
2,backbone.res2.0.conv3,1,54,0.26721380647239495
3,backbone.res2.1.conv1,1,54,0.3702927885732772
4,backbone.res2.1.conv2,1,54,0.3927642551232349
5,backbone.res2.1.conv3,1,54,0.3680718175328948
6,backbone.res2.2.conv1,1,54,0.4045032605284161
7,backbone.res2.2.conv2,1,54,0.3453974417301358
8,backbone.res2.2.conv3,1,54,0.2132122582793164
9,backbone.res3.0.conv1,1,54,0.33348830513321587
10,backbone.res3.0.conv2,1,54,0.36900298255093333
11,backbone.res3.0.conv3,1,54,0.2839097771910386
12,backbone.res3.1.conv1,1,54,0.2450265150630493
13,backbone.res3.1.conv2,1,54,0.3350441038654225
14,backbone.res3.1.conv3,1,54,0.39541353629403964
15,backbone.res3.2.conv1,1,54,0.35902135767579624
16,backbone.res3.2.conv2,1,54,0.45350519638968123
17,backbone.res3.2.conv3,1,54,0.43405366490075675
18,backbone.res3.3.conv1,1,54,0.3938717123800292
19,backbone.res3.3.conv2,2,54,0.45915638189031666
20,backbone.res3.3.conv3,2,54,0.3290498966279166
21,backbone.res4.0.conv1,2,54,0.39088438912616075
22,backbone.res4.0.conv2,2,54,0.4604295761192661
23,backbone.res4.0.conv3,2,54,0.261444180146586
24,backbone.res4.1.conv1,2,54,0.2710065930403335
25,backbone.res4.1.conv2,2,54,0.2763568754070783
26,backbone.res4.1.conv3,2,54,0.4068413637527316
27,backbone.res4.2.conv1,2,54,0.4697281127914607
28,backbone.res4.2.conv2,2,54,0.2539712872142312
29,backbone.res4.2.conv3,2,54,0.27953997985322665
30,backbone.res4.3.conv1,2,54,0.2871271656394981
31,backbone.res4.3.conv2,2,54,0.23086482693821297
32,backbone.res4.3.conv3,2,54,0.28376943317017367
33,backbone.res4.4.conv1,2,54,0.4373301006354697
34,backbone.res4.4.conv2,2,54,0.243960820750694
35,backbone.res4.4.conv3,2,54,0.302735763641753
36,backbone.res4.5.conv1,2,54,0.28850435934117863
37,backbone.res4.5.conv2,2,54,0.31330014076161494
38,backbone.res4.5.conv3,2,54,0.2145209159454591
39,backbone.res2.0.conv1,1,1319,0.7784315892032474
40,backbone.res2.0.conv2,1,1319,0.7526329480130571
41,backbone.res2.0.conv3,1,1319,0.7900722290373515
42,backbone.res2.1.conv1,1,1319,0.7530223754519896
43,backbone.res2.1.conv2,1,1319,0.7000530863389294
44,backbone.res2.1.conv3,1,1319,0.6922676159517045
45,backbone.res2.2.conv1,1,1319,0.68937909658733
46,backbone.res2.2.conv2,1,1319,0.5996240865256419
47,backbone.res2.2.conv3,1,1319,0.6744383979764916
48,backbone.res3.0.conv1,1,1319,0.7402760136297459
49,backbone.res3.0.conv2,1,1319,0.5431117145425103
50,backbone.res3.0.conv3,1,1319,0.6565275028722328
51,backbone.res3.1.conv1,1,1319,0.6532411418253065
52,backbone.res3.1.conv2,1,1319,0.6398117801207511
53,backbone.res3.1.conv3,1,1319,0.5821474056602292
54,backbone.res3.2.conv1,1,1319,0.5967947122436564
55,backbone.res3.2.conv2,1,1319,0.5511998228886702
56,backbone.res3.2.conv3,1,1319,0.6122013766714484
57,backbone.res3.3.conv1,1,1319,0.5973673205574214
58,backbone.res3.3.conv2,2,1319,0.4841603611055362
59,backbone.res3.3.conv3,2,1319,0.5263113020063623
60,backbone.res4.0.conv1,2,1319,0.5484345776642873
61,backbone.res4.0.conv2,2,1319,0.5325078818551114
62,backbone.res4.0.conv3,2,1319,0.5833010140457561
63,backbone.res4.1.conv1,2,1319,0.23707142082197413
64,backbone.res4.1.conv2,2,1319,0.4228783412167419
65,backbone.res4.1.conv3,2,1319,0.5812719187112019
66,backbone.res4.2.conv1,2,1319,0.540449512974225
67,backbone.res4.2.conv2,2,1319,0.6935482274057092
68,backbone.res4.2.conv3,2,1319,0.5001449424885831
69,backbone.res4.3.conv1,2,1319,0.491064576845873
70,backbone.res4.3.conv2,2,1319,0.4276135314237334
71,backbone.res4.3.conv3,2,1319,0.4992695562025021
72,backbone.res4.4.conv1,2,1319,0.5268621935513234
73,backbone.res4.4.conv2,2,1319,0.3478936914917857
74,backbone.res4.4.conv3,2,1319,0.4491512816910536
75,backbone.res4.5.conv1,2,1319,0.48809755203933836
76,backbone.res4.5.conv2,2,1319,0.4842930527326991
77,backbone.res4.5.conv3,2,1319,0.46792278706278034
78,backbone.res2.0.conv1,1,68,0.6310172047007174
79,backbone.res2.0.conv2,1,68,0.648254138146035
80,backbone.res2.0.conv3,1,68,0.639480506543758
81,backbone.res2.1.conv1,1,68,0.6177640765601614
82,backbone.res2.1.conv2,1,68,0.5550171237491643
83,backbone.res2.1.conv3,1,68,0.6448020341876978
84,backbone.res2.2.conv1,1,68,0.6519355267830906
85,backbone.res2.2.conv2,1,68,0.569511273492761
86,backbone.res2.2.conv3,1,68,0.6428609013884624
87,backbone.res3.0.conv1,1,68,0.5920996103457739
88,backbone.res3.0.conv2,1,68,0.6190487823840727
89,backbone.res3.0.conv3,1,68,0.45949999902963673
90,backbone.res3.1.conv1,1,68,0.6652118834276232
91,backbone.res3.1.conv2,1,68,0.6622185658999439
92,backbone.res3.1.conv3,1,68,0.6617055408669811
93,backbone.res3.2.conv1,1,68,0.5800964658702703
94,backbone.res3.2.conv2,1,68,0.6537219408718404
95,backbone.res3.2.conv3,1,68,0.6430996646807318
96,backbone.res3.3.conv1,1,68,0.6603287325262723
97,backbone.res3.3.conv2,2,68,0.5880216822046074
98,backbone.res3.3.conv3,2,68,0.530456396892673
99,backbone.res4.0.conv1,2,68,0.6747341187280312
100,backbone.res4.0.conv2,2,68,0.665510047397959
101,backbone.res4.0.conv3,2,68,0.6846037404140706
102,backbone.res4.1.conv1,2,68,0.7252509564115982
103,backbone.res4.1.conv2,2,68,0.7546264848070017
104,backbone.res4.1.conv3,2,68,0.72635224858183
105,backbone.res4.2.conv1,2,68,0.7083848171258469
106,backbone.res4.2.conv2,2,68,0.7125980228177783
107,backbone.res4.2.conv3,2,68,0.6916877063747247
108,backbone.res4.3.conv1,2,68,0.6767736974239907
109,backbone.res4.3.conv2,2,68,0.7063562987779087
110,backbone.res4.3.conv3,2,68,0.7276434931068945
111,backbone.res4.4.conv1,2,68,0.6952776706603604
112,backbone.res4.4.conv2,2,68,0.725005212736677
113,backbone.res4.4.conv3,2,68,0.7375514022294105
114,backbone.res4.5.conv1,2,68,0.7380390707078598
115,backbone.res4.5.conv2,2,68,0.7097518102092077
116,backbone.res4.5.conv3,2,68,0.7122701484807212
117,backbone.res2.0.conv1,1,629,0.5497317799136757
118,backbone.res2.0.conv2,1,629,0.6557924317007815
119,backbone.res2.0.conv3,1,629,0.6931459018946083
120,backbone.res2.1.conv1,1,629,0.642743099236019
121,backbone.res2.1.conv2,1,629,0.6405001822539022
122,backbone.res2.1.conv3,1,629,0.6417745079254111
