,Layer,Cluster,Image,PCC
0,backbone.res2.0.conv1,1,54,0.3550805962181905
1,backbone.res2.0.conv2,1,54,0.2885280115143617
2,backbone.res2.0.conv3,1,54,0.30020117905725996
3,backbone.res2.1.conv1,1,54,0.35005417564063823
4,backbone.res2.1.conv2,1,54,0.3137346812437853
5,backbone.res2.1.conv3,1,54,0.2965524661581931
6,backbone.res2.2.conv1,1,54,0.30137042506054484
7,backbone.res2.2.conv2,1,54,0.2662019412831699
8,backbone.res2.2.conv3,1,54,0.27368176428466673
9,backbone.res3.0.conv1,1,54,0.3310567251091449
10,backbone.res3.0.conv2,1,54,0.2785115570367685
11,backbone.res3.0.conv3,1,54,0.30559802234610745
12,backbone.res3.1.conv1,1,54,0.26111582230613045
13,backbone.res3.1.conv2,1,54,0.2710566109304489
14,backbone.res3.1.conv3,1,54,0.32598453608733957
15,backbone.res3.2.conv1,1,54,0.19166435103017426
16,backbone.res3.2.conv2,1,54,0.2894979930266786
17,backbone.res3.2.conv3,1,54,0.4412443664133473
18,backbone.res3.3.conv1,1,54,0.42742088629825464
19,backbone.res3.3.conv2,2,54,0.4510083117851745
20,backbone.res3.3.conv3,2,54,0.31300644089233653
21,backbone.res4.0.conv1,2,54,0.2581925971945532
22,backbone.res4.0.conv2,2,54,0.18447802784812406
23,backbone.res4.0.conv3,2,54,0.2452926843543026
24,backbone.res4.1.conv1,2,54,0.15156739326198024
25,backbone.res4.1.conv2,2,54,0.14506155368130083
26,backbone.res4.1.conv3,2,54,0.39482316753115454
27,backbone.res4.2.conv1,2,54,0.2767378328068207
28,backbone.res4.2.conv2,2,54,0.18625528231648278
29,backbone.res4.2.conv3,2,54,0.1885554123183482
30,backbone.res4.3.conv1,2,54,0.25561529699995644
31,backbone.res4.3.conv2,2,54,0.06049109138720245
32,backbone.res4.3.conv3,2,54,0.10093083269820126
33,backbone.res4.4.conv1,2,54,0.18564409030238666
34,backbone.res4.4.conv2,2,54,0.19362568504822328
35,backbone.res4.4.conv3,2,54,0.16775149213226148
36,backbone.res4.5.conv1,2,54,0.23144948358761525
37,backbone.res4.5.conv2,2,54,0.11410522937413238
38,backbone.res4.5.conv3,2,54,0.03157707400374062
39,backbone.res2.0.conv1,1,1319,0.8345645163829827
40,backbone.res2.0.conv2,1,1319,0.8163585876038613
41,backbone.res2.0.conv3,1,1319,0.8591529785382825
42,backbone.res2.1.conv1,1,1319,0.823695099317385
43,backbone.res2.1.conv2,1,1319,0.7777790559971155
44,backbone.res2.1.conv3,1,1319,0.7832698997578854
45,backbone.res2.2.conv1,1,1319,0.7710798308202803
46,backbone.res2.2.conv2,1,1319,0.6661207809408206
47,backbone.res2.2.conv3,1,1319,0.7529360947244853
48,backbone.res3.0.conv1,1,1319,0.7990063018238158
49,backbone.res3.0.conv2,1,1319,0.6272793376001207
50,backbone.res3.0.conv3,1,1319,0.729237866197395
51,backbone.res3.1.conv1,1,1319,0.7415349076459321
52,backbone.res3.1.conv2,1,1319,0.7087775849865907
53,backbone.res3.1.conv3,1,1319,0.6463186670733888
54,backbone.res3.2.conv1,1,1319,0.672252143563515
55,backbone.res3.2.conv2,1,1319,0.6404257945298507
56,backbone.res3.2.conv3,1,1319,0.6808812418121369
57,backbone.res3.3.conv1,1,1319,0.6742734463859176
58,backbone.res3.3.conv2,2,1319,0.5476237930349254
59,backbone.res3.3.conv3,2,1319,0.6000037604225742
60,backbone.res4.0.conv1,2,1319,0.6331776340034776
61,backbone.res4.0.conv2,2,1319,0.6141623512433746
62,backbone.res4.0.conv3,2,1319,0.6386857293442159
63,backbone.res4.1.conv1,2,1319,0.32507641552614125
64,backbone.res4.1.conv2,2,1319,0.5054602871227598
65,backbone.res4.1.conv3,2,1319,0.6361199408856998
66,backbone.res4.2.conv1,2,1319,0.5257009131147342
67,backbone.res4.2.conv2,2,1319,0.7459447381117709
68,backbone.res4.2.conv3,2,1319,0.5919795227834144
69,backbone.res4.3.conv1,2,1319,0.555853046062064
70,backbone.res4.3.conv2,2,1319,0.513075829186056
71,backbone.res4.3.conv3,2,1319,0.5895091274697317
72,backbone.res4.4.conv1,2,1319,0.5993605794477107
73,backbone.res4.4.conv2,2,1319,0.4374217784389894
74,backbone.res4.4.conv3,2,1319,0.5411732115007417
75,backbone.res4.5.conv1,2,1319,0.5650605811597889
76,backbone.res4.5.conv2,2,1319,0.5578846340710227
77,backbone.res4.5.conv3,2,1319,0.5647139593688318
78,backbone.res2.0.conv1,1,68,0.78444462102644
79,backbone.res2.0.conv2,1,68,0.8147651365173226
80,backbone.res2.0.conv3,1,68,0.7982045369602451
81,backbone.res2.1.conv1,1,68,0.7789207778975604
82,backbone.res2.1.conv2,1,68,0.7265453131937362
83,backbone.res2.1.conv3,1,68,0.8117296106560336
84,backbone.res2.2.conv1,1,68,0.8053449154732295
85,backbone.res2.2.conv2,1,68,0.7430229245637717
86,backbone.res2.2.conv3,1,68,0.822294040720959
87,backbone.res3.0.conv1,1,68,0.7901204932786485
88,backbone.res3.0.conv2,1,68,0.8303584610259946
89,backbone.res3.0.conv3,1,68,0.7389080017610851
90,backbone.res3.1.conv1,1,68,0.8024028588501478
91,backbone.res3.1.conv2,1,68,0.8210796967663814
92,backbone.res3.1.conv3,1,68,0.8370754128896573
93,backbone.res3.2.conv1,1,68,0.8110756494797574
94,backbone.res3.2.conv2,1,68,0.7836231405014966
95,backbone.res3.2.conv3,1,68,0.8189859042917372
96,backbone.res3.3.conv1,1,68,0.8096850531898195
97,backbone.res3.3.conv2,2,68,0.812289063586026
98,backbone.res3.3.conv3,2,68,0.7401110908741457
99,backbone.res4.0.conv1,2,68,0.8622804546073897
100,backbone.res4.0.conv2,2,68,0.8155599715322213
101,backbone.res4.0.conv3,2,68,0.7900576533149892
102,backbone.res4.1.conv1,2,68,0.8203879970267263
103,backbone.res4.1.conv2,2,68,0.8773806072800274
104,backbone.res4.1.conv3,2,68,0.8308440144173694
105,backbone.res4.2.conv1,2,68,0.8420666680610368
106,backbone.res4.2.conv2,2,68,0.8155716652094847
107,backbone.res4.2.conv3,2,68,0.838694357788604
108,backbone.res4.3.conv1,2,68,0.8677981613828114
109,backbone.res4.3.conv2,2,68,0.8544658106511526
110,backbone.res4.3.conv3,2,68,0.8440307563747775
111,backbone.res4.4.conv1,2,68,0.8525783063433288
112,backbone.res4.4.conv2,2,68,0.8426551535459693
113,backbone.res4.4.conv3,2,68,0.8348290628648404
114,backbone.res4.5.conv1,2,68,0.842965384863404
115,backbone.res4.5.conv2,2,68,0.8358097065574825
116,backbone.res4.5.conv3,2,68,0.824693140342848
117,backbone.res2.0.conv1,1,629,-0.0045730551147731445
118,backbone.res2.0.conv2,1,629,-0.002414837459469051
119,backbone.res2.0.conv3,1,629,-0.0007631641182620826
120,backbone.res2.1.conv1,1,629,-0.0006942833785588719
121,backbone.res2.1.conv2,1,629,-0.0011065289407521525
122,backbone.res2.1.conv3,1,629,0.0016509300684644692
123,backbone.res2.2.conv1,1,629,0.0017605495853456104
124,backbone.res2.2.conv2,1,629,0.0013790734681503665
125,backbone.res2.2.conv3,1,629,0.001403282960607605
126,backbone.res3.0.conv1,1,629,-0.0008230995066534762
127,backbone.res3.0.conv2,1,629,0.004908992696044013
128,backbone.res3.0.conv3,1,629,0.00242347435056336
129,backbone.res3.1.conv1,1,629,0.005505865746953079
130,backbone.res3.1.conv2,1,629,0.005507337386918749
131,backbone.res3.1.conv3,1,629,0.0021445910943829966
132,backbone.res3.2.conv1,1,629,0.00010262832299847574
133,backbone.res3.2.conv2,1,629,0.00440774599973285
134,backbone.res3.2.conv3,1,629,0.004234441516467426
135,backbone.res3.3.conv1,1,629,0.004383665654725253
136,backbone.res3.3.conv2,2,629,0.005210509070175953
137,backbone.res3.3.conv3,2,629,0.0043084165871650855
138,backbone.res4.0.conv1,2,629,-0.0025398582793694628
