,Layer,Cluster,Image,PCC
0,backbone.res2.0.conv1,3,handbag_383842,0.32432499538470405
1,backbone.res2.0.conv2,3,handbag_383842,0.3250048551197231
2,backbone.res2.0.conv3,3,handbag_383842,0.4003613985124881
3,backbone.res2.1.conv1,3,handbag_383842,0.41464469772138707
4,backbone.res2.1.conv2,3,handbag_383842,0.40103919424223766
5,backbone.res2.1.conv3,3,handbag_383842,0.34114391285622014
6,backbone.res2.2.conv1,3,handbag_383842,0.4161972957456041
7,backbone.res2.2.conv2,4,handbag_383842,0.2521321823808883
8,backbone.res2.2.conv3,4,handbag_383842,0.23836311965647958
9,backbone.res3.0.conv1,3,handbag_383842,0.36726375092788405
10,backbone.res3.0.conv2,3,handbag_383842,0.3967881631741311
11,backbone.res3.0.conv3,3,handbag_383842,0.4784399147426926
12,backbone.res3.1.conv1,3,handbag_383842,0.4805029911711228
13,backbone.res3.1.conv2,3,handbag_383842,0.4707009041123838
14,backbone.res3.1.conv3,3,handbag_383842,0.46951797659432526
15,backbone.res3.2.conv1,3,handbag_383842,0.4662364636328929
16,backbone.res3.2.conv2,3,handbag_383842,0.41448463175425654
17,backbone.res3.2.conv3,3,handbag_383842,0.42548181596636897
18,backbone.res3.3.conv1,3,handbag_383842,0.36080750772257103
19,backbone.res3.3.conv2,4,handbag_383842,0.24859024142228298
20,backbone.res3.3.conv3,4,handbag_383842,0.3004034289250746
21,backbone.res4.0.conv1,3,handbag_383842,0.45631639802103907
22,backbone.res4.0.conv2,3,handbag_383842,0.3711928188560725
23,backbone.res4.0.conv3,3,handbag_383842,0.45904517077555995
24,backbone.res4.1.conv1,3,handbag_383842,0.5086400088618248
25,backbone.res4.1.conv2,3,handbag_383842,0.5322514625800675
26,backbone.res4.1.conv3,3,handbag_383842,0.40347053474736577
27,backbone.res4.2.conv1,3,handbag_383842,0.46002899362842725
28,backbone.res4.2.conv2,3,handbag_383842,0.4350747374264823
29,backbone.res4.2.conv3,3,handbag_383842,0.42643384796562095
30,backbone.res4.3.conv1,3,handbag_383842,0.44224186026932616
31,backbone.res4.3.conv2,3,handbag_383842,0.4849816528274664
32,backbone.res4.3.conv3,3,handbag_383842,0.35745773406917125
33,backbone.res4.4.conv1,3,handbag_383842,0.4364107392188166
34,backbone.res4.4.conv2,3,handbag_383842,0.40590046108689093
35,backbone.res4.4.conv3,3,handbag_383842,0.3305887474322594
36,backbone.res4.5.conv1,3,handbag_383842,0.32189501905056156
37,backbone.res4.5.conv2,3,handbag_383842,0.33015242316761456
38,backbone.res4.5.conv3,4,handbag_383842,0.19864619520989518
39,roi_heads.pooler.level,4,handbag_383842,0.15468918749245097
40,roi_heads.res5.0.conv1,1,handbag_383842,0.34999548470515296
41,roi_heads.res5.0.conv2,1,handbag_383842,0.23935982966658925
42,roi_heads.res5.0.conv3,1,handbag_383842,0.2611584355792684
43,roi_heads.res5.1.conv1,4,handbag_383842,0.1970907808546224
44,roi_heads.res5.1.conv2,4,handbag_383842,0.2134459017460147
45,roi_heads.res5.1.conv3,2,handbag_383842,0.5904321005927181
46,roi_heads.res5.2.conv1,2,handbag_383842,0.5219918263216755
47,roi_heads.res5.2.conv2,2,handbag_383842,0.5981091293124491
48,roi_heads.res5.2.conv3,1,handbag_383842,0.6935020368096021
49,backbone.res2.0.conv1,3,sandwich_465430,0.1536470772766039
50,backbone.res2.0.conv2,3,sandwich_465430,0.15895345323893562
51,backbone.res2.0.conv3,3,sandwich_465430,0.12934053941090978
52,backbone.res2.1.conv1,3,sandwich_465430,0.12793449036812032
53,backbone.res2.1.conv2,3,sandwich_465430,0.14643903431151667
54,backbone.res2.1.conv3,3,sandwich_465430,0.10506072551877478
55,backbone.res2.2.conv1,3,sandwich_465430,0.11315196105293009
56,backbone.res2.2.conv2,4,sandwich_465430,0.08437375206176403
57,backbone.res2.2.conv3,4,sandwich_465430,0.09178134246996263
58,backbone.res3.0.conv1,3,sandwich_465430,0.17386146044702305
59,backbone.res3.0.conv2,3,sandwich_465430,0.17959839539339473
60,backbone.res3.0.conv3,3,sandwich_465430,0.14453427469880253
61,backbone.res3.1.conv1,3,sandwich_465430,0.11885858453284588
62,backbone.res3.1.conv2,3,sandwich_465430,0.13623951809690707
63,backbone.res3.1.conv3,3,sandwich_465430,0.14316439573592393
64,backbone.res3.2.conv1,3,sandwich_465430,0.1160482123871074
65,backbone.res3.2.conv2,3,sandwich_465430,0.11378105091299431
66,backbone.res3.2.conv3,3,sandwich_465430,0.1268509628034499
67,backbone.res3.3.conv1,3,sandwich_465430,0.11828808926944753
68,backbone.res3.3.conv2,4,sandwich_465430,0.07254501671696767
69,backbone.res3.3.conv3,4,sandwich_465430,0.08062960009070833
70,backbone.res4.0.conv1,3,sandwich_465430,0.11592823190361211
71,backbone.res4.0.conv2,3,sandwich_465430,0.15072949087016385
72,backbone.res4.0.conv3,3,sandwich_465430,0.12920951868400898
73,backbone.res4.1.conv1,3,sandwich_465430,0.10183233824865456
74,backbone.res4.1.conv2,3,sandwich_465430,0.14329704707863503
75,backbone.res4.1.conv3,3,sandwich_465430,0.15952975229122626
76,backbone.res4.2.conv1,3,sandwich_465430,0.16820063421781278
77,backbone.res4.2.conv2,3,sandwich_465430,0.1932949379054741
78,backbone.res4.2.conv3,3,sandwich_465430,0.16034206303990317
79,backbone.res4.3.conv1,3,sandwich_465430,0.1266401580649545
80,backbone.res4.3.conv2,3,sandwich_465430,0.1227164918194016
81,backbone.res4.3.conv3,3,sandwich_465430,0.159917380721586
