,Layer,Cluster,Image,PCC
0,backbone.res2.0.conv1,1,962,0.5452832185950044
1,backbone.res2.0.conv2,1,962,0.6326552641446063
2,backbone.res2.0.conv3,1,962,0.49493132961102476
3,backbone.res2.1.conv1,1,962,0.6186114362580173
4,backbone.res2.1.conv2,1,962,0.5837105788685484
5,backbone.res2.1.conv3,2,962,0.3853757057799296
6,backbone.res2.2.conv1,1,962,0.5306467203481108
7,backbone.res2.2.conv2,2,962,0.3772234205465052
8,backbone.res2.2.conv3,2,962,0.3034737915864203
9,backbone.res3.0.conv1,1,962,0.687769441088793
10,backbone.res3.0.conv2,1,962,0.6056857722259408
11,backbone.res3.0.conv3,1,962,0.6437506003141168
12,backbone.res3.1.conv1,1,962,0.6346459076682406
13,backbone.res3.1.conv2,1,962,0.6098940219333377
14,backbone.res3.1.conv3,1,962,0.6215388634362149
15,backbone.res3.2.conv1,1,962,0.5516320083067039
16,backbone.res3.2.conv2,1,962,0.5524309611327386
17,backbone.res3.2.conv3,1,962,0.6624929159522652
18,backbone.res3.3.conv1,1,962,0.6377028415944106
19,backbone.res3.3.conv2,2,962,0.4358548503222865
20,backbone.res3.3.conv3,2,962,0.4056934018475368
21,backbone.res4.0.conv1,1,962,0.6264667360816983
22,backbone.res4.0.conv2,1,962,0.625003954976824
23,backbone.res4.0.conv3,1,962,0.7529192178807947
24,backbone.res4.1.conv1,1,962,0.5873098522085105
25,backbone.res4.1.conv2,1,962,0.5787705420084922
26,backbone.res4.1.conv3,1,962,0.6628614956712902
27,backbone.res4.2.conv1,1,962,0.6974164250866212
28,backbone.res4.2.conv2,1,962,0.643120374574224
29,backbone.res4.2.conv3,1,962,0.6769385459100982
30,backbone.res4.3.conv1,1,962,0.6840797973584926
31,backbone.res4.3.conv2,1,962,0.735386973577032
32,backbone.res4.3.conv3,1,962,0.6850400175424565
33,backbone.res4.4.conv1,1,962,0.6064312237424268
34,backbone.res4.4.conv2,1,962,0.6310864537727291
35,backbone.res4.4.conv3,1,962,0.6652301161898766
36,backbone.res4.5.conv1,1,962,0.6421169817245393
37,backbone.res4.5.conv2,2,962,0.3846984125015822
38,backbone.res4.5.conv3,1,962,0.4717834841661361
39,roi_heads.pooler.level,2,962,0.19539103982287384
40,roi_heads.res5.0.conv1,2,962,0.29218949846988923
41,roi_heads.res5.0.conv2,2,962,0.31964428332602907
42,roi_heads.res5.0.conv3,2,962,0.305976645739615
43,roi_heads.res5.1.conv1,2,962,0.29048292337878845
44,roi_heads.res5.1.conv2,2,962,0.3592734402355857
45,roi_heads.res5.1.conv3,2,962,0.3580641077790634
46,roi_heads.res5.2.conv1,2,962,0.32097257319779926
47,roi_heads.res5.2.conv2,2,962,0.2570565037853777
48,roi_heads.res5.2.conv3,2,962,0.38769088593086076
49,backbone.res2.0.conv1,1,2170,0.5325146274039663
50,backbone.res2.0.conv2,1,2170,0.5356760610507627
51,backbone.res2.0.conv3,1,2170,0.5046560640222911
52,backbone.res2.1.conv1,1,2170,0.5800502414464773
53,backbone.res2.1.conv2,1,2170,0.6115097419866052
54,backbone.res2.1.conv3,2,2170,0.4382446154623649
55,backbone.res2.2.conv1,1,2170,0.5440595378255235
56,backbone.res2.2.conv2,2,2170,0.3991299939176735
57,backbone.res2.2.conv3,2,2170,0.338451950003784
58,backbone.res3.0.conv1,1,2170,0.56925588486444
59,backbone.res3.0.conv2,1,2170,0.6476225572838904
60,backbone.res3.0.conv3,1,2170,0.5556606111831294
61,backbone.res3.1.conv1,1,2170,0.6051037092429254
62,backbone.res3.1.conv2,1,2170,0.5603651911783313
63,backbone.res3.1.conv3,1,2170,0.5631279629452052
64,backbone.res3.2.conv1,1,2170,0.6839501355462435
65,backbone.res3.2.conv2,1,2170,0.6385384209630796
66,backbone.res3.2.conv3,1,2170,0.6533533761625084
67,backbone.res3.3.conv1,1,2170,0.5525413531962626
68,backbone.res3.3.conv2,2,2170,0.2952190013483165
69,backbone.res3.3.conv3,2,2170,0.4363917209202353
70,backbone.res4.0.conv1,1,2170,0.6649395867202832
71,backbone.res4.0.conv2,1,2170,0.6783457098439158
72,backbone.res4.0.conv3,1,2170,0.6875482656795052
73,backbone.res4.1.conv1,1,2170,0.673824226898612
74,backbone.res4.1.conv2,1,2170,0.6832090551996504
75,backbone.res4.1.conv3,1,2170,0.7515565184052063
76,backbone.res4.2.conv1,1,2170,0.6705358440770148
77,backbone.res4.2.conv2,1,2170,0.5807454281242644
78,backbone.res4.2.conv3,1,2170,0.5489820027931782
79,backbone.res4.3.conv1,1,2170,0.6051849358037533
80,backbone.res4.3.conv2,1,2170,0.7808344574715215
81,backbone.res4.3.conv3,1,2170,0.6198956127707125
82,backbone.res4.4.conv1,1,2170,0.6136715993673572
83,backbone.res4.4.conv2,1,2170,0.5600319490465026
84,backbone.res4.4.conv3,1,2170,0.6445489532962169
85,backbone.res4.5.conv1,1,2170,0.5955635010230267
86,backbone.res4.5.conv2,2,2170,0.19473865571829113
87,backbone.res4.5.conv3,1,2170,0.5850519878028866
88,roi_heads.pooler.level,2,2170,0.31999065686528627
89,roi_heads.res5.0.conv1,2,2170,0.4096065404801848
90,roi_heads.res5.0.conv2,2,2170,0.5121863373701584
91,roi_heads.res5.0.conv3,2,2170,0.5111228557924375
92,roi_heads.res5.1.conv1,2,2170,0.330359815469577
93,roi_heads.res5.1.conv2,2,2170,0.3519748794132268
94,roi_heads.res5.1.conv3,2,2170,0.5238687395428507
95,roi_heads.res5.2.conv1,2,2170,0.3560777305070499
96,roi_heads.res5.2.conv2,2,2170,0.2803987980734289
97,roi_heads.res5.2.conv3,2,2170,0.521196477515752
98,backbone.res2.0.conv1,1,1227,0.4901050239560183
99,backbone.res2.0.conv2,1,1227,0.5375080787718766
100,backbone.res2.0.conv3,1,1227,0.3817850794846057
101,backbone.res2.1.conv1,1,1227,0.44242953510342237
102,backbone.res2.1.conv2,1,1227,0.48669948027956483
103,backbone.res2.1.conv3,2,1227,0.3542388482568326
104,backbone.res2.2.conv1,1,1227,0.4274919981144389
105,backbone.res2.2.conv2,2,1227,0.3108819655125809
106,backbone.res2.2.conv3,2,1227,0.26075811124146403
107,backbone.res3.0.conv1,1,1227,0.4824468795968416
108,backbone.res3.0.conv2,1,1227,0.35308829873637737
109,backbone.res3.0.conv3,1,1227,0.40267585082205254
110,backbone.res3.1.conv1,1,1227,0.5367392317363391
111,backbone.res3.1.conv2,1,1227,0.5027195033108929
112,backbone.res3.1.conv3,1,1227,0.47452260137902025
113,backbone.res3.2.conv1,1,1227,0.4941028587623615
114,backbone.res3.2.conv2,1,1227,0.5824356628262275
115,backbone.res3.2.conv3,1,1227,0.4841134959373265
