,Layer,Cluster,Image,PCC
0,backbone.res2.0.conv1,1,54,0.2755170186684799
1,backbone.res2.0.conv2,1,54,0.32754984354396377
2,backbone.res2.0.conv3,1,54,0.2801362530679653
3,backbone.res2.1.conv1,1,54,0.4026552151883981
4,backbone.res2.1.conv2,1,54,0.2962509549047751
5,backbone.res2.1.conv3,1,54,0.20951730106583571
6,backbone.res2.2.conv1,1,54,0.42209146978727036
7,backbone.res2.2.conv2,2,54,0.2628766014740619
8,backbone.res2.2.conv3,2,54,0.160025811176936
9,backbone.res3.0.conv1,1,54,0.3124798555019631
10,backbone.res3.0.conv2,1,54,0.4297265409486108
11,backbone.res3.0.conv3,1,54,0.3705861090445371
12,backbone.res3.1.conv1,1,54,0.3208238647087609
13,backbone.res3.1.conv2,1,54,0.34649202621120023
14,backbone.res3.1.conv3,1,54,0.38615281110398697
15,backbone.res3.2.conv1,1,54,0.3444970595479799
16,backbone.res3.2.conv2,1,54,0.37203253187380797
17,backbone.res3.2.conv3,1,54,0.3455471628170629
18,backbone.res3.3.conv1,1,54,0.37607239202576614
19,backbone.res3.3.conv2,2,54,0.2245620317704273
20,backbone.res3.3.conv3,2,54,0.2379883490882261
21,backbone.res4.0.conv1,1,54,0.3002647129138778
22,backbone.res4.0.conv2,1,54,0.2898627005720003
23,backbone.res4.0.conv3,1,54,0.27498935751575365
24,backbone.res4.1.conv1,1,54,0.4239256458799058
25,backbone.res4.1.conv2,1,54,0.4972042049260355
26,backbone.res4.1.conv3,1,54,0.3601719442394974
27,backbone.res4.2.conv1,1,54,0.30034006319768314
28,backbone.res4.2.conv2,1,54,0.2896084607430455
29,backbone.res4.2.conv3,1,54,0.437294851199628
30,backbone.res4.3.conv1,1,54,0.2932097819147515
31,backbone.res4.3.conv2,1,54,0.4002234648232293
32,backbone.res4.3.conv3,1,54,0.39569549749471317
33,backbone.res4.4.conv1,1,54,0.4291635976476816
34,backbone.res4.4.conv2,1,54,0.3138239196560778
35,backbone.res4.4.conv3,1,54,0.32878912146131717
36,backbone.res4.5.conv1,1,54,0.2977278280377138
37,backbone.res4.5.conv2,1,54,0.21481162659434702
38,backbone.res4.5.conv3,1,54,0.35761660642685345
39,roi_heads.pooler.level,2,54,0.23790443634795705
40,roi_heads.res5.0.conv1,2,54,0.2775399267500801
41,roi_heads.res5.0.conv2,2,54,0.2004324788243578
42,roi_heads.res5.0.conv3,2,54,0.2341714605239883
43,roi_heads.res5.1.conv1,2,54,0.2702705577591832
44,roi_heads.res5.1.conv2,2,54,0.3692040589286181
45,roi_heads.res5.1.conv3,2,54,0.2733418767829503
46,roi_heads.res5.2.conv1,2,54,0.2561473164139418
47,roi_heads.res5.2.conv2,2,54,0.21257897292504296
48,roi_heads.res5.2.conv3,2,54,0.26256926837745315
49,backbone.res2.0.conv1,1,1319,0.5065453651040035
50,backbone.res2.0.conv2,1,1319,0.4911795116363557
51,backbone.res2.0.conv3,1,1319,0.44676862277612656
52,backbone.res2.1.conv1,1,1319,0.4500575640860528
53,backbone.res2.1.conv2,1,1319,0.33850704754212174
54,backbone.res2.1.conv3,1,1319,0.30300223387611513
55,backbone.res2.2.conv1,1,1319,0.36100249620660296
56,backbone.res2.2.conv2,2,1319,0.2169117718907379
57,backbone.res2.2.conv3,2,1319,0.24245326874331194
58,backbone.res3.0.conv1,1,1319,0.5160435921991992
59,backbone.res3.0.conv2,1,1319,0.46562701466568224
60,backbone.res3.0.conv3,1,1319,0.5092157975331195
61,backbone.res3.1.conv1,1,1319,0.4743601711423645
62,backbone.res3.1.conv2,1,1319,0.36216353762549613
63,backbone.res3.1.conv3,1,1319,0.39687494188780065
64,backbone.res3.2.conv1,1,1319,0.37441574965867686
65,backbone.res3.2.conv2,1,1319,0.3563501138804507
66,backbone.res3.2.conv3,1,1319,0.3084956414431062
67,backbone.res3.3.conv1,1,1319,0.29734148347452083
68,backbone.res3.3.conv2,2,1319,0.21436694368174655
69,backbone.res3.3.conv3,2,1319,0.20992335786582159
70,backbone.res4.0.conv1,1,1319,0.4968583076505743
71,backbone.res4.0.conv2,1,1319,0.5418428961949046
72,backbone.res4.0.conv3,1,1319,0.4700934004466882
73,backbone.res4.1.conv1,1,1319,0.4436953147189472
74,backbone.res4.1.conv2,1,1319,0.473418911174408
75,backbone.res4.1.conv3,1,1319,0.4471989328893989
76,backbone.res4.2.conv1,1,1319,0.652325193348964
77,backbone.res4.2.conv2,1,1319,0.48933700550371423
78,backbone.res4.2.conv3,1,1319,0.44993664874727196
79,backbone.res4.3.conv1,1,1319,0.4394291907245756
80,backbone.res4.3.conv2,1,1319,0.5817321172909835
81,backbone.res4.3.conv3,1,1319,0.5134212701378501
82,backbone.res4.4.conv1,1,1319,0.6116155009878752
83,backbone.res4.4.conv2,1,1319,0.4343332341845871
84,backbone.res4.4.conv3,1,1319,0.4721766476521444
85,backbone.res4.5.conv1,1,1319,0.594733739466738
86,backbone.res4.5.conv2,1,1319,0.42810461000101874
87,backbone.res4.5.conv3,1,1319,0.45139475944266083
88,roi_heads.pooler.level,2,1319,0.0941072141044815
89,roi_heads.res5.0.conv1,2,1319,0.15141713455676936
90,roi_heads.res5.0.conv2,2,1319,0.18876031493367385
91,roi_heads.res5.0.conv3,2,1319,0.19668859951418025
92,roi_heads.res5.1.conv1,2,1319,0.15309184332188278
93,roi_heads.res5.1.conv2,2,1319,0.16455667963366383
94,roi_heads.res5.1.conv3,2,1319,0.2110870315654339
95,roi_heads.res5.2.conv1,2,1319,0.13169531384477257
96,roi_heads.res5.2.conv2,2,1319,0.11942368654186397
