,Layer,Cluster,Image,PCC
0,backbone.res2.0.conv1,1,54,0.31806592414199697
1,backbone.res2.0.conv2,1,54,0.37670751570005223
2,backbone.res2.0.conv3,1,54,0.32592827672231794
3,backbone.res2.1.conv1,1,54,0.3638777093421849
4,backbone.res2.1.conv2,1,54,0.36109062701481315
5,backbone.res2.1.conv3,2,54,0.26366880645955704
6,backbone.res2.2.conv1,1,54,0.3428707812040684
7,backbone.res2.2.conv2,2,54,0.19930810043769842
8,backbone.res2.2.conv3,2,54,0.17764779248243912
9,backbone.res3.0.conv1,1,54,0.3330499294134326
10,backbone.res3.0.conv2,1,54,0.29415801805397007
11,backbone.res3.0.conv3,1,54,0.31479646386493426
12,backbone.res3.1.conv1,1,54,0.28130735978692983
13,backbone.res3.1.conv2,1,54,0.286887925117302
14,backbone.res3.1.conv3,1,54,0.3389553485163026
15,backbone.res3.2.conv1,1,54,0.3542077704778942
16,backbone.res3.2.conv2,1,54,0.372020552396464
17,backbone.res3.2.conv3,1,54,0.2789911975824443
18,backbone.res3.3.conv1,1,54,0.3296369370147194
19,backbone.res3.3.conv2,2,54,0.19387321883419334
20,backbone.res3.3.conv3,2,54,0.19145323654311844
21,backbone.res4.0.conv1,1,54,0.33020464039500375
22,backbone.res4.0.conv2,1,54,0.34303678450569736
23,backbone.res4.0.conv3,1,54,0.383211348417206
24,backbone.res4.1.conv1,1,54,0.4065727338101313
25,backbone.res4.1.conv2,1,54,0.3707782378958879
26,backbone.res4.1.conv3,1,54,0.376528166566217
27,backbone.res4.2.conv1,1,54,0.39403686136205013
28,backbone.res4.2.conv2,1,54,0.39848280609869585
29,backbone.res4.2.conv3,1,54,0.35593695332457415
30,backbone.res4.3.conv1,1,54,0.4847111677895508
31,backbone.res4.3.conv2,1,54,0.36881412674381153
32,backbone.res4.3.conv3,1,54,0.3081241608665539
33,backbone.res4.4.conv1,1,54,0.36554817973171305
34,backbone.res4.4.conv2,1,54,0.3521782542659065
35,backbone.res4.4.conv3,1,54,0.32170722008997
36,backbone.res4.5.conv1,1,54,0.40700523834188557
37,backbone.res4.5.conv2,1,54,0.2501003777448957
38,backbone.res4.5.conv3,1,54,0.2024643876032709
39,roi_heads.pooler.level,2,54,0.16236030779940655
40,roi_heads.res5.0.conv1,2,54,0.27393713419994176
41,roi_heads.res5.0.conv2,2,54,0.3619458198294069
42,roi_heads.res5.0.conv3,2,54,0.3359387766969157
43,roi_heads.res5.1.conv1,2,54,0.18134058803522204
44,roi_heads.res5.1.conv2,2,54,0.25629599283011506
45,roi_heads.res5.1.conv3,2,54,0.5193383803498682
46,roi_heads.res5.2.conv1,2,54,0.22320678566601523
47,roi_heads.res5.2.conv2,2,54,0.10119041740351535
48,roi_heads.res5.2.conv3,2,54,0.6484250567012924
49,backbone.res2.0.conv1,1,1319,0.5769583921329752
50,backbone.res2.0.conv2,1,1319,0.5541338581416437
51,backbone.res2.0.conv3,1,1319,0.5160652802266295
52,backbone.res2.1.conv1,1,1319,0.5240925713337198
53,backbone.res2.1.conv2,1,1319,0.39563656090679444
54,backbone.res2.1.conv3,2,1319,0.3594788632674879
55,backbone.res2.2.conv1,1,1319,0.4273023584969948
56,backbone.res2.2.conv2,2,1319,0.2564824174398935
57,backbone.res2.2.conv3,2,1319,0.2910952461086725
58,backbone.res3.0.conv1,1,1319,0.6068547636174955
59,backbone.res3.0.conv2,1,1319,0.533241878763966
60,backbone.res3.0.conv3,1,1319,0.5747019642094623
61,backbone.res3.1.conv1,1,1319,0.5361773753986359
62,backbone.res3.1.conv2,1,1319,0.42716630880734197
63,backbone.res3.1.conv3,1,1319,0.4621756839362413
64,backbone.res3.2.conv1,1,1319,0.436249948574765
65,backbone.res3.2.conv2,1,1319,0.4206247515598294
66,backbone.res3.2.conv3,1,1319,0.3594837501702239
67,backbone.res3.3.conv1,1,1319,0.34063597896731596
68,backbone.res3.3.conv2,2,1319,0.25429270032280515
69,backbone.res3.3.conv3,2,1319,0.2504654747149898
70,backbone.res4.0.conv1,1,1319,0.5477936683317469
71,backbone.res4.0.conv2,1,1319,0.6099330200457042
72,backbone.res4.0.conv3,1,1319,0.5290737985360542
73,backbone.res4.1.conv1,1,1319,0.48969368676581804
74,backbone.res4.1.conv2,1,1319,0.5410171816201214
75,backbone.res4.1.conv3,1,1319,0.5112649873168306
76,backbone.res4.2.conv1,1,1319,0.7428281240581525
77,backbone.res4.2.conv2,1,1319,0.5527366329414347
78,backbone.res4.2.conv3,1,1319,0.5115891025127757
79,backbone.res4.3.conv1,1,1319,0.5043774782220296
80,backbone.res4.3.conv2,1,1319,0.6228845556831941
81,backbone.res4.3.conv3,1,1319,0.5766445667353747
82,backbone.res4.4.conv1,1,1319,0.6447897862558853
83,backbone.res4.4.conv2,1,1319,0.5339662515748315
84,backbone.res4.4.conv3,1,1319,0.538154450480497
85,backbone.res4.5.conv1,1,1319,0.6689108435674395
86,backbone.res4.5.conv2,1,1319,0.5153041387088837
87,backbone.res4.5.conv3,1,1319,0.5183018903151106
88,roi_heads.pooler.level,2,1319,0.11145039438876622
89,roi_heads.res5.0.conv1,2,1319,0.1804653508678779
90,roi_heads.res5.0.conv2,2,1319,0.22312584818518283
91,roi_heads.res5.0.conv3,2,1319,0.23192354455781586
92,roi_heads.res5.1.conv1,2,1319,0.18325674968581804
93,roi_heads.res5.1.conv2,2,1319,0.19874089553255034
94,roi_heads.res5.1.conv3,2,1319,0.25026255723855895
95,roi_heads.res5.2.conv1,2,1319,0.15269162873755465
96,roi_heads.res5.2.conv2,2,1319,0.1387516664463907
97,roi_heads.res5.2.conv3,2,1319,0.25996215730261374
98,backbone.res2.0.conv1,1,68,0.5272242880299218
99,backbone.res2.0.conv2,1,68,0.5495497526820406
100,backbone.res2.0.conv3,1,68,0.4691307195133948
101,backbone.res2.1.conv1,1,68,0.5200677249397103
