,Layer,Cluster,Image,PCC
0,backbone.res2.0.conv1,1,handbag_383842,0.3447409505781137
1,backbone.res2.0.conv2,1,handbag_383842,0.3738997753394142
2,backbone.res2.0.conv3,1,handbag_383842,0.38130827070327056
3,backbone.res2.1.conv1,1,handbag_383842,0.38299342706526956
4,backbone.res2.1.conv2,1,handbag_383842,0.368393054342215
5,backbone.res2.1.conv3,1,handbag_383842,0.3693232602235403
6,backbone.res2.2.conv1,1,handbag_383842,0.4489101028532499
7,backbone.res2.2.conv2,1,handbag_383842,0.3358649599284313
8,backbone.res2.2.conv3,1,handbag_383842,0.29127441697323225
9,backbone.res3.0.conv1,1,handbag_383842,0.30305477338828524
10,backbone.res3.0.conv2,1,handbag_383842,0.4011161718021559
11,backbone.res3.0.conv3,1,handbag_383842,0.40323331698293785
12,backbone.res3.1.conv1,1,handbag_383842,0.3326928630639614
13,backbone.res3.1.conv2,1,handbag_383842,0.3550333910746825
14,backbone.res3.1.conv3,1,handbag_383842,0.4752409495167048
15,backbone.res3.2.conv1,1,handbag_383842,0.47464913913025575
16,backbone.res3.2.conv2,1,handbag_383842,0.24893759414085453
17,backbone.res3.2.conv3,1,handbag_383842,0.3739276707756045
18,backbone.res3.3.conv1,1,handbag_383842,0.31028287470790017
19,backbone.res3.3.conv2,1,handbag_383842,0.3731895563580581
20,backbone.res3.3.conv3,1,handbag_383842,0.38928539457879396
21,backbone.res4.0.conv1,1,handbag_383842,0.441488821208621
22,backbone.res4.0.conv2,1,handbag_383842,0.41386929039772324
23,backbone.res4.0.conv3,1,handbag_383842,0.3698594980226573
24,backbone.res4.1.conv1,1,handbag_383842,0.4929561313357081
25,backbone.res4.1.conv2,1,handbag_383842,0.6669559027677231
26,backbone.res4.1.conv3,1,handbag_383842,0.3334387211985841
27,backbone.res4.2.conv1,1,handbag_383842,0.46994767016176203
28,backbone.res4.2.conv2,1,handbag_383842,0.5214390043632213
29,backbone.res4.2.conv3,1,handbag_383842,0.486903894502214
30,backbone.res4.3.conv1,1,handbag_383842,0.4474477367345247
31,backbone.res4.3.conv2,1,handbag_383842,0.6010190620697539
32,backbone.res4.3.conv3,1,handbag_383842,0.29946570921955173
33,backbone.res4.4.conv1,1,handbag_383842,0.28777020199884445
34,backbone.res4.4.conv2,1,handbag_383842,0.5296547093798425
35,backbone.res4.4.conv3,1,handbag_383842,0.3078171431309393
36,backbone.res4.5.conv1,1,handbag_383842,0.3694676594120652
37,backbone.res4.5.conv2,1,handbag_383842,0.3012612680325756
38,backbone.res4.5.conv3,2,handbag_383842,0.0977005386032648
39,roi_heads.pooler.level,2,handbag_383842,0.1535377578335218
40,roi_heads.res5.0.conv1,2,handbag_383842,0.4650816690311603
41,roi_heads.res5.0.conv2,2,handbag_383842,0.2858288031673055
42,roi_heads.res5.0.conv3,2,handbag_383842,0.18184708665427946
43,roi_heads.res5.1.conv1,2,handbag_383842,0.13942411205583424
44,roi_heads.res5.1.conv2,2,handbag_383842,0.2457434769092621
45,roi_heads.res5.1.conv3,2,handbag_383842,0.3041435146657301
46,roi_heads.res5.2.conv1,2,handbag_383842,0.2093102088437953
47,roi_heads.res5.2.conv2,2,handbag_383842,0.39029522361623514
48,roi_heads.res5.2.conv3,2,handbag_383842,0.4800123936124887
49,backbone.res2.0.conv1,1,sandwich_465430,0.4001010608886498
50,backbone.res2.0.conv2,1,sandwich_465430,0.32748413558532097
51,backbone.res2.0.conv3,1,sandwich_465430,0.32075275860492847
52,backbone.res2.1.conv1,1,sandwich_465430,0.3710557516783336
53,backbone.res2.1.conv2,1,sandwich_465430,0.38950052266867524
54,backbone.res2.1.conv3,1,sandwich_465430,0.392282954389685
55,backbone.res2.2.conv1,1,sandwich_465430,0.40529836425118687
56,backbone.res2.2.conv2,1,sandwich_465430,0.41155722333709177
57,backbone.res2.2.conv3,1,sandwich_465430,0.3533776754351259
58,backbone.res3.0.conv1,1,sandwich_465430,0.40954305810826414
59,backbone.res3.0.conv2,1,sandwich_465430,0.3772829834887248
60,backbone.res3.0.conv3,1,sandwich_465430,0.36753215822475477
61,backbone.res3.1.conv1,1,sandwich_465430,0.3615925773532427
62,backbone.res3.1.conv2,1,sandwich_465430,0.3807158427539915
63,backbone.res3.1.conv3,1,sandwich_465430,0.38367248664538794
64,backbone.res3.2.conv1,1,sandwich_465430,0.3482561419987049
65,backbone.res3.2.conv2,1,sandwich_465430,0.3308430161110604
66,backbone.res3.2.conv3,1,sandwich_465430,0.36543791001568915
67,backbone.res3.3.conv1,1,sandwich_465430,0.3904281063645245
68,backbone.res3.3.conv2,1,sandwich_465430,0.46074990868702154
69,backbone.res3.3.conv3,1,sandwich_465430,0.37046527947519303
70,backbone.res4.0.conv1,1,sandwich_465430,0.29798120173112336
71,backbone.res4.0.conv2,1,sandwich_465430,0.3727621233757636
72,backbone.res4.0.conv3,1,sandwich_465430,0.366185386849789
73,backbone.res4.1.conv1,1,sandwich_465430,0.2794954896804257
74,backbone.res4.1.conv2,1,sandwich_465430,0.34053434372899516
75,backbone.res4.1.conv3,1,sandwich_465430,0.33944282414595983
76,backbone.res4.2.conv1,1,sandwich_465430,0.4357531320859361
77,backbone.res4.2.conv2,1,sandwich_465430,0.4381386748620773
78,backbone.res4.2.conv3,1,sandwich_465430,0.36009426931507216
79,backbone.res4.3.conv1,1,sandwich_465430,0.2762450243129887
80,backbone.res4.3.conv2,1,sandwich_465430,0.37168136268637925
81,backbone.res4.3.conv3,1,sandwich_465430,0.368094826721821
82,backbone.res4.4.conv1,1,sandwich_465430,0.4352841010204579
83,backbone.res4.4.conv2,1,sandwich_465430,0.6079235358845855
84,backbone.res4.4.conv3,1,sandwich_465430,0.3246390512581342
85,backbone.res4.5.conv1,1,sandwich_465430,0.4645760947410493
86,backbone.res4.5.conv2,1,sandwich_465430,0.5528641422213668
87,backbone.res4.5.conv3,2,sandwich_465430,0.13158304505603446
88,roi_heads.pooler.level,2,sandwich_465430,0.11924405724164266
89,roi_heads.res5.0.conv1,2,sandwich_465430,0.2806569556675159
90,roi_heads.res5.0.conv2,2,sandwich_465430,0.3920700032022952
