,Layer,Cluster,Image,PCC
0,backbone.res2.0.conv1,1,handbag_383842,0.4479924860680846
1,backbone.res2.0.conv2,1,handbag_383842,0.5102057257718222
2,backbone.res2.0.conv3,1,handbag_383842,0.5628911595325168
3,backbone.res2.1.conv1,1,handbag_383842,0.574965666397741
4,backbone.res2.1.conv2,1,handbag_383842,0.5521165544209535
5,backbone.res2.1.conv3,1,handbag_383842,0.5476957986023375
6,backbone.res2.2.conv1,1,handbag_383842,0.5660396594920981
7,backbone.res2.2.conv2,1,handbag_383842,0.4841078185367349
8,backbone.res2.2.conv3,1,handbag_383842,0.45377435658850923
9,backbone.res3.0.conv1,1,handbag_383842,0.42122374098630927
10,backbone.res3.0.conv2,1,handbag_383842,0.46346805388956497
11,backbone.res3.0.conv3,1,handbag_383842,0.544893866830453
12,backbone.res3.1.conv1,1,handbag_383842,0.5457420603528083
13,backbone.res3.1.conv2,1,handbag_383842,0.5367995222244106
14,backbone.res3.1.conv3,1,handbag_383842,0.6304906652944098
15,backbone.res3.2.conv1,1,handbag_383842,0.5898799889649431
16,backbone.res3.2.conv2,1,handbag_383842,0.5268921370902035
17,backbone.res3.2.conv3,1,handbag_383842,0.5061825377023443
18,backbone.res3.3.conv1,1,handbag_383842,0.41592317087062897
19,backbone.res3.3.conv2,1,handbag_383842,0.4474674819859008
20,backbone.res3.3.conv3,1,handbag_383842,0.5421913003533414
21,backbone.res4.0.conv1,1,handbag_383842,0.5671187062258896
22,backbone.res4.0.conv2,1,handbag_383842,0.3562643397868639
23,backbone.res4.0.conv3,1,handbag_383842,0.4077591079419622
24,backbone.res4.1.conv1,1,handbag_383842,0.5661644882894123
25,backbone.res4.1.conv2,1,handbag_383842,0.6089264200504847
26,backbone.res4.1.conv3,1,handbag_383842,0.3584799510497238
27,backbone.res4.2.conv1,1,handbag_383842,0.5337275743007309
28,backbone.res4.2.conv2,1,handbag_383842,0.406961268066587
29,backbone.res4.2.conv3,1,handbag_383842,0.48810393051431217
30,backbone.res4.3.conv1,1,handbag_383842,0.4080284111268029
31,backbone.res4.3.conv2,1,handbag_383842,0.6173970848918149
32,backbone.res4.3.conv3,1,handbag_383842,0.3081092786421021
33,backbone.res4.4.conv1,1,handbag_383842,0.3642111315403446
34,backbone.res4.4.conv2,1,handbag_383842,0.550207820279118
