,Layer,Cluster,Image,PCC
0,backbone.res2.0.conv1,1,handbag_383842,0.06988707450809872
1,backbone.res2.0.conv2,1,handbag_383842,0.07384931489487577
2,backbone.res2.0.conv3,1,handbag_383842,0.07936445773722146
3,backbone.res2.1.conv1,1,handbag_383842,0.0828093310299351
4,backbone.res2.1.conv2,1,handbag_383842,0.07979425421374556
5,backbone.res2.1.conv3,1,handbag_383842,0.07719444768291632
6,backbone.res2.2.conv1,1,handbag_383842,0.08886438872768058
7,backbone.res2.2.conv2,1,handbag_383842,0.06941077217788483
8,backbone.res2.2.conv3,1,handbag_383842,0.060071718379242856
9,backbone.res3.0.conv1,1,handbag_383842,0.06085607527769418
10,backbone.res3.0.conv2,1,handbag_383842,0.0756726541709047
11,backbone.res3.0.conv3,1,handbag_383842,0.08501780417547317
12,backbone.res3.1.conv1,1,handbag_383842,0.07769656924495771
13,backbone.res3.1.conv2,1,handbag_383842,0.08033404460938368
14,backbone.res3.1.conv3,1,handbag_383842,0.10143997309116995
15,backbone.res3.2.conv1,1,handbag_383842,0.09415164578775038
16,backbone.res3.2.conv2,1,handbag_383842,0.06782588469172966
17,backbone.res3.2.conv3,1,handbag_383842,0.07961988724748474
18,backbone.res3.3.conv1,1,handbag_383842,0.060058500977569
19,backbone.res3.3.conv2,1,handbag_383842,0.07487463614732559
20,backbone.res3.3.conv3,1,handbag_383842,0.08710564144762979
21,backbone.res4.0.conv1,1,handbag_383842,0.0903320388449026
22,backbone.res4.0.conv2,1,handbag_383842,0.0733014948658665
23,backbone.res4.0.conv3,1,handbag_383842,0.06815033660951446
24,backbone.res4.1.conv1,1,handbag_383842,0.10188686981019679
25,backbone.res4.1.conv2,1,handbag_383842,0.13203763633149454
26,backbone.res4.1.conv3,1,handbag_383842,0.05527087648754816
27,backbone.res4.2.conv1,1,handbag_383842,0.08841917787668895
28,backbone.res4.2.conv2,1,handbag_383842,0.09559568288104023
29,backbone.res4.2.conv3,1,handbag_383842,0.09270172324412071
30,backbone.res4.3.conv1,1,handbag_383842,0.08382094551579602
31,backbone.res4.3.conv2,1,handbag_383842,0.11607793335405986
32,backbone.res4.3.conv3,1,handbag_383842,0.05776787455945106
