,Layer,Cluster,Image,PCC
0,backbone.res2.0.conv1,1,2170,0.7222581094109405
1,backbone.res2.0.conv2,1,2170,0.7732631218548356
2,backbone.res2.0.conv3,1,2170,0.7111749100390833
3,backbone.res2.1.conv1,1,2170,0.7934104791789609
4,backbone.res2.1.conv2,1,2170,0.8123447140425903
5,backbone.res2.1.conv3,1,2170,0.7397814933496377
6,backbone.res2.2.conv1,1,2170,0.7274874821054733
7,backbone.res2.2.conv2,1,2170,0.8542320876862892
8,backbone.res2.2.conv3,1,2170,0.8275122859811141
9,backbone.res3.0.conv1,1,2170,0.8339885493354983
10,backbone.res3.0.conv2,1,2170,0.8213835850042679
11,backbone.res3.0.conv3,1,2170,0.8087949280056272
12,backbone.res3.1.conv1,1,2170,0.845378449448008
13,backbone.res3.1.conv2,1,2170,0.8562570643593407
14,backbone.res3.1.conv3,1,2170,0.8293039921526325
15,backbone.res3.2.conv1,1,2170,0.87766102029742
16,backbone.res3.2.conv2,1,2170,0.8213831727417813
17,backbone.res3.2.conv3,1,2170,0.7115816131617171
18,backbone.res3.3.conv1,2,2170,0.637780271452342
19,backbone.res3.3.conv2,2,2170,0.5475539091637488
20,backbone.res3.3.conv3,2,2170,0.7273372481531264
21,backbone.res4.0.conv1,2,2170,0.7872339275709225
22,backbone.res4.0.conv2,2,2170,0.859217257844798
23,backbone.res4.0.conv3,2,2170,0.7309924741235869
24,backbone.res4.1.conv1,2,2170,0.7671686793267927
25,backbone.res4.1.conv2,2,2170,0.7525938261116806
26,backbone.res4.1.conv3,2,2170,0.5838093939210283
27,backbone.res4.2.conv1,2,2170,0.7316805269031982
28,backbone.res4.2.conv2,2,2170,0.6484303069556513
29,backbone.res4.2.conv3,2,2170,0.6782818033419539
30,backbone.res4.3.conv1,2,2170,0.7981225128975854
31,backbone.res4.3.conv2,2,2170,0.5625625792480649
32,backbone.res4.3.conv3,2,2170,0.7576138594666852
33,backbone.res4.4.conv1,2,2170,0.6898884243871618
34,backbone.res4.4.conv2,2,2170,0.7103168991534942
35,backbone.res4.4.conv3,2,2170,0.760783307836142
36,backbone.res4.5.conv1,2,2170,0.8243146795872621
37,backbone.res4.5.conv2,2,2170,0.6822490339758274
38,backbone.res4.5.conv3,2,2170,0.8266998223022204
39,roi_heads.pooler.level,2,2170,0.7326838215476559
