,Layer,Cluster,Image,PCC
0,backbone.res2.0.conv1,1,962,0.7788242533270548
1,backbone.res2.0.conv2,1,962,0.8865330742602195
2,backbone.res2.0.conv3,1,962,0.7866983750534109
3,backbone.res2.1.conv1,1,962,0.847022505280295
4,backbone.res2.1.conv2,1,962,0.8474401443108621
5,backbone.res2.1.conv3,1,962,0.6833884416807136
6,backbone.res2.2.conv1,1,962,0.7988726354724959
7,backbone.res2.2.conv2,1,962,0.6989360481517994
8,backbone.res2.2.conv3,2,962,0.653323830821064
9,backbone.res3.0.conv1,1,962,0.7864951459934786
10,backbone.res3.0.conv2,1,962,0.7431901910023504
11,backbone.res3.0.conv3,1,962,0.7909581402290767
12,backbone.res3.1.conv1,1,962,0.7845249608838081
13,backbone.res3.1.conv2,1,962,0.7649195836072236
14,backbone.res3.1.conv3,1,962,0.7878202529751381
15,backbone.res3.2.conv1,1,962,0.7409143890104328
16,backbone.res3.2.conv2,1,962,0.7303762528116807
17,backbone.res3.2.conv3,1,962,0.8080105532466838
18,backbone.res3.3.conv1,2,962,0.8149721644276439
19,backbone.res3.3.conv2,2,962,0.7128398182242052
20,backbone.res3.3.conv3,2,962,0.6520865103118708
21,backbone.res4.0.conv1,2,962,0.600269886500387
22,backbone.res4.0.conv2,2,962,0.5935533361787223
23,backbone.res4.0.conv3,2,962,0.7099369034614276
24,backbone.res4.1.conv1,2,962,0.5883885592838226
25,backbone.res4.1.conv2,2,962,0.6221080165567808
26,backbone.res4.1.conv3,1,962,0.6732510902003332
27,backbone.res4.2.conv1,2,962,0.6841437793282503
28,backbone.res4.2.conv2,2,962,0.6210258730784806
29,backbone.res4.2.conv3,2,962,0.6632513468133726
30,backbone.res4.3.conv1,2,962,0.6782452995181167
31,backbone.res4.3.conv2,2,962,0.7266290320507612
32,backbone.res4.3.conv3,2,962,0.6684257638336856
33,backbone.res4.4.conv1,2,962,0.5687372740341567
34,backbone.res4.4.conv2,2,962,0.5708137651910917
35,backbone.res4.4.conv3,2,962,0.6509534177151597
36,backbone.res4.5.conv1,2,962,0.6193938168455957
37,backbone.res4.5.conv2,2,962,0.37785198303555645
38,backbone.res4.5.conv3,2,962,0.4562643788611253
39,roi_heads.pooler.level,2,962,0.4373350425631791
40,roi_heads.res5.0.conv1,2,962,0.42412477061159526
41,roi_heads.res5.0.conv2,2,962,0.4462372389499287
42,roi_heads.res5.0.conv3,2,962,0.44813054413368403
43,roi_heads.res5.1.conv1,2,962,0.3875541584653734
44,roi_heads.res5.1.conv2,2,962,0.46970658015928424
45,roi_heads.res5.1.conv3,2,962,0.5033624511557704
46,roi_heads.res5.2.conv1,2,962,0.4928761259124167
47,roi_heads.res5.2.conv2,2,962,0.4130998223928908
48,roi_heads.res5.2.conv3,2,962,0.4613407736691109
49,backbone.res2.0.conv1,1,2170,0.7678357180690014
50,backbone.res2.0.conv2,1,2170,0.8539138618752482
51,backbone.res2.0.conv3,1,2170,0.686503779292826
52,backbone.res2.1.conv1,1,2170,0.8972106273572498
53,backbone.res2.1.conv2,1,2170,0.893613943277701
54,backbone.res2.1.conv3,1,2170,0.7469336885059442
55,backbone.res2.2.conv1,1,2170,0.7788033014207046
56,backbone.res2.2.conv2,1,2170,0.9881079251015316
57,backbone.res2.2.conv3,2,2170,0.8909104796234689
58,backbone.res3.0.conv1,1,2170,0.9311188594374584
59,backbone.res3.0.conv2,1,2170,0.9635019250369415
60,backbone.res3.0.conv3,1,2170,0.8118516161584685
61,backbone.res3.1.conv1,1,2170,0.9135852924327742
62,backbone.res3.1.conv2,1,2170,0.9450402155175511
63,backbone.res3.1.conv3,1,2170,0.8923003808777384
64,backbone.res3.2.conv1,1,2170,0.9846177048095328
65,backbone.res3.2.conv2,1,2170,0.9475937890508845
66,backbone.res3.2.conv3,1,2170,0.7791085816012625
67,backbone.res3.3.conv1,2,2170,0.6774494990727729
68,backbone.res3.3.conv2,2,2170,0.5073539589623287
69,backbone.res3.3.conv3,2,2170,0.7889239185268259
70,backbone.res4.0.conv1,2,2170,0.9120328832762706
71,backbone.res4.0.conv2,2,2170,0.9447745733699776
72,backbone.res4.0.conv3,2,2170,0.8183629857607336
73,backbone.res4.1.conv1,2,2170,0.8321461313902044
74,backbone.res4.1.conv2,2,2170,0.8218801476648027
75,backbone.res4.1.conv3,1,2170,0.7447492353151719
76,backbone.res4.2.conv1,2,2170,0.7892622298299964
77,backbone.res4.2.conv2,2,2170,0.7123275125128852
78,backbone.res4.2.conv3,2,2170,0.714834173981268
79,backbone.res4.3.conv1,2,2170,0.8567163719472736
80,backbone.res4.3.conv2,2,2170,0.7634264953616821
81,backbone.res4.3.conv3,2,2170,0.8847220806792762
82,backbone.res4.4.conv1,2,2170,0.7879411643744834
83,backbone.res4.4.conv2,2,2170,0.7544405708234907
84,backbone.res4.4.conv3,2,2170,0.8753683014379275
85,backbone.res4.5.conv1,2,2170,0.9244015396206456
86,backbone.res4.5.conv2,2,2170,0.5553216476542302
87,backbone.res4.5.conv3,2,2170,0.9112937619946936
88,roi_heads.pooler.level,2,2170,0.8351704940350145
89,roi_heads.res5.0.conv1,2,2170,0.8975379217561653
90,roi_heads.res5.0.conv2,2,2170,0.7148314768133102
91,roi_heads.res5.0.conv3,2,2170,0.7251918767041219
92,roi_heads.res5.1.conv1,2,2170,0.7006963812220393
93,roi_heads.res5.1.conv2,2,2170,0.7062040329653451
94,roi_heads.res5.1.conv3,2,2170,0.7325370794212567
95,roi_heads.res5.2.conv1,2,2170,0.7404425618446834
96,roi_heads.res5.2.conv2,2,2170,0.7588619333149875
97,roi_heads.res5.2.conv3,2,2170,0.7045681899087917
98,backbone.res2.0.conv1,1,1227,0.7287939727486714
99,backbone.res2.0.conv2,1,1227,0.8434136569658921
100,backbone.res2.0.conv3,1,1227,0.5856170088827827
101,backbone.res2.1.conv1,1,1227,0.7615162293195205
102,backbone.res2.1.conv2,1,1227,0.7910005516589205
103,backbone.res2.1.conv3,1,1227,0.5702578079960341
104,backbone.res2.2.conv1,1,1227,0.6344474293133352
105,backbone.res2.2.conv2,1,1227,0.785483959642341
106,backbone.res2.2.conv3,2,1227,0.5246524759522175
107,backbone.res3.0.conv1,1,1227,0.6626971714420025
108,backbone.res3.0.conv2,1,1227,0.5029670077282549
109,backbone.res3.0.conv3,1,1227,0.5925372484900171
110,backbone.res3.1.conv1,1,1227,0.6864957966234468
111,backbone.res3.1.conv2,1,1227,0.7738353779249666
112,backbone.res3.1.conv3,1,1227,0.7754039583328035
113,backbone.res3.2.conv1,1,1227,0.8030615813855083
114,backbone.res3.2.conv2,1,1227,0.8418595911023571
115,backbone.res3.2.conv3,1,1227,0.7783071895722954
116,backbone.res3.3.conv1,2,1227,0.7481868168832398
117,backbone.res3.3.conv2,2,1227,0.6449806209988636
118,backbone.res3.3.conv3,2,1227,0.5852362845993899
119,backbone.res4.0.conv1,2,1227,0.4505635716378833
120,backbone.res4.0.conv2,2,1227,0.8018082104474942
121,backbone.res4.0.conv3,2,1227,0.5498127960417886
122,backbone.res4.1.conv1,2,1227,0.4502826509283535
123,backbone.res4.1.conv2,2,1227,0.636731238562438
124,backbone.res4.1.conv3,1,1227,0.5642642932962264
125,backbone.res4.2.conv1,2,1227,0.6007916185936046
126,backbone.res4.2.conv2,2,1227,0.5611468495493179
127,backbone.res4.2.conv3,2,1227,0.5489641929216422
128,backbone.res4.3.conv1,2,1227,0.6658675828100811
129,backbone.res4.3.conv2,2,1227,0.5908370066377823
130,backbone.res4.3.conv3,2,1227,0.5159957297995038
131,backbone.res4.4.conv1,2,1227,0.5870057579826081
132,backbone.res4.4.conv2,2,1227,0.701951102087082
133,backbone.res4.4.conv3,2,1227,0.48803315953440113
134,backbone.res4.5.conv1,2,1227,0.6011801517968204
135,backbone.res4.5.conv2,2,1227,0.5998678402843517
136,backbone.res4.5.conv3,2,1227,0.47181502426321537
137,roi_heads.pooler.level,2,1227,0.6658223881461355
138,roi_heads.res5.0.conv1,2,1227,0.6641482906077566
139,roi_heads.res5.0.conv2,2,1227,0.6278728090898045
140,roi_heads.res5.0.conv3,2,1227,0.662615740524
141,roi_heads.res5.1.conv1,2,1227,0.560205846111964
142,roi_heads.res5.1.conv2,2,1227,0.6321791090816725
143,roi_heads.res5.1.conv3,2,1227,0.6716688177888603
144,roi_heads.res5.2.conv1,2,1227,0.6186044195557338
145,roi_heads.res5.2.conv2,2,1227,0.558402353711298
146,roi_heads.res5.2.conv3,2,1227,0.6435558524105418
147,backbone.res2.0.conv1,1,1430,0.6413709151421604
148,backbone.res2.0.conv2,1,1430,0.6428787143271328
149,backbone.res2.0.conv3,1,1430,0.7998421737364704
150,backbone.res2.1.conv1,1,1430,0.7435607567004663
151,backbone.res2.1.conv2,1,1430,0.8758233642044015
152,backbone.res2.1.conv3,1,1430,0.786817139085787
153,backbone.res2.2.conv1,1,1430,0.7298010016235866
154,backbone.res2.2.conv2,1,1430,0.6282813662020763
155,backbone.res2.2.conv3,2,1430,0.7589380326743139
156,backbone.res3.0.conv1,1,1430,0.701543978232334
157,backbone.res3.0.conv2,1,1430,0.7197296583340217
158,backbone.res3.0.conv3,1,1430,0.7205293247354506
159,backbone.res3.1.conv1,1,1430,0.8385629836123191
160,backbone.res3.1.conv2,1,1430,0.7537750730556384
161,backbone.res3.1.conv3,1,1430,0.7447859767905106
162,backbone.res3.2.conv1,1,1430,0.7014169156662349
163,backbone.res3.2.conv2,1,1430,0.6319417115073026
164,backbone.res3.2.conv3,1,1430,0.650995801432974
165,backbone.res3.3.conv1,2,1430,0.5216144103238474
166,backbone.res3.3.conv2,2,1430,0.5107169526995085
167,backbone.res3.3.conv3,2,1430,0.668920520109139
168,backbone.res4.0.conv1,2,1430,0.6557124158346692
169,backbone.res4.0.conv2,2,1430,0.5994158594718229
170,backbone.res4.0.conv3,2,1430,0.5874516715649906
171,backbone.res4.1.conv1,2,1430,0.6417991561388867
172,backbone.res4.1.conv2,2,1430,0.5769639809488446
173,backbone.res4.1.conv3,1,1430,0.5809201059798941
174,backbone.res4.2.conv1,2,1430,0.6658723263277345
175,backbone.res4.2.conv2,2,1430,0.6867620090499471
176,backbone.res4.2.conv3,2,1430,0.5595982505565511
177,backbone.res4.3.conv1,2,1430,0.6421864707392524
178,backbone.res4.3.conv2,2,1430,0.5815716370605368
179,backbone.res4.3.conv3,2,1430,0.4106760840945665
180,backbone.res4.4.conv1,2,1430,0.489581392677012
181,backbone.res4.4.conv2,2,1430,0.6172926952792016
182,backbone.res4.4.conv3,2,1430,0.4411171817232223
183,backbone.res4.5.conv1,2,1430,0.4449827305042857
184,backbone.res4.5.conv2,2,1430,0.5601605390024138
185,backbone.res4.5.conv3,2,1430,0.4744982580831937
186,roi_heads.pooler.level,2,1430,0.5376183343699925
187,roi_heads.res5.0.conv1,2,1430,0.6112162968335835
188,roi_heads.res5.0.conv2,2,1430,0.6048764700992745
189,roi_heads.res5.0.conv3,2,1430,0.5721021454898162
190,roi_heads.res5.1.conv1,2,1430,0.6189710463767589
191,roi_heads.res5.1.conv2,2,1430,0.571370075932856
192,roi_heads.res5.1.conv3,2,1430,0.4547213503313501
193,roi_heads.res5.2.conv1,2,1430,0.7768447352279538
194,roi_heads.res5.2.conv2,2,1430,0.7588035791579957
195,roi_heads.res5.2.conv3,2,1430,0.616105860358197
196,backbone.res2.0.conv1,1,2108,0.8380299536310531
197,backbone.res2.0.conv2,1,2108,0.9189944635979808
198,backbone.res2.0.conv3,1,2108,0.7833084824455707
199,backbone.res2.1.conv1,1,2108,0.9064804553579519
