,Layer,Cluster,Image,PCC
0,backbone.res2.0.conv1,1,54,0.49269824073717583
1,backbone.res2.0.conv2,1,54,0.490192421100557
2,backbone.res2.0.conv3,1,54,0.5230020539379773
3,backbone.res2.1.conv1,1,54,0.5070123134551717
4,backbone.res2.1.conv2,1,54,0.5291965660043063
5,backbone.res2.1.conv3,1,54,0.5030800883223184
6,backbone.res2.2.conv1,1,54,0.5609095581001852
7,backbone.res2.2.conv2,1,54,0.5387028953033071
8,backbone.res2.2.conv3,1,54,0.5074146343270148
9,backbone.res3.0.conv1,1,54,0.516412552161927
10,backbone.res3.0.conv2,1,54,0.6015039576840215
11,backbone.res3.0.conv3,1,54,0.5679335805761898
12,backbone.res3.1.conv1,1,54,0.5330146096719418
13,backbone.res3.1.conv2,1,54,0.4999657326131615
14,backbone.res3.1.conv3,1,54,0.5506228994721996
15,backbone.res3.2.conv1,1,54,0.5588435544002777
16,backbone.res3.2.conv2,1,54,0.533694333154568
17,backbone.res3.2.conv3,1,54,0.5691262130418969
18,backbone.res3.3.conv1,1,54,0.5963075833102028
19,backbone.res3.3.conv2,1,54,0.5800449958021473
20,backbone.res3.3.conv3,2,54,0.5873131106153471
21,backbone.res4.0.conv1,2,54,0.5368691022073906
22,backbone.res4.0.conv2,2,54,0.5245439183284254
23,backbone.res4.0.conv3,2,54,0.5238180192157869
24,backbone.res4.1.conv1,2,54,0.5720067205002861
25,backbone.res4.1.conv2,2,54,0.5574795645722119
26,backbone.res4.1.conv3,2,54,0.5414896527899523
27,backbone.res4.2.conv1,2,54,0.48679072565476506
28,backbone.res4.2.conv2,2,54,0.5299259949747896
29,backbone.res4.2.conv3,2,54,0.528687832828053
30,backbone.res4.3.conv1,2,54,0.5013716847361395
31,backbone.res4.3.conv2,2,54,0.5282048576967499
32,backbone.res4.3.conv3,2,54,0.5925151104554971
33,backbone.res4.4.conv1,2,54,0.5121549457232003
34,backbone.res4.4.conv2,2,54,0.5591437392304835
35,backbone.res4.4.conv3,2,54,0.6005606921470926
36,backbone.res4.5.conv1,2,54,0.44820096811569055
37,backbone.res4.5.conv2,2,54,0.46511161864419115
38,backbone.res4.5.conv3,2,54,0.5879649385396307
39,roi_heads.pooler.level,2,54,0.5900808851634483
40,roi_heads.res5.0.conv1,2,54,0.5266283151821506
41,roi_heads.res5.0.conv2,2,54,0.5010796437432237
42,roi_heads.res5.0.conv3,2,54,0.5275436189444948
43,roi_heads.res5.1.conv1,2,54,0.5250725562797336
44,roi_heads.res5.1.conv2,2,54,0.6310246184541775
45,roi_heads.res5.1.conv3,2,54,0.4955812311909197
46,roi_heads.res5.2.conv1,2,54,0.5421197893935461
47,roi_heads.res5.2.conv2,2,54,0.5422688826545091
48,roi_heads.res5.2.conv3,2,54,0.5402766760500184
49,backbone.res2.0.conv1,1,1319,0.7251073149613513
50,backbone.res2.0.conv2,1,1319,0.741376929543437
51,backbone.res2.0.conv3,1,1319,0.6611652428437014
52,backbone.res2.1.conv1,1,1319,0.6360503661249624
53,backbone.res2.1.conv2,1,1319,0.5814322327129882
54,backbone.res2.1.conv3,1,1319,0.5606102431867115
55,backbone.res2.2.conv1,1,1319,0.5369863841540111
56,backbone.res2.2.conv2,1,1319,0.4648531859503434
57,backbone.res2.2.conv3,1,1319,0.516573277108021
58,backbone.res3.0.conv1,1,1319,0.5892510673612547
59,backbone.res3.0.conv2,1,1319,0.5692482157873505
60,backbone.res3.0.conv3,1,1319,0.5892347509787538
61,backbone.res3.1.conv1,1,1319,0.6000392296404207
62,backbone.res3.1.conv2,1,1319,0.42974601268888446
