,Layer,Cluster,Image,PCC
0,backbone.res2.0.conv1,1,54,0.6703942925604045
1,backbone.res2.0.conv2,1,54,0.7206606816736405
2,backbone.res2.0.conv3,1,54,0.689361644762812
3,backbone.res2.1.conv1,1,54,0.7142957654407917
4,backbone.res2.1.conv2,1,54,0.7264582566592497
5,backbone.res2.1.conv3,1,54,0.7025182278235647
6,backbone.res2.2.conv1,1,54,0.6937682574042869
7,backbone.res2.2.conv2,1,54,0.688439125998237
8,backbone.res2.2.conv3,1,54,0.6924006725474463
9,backbone.res3.0.conv1,1,54,0.7120733973932905
10,backbone.res3.0.conv2,1,54,0.5847129969420414
11,backbone.res3.0.conv3,1,54,0.5909132516286147
12,backbone.res3.1.conv1,1,54,0.6626873482458312
13,backbone.res3.1.conv2,1,54,0.6748002123966895
14,backbone.res3.1.conv3,1,54,0.6035602761202019
15,backbone.res3.2.conv1,1,54,0.6945326224958138
16,backbone.res3.2.conv2,1,54,0.7419052110509662
17,backbone.res3.2.conv3,1,54,0.5050996857750477
18,backbone.res3.3.conv1,1,54,0.6636912420476789
19,backbone.res3.3.conv2,2,54,0.6092884914605701
20,backbone.res3.3.conv3,2,54,0.550807389665966
21,backbone.res4.0.conv1,2,54,0.4731734790282587
22,backbone.res4.0.conv2,2,54,0.5461890120230971
23,backbone.res4.0.conv3,2,54,0.5896456929665189
24,backbone.res4.1.conv1,2,54,0.6925184848889004
25,backbone.res4.1.conv2,2,54,0.7253294401694494
26,backbone.res4.1.conv3,2,54,0.6119621935859038
27,backbone.res4.2.conv1,2,54,0.7188947862574154
28,backbone.res4.2.conv2,2,54,0.6548575902623608
29,backbone.res4.2.conv3,2,54,0.7056799025511317
30,backbone.res4.3.conv1,2,54,0.7691673585747177
31,backbone.res4.3.conv2,2,54,0.577764948764771
32,backbone.res4.3.conv3,2,54,0.6173464056811743
33,backbone.res4.4.conv1,2,54,0.6340115904446237
34,backbone.res4.4.conv2,2,54,0.5255262476693381
35,backbone.res4.4.conv3,2,54,0.600796739375528
36,backbone.res4.5.conv1,2,54,0.5728880270581199
37,backbone.res4.5.conv2,3,54,0.5016071669240362
38,backbone.res4.5.conv3,3,54,0.5380296743217806
39,roi_heads.pooler.level,3,54,0.5236753390301053
40,roi_heads.res5.0.conv1,3,54,0.6983750234003019
41,roi_heads.res5.0.conv2,3,54,0.7137554082322397
42,roi_heads.res5.0.conv3,3,54,0.6739528490805077
43,roi_heads.res5.1.conv1,3,54,0.6187929756446323
44,roi_heads.res5.1.conv2,3,54,0.6682885485351866
45,roi_heads.res5.1.conv3,3,54,0.7283285392041045
46,roi_heads.res5.2.conv1,3,54,0.5115125186127274
47,roi_heads.res5.2.conv2,3,54,0.4071250707310728
48,roi_heads.res5.2.conv3,3,54,0.804514483444942
49,backbone.res2.0.conv1,1,1319,0.8257295564609002
50,backbone.res2.0.conv2,1,1319,0.836488640541839
51,backbone.res2.0.conv3,1,1319,0.7630751523394855
52,backbone.res2.1.conv1,1,1319,0.7398985645633406
53,backbone.res2.1.conv2,1,1319,0.6785111490952441
54,backbone.res2.1.conv3,1,1319,0.6640121904031179
55,backbone.res2.2.conv1,1,1319,0.6347765681452096
56,backbone.res2.2.conv2,1,1319,0.5490006553821181
57,backbone.res2.2.conv3,1,1319,0.6188344154263751
58,backbone.res3.0.conv1,1,1319,0.7068047342601054
59,backbone.res3.0.conv2,1,1319,0.6675678550515055
60,backbone.res3.0.conv3,1,1319,0.6815477497309083
61,backbone.res3.1.conv1,1,1319,0.6944889303680292
62,backbone.res3.1.conv2,1,1319,0.5199703506418715
63,backbone.res3.1.conv3,1,1319,0.5468648463951024
64,backbone.res3.2.conv1,1,1319,0.5527023667023877
65,backbone.res3.2.conv2,1,1319,0.5352401863812384
66,backbone.res3.2.conv3,1,1319,0.46591127399545135
67,backbone.res3.3.conv1,1,1319,0.4672261827233246
68,backbone.res3.3.conv2,2,1319,0.4156574497982336
69,backbone.res3.3.conv3,2,1319,0.4110437226772324
70,backbone.res4.0.conv1,2,1319,0.4775975887973546
71,backbone.res4.0.conv2,2,1319,0.5253685956031232
72,backbone.res4.0.conv3,2,1319,0.45668813731227315
73,backbone.res4.1.conv1,2,1319,0.40579285636582085
74,backbone.res4.1.conv2,2,1319,0.4410273216807757
75,backbone.res4.1.conv3,2,1319,0.43671264321356185
76,backbone.res4.2.conv1,2,1319,0.6423992204031707
77,backbone.res4.2.conv2,2,1319,0.48375985876624933
78,backbone.res4.2.conv3,2,1319,0.44105024063016957
79,backbone.res4.3.conv1,2,1319,0.431938093655408
80,backbone.res4.3.conv2,2,1319,0.5837025415624189
81,backbone.res4.3.conv3,2,1319,0.5054277609097849
82,backbone.res4.4.conv1,2,1319,0.6121906545186416
83,backbone.res4.4.conv2,2,1319,0.4203790646091506
84,backbone.res4.4.conv3,2,1319,0.46363478787693924
85,backbone.res4.5.conv1,2,1319,0.5916827502141138
86,backbone.res4.5.conv2,3,1319,0.41996331211210336
87,backbone.res4.5.conv3,3,1319,0.44595748931772883
88,roi_heads.pooler.level,3,1319,0.3597562479170404
89,roi_heads.res5.0.conv1,3,1319,0.34755970454461754
90,roi_heads.res5.0.conv2,3,1319,0.3853871241351016
91,roi_heads.res5.0.conv3,3,1319,0.3845498480557089
92,roi_heads.res5.1.conv1,3,1319,0.3468314683152303
93,roi_heads.res5.1.conv2,3,1319,0.356452166244083
94,roi_heads.res5.1.conv3,3,1319,0.39341949722064185
95,roi_heads.res5.2.conv1,3,1319,0.3642769188683281
96,roi_heads.res5.2.conv2,3,1319,0.3516942731643281
97,roi_heads.res5.2.conv3,3,1319,0.3759393208277316
98,backbone.res2.0.conv1,1,68,0.7577920595992541
99,backbone.res2.0.conv2,1,68,0.7868851432079201
100,backbone.res2.0.conv3,1,68,0.6970555282505757
101,backbone.res2.1.conv1,1,68,0.7410665115981445
102,backbone.res2.1.conv2,1,68,0.7180854732071377
103,backbone.res2.1.conv3,1,68,0.8070282085842277
104,backbone.res2.2.conv1,1,68,0.8036640149057174
105,backbone.res2.2.conv2,1,68,0.7901840017453533
106,backbone.res2.2.conv3,1,68,0.5110047498870923
107,backbone.res3.0.conv1,1,68,0.6528871091209927
108,backbone.res3.0.conv2,1,68,0.5302644279555676
109,backbone.res3.0.conv3,1,68,0.5492492556095792
110,backbone.res3.1.conv1,1,68,0.6073180186412909
111,backbone.res3.1.conv2,1,68,0.8013054462789687
112,backbone.res3.1.conv3,1,68,0.5557370626908904
113,backbone.res3.2.conv1,1,68,0.6706666450208738
114,backbone.res3.2.conv2,1,68,0.7349904546562074
115,backbone.res3.2.conv3,1,68,0.6322406407442699
116,backbone.res3.3.conv1,1,68,0.6836686183921169
117,backbone.res3.3.conv2,2,68,0.7036672462565493
118,backbone.res3.3.conv3,2,68,0.4517423220354861
119,backbone.res4.0.conv1,2,68,0.642498871654115
120,backbone.res4.0.conv2,2,68,0.61083840883954
121,backbone.res4.0.conv3,2,68,0.5821173437154598
122,backbone.res4.1.conv1,2,68,0.6443127206664949
123,backbone.res4.1.conv2,2,68,0.6066198046898268
124,backbone.res4.1.conv3,2,68,0.6964591623151659
125,backbone.res4.2.conv1,2,68,0.8221755726749637
126,backbone.res4.2.conv2,2,68,0.8196223367099265
127,backbone.res4.2.conv3,2,68,0.798066939644492
128,backbone.res4.3.conv1,2,68,0.5939325605137559
129,backbone.res4.3.conv2,2,68,0.7650214167496232
130,backbone.res4.3.conv3,2,68,0.8475481950511866
131,backbone.res4.4.conv1,2,68,0.903190976949797
