,Layer,Cluster,Task,Image,Similarity
0,backbone.res2.0.conv1,1,DET vs FullGradCam,handbag_383842,0.3692676951205362
1,backbone.res2.0.conv2,1,DET vs FullGradCam,handbag_383842,0.33586393891410576
2,backbone.res2.0.conv3,1,DET vs FullGradCam,handbag_383842,0.407157951666919
3,backbone.res2.1.conv1,1,DET vs FullGradCam,handbag_383842,0.41951244050975245
4,backbone.res2.1.conv2,1,DET vs FullGradCam,handbag_383842,0.41511343019763847
5,backbone.res2.1.conv3,1,DET vs FullGradCam,handbag_383842,0.413009989471432
6,backbone.res2.2.conv1,1,DET vs FullGradCam,handbag_383842,0.43127365734411244
7,backbone.res2.2.conv2,1,DET vs FullGradCam,handbag_383842,0.3491064729164606
8,backbone.res2.2.conv3,1,DET vs FullGradCam,handbag_383842,0.4134413231398319
9,backbone.res3.0.conv1,1,DET vs FullGradCam,handbag_383842,0.4099568252578479
10,backbone.res3.0.conv2,1,DET vs FullGradCam,handbag_383842,0.3338317706992692
11,backbone.res3.0.conv3,1,DET vs FullGradCam,handbag_383842,0.420064038764017
12,backbone.res3.1.conv1,1,DET vs FullGradCam,handbag_383842,0.413552983785661
13,backbone.res3.1.conv2,1,DET vs FullGradCam,handbag_383842,0.4274687278210475
14,backbone.res3.1.conv3,1,DET vs FullGradCam,handbag_383842,0.431513543303226
15,backbone.res3.2.conv1,1,DET vs FullGradCam,handbag_383842,0.39650248943502053
16,backbone.res3.2.conv2,1,DET vs FullGradCam,handbag_383842,0.2638273061403837
17,backbone.res3.2.conv3,1,DET vs FullGradCam,handbag_383842,0.39063650345960954
18,backbone.res3.3.conv1,1,DET vs FullGradCam,handbag_383842,0.32822632917922434
19,backbone.res3.3.conv2,1,DET vs FullGradCam,handbag_383842,0.3083778530235979
20,backbone.res3.3.conv3,1,DET vs FullGradCam,handbag_383842,0.4604062019911652
21,backbone.res4.0.conv1,1,DET vs FullGradCam,handbag_383842,0.4642619546118102
22,backbone.res4.0.conv2,1,DET vs FullGradCam,handbag_383842,0.42899850190995936
23,backbone.res4.0.conv3,1,DET vs FullGradCam,handbag_383842,0.38565606135158764
