,Layer,Cluster,Task,Image,Similarity
0,backbone.res2.0.conv1,1,DET vs FullGradCam,handbag_383842,0.3714093305925684
1,backbone.res2.0.conv2,1,DET vs FullGradCam,handbag_383842,0.3789700365296247
2,backbone.res2.0.conv3,1,DET vs FullGradCam,handbag_383842,0.3431047695873272
3,backbone.res2.1.conv1,1,DET vs FullGradCam,handbag_383842,0.34057276755511867
4,backbone.res2.1.conv2,1,DET vs FullGradCam,handbag_383842,0.34118344960890395
5,backbone.res2.1.conv3,1,DET vs FullGradCam,handbag_383842,0.3390011040639289
6,backbone.res2.2.conv1,1,DET vs FullGradCam,handbag_383842,0.3376373233352189
7,backbone.res2.2.conv2,1,DET vs FullGradCam,handbag_383842,0.370435614906041
8,backbone.res2.2.conv3,1,DET vs FullGradCam,handbag_383842,0.3401604092376362
9,backbone.res3.0.conv1,1,DET vs FullGradCam,handbag_383842,0.342974641240247
10,backbone.res3.0.conv2,1,DET vs FullGradCam,handbag_383842,0.37753026640495096
11,backbone.res3.0.conv3,1,DET vs FullGradCam,handbag_383842,0.33884099430365094
12,backbone.res3.1.conv1,1,DET vs FullGradCam,handbag_383842,0.3394106505258262
13,backbone.res3.1.conv2,1,DET vs FullGradCam,handbag_383842,0.33737674067961404
14,backbone.res3.1.conv3,1,DET vs FullGradCam,handbag_383842,0.33521133648287693
15,backbone.res3.2.conv1,1,DET vs FullGradCam,handbag_383842,0.3443216520856621
16,backbone.res3.2.conv2,1,DET vs FullGradCam,handbag_383842,0.39253754434272276
17,backbone.res3.2.conv3,1,DET vs FullGradCam,handbag_383842,0.3620597878043178
18,backbone.res3.3.conv1,1,DET vs FullGradCam,handbag_383842,0.3814567695691243
19,backbone.res3.3.conv2,1,DET vs FullGradCam,handbag_383842,0.40691960473250993
20,backbone.res3.3.conv3,1,DET vs FullGradCam,handbag_383842,0.33437735568052984
21,backbone.res4.0.conv1,1,DET vs FullGradCam,handbag_383842,0.34241653037180725
22,backbone.res4.0.conv2,1,DET vs FullGradCam,handbag_383842,0.3938478666508548
23,backbone.res4.0.conv3,1,DET vs FullGradCam,handbag_383842,0.38630925066979777
24,backbone.res4.1.conv1,1,DET vs FullGradCam,handbag_383842,0.333170994672273
25,backbone.res4.1.conv2,1,DET vs FullGradCam,handbag_383842,0.28586009679915825
26,backbone.res4.1.conv3,1,DET vs FullGradCam,handbag_383842,0.41325540321160886
27,backbone.res4.2.conv1,1,DET vs FullGradCam,handbag_383842,0.34706025298824583
28,backbone.res4.2.conv2,1,DET vs FullGradCam,handbag_383842,0.3701305729467383
29,backbone.res4.2.conv3,1,DET vs FullGradCam,handbag_383842,0.3445192623788363
30,backbone.res4.3.conv1,1,DET vs FullGradCam,handbag_383842,0.39082949726061805
31,backbone.res4.3.conv2,1,DET vs FullGradCam,handbag_383842,0.29979944780901874
32,backbone.res4.3.conv3,1,DET vs FullGradCam,handbag_383842,0.439479237583951
33,backbone.res4.4.conv1,1,DET vs FullGradCam,handbag_383842,0.44094392326636395
34,backbone.res4.4.conv2,1,DET vs FullGradCam,handbag_383842,0.3246404846850489
35,backbone.res4.4.conv3,2,DET vs FullGradCam,handbag_383842,0.442214295542472
36,backbone.res4.5.conv1,1,DET vs FullGradCam,handbag_383842,0.36732165920599186
37,backbone.res4.5.conv2,1,DET vs FullGradCam,handbag_383842,0.44282389629860086
38,backbone.res4.5.conv3,2,DET vs FullGradCam,handbag_383842,0.5525405394970213
39,roi_heads.pooler.level,2,DET vs FullGradCam,handbag_383842,0.49553331863884215
40,roi_heads.res5.0.conv1,2,DET vs FullGradCam,handbag_383842,0.3389588011240322
41,roi_heads.res5.0.conv2,2,DET vs FullGradCam,handbag_383842,0.4250325826522717
42,roi_heads.res5.0.conv3,2,DET vs FullGradCam,handbag_383842,0.46294754704758834
43,roi_heads.res5.1.conv1,2,DET vs FullGradCam,handbag_383842,0.3600343121411834
44,roi_heads.res5.1.conv2,2,DET vs FullGradCam,handbag_383842,0.45924190994418657
45,roi_heads.res5.1.conv3,2,DET vs FullGradCam,handbag_383842,0.39058695129571885
46,roi_heads.res5.2.conv1,2,DET vs FullGradCam,handbag_383842,0.4651159234907753
47,roi_heads.res5.2.conv2,2,DET vs FullGradCam,handbag_383842,0.36618567460127677
48,roi_heads.res5.2.conv3,2,DET vs FullGradCam,handbag_383842,0.3340732583954507
49,backbone.res2.0.conv1,1,DET vs FullGradCam,sandwich_465430,0.2857072817393714
50,backbone.res2.0.conv2,1,DET vs FullGradCam,sandwich_465430,0.2826397432006129
51,backbone.res2.0.conv3,1,DET vs FullGradCam,sandwich_465430,0.3266880401575821
52,backbone.res2.1.conv1,1,DET vs FullGradCam,sandwich_465430,0.27360049692831695
53,backbone.res2.1.conv2,1,DET vs FullGradCam,sandwich_465430,0.2693836530818293
54,backbone.res2.1.conv3,1,DET vs FullGradCam,sandwich_465430,0.2642963738766655
55,backbone.res2.2.conv1,1,DET vs FullGradCam,sandwich_465430,0.3223844346960006
56,backbone.res2.2.conv2,1,DET vs FullGradCam,sandwich_465430,0.2633372088487661
57,backbone.res2.2.conv3,1,DET vs FullGradCam,sandwich_465430,0.2768967801961854
58,backbone.res3.0.conv1,1,DET vs FullGradCam,sandwich_465430,0.2689286223765192
59,backbone.res3.0.conv2,1,DET vs FullGradCam,sandwich_465430,0.26049659279294446
60,backbone.res3.0.conv3,1,DET vs FullGradCam,sandwich_465430,0.2576116325299869
61,backbone.res3.1.conv1,1,DET vs FullGradCam,sandwich_465430,0.28602012572403596
62,backbone.res3.1.conv2,1,DET vs FullGradCam,sandwich_465430,0.2810677596664774
63,backbone.res3.1.conv3,1,DET vs FullGradCam,sandwich_465430,0.2511590650815047
64,backbone.res3.2.conv1,1,DET vs FullGradCam,sandwich_465430,0.24666743406451727
65,backbone.res3.2.conv2,1,DET vs FullGradCam,sandwich_465430,0.2659662586033469
66,backbone.res3.2.conv3,1,DET vs FullGradCam,sandwich_465430,0.28380851483861447
67,backbone.res3.3.conv1,1,DET vs FullGradCam,sandwich_465430,0.3102254574315746
68,backbone.res3.3.conv2,1,DET vs FullGradCam,sandwich_465430,0.25134174652369295
69,backbone.res3.3.conv3,1,DET vs FullGradCam,sandwich_465430,0.2750269680380111
70,backbone.res4.0.conv1,1,DET vs FullGradCam,sandwich_465430,0.2842645141056243
71,backbone.res4.0.conv2,1,DET vs FullGradCam,sandwich_465430,0.27212807052369625
72,backbone.res4.0.conv3,1,DET vs FullGradCam,sandwich_465430,0.2744114303221814
73,backbone.res4.1.conv1,1,DET vs FullGradCam,sandwich_465430,0.3134102932418813
74,backbone.res4.1.conv2,1,DET vs FullGradCam,sandwich_465430,0.26979690749057395
75,backbone.res4.1.conv3,1,DET vs FullGradCam,sandwich_465430,0.25942918515479535
76,backbone.res4.2.conv1,1,DET vs FullGradCam,sandwich_465430,0.2223069080825511
77,backbone.res4.2.conv2,1,DET vs FullGradCam,sandwich_465430,0.21744517658826967
78,backbone.res4.2.conv3,1,DET vs FullGradCam,sandwich_465430,0.25394877359830564
79,backbone.res4.3.conv1,1,DET vs FullGradCam,sandwich_465430,0.26975437823585846
80,backbone.res4.3.conv2,1,DET vs FullGradCam,sandwich_465430,0.25339495878104573
81,backbone.res4.3.conv3,1,DET vs FullGradCam,sandwich_465430,0.2405143958165185
82,backbone.res4.4.conv1,1,DET vs FullGradCam,sandwich_465430,0.20549790319231487
83,backbone.res4.4.conv2,1,DET vs FullGradCam,sandwich_465430,0.17690076868290872
84,backbone.res4.4.conv3,2,DET vs FullGradCam,sandwich_465430,0.25748365198646317
85,backbone.res4.5.conv1,1,DET vs FullGradCam,sandwich_465430,0.17298410519548474
86,backbone.res4.5.conv2,1,DET vs FullGradCam,sandwich_465430,0.20734141236575473
87,backbone.res4.5.conv3,2,DET vs FullGradCam,sandwich_465430,0.36555780787796455
88,roi_heads.pooler.level,2,DET vs FullGradCam,sandwich_465430,0.36541408004742953
89,roi_heads.res5.0.conv1,2,DET vs FullGradCam,sandwich_465430,0.2859655704829045
90,roi_heads.res5.0.conv2,2,DET vs FullGradCam,sandwich_465430,0.2795287748947987
91,roi_heads.res5.0.conv3,2,DET vs FullGradCam,sandwich_465430,0.29143130218951613
92,roi_heads.res5.1.conv1,2,DET vs FullGradCam,sandwich_465430,0.31792179336151477
93,roi_heads.res5.1.conv2,2,DET vs FullGradCam,sandwich_465430,0.28342627707692675
94,roi_heads.res5.1.conv3,2,DET vs FullGradCam,sandwich_465430,0.24252889813310485
95,roi_heads.res5.2.conv1,2,DET vs FullGradCam,sandwich_465430,0.247105669783305
96,roi_heads.res5.2.conv2,2,DET vs FullGradCam,sandwich_465430,0.2968178652665739
97,roi_heads.res5.2.conv3,2,DET vs FullGradCam,sandwich_465430,0.2624152237506558
98,backbone.res2.0.conv1,1,DET vs FullGradCam,bed_491757,0.3171832524693858
99,backbone.res2.0.conv2,1,DET vs FullGradCam,bed_491757,0.3052667613277028
100,backbone.res2.0.conv3,1,DET vs FullGradCam,bed_491757,0.2885536817060375
101,backbone.res2.1.conv1,1,DET vs FullGradCam,bed_491757,0.29006606540721663
102,backbone.res2.1.conv2,1,DET vs FullGradCam,bed_491757,0.28473653264166926
103,backbone.res2.1.conv3,1,DET vs FullGradCam,bed_491757,0.2875690785236252
104,backbone.res2.2.conv1,1,DET vs FullGradCam,bed_491757,0.31326033392306285
105,backbone.res2.2.conv2,1,DET vs FullGradCam,bed_491757,0.27700729777825617
106,backbone.res2.2.conv3,1,DET vs FullGradCam,bed_491757,0.2953923061125988
107,backbone.res3.0.conv1,1,DET vs FullGradCam,bed_491757,0.3010109950029932
108,backbone.res3.0.conv2,1,DET vs FullGradCam,bed_491757,0.28765038663502873
109,backbone.res3.0.conv3,1,DET vs FullGradCam,bed_491757,0.3108201179509731
110,backbone.res3.1.conv1,1,DET vs FullGradCam,bed_491757,0.3034627718060979
111,backbone.res3.1.conv2,1,DET vs FullGradCam,bed_491757,0.29598627435419234
112,backbone.res3.1.conv3,1,DET vs FullGradCam,bed_491757,0.2918134724887782
113,backbone.res3.2.conv1,1,DET vs FullGradCam,bed_491757,0.28779740663349535
114,backbone.res3.2.conv2,1,DET vs FullGradCam,bed_491757,0.32209168347374406
115,backbone.res3.2.conv3,1,DET vs FullGradCam,bed_491757,0.299956978049663
116,backbone.res3.3.conv1,1,DET vs FullGradCam,bed_491757,0.3114310422312465
117,backbone.res3.3.conv2,1,DET vs FullGradCam,bed_491757,0.2764721583556785
118,backbone.res3.3.conv3,1,DET vs FullGradCam,bed_491757,0.29336973875769534
119,backbone.res4.0.conv1,1,DET vs FullGradCam,bed_491757,0.29796792086455215
120,backbone.res4.0.conv2,1,DET vs FullGradCam,bed_491757,0.3506258397148003
121,backbone.res4.0.conv3,1,DET vs FullGradCam,bed_491757,0.3026728378624629
122,backbone.res4.1.conv1,1,DET vs FullGradCam,bed_491757,0.29308682822218945
123,backbone.res4.1.conv2,1,DET vs FullGradCam,bed_491757,0.2790865299374781
124,backbone.res4.1.conv3,1,DET vs FullGradCam,bed_491757,0.2761493280363398
125,backbone.res4.2.conv1,1,DET vs FullGradCam,bed_491757,0.2659841180381486
126,backbone.res4.2.conv2,1,DET vs FullGradCam,bed_491757,0.2817498109605154
127,backbone.res4.2.conv3,1,DET vs FullGradCam,bed_491757,0.2711879002555291
128,backbone.res4.3.conv1,1,DET vs FullGradCam,bed_491757,0.26898039327831685
129,backbone.res4.3.conv2,1,DET vs FullGradCam,bed_491757,0.26167675495251547
130,backbone.res4.3.conv3,1,DET vs FullGradCam,bed_491757,0.32715935952208486
131,backbone.res4.4.conv1,1,DET vs FullGradCam,bed_491757,0.2739971406988177
132,backbone.res4.4.conv2,1,DET vs FullGradCam,bed_491757,0.29628211955874156
133,backbone.res4.4.conv3,2,DET vs FullGradCam,bed_491757,0.33368375237779624
134,backbone.res4.5.conv1,1,DET vs FullGradCam,bed_491757,0.26272743016805467
135,backbone.res4.5.conv2,1,DET vs FullGradCam,bed_491757,0.3504349536757355
136,backbone.res4.5.conv3,2,DET vs FullGradCam,bed_491757,0.5176433015119832
137,roi_heads.pooler.level,2,DET vs FullGradCam,bed_491757,0.6385798103841206
138,roi_heads.res5.0.conv1,2,DET vs FullGradCam,bed_491757,0.42503930855353356
139,roi_heads.res5.0.conv2,2,DET vs FullGradCam,bed_491757,0.33345996195881045
140,roi_heads.res5.0.conv3,2,DET vs FullGradCam,bed_491757,0.2590529600660826
141,roi_heads.res5.1.conv1,2,DET vs FullGradCam,bed_491757,0.24055218269486686
142,roi_heads.res5.1.conv2,2,DET vs FullGradCam,bed_491757,0.369683060114664
143,roi_heads.res5.1.conv3,2,DET vs FullGradCam,bed_491757,0.6007825205527293
144,roi_heads.res5.2.conv1,2,DET vs FullGradCam,bed_491757,0.3185239387260096
145,roi_heads.res5.2.conv2,2,DET vs FullGradCam,bed_491757,0.6478054776417789
146,roi_heads.res5.2.conv3,2,DET vs FullGradCam,bed_491757,0.36819634244076516
147,backbone.res2.0.conv1,1,DET vs FullGradCam,bird_100489,0.20475516808656402
148,backbone.res2.0.conv2,1,DET vs FullGradCam,bird_100489,0.2040476126611525
149,backbone.res2.0.conv3,1,DET vs FullGradCam,bird_100489,0.1437632719466716
150,backbone.res2.1.conv1,1,DET vs FullGradCam,bird_100489,0.1560740191978266
151,backbone.res2.1.conv2,1,DET vs FullGradCam,bird_100489,0.14244538828397313
152,backbone.res2.1.conv3,1,DET vs FullGradCam,bird_100489,0.1393862269101021
153,backbone.res2.2.conv1,1,DET vs FullGradCam,bird_100489,0.15000748530865876
154,backbone.res2.2.conv2,1,DET vs FullGradCam,bird_100489,0.17792960570226732
155,backbone.res2.2.conv3,1,DET vs FullGradCam,bird_100489,0.13547011756086638
