,Layer,Cluster,Task,Image,Similarity
0,backbone.res2.0.conv1,3,DET vs FullGradCam,handbag_383842,0.004265484784532941
1,backbone.res2.0.conv2,3,DET vs FullGradCam,handbag_383842,0.21893775472158217
2,backbone.res2.0.conv3,3,DET vs FullGradCam,handbag_383842,0.09470136249600214
3,backbone.res2.1.conv1,3,DET vs FullGradCam,handbag_383842,0.07622166990828626
4,backbone.res2.1.conv2,3,DET vs FullGradCam,handbag_383842,0.08223203201166203
5,backbone.res2.1.conv3,3,DET vs FullGradCam,handbag_383842,0.09247324779020977
6,backbone.res2.2.conv1,3,DET vs FullGradCam,handbag_383842,0.06316845046816422
7,backbone.res2.2.conv2,3,DET vs FullGradCam,handbag_383842,0.0068237304774960905
8,backbone.res2.2.conv3,3,DET vs FullGradCam,handbag_383842,0.08788929546540572
9,backbone.res3.0.conv1,3,DET vs FullGradCam,handbag_383842,0.08799077434779218
10,backbone.res3.0.conv2,3,DET vs FullGradCam,handbag_383842,0.24534912060444714
11,backbone.res3.0.conv3,3,DET vs FullGradCam,handbag_383842,0.005995421806982537
12,backbone.res3.1.conv1,3,DET vs FullGradCam,handbag_383842,0.09062529142467406
13,backbone.res3.1.conv2,3,DET vs FullGradCam,handbag_383842,0.07128231021622983
14,backbone.res3.1.conv3,3,DET vs FullGradCam,handbag_383842,0.0712027934044309
15,backbone.res3.2.conv1,3,DET vs FullGradCam,handbag_383842,0.11150246262526899
16,backbone.res3.2.conv2,3,DET vs FullGradCam,handbag_383842,0.006148404056406951
17,backbone.res3.2.conv3,3,DET vs FullGradCam,handbag_383842,0.0054039643965459105
18,backbone.res3.3.conv1,3,DET vs FullGradCam,handbag_383842,0.0054777123604284085
19,backbone.res3.3.conv2,3,DET vs FullGradCam,handbag_383842,0.00766485051280774
20,backbone.res3.3.conv3,3,DET vs FullGradCam,handbag_383842,0.0024244466597273867
21,backbone.res4.0.conv1,3,DET vs FullGradCam,handbag_383842,0.0061392781240391025
22,backbone.res4.0.conv2,3,DET vs FullGradCam,handbag_383842,0.004878129095038782
23,backbone.res4.0.conv3,3,DET vs FullGradCam,handbag_383842,0.006304829178957652
24,backbone.res4.1.conv1,3,DET vs FullGradCam,handbag_383842,0.0041476718120409956
25,backbone.res4.1.conv2,3,DET vs FullGradCam,handbag_383842,0.004260040236214314
26,backbone.res4.1.conv3,1,DET vs FullGradCam,handbag_383842,0.007806429047731109
27,backbone.res4.2.conv1,3,DET vs FullGradCam,handbag_383842,0.0037601661198451517
28,backbone.res4.2.conv2,3,DET vs FullGradCam,handbag_383842,0.006442412270396925
29,backbone.res4.2.conv3,1,DET vs FullGradCam,handbag_383842,0.003234743355577458
30,backbone.res4.3.conv1,3,DET vs FullGradCam,handbag_383842,0.007125034930885553
31,backbone.res4.3.conv2,1,DET vs FullGradCam,handbag_383842,0.0024630397784330526
