,Layer,Cluster,Task,Image,Similarity
0,backbone.res2.0.conv1,2,DET vs FullGradCam,handbag_383842,0.24953033214932105
1,backbone.res2.0.conv2,2,DET vs FullGradCam,handbag_383842,0.23667082477607226
2,backbone.res2.0.conv3,2,DET vs FullGradCam,handbag_383842,0.27181832699537484
3,backbone.res2.1.conv1,2,DET vs FullGradCam,handbag_383842,0.2778779506532294
4,backbone.res2.1.conv2,2,DET vs FullGradCam,handbag_383842,0.26920267808848247
5,backbone.res2.1.conv3,2,DET vs FullGradCam,handbag_383842,0.2305806488056575
6,backbone.res2.2.conv1,2,DET vs FullGradCam,handbag_383842,0.27792768482679603
7,backbone.res2.2.conv2,4,DET vs FullGradCam,handbag_383842,0.1761470850049751
8,backbone.res2.2.conv3,4,DET vs FullGradCam,handbag_383842,0.15268056798580742
9,backbone.res3.0.conv1,2,DET vs FullGradCam,handbag_383842,0.26261541403909877
10,backbone.res3.0.conv2,2,DET vs FullGradCam,handbag_383842,0.3425722690417252
11,backbone.res3.0.conv3,2,DET vs FullGradCam,handbag_383842,0.3581763282005863
12,backbone.res3.1.conv1,2,DET vs FullGradCam,handbag_383842,0.297640581541298
13,backbone.res3.1.conv2,2,DET vs FullGradCam,handbag_383842,0.31449006724360795
14,backbone.res3.1.conv3,2,DET vs FullGradCam,handbag_383842,0.3550459803540222
15,backbone.res3.2.conv1,2,DET vs FullGradCam,handbag_383842,0.30266643761711004
16,backbone.res3.2.conv2,2,DET vs FullGradCam,handbag_383842,0.18939549307044448
17,backbone.res3.2.conv3,2,DET vs FullGradCam,handbag_383842,0.31534554780719365
18,backbone.res3.3.conv1,2,DET vs FullGradCam,handbag_383842,0.26716595955639433
19,backbone.res3.3.conv2,4,DET vs FullGradCam,handbag_383842,0.2056865096877126
20,backbone.res3.3.conv3,4,DET vs FullGradCam,handbag_383842,0.21627508653912467
21,backbone.res4.0.conv1,2,DET vs FullGradCam,handbag_383842,0.35968346073173424
22,backbone.res4.0.conv2,2,DET vs FullGradCam,handbag_383842,0.4206353369180372
23,backbone.res4.0.conv3,2,DET vs FullGradCam,handbag_383842,0.40767094252871466
24,backbone.res4.1.conv1,2,DET vs FullGradCam,handbag_383842,0.4352734577489566
25,backbone.res4.1.conv2,2,DET vs FullGradCam,handbag_383842,0.6200438318877222
26,backbone.res4.1.conv3,2,DET vs FullGradCam,handbag_383842,0.3822015231251626
27,backbone.res4.2.conv1,2,DET vs FullGradCam,handbag_383842,0.43618845617356544
28,backbone.res4.2.conv2,2,DET vs FullGradCam,handbag_383842,0.5637152831417771
29,backbone.res4.2.conv3,2,DET vs FullGradCam,handbag_383842,0.42199432205362253
30,backbone.res4.3.conv1,2,DET vs FullGradCam,handbag_383842,0.4946285197584591
31,backbone.res4.3.conv2,2,DET vs FullGradCam,handbag_383842,0.581582923573055
32,backbone.res4.3.conv3,2,DET vs FullGradCam,handbag_383842,0.3323421569948899
33,backbone.res4.4.conv1,2,DET vs FullGradCam,handbag_383842,0.36246781602120953
34,backbone.res4.4.conv2,2,DET vs FullGradCam,handbag_383842,0.40888795786114507
