,Layer,Cluster,Task,Image,Similarity
0,backbone.res2.0.conv1,2,DET vs FullGradCam,handbag_383842,0.26852443326741504
1,backbone.res2.0.conv2,2,DET vs FullGradCam,handbag_383842,0.25522175613574055
2,backbone.res2.0.conv3,2,DET vs FullGradCam,handbag_383842,0.2871465158105943
3,backbone.res2.1.conv1,2,DET vs FullGradCam,handbag_383842,0.2925209577760223
4,backbone.res2.1.conv2,2,DET vs FullGradCam,handbag_383842,0.2845147676282096
5,backbone.res2.1.conv3,2,DET vs FullGradCam,handbag_383842,0.24287668217112002
6,backbone.res2.2.conv1,2,DET vs FullGradCam,handbag_383842,0.2920558684429191
7,backbone.res2.2.conv2,3,DET vs FullGradCam,handbag_383842,0.18469226360107457
8,backbone.res2.2.conv3,3,DET vs FullGradCam,handbag_383842,0.16293594069511724
9,backbone.res3.0.conv1,2,DET vs FullGradCam,handbag_383842,0.27759692362531807
10,backbone.res3.0.conv2,2,DET vs FullGradCam,handbag_383842,0.35756692797146716
11,backbone.res3.0.conv3,2,DET vs FullGradCam,handbag_383842,0.37139194609898024
12,backbone.res3.1.conv1,2,DET vs FullGradCam,handbag_383842,0.31149947592411786
13,backbone.res3.1.conv2,2,DET vs FullGradCam,handbag_383842,0.32783370038225274
14,backbone.res3.1.conv3,2,DET vs FullGradCam,handbag_383842,0.36785467636163316
15,backbone.res3.2.conv1,2,DET vs FullGradCam,handbag_383842,0.3138949711211059
16,backbone.res3.2.conv2,2,DET vs FullGradCam,handbag_383842,0.20086939064778253
17,backbone.res3.2.conv3,2,DET vs FullGradCam,handbag_383842,0.3296275948672857
18,backbone.res3.3.conv1,2,DET vs FullGradCam,handbag_383842,0.28266207225438866
19,backbone.res3.3.conv2,3,DET vs FullGradCam,handbag_383842,0.21604450155129534
20,backbone.res3.3.conv3,3,DET vs FullGradCam,handbag_383842,0.22610731937818887
21,backbone.res4.0.conv1,2,DET vs FullGradCam,handbag_383842,0.37736514865864984
22,backbone.res4.0.conv2,2,DET vs FullGradCam,handbag_383842,0.43598664101500273
23,backbone.res4.0.conv3,2,DET vs FullGradCam,handbag_383842,0.42458494534473734
24,backbone.res4.1.conv1,2,DET vs FullGradCam,handbag_383842,0.45110117745638123
25,backbone.res4.1.conv2,2,DET vs FullGradCam,handbag_383842,0.6281612536065977
26,backbone.res4.1.conv3,2,DET vs FullGradCam,handbag_383842,0.39708781821021244
27,backbone.res4.2.conv1,2,DET vs FullGradCam,handbag_383842,0.44997522073128515
28,backbone.res4.2.conv2,2,DET vs FullGradCam,handbag_383842,0.5733502607322801
29,backbone.res4.2.conv3,2,DET vs FullGradCam,handbag_383842,0.43565460826900027
30,backbone.res4.3.conv1,2,DET vs FullGradCam,handbag_383842,0.5058653619180411
31,backbone.res4.3.conv2,2,DET vs FullGradCam,handbag_383842,0.5897055754939768
32,backbone.res4.3.conv3,2,DET vs FullGradCam,handbag_383842,0.3464412225206267
33,backbone.res4.4.conv1,2,DET vs FullGradCam,handbag_383842,0.37564654613705706
34,backbone.res4.4.conv2,2,DET vs FullGradCam,handbag_383842,0.4204039219520348
35,backbone.res4.4.conv3,2,DET vs FullGradCam,handbag_383842,0.3476834243667012
36,backbone.res4.5.conv1,2,DET vs FullGradCam,handbag_383842,0.43339016783809925
37,backbone.res4.5.conv2,2,DET vs FullGradCam,handbag_383842,0.31365623890516625
38,backbone.res4.5.conv3,3,DET vs FullGradCam,handbag_383842,0.12602713127869491
39,roi_heads.pooler.level,3,DET vs FullGradCam,handbag_383842,0.09659985748134883
40,roi_heads.res5.0.conv1,1,DET vs FullGradCam,handbag_383842,0.3135868680551734
41,roi_heads.res5.0.conv2,1,DET vs FullGradCam,handbag_383842,0.22909392762652322
42,roi_heads.res5.0.conv3,1,DET vs FullGradCam,handbag_383842,0.12458430205812071
43,roi_heads.res5.1.conv1,3,DET vs FullGradCam,handbag_383842,0.13055505250006222
44,roi_heads.res5.1.conv2,3,DET vs FullGradCam,handbag_383842,0.09478727593281937
45,roi_heads.res5.1.conv3,1,DET vs FullGradCam,handbag_383842,0.3665676511436095
46,roi_heads.res5.2.conv1,1,DET vs FullGradCam,handbag_383842,0.23178899265373348
47,roi_heads.res5.2.conv2,1,DET vs FullGradCam,handbag_383842,0.4370201751030681
48,roi_heads.res5.2.conv3,1,DET vs FullGradCam,handbag_383842,0.6307636502105791
49,backbone.res2.0.conv1,2,DET vs FullGradCam,sandwich_465430,0.25775080725220817
50,backbone.res2.0.conv2,2,DET vs FullGradCam,sandwich_465430,0.2777451801864651
