,Layer,Cluster,Task,Image,Similarity
0,backbone.res2.0.conv1,1,DET vs FullGradCam,handbag_383842,0.4312111983012948
1,backbone.res2.0.conv2,1,DET vs FullGradCam,handbag_383842,0.43224721933137955
2,backbone.res2.0.conv3,1,DET vs FullGradCam,handbag_383842,0.41112854237571844
3,backbone.res2.1.conv1,1,DET vs FullGradCam,handbag_383842,0.4016537521652336
4,backbone.res2.1.conv2,1,DET vs FullGradCam,handbag_383842,0.41065269035721064
5,backbone.res2.1.conv3,1,DET vs FullGradCam,handbag_383842,0.42530438771406187
6,backbone.res2.2.conv1,1,DET vs FullGradCam,handbag_383842,0.4118170015192101
7,backbone.res2.2.conv2,2,DET vs FullGradCam,handbag_383842,0.5078742970565612
8,backbone.res2.2.conv3,2,DET vs FullGradCam,handbag_383842,0.5109906010174462
9,backbone.res3.0.conv1,1,DET vs FullGradCam,handbag_383842,0.40926681423878325
10,backbone.res3.0.conv2,1,DET vs FullGradCam,handbag_383842,0.3918358171216104
11,backbone.res3.0.conv3,1,DET vs FullGradCam,handbag_383842,0.37034500982189517
12,backbone.res3.1.conv1,1,DET vs FullGradCam,handbag_383842,0.39862908934446967
13,backbone.res3.1.conv2,1,DET vs FullGradCam,handbag_383842,0.3829766383888153
14,backbone.res3.1.conv3,1,DET vs FullGradCam,handbag_383842,0.37543966866773876
15,backbone.res3.2.conv1,1,DET vs FullGradCam,handbag_383842,0.3889002476047451
16,backbone.res3.2.conv2,1,DET vs FullGradCam,handbag_383842,0.45020122533631207
17,backbone.res3.2.conv3,1,DET vs FullGradCam,handbag_383842,0.39958368293484786
18,backbone.res3.3.conv1,1,DET vs FullGradCam,handbag_383842,0.41566765389542143
19,backbone.res3.3.conv2,2,DET vs FullGradCam,handbag_383842,0.48335389091204756
20,backbone.res3.3.conv3,2,DET vs FullGradCam,handbag_383842,0.4869732638056152
21,backbone.res4.0.conv1,1,DET vs FullGradCam,handbag_383842,0.3898387377177031
22,backbone.res4.0.conv2,1,DET vs FullGradCam,handbag_383842,0.3831932002579856
23,backbone.res4.0.conv3,1,DET vs FullGradCam,handbag_383842,0.3650654928851165
24,backbone.res4.1.conv1,1,DET vs FullGradCam,handbag_383842,0.35705398254926285
25,backbone.res4.1.conv2,1,DET vs FullGradCam,handbag_383842,0.31143525586413284
26,backbone.res4.1.conv3,1,DET vs FullGradCam,handbag_383842,0.3925491229395545
27,backbone.res4.2.conv1,1,DET vs FullGradCam,handbag_383842,0.36812533975689193
28,backbone.res4.2.conv2,1,DET vs FullGradCam,handbag_383842,0.3509940282703358
29,backbone.res4.2.conv3,1,DET vs FullGradCam,handbag_383842,0.37829304038583567
30,backbone.res4.3.conv1,1,DET vs FullGradCam,handbag_383842,0.36787586396701294
31,backbone.res4.3.conv2,1,DET vs FullGradCam,handbag_383842,0.3352924508241186
32,backbone.res4.3.conv3,1,DET vs FullGradCam,handbag_383842,0.4188370828445154
33,backbone.res4.4.conv1,1,DET vs FullGradCam,handbag_383842,0.408805414071021
34,backbone.res4.4.conv2,1,DET vs FullGradCam,handbag_383842,0.3792666497297778
35,backbone.res4.4.conv3,1,DET vs FullGradCam,handbag_383842,0.4229004722433559
36,backbone.res4.5.conv1,1,DET vs FullGradCam,handbag_383842,0.39862761852807704
37,backbone.res4.5.conv2,2,DET vs FullGradCam,handbag_383842,0.4541972232923482
38,backbone.res4.5.conv3,2,DET vs FullGradCam,handbag_383842,0.5386320323730283
39,roi_heads.pooler.level,2,DET vs FullGradCam,handbag_383842,0.5840745239207679
40,roi_heads.res5.0.conv1,1,DET vs FullGradCam,handbag_383842,0.41590269422280646
41,roi_heads.res5.0.conv2,1,DET vs FullGradCam,handbag_383842,0.495600700093372
42,roi_heads.res5.0.conv3,1,DET vs FullGradCam,handbag_383842,0.5217421735267348
43,roi_heads.res5.1.conv1,2,DET vs FullGradCam,handbag_383842,0.5617737426778658
44,roi_heads.res5.1.conv2,2,DET vs FullGradCam,handbag_383842,0.5813171076582045
45,roi_heads.res5.1.conv3,1,DET vs FullGradCam,handbag_383842,0.39045544147656636
46,roi_heads.res5.2.conv1,1,DET vs FullGradCam,handbag_383842,0.5001993991505912
47,roi_heads.res5.2.conv2,1,DET vs FullGradCam,handbag_383842,0.40396885861714626
48,roi_heads.res5.2.conv3,1,DET vs FullGradCam,handbag_383842,0.29998262299439343
49,backbone.res2.0.conv1,1,DET vs FullGradCam,sandwich_465430,0.3696517825846156
50,backbone.res2.0.conv2,1,DET vs FullGradCam,sandwich_465430,0.35203523857643454
51,backbone.res2.0.conv3,1,DET vs FullGradCam,sandwich_465430,0.3615120737201415
52,backbone.res2.1.conv1,1,DET vs FullGradCam,sandwich_465430,0.3685704154436701
53,backbone.res2.1.conv2,1,DET vs FullGradCam,sandwich_465430,0.36370890018538027
54,backbone.res2.1.conv3,1,DET vs FullGradCam,sandwich_465430,0.38863393419501024
55,backbone.res2.2.conv1,1,DET vs FullGradCam,sandwich_465430,0.3678996590312911
56,backbone.res2.2.conv2,2,DET vs FullGradCam,sandwich_465430,0.4615252774345005
57,backbone.res2.2.conv3,2,DET vs FullGradCam,sandwich_465430,0.4644074971714929
58,backbone.res3.0.conv1,1,DET vs FullGradCam,sandwich_465430,0.36178213241556106
59,backbone.res3.0.conv2,1,DET vs FullGradCam,sandwich_465430,0.35062746882923446
60,backbone.res3.0.conv3,1,DET vs FullGradCam,sandwich_465430,0.35885753953704713
61,backbone.res3.1.conv1,1,DET vs FullGradCam,sandwich_465430,0.41814354515832447
62,backbone.res3.1.conv2,1,DET vs FullGradCam,sandwich_465430,0.39592414866470765
63,backbone.res3.1.conv3,1,DET vs FullGradCam,sandwich_465430,0.3489922507577622
64,backbone.res3.2.conv1,1,DET vs FullGradCam,sandwich_465430,0.3647599963850275
65,backbone.res3.2.conv2,1,DET vs FullGradCam,sandwich_465430,0.37779732871078636
66,backbone.res3.2.conv3,1,DET vs FullGradCam,sandwich_465430,0.37504753629232673
67,backbone.res3.3.conv1,1,DET vs FullGradCam,sandwich_465430,0.36254219371730045
68,backbone.res3.3.conv2,2,DET vs FullGradCam,sandwich_465430,0.4615547728352328
69,backbone.res3.3.conv3,2,DET vs FullGradCam,sandwich_465430,0.49303981872389335
70,backbone.res4.0.conv1,1,DET vs FullGradCam,sandwich_465430,0.40906908734783515
71,backbone.res4.0.conv2,1,DET vs FullGradCam,sandwich_465430,0.4063613974328167
72,backbone.res4.0.conv3,1,DET vs FullGradCam,sandwich_465430,0.4020006572897166
73,backbone.res4.1.conv1,1,DET vs FullGradCam,sandwich_465430,0.42668685100380616
74,backbone.res4.1.conv2,1,DET vs FullGradCam,sandwich_465430,0.382008669302138
75,backbone.res4.1.conv3,1,DET vs FullGradCam,sandwich_465430,0.3769840961525478
76,backbone.res4.2.conv1,1,DET vs FullGradCam,sandwich_465430,0.33208012196069736
77,backbone.res4.2.conv2,1,DET vs FullGradCam,sandwich_465430,0.30705000663952287
78,backbone.res4.2.conv3,1,DET vs FullGradCam,sandwich_465430,0.375664878108916
79,backbone.res4.3.conv1,1,DET vs FullGradCam,sandwich_465430,0.4001290008224108
80,backbone.res4.3.conv2,1,DET vs FullGradCam,sandwich_465430,0.3639163310825851
81,backbone.res4.3.conv3,1,DET vs FullGradCam,sandwich_465430,0.3429311357657357
82,backbone.res4.4.conv1,1,DET vs FullGradCam,sandwich_465430,0.31565801310431296
83,backbone.res4.4.conv2,1,DET vs FullGradCam,sandwich_465430,0.26045556724854313
84,backbone.res4.4.conv3,1,DET vs FullGradCam,sandwich_465430,0.36588954294663534
85,backbone.res4.5.conv1,1,DET vs FullGradCam,sandwich_465430,0.29276619649073216
86,backbone.res4.5.conv2,2,DET vs FullGradCam,sandwich_465430,0.32001811731181595
87,backbone.res4.5.conv3,2,DET vs FullGradCam,sandwich_465430,0.4566887039449083
88,roi_heads.pooler.level,2,DET vs FullGradCam,sandwich_465430,0.47093221582587863
89,roi_heads.res5.0.conv1,1,DET vs FullGradCam,sandwich_465430,0.3803389519772669
90,roi_heads.res5.0.conv2,1,DET vs FullGradCam,sandwich_465430,0.37953267949714126
91,roi_heads.res5.0.conv3,1,DET vs FullGradCam,sandwich_465430,0.40828025948145935
92,roi_heads.res5.1.conv1,2,DET vs FullGradCam,sandwich_465430,0.591344562362597
93,roi_heads.res5.1.conv2,2,DET vs FullGradCam,sandwich_465430,0.5994409127953993
94,roi_heads.res5.1.conv3,1,DET vs FullGradCam,sandwich_465430,0.41267083133452315
95,roi_heads.res5.2.conv1,1,DET vs FullGradCam,sandwich_465430,0.5210772345148628
96,roi_heads.res5.2.conv2,1,DET vs FullGradCam,sandwich_465430,0.5207044257419953
97,roi_heads.res5.2.conv3,1,DET vs FullGradCam,sandwich_465430,0.3163897249538739
98,backbone.res2.0.conv1,1,DET vs FullGradCam,bed_491757,0.41843930508135335
99,backbone.res2.0.conv2,1,DET vs FullGradCam,bed_491757,0.4032977045801475
100,backbone.res2.0.conv3,1,DET vs FullGradCam,bed_491757,0.39039941278408424
101,backbone.res2.1.conv1,1,DET vs FullGradCam,bed_491757,0.38685651191748144
102,backbone.res2.1.conv2,1,DET vs FullGradCam,bed_491757,0.38214346442785696
103,backbone.res2.1.conv3,1,DET vs FullGradCam,bed_491757,0.40404861382327145
104,backbone.res2.2.conv1,1,DET vs FullGradCam,bed_491757,0.40007859509270044
105,backbone.res2.2.conv2,2,DET vs FullGradCam,bed_491757,0.49734608898479454
106,backbone.res2.2.conv3,2,DET vs FullGradCam,bed_491757,0.48535791556197755
107,backbone.res3.0.conv1,1,DET vs FullGradCam,bed_491757,0.40052877754886396
108,backbone.res3.0.conv2,1,DET vs FullGradCam,bed_491757,0.3919416415977974
109,backbone.res3.0.conv3,1,DET vs FullGradCam,bed_491757,0.3844256723497988
110,backbone.res3.1.conv1,1,DET vs FullGradCam,bed_491757,0.42320266025333214
111,backbone.res3.1.conv2,1,DET vs FullGradCam,bed_491757,0.42178922650936934
112,backbone.res3.1.conv3,1,DET vs FullGradCam,bed_491757,0.3789566997582972
113,backbone.res3.2.conv1,1,DET vs FullGradCam,bed_491757,0.39664439800504997
114,backbone.res3.2.conv2,1,DET vs FullGradCam,bed_491757,0.40219738516176823
115,backbone.res3.2.conv3,1,DET vs FullGradCam,bed_491757,0.37932895294772684
116,backbone.res3.3.conv1,1,DET vs FullGradCam,bed_491757,0.4011856615836132
117,backbone.res3.3.conv2,2,DET vs FullGradCam,bed_491757,0.47386459953109267
118,backbone.res3.3.conv3,2,DET vs FullGradCam,bed_491757,0.4508144687803322
119,backbone.res4.0.conv1,1,DET vs FullGradCam,bed_491757,0.41268001659605524
