,Layer,Cluster,Task,Image,Similarity
0,backbone.res2.0.conv1,1,DET vs FullGradCam,handbag_383842,0.007071259955911336
1,backbone.res2.0.conv2,1,DET vs FullGradCam,handbag_383842,0.008250844623614563
2,backbone.res2.0.conv3,1,DET vs FullGradCam,handbag_383842,0.008112160332283309
3,backbone.res2.1.conv1,1,DET vs FullGradCam,handbag_383842,0.008332674525835969
4,backbone.res2.1.conv2,1,DET vs FullGradCam,handbag_383842,0.007873864932679678
5,backbone.res2.1.conv3,1,DET vs FullGradCam,handbag_383842,0.009071292955249319
6,backbone.res2.2.conv1,1,DET vs FullGradCam,handbag_383842,0.008031180044570842
7,backbone.res2.2.conv2,1,DET vs FullGradCam,handbag_383842,0.00961789970055105
8,backbone.res2.2.conv3,1,DET vs FullGradCam,handbag_383842,0.00928400491923623
9,backbone.res3.0.conv1,1,DET vs FullGradCam,handbag_383842,0.007737480826741733
10,backbone.res3.0.conv2,1,DET vs FullGradCam,handbag_383842,0.006678202858762586
11,backbone.res3.0.conv3,1,DET vs FullGradCam,handbag_383842,0.0072647736296238465
12,backbone.res3.1.conv1,1,DET vs FullGradCam,handbag_383842,0.007780927854450694
13,backbone.res3.1.conv2,1,DET vs FullGradCam,handbag_383842,0.007780261477076329
14,backbone.res3.1.conv3,1,DET vs FullGradCam,handbag_383842,0.008067720958337896
15,backbone.res3.2.conv1,1,DET vs FullGradCam,handbag_383842,0.008041181053238288
16,backbone.res3.2.conv2,1,DET vs FullGradCam,handbag_383842,0.008612302644932093
17,backbone.res3.2.conv3,1,DET vs FullGradCam,handbag_383842,0.008109907132192198
18,backbone.res3.3.conv1,1,DET vs FullGradCam,handbag_383842,0.007104093777439422
19,backbone.res3.3.conv2,1,DET vs FullGradCam,handbag_383842,0.00909290525172011
20,backbone.res3.3.conv3,1,DET vs FullGradCam,handbag_383842,0.009112579588445512
21,backbone.res4.0.conv1,1,DET vs FullGradCam,handbag_383842,0.004425889476290122
22,backbone.res4.0.conv2,1,DET vs FullGradCam,handbag_383842,0.0024563342454348948
23,backbone.res4.0.conv3,1,DET vs FullGradCam,handbag_383842,0.004101714705594061
24,backbone.res4.1.conv1,1,DET vs FullGradCam,handbag_383842,0.003255987694084475
25,backbone.res4.1.conv2,1,DET vs FullGradCam,handbag_383842,0.005754374848751468
26,backbone.res4.1.conv3,1,DET vs FullGradCam,handbag_383842,0.0064869490117712
27,backbone.res4.2.conv1,1,DET vs FullGradCam,handbag_383842,0.0063311722021059235
28,backbone.res4.2.conv2,1,DET vs FullGradCam,handbag_383842,0.004448308577541708
29,backbone.res4.2.conv3,1,DET vs FullGradCam,handbag_383842,0.005806614390098066
30,backbone.res4.3.conv1,1,DET vs FullGradCam,handbag_383842,0.005255177812694652
31,backbone.res4.3.conv2,1,DET vs FullGradCam,handbag_383842,0.006704816051549553
