,Layer,Cluster,Task,Image,Similarity
0,backbone.res2.0.conv1,1,DET vs FullGradCam,handbag_383842,0.05602887026960781
1,backbone.res2.0.conv2,1,DET vs FullGradCam,handbag_383842,0.05603309949183694
2,backbone.res2.0.conv3,1,DET vs FullGradCam,handbag_383842,0.05548950402358834
3,backbone.res2.1.conv1,1,DET vs FullGradCam,handbag_383842,0.05543889256467334
4,backbone.res2.1.conv2,1,DET vs FullGradCam,handbag_383842,0.05555107698954765
5,backbone.res2.1.conv3,1,DET vs FullGradCam,handbag_383842,0.05630542598156113
6,backbone.res2.2.conv1,1,DET vs FullGradCam,handbag_383842,0.05540500982269265
7,backbone.res2.2.conv2,1,DET vs FullGradCam,handbag_383842,0.057046561419603285
8,backbone.res2.2.conv3,1,DET vs FullGradCam,handbag_383842,0.05716593689510101
9,backbone.res3.0.conv1,1,DET vs FullGradCam,handbag_383842,0.05576077589331338
10,backbone.res3.0.conv2,1,DET vs FullGradCam,handbag_383842,0.05430981368097664
11,backbone.res3.0.conv3,1,DET vs FullGradCam,handbag_383842,0.05380307514059182
12,backbone.res3.1.conv1,1,DET vs FullGradCam,handbag_383842,0.055066579873039576
13,backbone.res3.1.conv2,1,DET vs FullGradCam,handbag_383842,0.05473031554192616
14,backbone.res3.1.conv3,1,DET vs FullGradCam,handbag_383842,0.054037476907899215
15,backbone.res3.2.conv1,1,DET vs FullGradCam,handbag_383842,0.05504840973625427
16,backbone.res3.2.conv2,1,DET vs FullGradCam,handbag_383842,0.057001567835890915
17,backbone.res3.2.conv3,1,DET vs FullGradCam,handbag_383842,0.05477293714341494
18,backbone.res3.3.conv1,1,DET vs FullGradCam,handbag_383842,0.05608855086846323
19,backbone.res3.3.conv2,1,DET vs FullGradCam,handbag_383842,0.056557750541929054
20,backbone.res3.3.conv3,1,DET vs FullGradCam,handbag_383842,0.05643059462684444
21,backbone.res4.0.conv1,1,DET vs FullGradCam,handbag_383842,0.05537791793948995
22,backbone.res4.0.conv2,1,DET vs FullGradCam,handbag_383842,0.060029321575150424
23,backbone.res4.0.conv3,1,DET vs FullGradCam,handbag_383842,0.053782263420830256
24,backbone.res4.1.conv1,1,DET vs FullGradCam,handbag_383842,0.055179392212753406
25,backbone.res4.1.conv2,1,DET vs FullGradCam,handbag_383842,0.04520009842162155
26,backbone.res4.1.conv3,1,DET vs FullGradCam,handbag_383842,0.05322757791254252
27,backbone.res4.2.conv1,1,DET vs FullGradCam,handbag_383842,0.05173000379757255
28,backbone.res4.2.conv2,1,DET vs FullGradCam,handbag_383842,0.048327766058981605
29,backbone.res4.2.conv3,1,DET vs FullGradCam,handbag_383842,0.05244764907702611
30,backbone.res4.3.conv1,1,DET vs FullGradCam,handbag_383842,0.05047239716545339
31,backbone.res4.3.conv2,1,DET vs FullGradCam,handbag_383842,0.04723428628806839
32,backbone.res4.3.conv3,1,DET vs FullGradCam,handbag_383842,0.055386000481971696
33,backbone.res4.4.conv1,1,DET vs FullGradCam,handbag_383842,0.054210692417612776
34,backbone.res4.4.conv2,1,DET vs FullGradCam,handbag_383842,0.05305108606711637
35,backbone.res4.4.conv3,1,DET vs FullGradCam,handbag_383842,0.0605025987250991
36,backbone.res4.5.conv1,1,DET vs FullGradCam,handbag_383842,0.052679550417184806
37,backbone.res4.5.conv2,1,DET vs FullGradCam,handbag_383842,0.05501116189573385
38,backbone.res4.5.conv3,1,DET vs FullGradCam,handbag_383842,0.0615729793403048
39,roi_heads.pooler.level,1,DET vs FullGradCam,handbag_383842,0.05901389003417045
40,roi_heads.res5.0.conv1,2,DET vs FullGradCam,handbag_383842,0.05789061834078535
41,roi_heads.res5.0.conv2,2,DET vs FullGradCam,handbag_383842,0.0621467474263818
42,roi_heads.res5.0.conv3,2,DET vs FullGradCam,handbag_383842,0.06825224883494428
43,roi_heads.res5.1.conv1,2,DET vs FullGradCam,handbag_383842,0.06205718144077858
44,roi_heads.res5.1.conv2,2,DET vs FullGradCam,handbag_383842,0.06343404538148219
45,roi_heads.res5.1.conv3,2,DET vs FullGradCam,handbag_383842,0.05984442331163722
46,roi_heads.res5.2.conv1,2,DET vs FullGradCam,handbag_383842,0.06655293916403776
47,roi_heads.res5.2.conv2,2,DET vs FullGradCam,handbag_383842,0.055152440824783155
48,roi_heads.res5.2.conv3,2,DET vs FullGradCam,handbag_383842,0.05047011118320139
49,backbone.res2.0.conv1,1,DET vs FullGradCam,sandwich_465430,0.10503981178877274
50,backbone.res2.0.conv2,1,DET vs FullGradCam,sandwich_465430,0.10478423184873419
51,backbone.res2.0.conv3,1,DET vs FullGradCam,sandwich_465430,0.10566623797351235
52,backbone.res2.1.conv1,1,DET vs FullGradCam,sandwich_465430,0.1055129644109786
53,backbone.res2.1.conv2,1,DET vs FullGradCam,sandwich_465430,0.10520604504772513
54,backbone.res2.1.conv3,1,DET vs FullGradCam,sandwich_465430,0.10660804573011762
55,backbone.res2.2.conv1,1,DET vs FullGradCam,sandwich_465430,0.10560363633598727
56,backbone.res2.2.conv2,1,DET vs FullGradCam,sandwich_465430,0.10709541584796856
57,backbone.res2.2.conv3,1,DET vs FullGradCam,sandwich_465430,0.10725346011233469
58,backbone.res3.0.conv1,1,DET vs FullGradCam,sandwich_465430,0.10487607815277915
59,backbone.res3.0.conv2,1,DET vs FullGradCam,sandwich_465430,0.10436143238898736
60,backbone.res3.0.conv3,1,DET vs FullGradCam,sandwich_465430,0.10490995625164236
61,backbone.res3.1.conv1,1,DET vs FullGradCam,sandwich_465430,0.10687481366610259
62,backbone.res3.1.conv2,1,DET vs FullGradCam,sandwich_465430,0.10619890067347529
63,backbone.res3.1.conv3,1,DET vs FullGradCam,sandwich_465430,0.10455826269965489
64,backbone.res3.2.conv1,1,DET vs FullGradCam,sandwich_465430,0.10511550792355853
65,backbone.res3.2.conv2,1,DET vs FullGradCam,sandwich_465430,0.10596692687513279
66,backbone.res3.2.conv3,1,DET vs FullGradCam,sandwich_465430,0.10611428961110285
67,backbone.res3.3.conv1,1,DET vs FullGradCam,sandwich_465430,0.10494711915034594
68,backbone.res3.3.conv2,1,DET vs FullGradCam,sandwich_465430,0.10697649640702964
69,backbone.res3.3.conv3,1,DET vs FullGradCam,sandwich_465430,0.10825998881010014
70,backbone.res4.0.conv1,1,DET vs FullGradCam,sandwich_465430,0.10988439102869314
71,backbone.res4.0.conv2,1,DET vs FullGradCam,sandwich_465430,0.11119327679557747
72,backbone.res4.0.conv3,1,DET vs FullGradCam,sandwich_465430,0.11071594356450014
73,backbone.res4.1.conv1,1,DET vs FullGradCam,sandwich_465430,0.10989255332792455
74,backbone.res4.1.conv2,1,DET vs FullGradCam,sandwich_465430,0.10818165612345503
75,backbone.res4.1.conv3,1,DET vs FullGradCam,sandwich_465430,0.10879929001252783
76,backbone.res4.2.conv1,1,DET vs FullGradCam,sandwich_465430,0.10486606745397267
77,backbone.res4.2.conv2,1,DET vs FullGradCam,sandwich_465430,0.10405866193497909
78,backbone.res4.2.conv3,1,DET vs FullGradCam,sandwich_465430,0.10709899342265598
79,backbone.res4.3.conv1,1,DET vs FullGradCam,sandwich_465430,0.1077986913682227
80,backbone.res4.3.conv2,1,DET vs FullGradCam,sandwich_465430,0.10584084519058458
