,Layer,Cluster,Image,PCC
0,backbone.res2.0.conv1,1,handbag_383842,0.2881064858062635
1,backbone.res2.0.conv2,1,handbag_383842,0.3110741875166502
2,backbone.res2.0.conv3,1,handbag_383842,0.40872711555412905
3,backbone.res2.1.conv1,1,handbag_383842,0.4809331593435871
4,backbone.res2.1.conv2,1,handbag_383842,0.4512837363089296
5,backbone.res2.1.conv3,1,handbag_383842,0.35047880236660495
6,backbone.res2.2.conv1,1,handbag_383842,0.45299093440990035
7,backbone.res2.2.conv2,2,handbag_383842,0.25770400534213195
8,backbone.res2.2.conv3,2,handbag_383842,0.26583791018376
9,backbone.res3.0.conv1,1,handbag_383842,0.3691852287290892
10,backbone.res3.0.conv2,1,handbag_383842,0.3763877483870909
11,backbone.res3.0.conv3,1,handbag_383842,0.38709531486890936
12,backbone.res3.1.conv1,1,handbag_383842,0.4032446506581155
13,backbone.res3.1.conv2,1,handbag_383842,0.3360575981104958
14,backbone.res3.1.conv3,1,handbag_383842,0.414923041722117
15,backbone.res3.2.conv1,1,handbag_383842,0.4176710224805187
16,backbone.res3.2.conv2,1,handbag_383842,0.2978427046035939
17,backbone.res3.2.conv3,1,handbag_383842,0.34251877525575586
18,backbone.res3.3.conv1,1,handbag_383842,0.39291561559300753
19,backbone.res3.3.conv2,2,handbag_383842,0.2624728641893137
20,backbone.res3.3.conv3,2,handbag_383842,0.18030624658758032
21,backbone.res4.0.conv1,1,handbag_383842,0.47454905240117545
22,backbone.res4.0.conv2,1,handbag_383842,0.5403742023783811
23,backbone.res4.0.conv3,1,handbag_383842,0.3660590299075337
24,backbone.res4.1.conv1,1,handbag_383842,0.4356462515032084
25,backbone.res4.1.conv2,1,handbag_383842,0.554552716241294
26,backbone.res4.1.conv3,1,handbag_383842,0.46057789637819035
27,backbone.res4.2.conv1,1,handbag_383842,0.5136877863580032
28,backbone.res4.2.conv2,1,handbag_383842,0.5415896340966074
29,backbone.res4.2.conv3,1,handbag_383842,0.5269272689316562
30,backbone.res4.3.conv1,1,handbag_383842,0.46171866191523286
31,backbone.res4.3.conv2,1,handbag_383842,0.49366536574739583
32,backbone.res4.3.conv3,1,handbag_383842,0.5112861935295756
33,backbone.res4.4.conv1,1,handbag_383842,0.3989471990563823
34,backbone.res4.4.conv2,2,handbag_383842,0.3888600763802147
35,backbone.res4.4.conv3,2,handbag_383842,0.4872738675397578
