,Layer,Cluster,Image,PCC
0,backbone.res2.0.conv1,2,handbag_383842,0.40238247673543104
1,backbone.res2.0.conv2,2,handbag_383842,0.4437618766892549
2,backbone.res2.0.conv3,2,handbag_383842,0.5691520901760231
3,backbone.res2.1.conv1,2,handbag_383842,0.4465295457420936
4,backbone.res2.1.conv2,2,handbag_383842,0.4091444004693011
5,backbone.res2.1.conv3,2,handbag_383842,0.5967389871588893
6,backbone.res2.2.conv1,2,handbag_383842,0.6028660747412664
7,backbone.res2.2.conv2,2,handbag_383842,0.4672452910640912
8,backbone.res2.2.conv3,2,handbag_383842,0.5919993562014114
9,backbone.res3.0.conv1,2,handbag_383842,0.5037979716333395
10,backbone.res3.0.conv2,2,handbag_383842,0.3999261849791676
11,backbone.res3.0.conv3,2,handbag_383842,0.4338396821031144
12,backbone.res3.1.conv1,2,handbag_383842,0.5484596527197827
13,backbone.res3.1.conv2,2,handbag_383842,0.3668063004486207
14,backbone.res3.1.conv3,2,handbag_383842,0.4509186352129004
15,backbone.res3.2.conv1,2,handbag_383842,0.46464055913627506
16,backbone.res3.2.conv2,2,handbag_383842,0.3445494906886567
17,backbone.res3.2.conv3,2,handbag_383842,0.44613173274904633
18,backbone.res3.3.conv1,2,handbag_383842,0.45031460204444723
19,backbone.res3.3.conv2,2,handbag_383842,0.3616600997799707
20,backbone.res3.3.conv3,2,handbag_383842,0.23161986044255367
21,backbone.res4.0.conv1,2,handbag_383842,0.264676064534798
22,backbone.res4.0.conv2,2,handbag_383842,0.6264349718343379
23,backbone.res4.0.conv3,2,handbag_383842,0.4668526960396127
24,backbone.res4.1.conv1,2,handbag_383842,0.4467934177370847
25,backbone.res4.1.conv2,2,handbag_383842,0.6975352978612438
26,backbone.res4.1.conv3,2,handbag_383842,0.513540309862324
27,backbone.res4.2.conv1,2,handbag_383842,0.6483525052474206
28,backbone.res4.2.conv2,1,handbag_383842,0.7311103257345473
29,backbone.res4.2.conv3,1,handbag_383842,0.6923291125523671
30,backbone.res4.3.conv1,1,handbag_383842,0.5263823148053502
31,backbone.res4.3.conv2,1,handbag_383842,0.7375095462337308
32,backbone.res4.3.conv3,1,handbag_383842,0.6846631633823829
33,backbone.res4.4.conv1,1,handbag_383842,0.6262961320712566
34,backbone.res4.4.conv2,1,handbag_383842,0.7160529992184907
35,backbone.res4.4.conv3,1,handbag_383842,0.5719452507767566
36,backbone.res4.5.conv1,1,handbag_383842,0.5785698741539909
37,backbone.res4.5.conv2,1,handbag_383842,0.6854796265661541
38,backbone.res4.5.conv3,1,handbag_383842,0.5935649162369925
39,backbone.res2.0.conv1,2,sandwich_465430,0.47984052539336974
40,backbone.res2.0.conv2,2,sandwich_465430,0.4853560702347811
41,backbone.res2.0.conv3,2,sandwich_465430,0.5243267658197173
42,backbone.res2.1.conv1,2,sandwich_465430,0.4941106542097235
43,backbone.res2.1.conv2,2,sandwich_465430,0.5101335340313594
44,backbone.res2.1.conv3,2,sandwich_465430,0.4642810177740019
45,backbone.res2.2.conv1,2,sandwich_465430,0.4562305661063594
46,backbone.res2.2.conv2,2,sandwich_465430,0.49913564693751283
47,backbone.res2.2.conv3,2,sandwich_465430,0.5236334491313301
48,backbone.res3.0.conv1,2,sandwich_465430,0.583860318004433
49,backbone.res3.0.conv2,2,sandwich_465430,0.5456837297396044
50,backbone.res3.0.conv3,2,sandwich_465430,0.5654797233205736
51,backbone.res3.1.conv1,2,sandwich_465430,0.4506957929277847
52,backbone.res3.1.conv2,2,sandwich_465430,0.5228589000284295
53,backbone.res3.1.conv3,2,sandwich_465430,0.48098034836310893
54,backbone.res3.2.conv1,2,sandwich_465430,0.5900647878414833
55,backbone.res3.2.conv2,2,sandwich_465430,0.4219685180498812
56,backbone.res3.2.conv3,2,sandwich_465430,0.5665097620446883
57,backbone.res3.3.conv1,2,sandwich_465430,0.5350480075515958
58,backbone.res3.3.conv2,2,sandwich_465430,0.31878963628557516
59,backbone.res3.3.conv3,2,sandwich_465430,0.5662074203907626
60,backbone.res4.0.conv1,2,sandwich_465430,0.508726692092871
61,backbone.res4.0.conv2,2,sandwich_465430,0.3738544245286335
62,backbone.res4.0.conv3,2,sandwich_465430,0.44520491961781294
63,backbone.res4.1.conv1,2,sandwich_465430,0.5474063613966168
64,backbone.res4.1.conv2,2,sandwich_465430,0.4177405047247661
65,backbone.res4.1.conv3,2,sandwich_465430,0.4329749451574226
66,backbone.res4.2.conv1,2,sandwich_465430,0.37143364751322405
67,backbone.res4.2.conv2,1,sandwich_465430,0.38616950540839634
68,backbone.res4.2.conv3,1,sandwich_465430,0.4990025114953414
69,backbone.res4.3.conv1,1,sandwich_465430,0.5231470827234612
70,backbone.res4.3.conv2,1,sandwich_465430,0.5428005017731634
71,backbone.res4.3.conv3,1,sandwich_465430,0.4805510078350166
72,backbone.res4.4.conv1,1,sandwich_465430,0.4538989038222453
73,backbone.res4.4.conv2,1,sandwich_465430,0.46842509614334965
