,Layer,Cluster,Image,PCC
0,backbone.res2.0.conv1,1,handbag_383842,0.4725873297139309
1,backbone.res2.0.conv2,1,handbag_383842,0.5138544410815625
2,backbone.res2.0.conv3,1,handbag_383842,0.6480030991732236
3,backbone.res2.1.conv1,1,handbag_383842,0.5289119848118419
4,backbone.res2.1.conv2,1,handbag_383842,0.48794772679567244
5,backbone.res2.1.conv3,1,handbag_383842,0.6629392994169928
6,backbone.res2.2.conv1,1,handbag_383842,0.6654993733246672
7,backbone.res2.2.conv2,1,handbag_383842,0.4935789593928194
8,backbone.res2.2.conv3,1,handbag_383842,0.6644159092889882
9,backbone.res3.0.conv1,1,handbag_383842,0.5893975521735416
10,backbone.res3.0.conv2,1,handbag_383842,0.46538627842302255
11,backbone.res3.0.conv3,1,handbag_383842,0.4637459574093136
12,backbone.res3.1.conv1,1,handbag_383842,0.6302891600506836
13,backbone.res3.1.conv2,1,handbag_383842,0.41994007726062277
14,backbone.res3.1.conv3,1,handbag_383842,0.4947386764800445
15,backbone.res3.2.conv1,1,handbag_383842,0.497314521103476
16,backbone.res3.2.conv2,1,handbag_383842,0.44869373807806073
17,backbone.res3.2.conv3,1,handbag_383842,0.5340478771444541
18,backbone.res3.3.conv1,1,handbag_383842,0.5734147090412007
19,backbone.res3.3.conv2,1,handbag_383842,0.38563878487639114
20,backbone.res3.3.conv3,1,handbag_383842,0.26502994588797474
21,backbone.res4.0.conv1,1,handbag_383842,0.4092295468288997
22,backbone.res4.0.conv2,1,handbag_383842,0.6109637934455002
23,backbone.res4.0.conv3,1,handbag_383842,0.4498294618802277
24,backbone.res4.1.conv1,1,handbag_383842,0.5703317134475813
25,backbone.res4.1.conv2,1,handbag_383842,0.7045925651248393
26,backbone.res4.1.conv3,1,handbag_383842,0.40873879485984616
27,backbone.res4.2.conv1,1,handbag_383842,0.6426912656924433
28,backbone.res4.2.conv2,2,handbag_383842,0.6867398902939612
29,backbone.res4.2.conv3,2,handbag_383842,0.5753271062795693
30,backbone.res4.3.conv1,2,handbag_383842,0.41465243157630505
31,backbone.res4.3.conv2,2,handbag_383842,0.687575895133418
32,backbone.res4.3.conv3,2,handbag_383842,0.7213121640253483
33,backbone.res4.4.conv1,2,handbag_383842,0.5470064242904783
34,backbone.res4.4.conv2,2,handbag_383842,0.7013734725316803
35,backbone.res4.4.conv3,2,handbag_383842,0.6986089492674662
36,backbone.res4.5.conv1,2,handbag_383842,0.6786242318229916
37,backbone.res4.5.conv2,2,handbag_383842,0.7138944302627779
38,backbone.res4.5.conv3,2,handbag_383842,0.7143803148056214
39,backbone.res2.0.conv1,1,sandwich_465430,0.28052710327037256
40,backbone.res2.0.conv2,1,sandwich_465430,0.2825167914098495
41,backbone.res2.0.conv3,1,sandwich_465430,0.2916063961088054
42,backbone.res2.1.conv1,1,sandwich_465430,0.2846705520803587
43,backbone.res2.1.conv2,1,sandwich_465430,0.28489289642290805
44,backbone.res2.1.conv3,1,sandwich_465430,0.25315440723634913
45,backbone.res2.2.conv1,1,sandwich_465430,0.26498798309448895
46,backbone.res2.2.conv2,1,sandwich_465430,0.2858099208319809
47,backbone.res2.2.conv3,1,sandwich_465430,0.27875398652367506
48,backbone.res3.0.conv1,1,sandwich_465430,0.29691817873193466
49,backbone.res3.0.conv2,1,sandwich_465430,0.29911464271728033
50,backbone.res3.0.conv3,1,sandwich_465430,0.2976412211630436
51,backbone.res3.1.conv1,1,sandwich_465430,0.27520097020613704
52,backbone.res3.1.conv2,1,sandwich_465430,0.3032099703793919
53,backbone.res3.1.conv3,1,sandwich_465430,0.24511557432684977
54,backbone.res3.2.conv1,1,sandwich_465430,0.30090510867184095
55,backbone.res3.2.conv2,1,sandwich_465430,0.22989356587506404
56,backbone.res3.2.conv3,1,sandwich_465430,0.3085884647100143
57,backbone.res3.3.conv1,1,sandwich_465430,0.30947279652997056
58,backbone.res3.3.conv2,1,sandwich_465430,0.20557093923099803
59,backbone.res3.3.conv3,1,sandwich_465430,0.30400460442333915
60,backbone.res4.0.conv1,1,sandwich_465430,0.3069477184955531
61,backbone.res4.0.conv2,1,sandwich_465430,0.2406438714272825
62,backbone.res4.0.conv3,1,sandwich_465430,0.23539694391377466
63,backbone.res4.1.conv1,1,sandwich_465430,0.2955655239150232
64,backbone.res4.1.conv2,1,sandwich_465430,0.2501795025410104
65,backbone.res4.1.conv3,1,sandwich_465430,0.2801573857324785
66,backbone.res4.2.conv1,1,sandwich_465430,0.2188880517299681
67,backbone.res4.2.conv2,2,sandwich_465430,0.19850421096670465
68,backbone.res4.2.conv3,2,sandwich_465430,0.2964887849436917
69,backbone.res4.3.conv1,2,sandwich_465430,0.2927201851605856
70,backbone.res4.3.conv2,2,sandwich_465430,0.2891986104748501
71,backbone.res4.3.conv3,2,sandwich_465430,0.29392455499005143
72,backbone.res4.4.conv1,2,sandwich_465430,0.2775530736666769
