,Layer,Cluster,Image,PCC
0,backbone.res2.0.conv1,2,handbag_383842,0.07466376625865752
1,backbone.res2.0.conv2,2,handbag_383842,0.07896133743255229
2,backbone.res2.0.conv3,2,handbag_383842,0.11478272541506465
3,backbone.res2.1.conv1,2,handbag_383842,0.09996648141031432
4,backbone.res2.1.conv2,2,handbag_383842,0.10510517229005226
5,backbone.res2.1.conv3,2,handbag_383842,0.12108802731045247
6,backbone.res2.2.conv1,2,handbag_383842,0.12173843025200795
7,backbone.res2.2.conv2,2,handbag_383842,0.0939497655184694
8,backbone.res2.2.conv3,2,handbag_383842,0.12000880213984365
9,backbone.res3.0.conv1,2,handbag_383842,0.09672755425364969
10,backbone.res3.0.conv2,2,handbag_383842,0.07796097494008948
11,backbone.res3.0.conv3,2,handbag_383842,0.08991297599961427
12,backbone.res3.1.conv1,2,handbag_383842,0.10853782407996362
13,backbone.res3.1.conv2,2,handbag_383842,0.06857887215361168
14,backbone.res3.1.conv3,2,handbag_383842,0.09441283420816504
15,backbone.res3.2.conv1,2,handbag_383842,0.10053671835238674
16,backbone.res3.2.conv2,2,handbag_383842,0.07024205239940176
17,backbone.res3.2.conv3,2,handbag_383842,0.08590621453171367
18,backbone.res3.3.conv1,2,handbag_383842,0.09287779796468482
19,backbone.res3.3.conv2,2,handbag_383842,0.07167819221139676
20,backbone.res3.3.conv3,2,handbag_383842,0.04195481585288383
21,backbone.res4.0.conv1,2,handbag_383842,0.05908129847102149
22,backbone.res4.0.conv2,1,handbag_383842,0.12320355036726485
23,backbone.res4.0.conv3,2,handbag_383842,0.0868368834841368
24,backbone.res4.1.conv1,1,handbag_383842,0.09508954653758754
25,backbone.res4.1.conv2,1,handbag_383842,0.14524863642128882
26,backbone.res4.1.conv3,1,handbag_383842,0.10241929373746336
27,backbone.res4.2.conv1,1,handbag_383842,0.137377441371504
28,backbone.res4.2.conv2,1,handbag_383842,0.1564271825226287
29,backbone.res4.2.conv3,1,handbag_383842,0.14158091713905527
30,backbone.res4.3.conv1,1,handbag_383842,0.10755938197930075
31,backbone.res4.3.conv2,1,handbag_383842,0.15592872870045965
32,backbone.res4.3.conv3,1,handbag_383842,0.14697571977236865
33,backbone.res4.4.conv1,1,handbag_383842,0.12728104065724732
34,backbone.res4.4.conv2,1,handbag_383842,0.15235700390881263
35,backbone.res4.4.conv3,1,handbag_383842,0.124191005304537
36,backbone.res4.5.conv1,1,handbag_383842,0.13430287810038277
37,backbone.res4.5.conv2,1,handbag_383842,0.1498862469316509
38,backbone.res4.5.conv3,1,handbag_383842,0.13513900712108706
39,backbone.res2.0.conv1,2,sandwich_465430,0.5427953498772854
40,backbone.res2.0.conv2,2,sandwich_465430,0.5453652727747939
41,backbone.res2.0.conv3,2,sandwich_465430,0.5910459282640085
42,backbone.res2.1.conv1,2,sandwich_465430,0.5565571327824194
43,backbone.res2.1.conv2,2,sandwich_465430,0.5759077637776058
