,Layer,Cluster,Image,PCC
0,backbone.res2.0.conv1,1,54,0.3399372350803028
1,backbone.res2.0.conv2,1,54,0.40478250498978985
2,backbone.res2.0.conv3,1,54,0.3941921446245675
3,backbone.res2.1.conv1,1,54,0.3198093359005908
4,backbone.res2.1.conv2,1,54,0.36760077857239776
5,backbone.res2.1.conv3,1,54,0.3680718175328948
6,backbone.res2.2.conv1,1,54,0.38271173194024566
7,backbone.res2.2.conv2,1,54,0.3958991703633791
8,backbone.res2.2.conv3,1,54,0.35155031773175555
9,backbone.res3.0.conv1,1,54,0.33348830513321587
10,backbone.res3.0.conv2,1,54,0.36900298255093333
11,backbone.res3.0.conv3,1,54,0.2839097771910386
12,backbone.res3.1.conv1,1,54,0.2450265150630493
13,backbone.res3.1.conv2,1,54,0.3350441038654225
14,backbone.res3.1.conv3,1,54,0.38065748262685284
15,backbone.res3.2.conv1,1,54,0.35902135767579624
16,backbone.res3.2.conv2,1,54,0.45350519638968123
17,backbone.res3.2.conv3,1,54,0.31464058352803004
18,backbone.res3.3.conv1,1,54,0.35755855485609905
19,backbone.res3.3.conv2,1,54,0.2714980743051825
20,backbone.res3.3.conv3,1,54,0.3290498966279166
21,backbone.res4.0.conv1,1,54,0.2986620878871698
22,backbone.res4.0.conv2,1,54,0.2840670764807656
23,backbone.res4.0.conv3,1,54,0.41873499100582956
24,backbone.res4.1.conv1,1,54,0.4909656515755444
25,backbone.res4.1.conv2,1,54,0.2763568754070783
26,backbone.res4.1.conv3,2,54,0.33565027463591945
27,backbone.res4.2.conv1,2,54,0.341152418540373
28,backbone.res4.2.conv2,2,54,0.14486667043377424
29,backbone.res4.2.conv3,2,54,0.3760462895782418
30,backbone.res4.3.conv1,2,54,0.2871271656394981
31,backbone.res4.3.conv2,2,54,0.38842042112603803
32,backbone.res4.3.conv3,2,54,0.28376943317017367
33,backbone.res4.4.conv1,2,54,0.28243201197332707
34,backbone.res4.4.conv2,2,54,0.42526361906742705
35,backbone.res4.4.conv3,2,54,0.5189924072677522
36,backbone.res4.5.conv1,2,54,0.23833291723684843
37,backbone.res4.5.conv2,2,54,0.46400424703914345
38,backbone.res4.5.conv3,2,54,0.5371184852029778
39,backbone.res2.0.conv1,1,1319,0.8334147958330174
40,backbone.res2.0.conv2,1,1319,0.8162287852574682
41,backbone.res2.0.conv3,1,1319,0.8343702859263066
42,backbone.res2.1.conv1,1,1319,0.8516982895868466
43,backbone.res2.1.conv2,1,1319,0.8343341443504034
44,backbone.res2.1.conv3,1,1319,0.8120523346082197
45,backbone.res2.2.conv1,1,1319,0.8122143292744721
46,backbone.res2.2.conv2,1,1319,0.5996240865256419
47,backbone.res2.2.conv3,1,1319,0.6744383979764916
48,backbone.res3.0.conv1,1,1319,0.7402760136297459
49,backbone.res3.0.conv2,1,1319,0.7861229450183488
50,backbone.res3.0.conv3,1,1319,0.764770231970138
51,backbone.res3.1.conv1,1,1319,0.6532411418253065
52,backbone.res3.1.conv2,1,1319,0.6398117801207511
53,backbone.res3.1.conv3,1,1319,0.5821474056602292
54,backbone.res3.2.conv1,1,1319,0.7525982598205603
55,backbone.res3.2.conv2,1,1319,0.5511998228886702
56,backbone.res3.2.conv3,1,1319,0.6122013766714484
57,backbone.res3.3.conv1,1,1319,0.5973673205574214
58,backbone.res3.3.conv2,1,1319,0.4841603611055362
59,backbone.res3.3.conv3,1,1319,0.7093858247349103
60,backbone.res4.0.conv1,1,1319,0.6739287928840524
61,backbone.res4.0.conv2,1,1319,0.5325078818551114
62,backbone.res4.0.conv3,1,1319,0.7423506797596481
63,backbone.res4.1.conv1,1,1319,0.31249081739137763
64,backbone.res4.1.conv2,1,1319,0.5299730726240303
65,backbone.res4.1.conv3,2,1319,0.5812719187112019
66,backbone.res4.2.conv1,2,1319,0.682458696021875
67,backbone.res4.2.conv2,2,1319,0.8846083553910753
68,backbone.res4.2.conv3,2,1319,0.7202935127709607
69,backbone.res4.3.conv1,2,1319,0.7320884649437535
70,backbone.res4.3.conv2,2,1319,0.7027190294937858
71,backbone.res4.3.conv3,2,1319,0.7916464568131132
72,backbone.res4.4.conv1,2,1319,0.7755219883029678
73,backbone.res4.4.conv2,2,1319,0.6887069390276611
74,backbone.res4.4.conv3,2,1319,0.7698610494440419
75,backbone.res4.5.conv1,2,1319,0.8163820925108206
76,backbone.res4.5.conv2,2,1319,0.8054600543706351
77,backbone.res4.5.conv3,2,1319,0.7617171252096142
78,backbone.res2.0.conv1,1,68,0.632197775727763
79,backbone.res2.0.conv2,1,68,0.38143191298789136
80,backbone.res2.0.conv3,1,68,0.42393324276409344
81,backbone.res2.1.conv1,1,68,0.4838074337803851
82,backbone.res2.1.conv2,1,68,0.34593970623152354
83,backbone.res2.1.conv3,1,68,0.39500068387177323
84,backbone.res2.2.conv1,1,68,0.5665585833583403
85,backbone.res2.2.conv2,1,68,0.35964351162725566
86,backbone.res2.2.conv3,1,68,0.6334033444985289
87,backbone.res3.0.conv1,1,68,0.6307356363037492
88,backbone.res3.0.conv2,1,68,0.5663689328755914
89,backbone.res3.0.conv3,1,68,0.6414187426567239
90,backbone.res3.1.conv1,1,68,0.6660249205138169
91,backbone.res3.1.conv2,1,68,0.648132173194974
92,backbone.res3.1.conv3,1,68,0.3969823943556851
93,backbone.res3.2.conv1,1,68,0.3482564403015467
94,backbone.res3.2.conv2,1,68,0.3479342416921334
95,backbone.res3.2.conv3,1,68,0.6135782099653272
96,backbone.res3.3.conv1,1,68,0.6670843480827717
97,backbone.res3.3.conv2,1,68,0.5485009314992193
98,backbone.res3.3.conv3,1,68,0.530456396892673
99,backbone.res4.0.conv1,1,68,0.6597079555185269
100,backbone.res4.0.conv2,1,68,0.3768030608231578
101,backbone.res4.0.conv3,1,68,0.4937650448184705
