,Layer,Cluster,Image,PCC
0,backbone.res2.0.conv1,1,54,0.3550805962181905
1,backbone.res2.0.conv2,1,54,0.3246673086046065
2,backbone.res2.0.conv3,1,54,0.3564483777530837
3,backbone.res2.1.conv1,1,54,0.3118497285437537
4,backbone.res2.1.conv2,1,54,0.2961221307488076
5,backbone.res2.1.conv3,1,54,0.2965524661581931
6,backbone.res2.2.conv1,1,54,0.26187914218764113
7,backbone.res2.2.conv2,1,54,0.3652676945271196
8,backbone.res2.2.conv3,1,54,0.32950802166669046
9,backbone.res3.0.conv1,1,54,0.3310567251091449
10,backbone.res3.0.conv2,1,54,0.2785115570367685
11,backbone.res3.0.conv3,1,54,0.30559802234610745
12,backbone.res3.1.conv1,1,54,0.26111582230613045
13,backbone.res3.1.conv2,1,54,0.2710566109304489
14,backbone.res3.1.conv3,1,54,0.37139782949213657
15,backbone.res3.2.conv1,1,54,0.19166435103017426
16,backbone.res3.2.conv2,1,54,0.2894979930266786
17,backbone.res3.2.conv3,1,54,0.3260904311001828
18,backbone.res3.3.conv1,1,54,0.368202858415974
19,backbone.res3.3.conv2,2,54,0.30629034327083865
20,backbone.res3.3.conv3,2,54,0.31300644089233653
21,backbone.res4.0.conv1,2,54,0.203634905276143
22,backbone.res4.0.conv2,2,54,0.12580419151885144
23,backbone.res4.0.conv3,2,54,0.3974759670406835
24,backbone.res4.1.conv1,2,54,0.2298210784796986
25,backbone.res4.1.conv2,2,54,0.14506155368130083
26,backbone.res4.1.conv3,2,54,0.31804454383624936
27,backbone.res4.2.conv1,2,54,0.19658249391663812
28,backbone.res4.2.conv2,2,54,0.15215391568075295
29,backbone.res4.2.conv3,2,54,0.2901828975757445
30,backbone.res4.3.conv1,2,54,0.25561529699995644
31,backbone.res4.3.conv2,2,54,0.11120960584688853
32,backbone.res4.3.conv3,2,54,0.10093083269820126
33,backbone.res4.4.conv1,2,54,0.09325458407961251
34,backbone.res4.4.conv2,2,54,0.2965248604855434
35,backbone.res4.4.conv3,2,54,0.37438042966117885
36,backbone.res4.5.conv1,2,54,0.18883912386837035
37,backbone.res4.5.conv2,2,54,0.21542253477961723
38,backbone.res4.5.conv3,2,54,0.2712593393794468
39,backbone.res2.0.conv1,1,1319,0.890305277343326
40,backbone.res2.0.conv2,1,1319,0.8819249210235265
41,backbone.res2.0.conv3,1,1319,0.9031582286931586
42,backbone.res2.1.conv1,1,1319,0.9206330648535043
43,backbone.res2.1.conv2,1,1319,0.9135850516212868
44,backbone.res2.1.conv3,1,1319,0.9031709564854375
45,backbone.res2.2.conv1,1,1319,0.8968190666640531
46,backbone.res2.2.conv2,1,1319,0.6661207809408206
47,backbone.res2.2.conv3,1,1319,0.7529360947244853
48,backbone.res3.0.conv1,1,1319,0.7990063018238158
49,backbone.res3.0.conv2,1,1319,0.8747518546906385
50,backbone.res3.0.conv3,1,1319,0.8439577594463853
51,backbone.res3.1.conv1,1,1319,0.7415349076459321
52,backbone.res3.1.conv2,1,1319,0.7087775849865907
53,backbone.res3.1.conv3,1,1319,0.6463186670733888
54,backbone.res3.2.conv1,1,1319,0.8294747768501926
55,backbone.res3.2.conv2,1,1319,0.6404257945298507
56,backbone.res3.2.conv3,1,1319,0.6808812418121369
57,backbone.res3.3.conv1,1,1319,0.6742734463859176
58,backbone.res3.3.conv2,2,1319,0.5476237930349254
59,backbone.res3.3.conv3,2,1319,0.8023020246582817
60,backbone.res4.0.conv1,2,1319,0.7719861290457866
61,backbone.res4.0.conv2,2,1319,0.6141623512433746
62,backbone.res4.0.conv3,2,1319,0.8090516158284444
63,backbone.res4.1.conv1,2,1319,0.4186408652252316
64,backbone.res4.1.conv2,2,1319,0.6265642178335655
65,backbone.res4.1.conv3,2,1319,0.6361199408856998
66,backbone.res4.2.conv1,2,1319,0.6726087391651814
67,backbone.res4.2.conv2,2,1319,0.9369941009005962
68,backbone.res4.2.conv3,2,1319,0.8337272890692312
69,backbone.res4.3.conv1,2,1319,0.8080005809899861
70,backbone.res4.3.conv2,2,1319,0.808584089104794
71,backbone.res4.3.conv3,2,1319,0.899126643504018
72,backbone.res4.4.conv1,2,1319,0.860301469689524
73,backbone.res4.4.conv2,2,1319,0.8178103642286242
74,backbone.res4.4.conv3,2,1319,0.8862588862490294
75,backbone.res4.5.conv1,2,1319,0.913104393287133
76,backbone.res4.5.conv2,2,1319,0.9001842712311873
77,backbone.res4.5.conv3,2,1319,0.8796205708399015
78,backbone.res2.0.conv1,1,68,0.7821289220503611
79,backbone.res2.0.conv2,1,68,0.5047561003641278
80,backbone.res2.0.conv3,1,68,0.5662227392909792
81,backbone.res2.1.conv1,1,68,0.6396667349419686
82,backbone.res2.1.conv2,1,68,0.44257365427060846
83,backbone.res2.1.conv3,1,68,0.5234692793533813
84,backbone.res2.2.conv1,1,68,0.7603976054486097
85,backbone.res2.2.conv2,1,68,0.4708006811916349
86,backbone.res2.2.conv3,1,68,0.8188935343370959
87,backbone.res3.0.conv1,1,68,0.8120909695825707
88,backbone.res3.0.conv2,1,68,0.739220680879594
89,backbone.res3.0.conv3,1,68,0.8134702677871819
90,backbone.res3.1.conv1,1,68,0.8041380607165604
91,backbone.res3.1.conv2,1,68,0.8051066911992458
92,backbone.res3.1.conv3,1,68,0.5243239193784733
93,backbone.res3.2.conv1,1,68,0.4459385114818894
94,backbone.res3.2.conv2,1,68,0.4441327433527372
95,backbone.res3.2.conv3,1,68,0.7712661150960348
96,backbone.res3.3.conv1,1,68,0.8192747735301459
97,backbone.res3.3.conv2,2,68,0.785091590476112
98,backbone.res3.3.conv3,2,68,0.7401110908741457
99,backbone.res4.0.conv1,2,68,0.8490681086269137
100,backbone.res4.0.conv2,2,68,0.4944670582454502
101,backbone.res4.0.conv3,2,68,0.6450707469194012
102,backbone.res4.1.conv1,2,68,0.550826746241947
103,backbone.res4.1.conv2,2,68,0.854754010847731
104,backbone.res4.1.conv3,2,68,0.6529933222800854
105,backbone.res4.2.conv1,2,68,0.8348010764857486
106,backbone.res4.2.conv2,2,68,0.8155716652094847
107,backbone.res4.2.conv3,2,68,0.838694357788604
108,backbone.res4.3.conv1,2,68,0.4570926887694104
109,backbone.res4.3.conv2,2,68,0.7514753473360146
110,backbone.res4.3.conv3,2,68,0.8340888524632875
111,backbone.res4.4.conv1,2,68,0.8565547922396869
112,backbone.res4.4.conv2,2,68,0.8652784041135665
113,backbone.res4.4.conv3,2,68,0.8479249035530573
114,backbone.res4.5.conv1,2,68,0.8601343303301675
115,backbone.res4.5.conv2,2,68,0.7393265490978693
116,backbone.res4.5.conv3,2,68,0.799560360442474
117,backbone.res2.0.conv1,1,629,-0.004482891324816737
118,backbone.res2.0.conv2,1,629,-0.002414837459469051
119,backbone.res2.0.conv3,1,629,-0.0004633114643270259
120,backbone.res2.1.conv1,1,629,-0.0006942833785588719
121,backbone.res2.1.conv2,1,629,-0.0011065289407521525
122,backbone.res2.1.conv3,1,629,0.0016509300684644692
123,backbone.res2.2.conv1,1,629,0.0017605495853456104
124,backbone.res2.2.conv2,1,629,0.0013790734681503665
125,backbone.res2.2.conv3,1,629,0.001403282960607605
126,backbone.res3.0.conv1,1,629,-0.0008230995066534762
127,backbone.res3.0.conv2,1,629,0.004908992696044013
128,backbone.res3.0.conv3,1,629,0.00242347435056336
129,backbone.res3.1.conv1,1,629,0.005505865746953079
130,backbone.res3.1.conv2,1,629,0.005507337386918749
131,backbone.res3.1.conv3,1,629,0.0021445910943829966
132,backbone.res3.2.conv1,1,629,0.00016097841756323547
133,backbone.res3.2.conv2,1,629,0.00440774599973285
134,backbone.res3.2.conv3,1,629,0.004234441516467426
135,backbone.res3.3.conv1,1,629,0.004383665654725253
136,backbone.res3.3.conv2,2,629,0.004358816552120327
137,backbone.res3.3.conv3,2,629,0.004104708950749441
138,backbone.res4.0.conv1,2,629,-0.0025398582793694628
139,backbone.res4.0.conv2,2,629,-0.001417866149332658
140,backbone.res4.0.conv3,2,629,0.004015249790711067
141,backbone.res4.1.conv1,2,629,0.003105022435858538
142,backbone.res4.1.conv2,2,629,0.00047642954271792084
143,backbone.res4.1.conv3,2,629,0.012250359624082004
144,backbone.res4.2.conv1,2,629,0.013007987171243917
145,backbone.res4.2.conv2,2,629,-0.00031424473463365006
146,backbone.res4.2.conv3,2,629,0.008273503014395417
147,backbone.res4.3.conv1,2,629,0.007349136505547593
148,backbone.res4.3.conv2,2,629,0.012375674386137906
149,backbone.res4.3.conv3,2,629,0.018735551929209653
150,backbone.res4.4.conv1,2,629,0.012415888566683762
151,backbone.res4.4.conv2,2,629,0.011356374322447928
152,backbone.res4.4.conv3,2,629,0.011369706006553595
153,backbone.res4.5.conv1,2,629,0.016349163772774695
154,backbone.res4.5.conv2,2,629,0.011438283733433662
155,backbone.res4.5.conv3,2,629,0.011438283725096062
156,backbone.res2.0.conv1,1,1178,0.8355857660361186
157,backbone.res2.0.conv2,1,1178,0.8740252075402879
158,backbone.res2.0.conv3,1,1178,0.9281562101901827
159,backbone.res2.1.conv1,1,1178,0.9339136215727285
160,backbone.res2.1.conv2,1,1178,0.8976023327276395
161,backbone.res2.1.conv3,1,1178,0.816562279815104
162,backbone.res2.2.conv1,1,1178,0.5748607340238483
163,backbone.res2.2.conv2,1,1178,0.7644285008444626
164,backbone.res2.2.conv3,1,1178,0.6518940065945553
165,backbone.res3.0.conv1,1,1178,0.6945920407384002
166,backbone.res3.0.conv2,1,1178,0.9381977988604362
167,backbone.res3.0.conv3,1,1178,0.9541768668576296
168,backbone.res3.1.conv1,1,1178,0.91300253037838
169,backbone.res3.1.conv2,1,1178,0.8457022871981731
170,backbone.res3.1.conv3,1,1178,0.9344317449886007
171,backbone.res3.2.conv1,1,1178,0.8647815192874156
172,backbone.res3.2.conv2,1,1178,0.8972359689745291
173,backbone.res3.2.conv3,1,1178,0.8951178749353788
174,backbone.res3.3.conv1,1,1178,0.8953330165971639
175,backbone.res3.3.conv2,2,1178,0.6740415855735641
176,backbone.res3.3.conv3,2,1178,0.951711640914759
177,backbone.res4.0.conv1,2,1178,0.8494100901824385
178,backbone.res4.0.conv2,2,1178,0.8732859481425863
179,backbone.res4.0.conv3,2,1178,0.8912085426372124
180,backbone.res4.1.conv1,2,1178,0.8085858016813765
181,backbone.res4.1.conv2,2,1178,0.9180262469511107
182,backbone.res4.1.conv3,2,1178,0.968704062640265
183,backbone.res4.2.conv1,2,1178,0.9435907972078243
184,backbone.res4.2.conv2,2,1178,0.9797146323858001
185,backbone.res4.2.conv3,2,1178,0.9808047994822192
186,backbone.res4.3.conv1,2,1178,0.9548211965867853
187,backbone.res4.3.conv2,2,1178,0.93363259484983
188,backbone.res4.3.conv3,2,1178,0.9589670992835296
189,backbone.res4.4.conv1,2,1178,0.9429086783009223
190,backbone.res4.4.conv2,2,1178,0.9259300497133406
191,backbone.res4.4.conv3,2,1178,0.9554614187685748
192,backbone.res4.5.conv1,2,1178,0.9142578005662881
193,backbone.res4.5.conv2,2,1178,0.9049248126044197
194,backbone.res4.5.conv3,2,1178,0.9328663686054904
195,backbone.res2.0.conv1,1,67,0.8332897138994315
196,backbone.res2.0.conv2,1,67,0.7860049773426715
197,backbone.res2.0.conv3,1,67,0.9153850792005549
198,backbone.res2.1.conv1,1,67,0.8709699907431218
199,backbone.res2.1.conv2,1,67,0.8901723090789534
200,backbone.res2.1.conv3,1,67,0.8861158800501632
201,backbone.res2.2.conv1,1,67,0.8304624755864258
202,backbone.res2.2.conv2,1,67,0.7684024344094156
203,backbone.res2.2.conv3,1,67,0.824396717792552
204,backbone.res3.0.conv1,1,67,0.8200301568735677
205,backbone.res3.0.conv2,1,67,0.8836317648448313
206,backbone.res3.0.conv3,1,67,0.816986590086252
207,backbone.res3.1.conv1,1,67,0.8650025175286165
208,backbone.res3.1.conv2,1,67,0.838036381347759
209,backbone.res3.1.conv3,1,67,0.8265330342268283
210,backbone.res3.2.conv1,1,67,0.8651329938377368
211,backbone.res3.2.conv2,1,67,0.8962826233702721
212,backbone.res3.2.conv3,1,67,0.921532261247152
213,backbone.res3.3.conv1,1,67,0.8981224021523496
214,backbone.res3.3.conv2,2,67,0.9596260242938354
215,backbone.res3.3.conv3,2,67,0.9144904418213007
216,backbone.res4.0.conv1,2,67,0.7474300273566475
217,backbone.res4.0.conv2,2,67,0.9537481747627784
218,backbone.res4.0.conv3,2,67,0.9543704870939141
219,backbone.res4.1.conv1,2,67,0.6756895269889494
220,backbone.res4.1.conv2,2,67,0.9101538282594913
221,backbone.res4.1.conv3,2,67,0.9487374365128439
222,backbone.res4.2.conv1,2,67,0.969036854271973
223,backbone.res4.2.conv2,2,67,0.9742605332707498
224,backbone.res4.2.conv3,2,67,0.9714403735173777
225,backbone.res4.3.conv1,2,67,0.9376808627391856
226,backbone.res4.3.conv2,2,67,0.9554366983873465
227,backbone.res4.3.conv3,2,67,0.9724379147304986
228,backbone.res4.4.conv1,2,67,0.9734986778025148
229,backbone.res4.4.conv2,2,67,0.9193607657369808
230,backbone.res4.4.conv3,2,67,0.9122506309808249
231,backbone.res4.5.conv1,2,67,0.8872086621644771
232,backbone.res4.5.conv2,2,67,0.9382948284052266
233,backbone.res4.5.conv3,2,67,0.9505993548890234
234,backbone.res2.0.conv1,1,843,0.9170912909869627
235,backbone.res2.0.conv2,1,843,0.9095130595236519
236,backbone.res2.0.conv3,1,843,0.9460037181321991
237,backbone.res2.1.conv1,1,843,0.9369717003721574
238,backbone.res2.1.conv2,1,843,0.9494892223034312
239,backbone.res2.1.conv3,1,843,0.9752461806071469
240,backbone.res2.2.conv1,1,843,0.9202151104081309
241,backbone.res2.2.conv2,1,843,0.9650653731308618
242,backbone.res2.2.conv3,1,843,0.8624721683595253
243,backbone.res3.0.conv1,1,843,0.953839830085279
244,backbone.res3.0.conv2,1,843,0.8725583131931444
245,backbone.res3.0.conv3,1,843,0.9742979331963997
246,backbone.res3.1.conv1,1,843,0.9608278403876163
247,backbone.res3.1.conv2,1,843,0.9681459704458393
248,backbone.res3.1.conv3,1,843,0.947647398076767
249,backbone.res3.2.conv1,1,843,0.7011225960786477
250,backbone.res3.2.conv2,1,843,0.9717305276911765
251,backbone.res3.2.conv3,1,843,0.7930565754084622
252,backbone.res3.3.conv1,1,843,0.7606929716197055
253,backbone.res3.3.conv2,2,843,0.7264998453707022
254,backbone.res3.3.conv3,2,843,0.9538384342779617
255,backbone.res4.0.conv1,2,843,0.9468645311723154
256,backbone.res4.0.conv2,2,843,0.9365207914675003
257,backbone.res4.0.conv3,2,843,0.9859157919740819
258,backbone.res4.1.conv1,2,843,0.8623341803569449
259,backbone.res4.1.conv2,2,843,0.8611344247114622
260,backbone.res4.1.conv3,2,843,0.9534882018941594
261,backbone.res4.2.conv1,2,843,0.9521836306540564
262,backbone.res4.2.conv2,2,843,0.9886924523196239
263,backbone.res4.2.conv3,2,843,0.9914339692547955
264,backbone.res4.3.conv1,2,843,0.9426399351191739
265,backbone.res4.3.conv2,2,843,0.9879170728767285
266,backbone.res4.3.conv3,2,843,0.9916131525982104
267,backbone.res4.4.conv1,2,843,0.9822896644962607
268,backbone.res4.4.conv2,2,843,0.9558966803636493
269,backbone.res4.4.conv3,2,843,0.9860780766921268
270,backbone.res4.5.conv1,2,843,0.9803543855524304
271,backbone.res4.5.conv2,2,843,0.9541085611862083
272,backbone.res4.5.conv3,2,843,0.9689868489033998
273,backbone.res2.0.conv1,1,1112,0.9600031735922765
274,backbone.res2.0.conv2,1,1112,0.96176840763601
275,backbone.res2.0.conv3,1,1112,0.9817833103957595
276,backbone.res2.1.conv1,1,1112,0.9826186827395094
277,backbone.res2.1.conv2,1,1112,0.978436860899731
278,backbone.res2.1.conv3,1,1112,0.8007539849642809
279,backbone.res2.2.conv1,1,1112,0.9817003000751773
280,backbone.res2.2.conv2,1,1112,0.9680017820756335
281,backbone.res2.2.conv3,1,1112,0.7871343663461079
282,backbone.res3.0.conv1,1,1112,0.8060036002601602
283,backbone.res3.0.conv2,1,1112,0.6976495520133223
284,backbone.res3.0.conv3,1,1112,0.7502645412478363
285,backbone.res3.1.conv1,1,1112,0.807454406884077
286,backbone.res3.1.conv2,1,1112,0.7450110855723968
287,backbone.res3.1.conv3,1,1112,0.7316316466590002
288,backbone.res3.2.conv1,1,1112,0.8995158723893364
289,backbone.res3.2.conv2,1,1112,0.8036051063218366
290,backbone.res3.2.conv3,1,1112,0.7529228366458869
291,backbone.res3.3.conv1,1,1112,0.7588716960635546
292,backbone.res3.3.conv2,2,1112,0.6435017152122935
293,backbone.res3.3.conv3,2,1112,0.7020191818467426
294,backbone.res4.0.conv1,2,1112,0.7895523999164666
295,backbone.res4.0.conv2,2,1112,0.8596752707971494
296,backbone.res4.0.conv3,2,1112,0.7546895645976788
297,backbone.res4.1.conv1,2,1112,0.7405662704226735
298,backbone.res4.1.conv2,2,1112,0.9190911230336314
299,backbone.res4.1.conv3,2,1112,0.9025590594367782
300,backbone.res4.2.conv1,2,1112,0.6128349275252734
301,backbone.res4.2.conv2,2,1112,0.9236518221980521
302,backbone.res4.2.conv3,2,1112,0.9044051893353569
303,backbone.res4.3.conv1,2,1112,0.8748886489010504
304,backbone.res4.3.conv2,2,1112,0.9702314788759601
305,backbone.res4.3.conv3,2,1112,0.9863406910198147
306,backbone.res4.4.conv1,2,1112,0.9532576399674588
307,backbone.res4.4.conv2,2,1112,0.9624695179861834
308,backbone.res4.4.conv3,2,1112,0.9805071452018121
309,backbone.res4.5.conv1,2,1112,0.9758067566268972
310,backbone.res4.5.conv2,2,1112,0.9479725720013136
311,backbone.res4.5.conv3,2,1112,0.9778374480090795
312,backbone.res2.0.conv1,1,241,0.8486523758356835
313,backbone.res2.0.conv2,1,241,0.8145323008270976
314,backbone.res2.0.conv3,1,241,0.621536045217597
315,backbone.res2.1.conv1,1,241,0.6258522243717843
316,backbone.res2.1.conv2,1,241,0.6457919705880852
317,backbone.res2.1.conv3,1,241,0.7089638111631262
318,backbone.res2.2.conv1,1,241,0.6021028223009545
319,backbone.res2.2.conv2,1,241,0.8338873349906867
320,backbone.res2.2.conv3,1,241,0.6456782032498237
321,backbone.res3.0.conv1,1,241,0.8224816279693702
322,backbone.res3.0.conv2,1,241,0.6858575530998198
323,backbone.res3.0.conv3,1,241,0.849794861419507
324,backbone.res3.1.conv1,1,241,0.6084711183302315
325,backbone.res3.1.conv2,1,241,0.877757170737365
326,backbone.res3.1.conv3,1,241,0.5419454353007358
327,backbone.res3.2.conv1,1,241,0.7348401278796545
328,backbone.res3.2.conv2,1,241,0.8053130060919224
329,backbone.res3.2.conv3,1,241,0.7624293901739527
330,backbone.res3.3.conv1,1,241,0.6766921569164279
331,backbone.res3.3.conv2,2,241,0.6388342953674044
332,backbone.res3.3.conv3,2,241,0.7365528160851927
333,backbone.res4.0.conv1,2,241,0.7471290587476304
334,backbone.res4.0.conv2,2,241,0.5423937234792149
335,backbone.res4.0.conv3,2,241,0.7128855716955491
336,backbone.res4.1.conv1,2,241,0.60413918105945
337,backbone.res4.1.conv2,2,241,0.6215713763172025
338,backbone.res4.1.conv3,2,241,0.8162581408784854
339,backbone.res4.2.conv1,2,241,0.8570529469187782
340,backbone.res4.2.conv2,2,241,0.825043591662526
341,backbone.res4.2.conv3,2,241,0.5915983913400749
342,backbone.res4.3.conv1,2,241,0.8101579135511353
343,backbone.res4.3.conv2,2,241,0.8404896958906322
344,backbone.res4.3.conv3,2,241,0.8646237281519993
345,backbone.res4.4.conv1,2,241,0.8445658718732345
346,backbone.res4.4.conv2,2,241,0.7733806295407661
347,backbone.res4.4.conv3,2,241,0.6999971691548967
348,backbone.res4.5.conv1,2,241,0.8128643531189265
