,Layer,Cluster,Image,PCC
0,backbone.res2.0.conv1,4,handbag_383842,0.050814564643716024
1,backbone.res2.0.conv2,4,handbag_383842,0.0478921628060809
2,backbone.res2.0.conv3,3,handbag_383842,0.056473825492279
3,backbone.res2.1.conv1,3,handbag_383842,0.060092724315722705
4,backbone.res2.1.conv2,3,handbag_383842,0.05846953038486512
5,backbone.res2.1.conv3,3,handbag_383842,0.048001026560613134
6,backbone.res2.2.conv1,3,handbag_383842,0.058893393625940225
7,backbone.res2.2.conv2,4,handbag_383842,0.0361944323961139
8,backbone.res2.2.conv3,4,handbag_383842,0.031356439285412166
9,backbone.res3.0.conv1,3,handbag_383842,0.05351716072758789
10,backbone.res3.0.conv2,3,handbag_383842,0.06513576940805368
11,backbone.res3.0.conv3,3,handbag_383842,0.0748568751019646
12,backbone.res3.1.conv1,3,handbag_383842,0.07001891343045163
13,backbone.res3.1.conv2,3,handbag_383842,0.07184190795865869
14,backbone.res3.1.conv3,3,handbag_383842,0.07515984079780312
15,backbone.res3.2.conv1,3,handbag_383842,0.06807932141709183
16,backbone.res3.2.conv2,3,handbag_383842,0.05472522642163472
17,backbone.res3.2.conv3,3,handbag_383842,0.06762764225075288
18,backbone.res3.3.conv1,3,handbag_383842,0.0525608076523383
19,backbone.res3.3.conv2,4,handbag_383842,0.041843556370101107
20,backbone.res3.3.conv3,4,handbag_383842,0.048908781236465554
21,backbone.res4.0.conv1,3,handbag_383842,0.07622899932267174
22,backbone.res4.0.conv2,3,handbag_383842,0.07667596696009703
23,backbone.res4.0.conv3,3,handbag_383842,0.07637853971807872
24,backbone.res4.1.conv1,3,handbag_383842,0.09164140111353926
25,backbone.res4.1.conv2,3,handbag_383842,0.12125591018778868
26,backbone.res4.1.conv3,3,handbag_383842,0.06461119022954097
27,backbone.res4.2.conv1,3,handbag_383842,0.08015565922483979
28,backbone.res4.2.conv2,3,handbag_383842,0.10438293167083118
29,backbone.res4.2.conv3,3,handbag_383842,0.08148605838176368
30,backbone.res4.3.conv1,3,handbag_383842,0.09463611712611848
31,backbone.res4.3.conv2,3,handbag_383842,0.11406383093159236
32,backbone.res4.3.conv3,3,handbag_383842,0.06459701912722059
33,backbone.res4.4.conv1,3,handbag_383842,0.07684824926537397
34,backbone.res4.4.conv2,3,handbag_383842,0.08418649919350067
35,backbone.res4.4.conv3,3,handbag_383842,0.062180507982879885
36,backbone.res4.5.conv1,3,handbag_383842,0.08064547515696581
37,backbone.res4.5.conv2,3,handbag_383842,0.06594624582752862
38,backbone.res4.5.conv3,4,handbag_383842,0.019143901335080295
39,roi_heads.pooler.level,4,handbag_383842,0.015618505238610152
40,roi_heads.res5.0.conv1,3,handbag_383842,0.06019414596381336
41,roi_heads.res5.0.conv2,1,handbag_383842,0.03292871296577527
42,roi_heads.res5.0.conv3,1,handbag_383842,0.0131959565867288
43,roi_heads.res5.1.conv1,4,handbag_383842,0.01455114503406709
44,roi_heads.res5.1.conv2,4,handbag_383842,0.015733479472113822
45,roi_heads.res5.1.conv3,2,handbag_383842,0.08497521080929173
46,roi_heads.res5.2.conv1,2,handbag_383842,0.06025085026857279
47,roi_heads.res5.2.conv2,2,handbag_383842,0.09334202505356066
48,roi_heads.res5.2.conv3,1,handbag_383842,0.1313090178050616
49,backbone.res2.0.conv1,4,sandwich_465430,0.18749535298598294
50,backbone.res2.0.conv2,4,sandwich_465430,0.21248940408124958
