,Layer,Cluster,Image,PCC
0,backbone.res2.0.conv1,1,handbag_383842,0.44950621547883557
1,backbone.res2.0.conv2,1,handbag_383842,0.36187629227569207
2,backbone.res2.0.conv3,1,handbag_383842,0.4572733031228394
3,backbone.res2.1.conv1,1,handbag_383842,0.4771956561409716
4,backbone.res2.1.conv2,1,handbag_383842,0.46988458662384863
5,backbone.res2.1.conv3,1,handbag_383842,0.4644646136865738
6,backbone.res2.2.conv1,1,handbag_383842,0.4957118339279553
7,backbone.res2.2.conv2,1,handbag_383842,0.4830203213201897
8,backbone.res2.2.conv3,1,handbag_383842,0.4668151110676583
9,backbone.res3.0.conv1,1,handbag_383842,0.4626532333122906
10,backbone.res3.0.conv2,1,handbag_383842,0.362633639950475
11,backbone.res3.0.conv3,1,handbag_383842,0.5469996580987105
12,backbone.res3.1.conv1,1,handbag_383842,0.46538020172073186
13,backbone.res3.1.conv2,1,handbag_383842,0.48577672732630417
14,backbone.res3.1.conv3,1,handbag_383842,0.4876416058065049
15,backbone.res3.2.conv1,1,handbag_383842,0.4446807021311861
16,backbone.res3.2.conv2,1,handbag_383842,0.5261318203043855
17,backbone.res3.2.conv3,1,handbag_383842,0.5070584055587215
18,backbone.res3.3.conv1,1,handbag_383842,0.4179718911531312
19,backbone.res3.3.conv2,1,handbag_383842,0.352415512211748
20,backbone.res3.3.conv3,1,handbag_383842,0.603679670369502
21,backbone.res4.0.conv1,1,handbag_383842,0.5694268563065772
22,backbone.res4.0.conv2,1,handbag_383842,0.35637158847159967
23,backbone.res4.0.conv3,1,handbag_383842,0.4087800604464328
24,backbone.res4.1.conv1,1,handbag_383842,0.5645192899258751
25,backbone.res4.1.conv2,1,handbag_383842,0.6094819941158162
26,backbone.res4.1.conv3,1,handbag_383842,0.3601300216641101
27,backbone.res4.2.conv1,1,handbag_383842,0.5327755159509464
28,backbone.res4.2.conv2,1,handbag_383842,0.4057350162696101
29,backbone.res4.2.conv3,1,handbag_383842,0.48975386468451604
30,backbone.res4.3.conv1,1,handbag_383842,0.4109965534017664
31,backbone.res4.3.conv2,1,handbag_383842,0.590194650269326
32,backbone.res4.3.conv3,1,handbag_383842,0.30820598571489316
33,backbone.res4.4.conv1,1,handbag_383842,0.36392629442412083
34,backbone.res4.4.conv2,1,handbag_383842,0.5518686691957946
35,backbone.res4.4.conv3,1,handbag_383842,0.2939074738653885
36,backbone.res4.5.conv1,1,handbag_383842,0.3724369952351237
37,backbone.res4.5.conv2,1,handbag_383842,0.37407710462653804
38,backbone.res4.5.conv3,2,handbag_383842,0.15638154787389585
39,roi_heads.pooler.level,2,handbag_383842,0.22836454069607812
40,roi_heads.res5.0.conv1,2,handbag_383842,0.5152621793141057
41,roi_heads.res5.0.conv2,2,handbag_383842,0.2945384626395413
42,roi_heads.res5.0.conv3,2,handbag_383842,0.29515141911011256
43,roi_heads.res5.1.conv1,2,handbag_383842,0.4047810370811441
44,roi_heads.res5.1.conv2,2,handbag_383842,0.36898809168150165
45,roi_heads.res5.1.conv3,2,handbag_383842,0.5259044627600307
46,roi_heads.res5.2.conv1,2,handbag_383842,0.48380138830146385
47,roi_heads.res5.2.conv2,2,handbag_383842,0.6024565800221106
48,roi_heads.res5.2.conv3,2,handbag_383842,0.6279251296501066
49,backbone.res2.0.conv1,1,sandwich_465430,0.346873826068471
50,backbone.res2.0.conv2,1,sandwich_465430,0.3377929518695484
51,backbone.res2.0.conv3,1,sandwich_465430,0.3065164474689547
52,backbone.res2.1.conv1,1,sandwich_465430,0.3086117381578681
53,backbone.res2.1.conv2,1,sandwich_465430,0.3082735106224838
54,backbone.res2.1.conv3,1,sandwich_465430,0.3112279193579027
55,backbone.res2.2.conv1,1,sandwich_465430,0.30444545004102236
56,backbone.res2.2.conv2,1,sandwich_465430,0.28407381105495877
57,backbone.res2.2.conv3,1,sandwich_465430,0.3491311040492854
58,backbone.res3.0.conv1,1,sandwich_465430,0.3363600446294357
59,backbone.res3.0.conv2,1,sandwich_465430,0.3552740257723718
60,backbone.res3.0.conv3,1,sandwich_465430,0.32434298693868713
61,backbone.res3.1.conv1,1,sandwich_465430,0.3425858170106731
62,backbone.res3.1.conv2,1,sandwich_465430,0.349578719599766
63,backbone.res3.1.conv3,1,sandwich_465430,0.3079614311406715
64,backbone.res3.2.conv1,1,sandwich_465430,0.24562246436828825
65,backbone.res3.2.conv2,1,sandwich_465430,0.28181837416530314
66,backbone.res3.2.conv3,1,sandwich_465430,0.3319337925592068
67,backbone.res3.3.conv1,1,sandwich_465430,0.3205184860807483
68,backbone.res3.3.conv2,1,sandwich_465430,0.312361824867928
69,backbone.res3.3.conv3,1,sandwich_465430,0.31872617307761536
70,backbone.res4.0.conv1,1,sandwich_465430,0.30914988950887423
71,backbone.res4.0.conv2,1,sandwich_465430,0.3563426511330109
72,backbone.res4.0.conv3,1,sandwich_465430,0.30431634111447475
73,backbone.res4.1.conv1,1,sandwich_465430,0.3130393009507252
74,backbone.res4.1.conv2,1,sandwich_465430,0.3335737304339457
75,backbone.res4.1.conv3,1,sandwich_465430,0.30533709832791667
76,backbone.res4.2.conv1,1,sandwich_465430,0.33492754248540035
77,backbone.res4.2.conv2,1,sandwich_465430,0.318794815671296
78,backbone.res4.2.conv3,1,sandwich_465430,0.29128677115315094
79,backbone.res4.3.conv1,1,sandwich_465430,0.2790013656033808
80,backbone.res4.3.conv2,1,sandwich_465430,0.28954893171653134
81,backbone.res4.3.conv3,1,sandwich_465430,0.28753350822451046
82,backbone.res4.4.conv1,1,sandwich_465430,0.2660651674574759
83,backbone.res4.4.conv2,1,sandwich_465430,0.26478781144091196
84,backbone.res4.4.conv3,1,sandwich_465430,0.2546607017879642
85,backbone.res4.5.conv1,1,sandwich_465430,0.2885726608520515
86,backbone.res4.5.conv2,1,sandwich_465430,0.4085084272738961
87,backbone.res4.5.conv3,2,sandwich_465430,0.1567544650989738
88,roi_heads.pooler.level,2,sandwich_465430,0.1605923346546836
89,roi_heads.res5.0.conv1,2,sandwich_465430,0.19445613413063179
90,roi_heads.res5.0.conv2,2,sandwich_465430,0.4168051438798267
91,roi_heads.res5.0.conv3,2,sandwich_465430,0.1868243085301001
92,roi_heads.res5.1.conv1,2,sandwich_465430,0.37903593656813545
93,roi_heads.res5.1.conv2,2,sandwich_465430,0.5315788032429523
94,roi_heads.res5.1.conv3,2,sandwich_465430,0.39392188091121283
95,roi_heads.res5.2.conv1,2,sandwich_465430,0.48397092065889924
96,roi_heads.res5.2.conv2,2,sandwich_465430,0.19131247036705282
97,roi_heads.res5.2.conv3,2,sandwich_465430,0.36651847447304653
98,backbone.res2.0.conv1,1,bed_491757,0.1596045559345792
99,backbone.res2.0.conv2,1,bed_491757,0.23429829904915694
100,backbone.res2.0.conv3,1,bed_491757,0.3998508991745962
101,backbone.res2.1.conv1,1,bed_491757,0.3821582600335636
102,backbone.res2.1.conv2,1,bed_491757,0.3975226430864363
103,backbone.res2.1.conv3,1,bed_491757,0.40910224087049446
104,backbone.res2.2.conv1,1,bed_491757,0.2581630149798687
105,backbone.res2.2.conv2,1,bed_491757,0.513021102010721
106,backbone.res2.2.conv3,1,bed_491757,0.35461319888281195
