,Layer,Cluster,Image,PCC
0,backbone.res2.0.conv1,1,handbag_383842,0.07035944386269344
1,backbone.res2.0.conv2,1,handbag_383842,0.13522257704004173
2,backbone.res2.0.conv3,1,handbag_383842,0.1177519933875839
3,backbone.res2.1.conv1,1,handbag_383842,0.10584791395186455
4,backbone.res2.1.conv2,1,handbag_383842,0.1096021925206077
5,backbone.res2.1.conv3,1,handbag_383842,0.12355864905078116
6,backbone.res2.2.conv1,1,handbag_383842,0.09766582936157825
7,backbone.res2.2.conv2,1,handbag_383842,0.06922488503008932
8,backbone.res2.2.conv3,1,handbag_383842,0.11810174168402292
9,backbone.res3.0.conv1,1,handbag_383842,0.11283040175405168
10,backbone.res3.0.conv2,1,handbag_383842,0.1592781660914006
11,backbone.res3.0.conv3,1,handbag_383842,0.08558955985364934
12,backbone.res3.1.conv1,1,handbag_383842,0.12079245692005458
13,backbone.res3.1.conv2,1,handbag_383842,0.10478552875740448
14,backbone.res3.1.conv3,1,handbag_383842,0.10767822958634915
15,backbone.res3.2.conv1,1,handbag_383842,0.1280964150824386
16,backbone.res3.2.conv2,1,handbag_383842,0.0678555879093156
17,backbone.res3.2.conv3,1,handbag_383842,0.07983656705109346
18,backbone.res3.3.conv1,1,handbag_383842,0.060278784579693115
19,backbone.res3.3.conv2,1,handbag_383842,0.05915834281555155
20,backbone.res3.3.conv3,1,handbag_383842,0.09780681132768242
21,backbone.res4.0.conv1,1,handbag_383842,0.09112168495947467
22,backbone.res4.0.conv2,1,handbag_383842,0.07362489751270858
23,backbone.res4.0.conv3,1,handbag_383842,0.0683941906485178
24,backbone.res4.1.conv1,1,handbag_383842,0.10172286349561807
25,backbone.res4.1.conv2,1,handbag_383842,0.13204715290032915
26,backbone.res4.1.conv3,1,handbag_383842,0.05580974577598966
27,backbone.res4.2.conv1,1,handbag_383842,0.08854656739863964
28,backbone.res4.2.conv2,1,handbag_383842,0.09505728509743554
29,backbone.res4.2.conv3,1,handbag_383842,0.09272039824401664
30,backbone.res4.3.conv1,1,handbag_383842,0.08401828245981176
31,backbone.res4.3.conv2,1,handbag_383842,0.12725398203773539
32,backbone.res4.3.conv3,1,handbag_383842,0.0577703353995349
33,backbone.res4.4.conv1,1,handbag_383842,0.06246847618113596
34,backbone.res4.4.conv2,1,handbag_383842,0.10320370858667646
35,backbone.res4.4.conv3,1,handbag_383842,0.057308992045111216
36,backbone.res4.5.conv1,1,handbag_383842,0.08873921020220021
37,backbone.res4.5.conv2,1,handbag_383842,0.07058168257437307
38,backbone.res4.5.conv3,2,handbag_383842,0.01586047153260522
39,roi_heads.pooler.level,2,handbag_383842,0.026564382817476404
40,roi_heads.res5.0.conv1,2,handbag_383842,0.08771458045102726
41,roi_heads.res5.0.conv2,2,handbag_383842,0.05340787251768588
42,roi_heads.res5.0.conv3,2,handbag_383842,0.03397446092299337
43,roi_heads.res5.1.conv1,2,handbag_383842,0.11286228221981276
44,roi_heads.res5.1.conv2,2,handbag_383842,0.059085652341630816
45,roi_heads.res5.1.conv3,2,handbag_383842,0.08026901143543677
46,roi_heads.res5.2.conv1,2,handbag_383842,0.04967770340996078
47,roi_heads.res5.2.conv2,2,handbag_383842,0.07941892806194298
48,roi_heads.res5.2.conv3,2,handbag_383842,0.11449391430560343
49,backbone.res2.0.conv1,1,sandwich_465430,0.5248788972972577
50,backbone.res2.0.conv2,1,sandwich_465430,0.54214889387319
51,backbone.res2.0.conv3,1,sandwich_465430,0.5070554683513279
52,backbone.res2.1.conv1,1,sandwich_465430,0.5315070790690046
53,backbone.res2.1.conv2,1,sandwich_465430,0.5348081650994979
54,backbone.res2.1.conv3,1,sandwich_465430,0.5579877962359103
55,backbone.res2.2.conv1,1,sandwich_465430,0.5242685039187415
56,backbone.res2.2.conv2,1,sandwich_465430,0.5489935335033341
57,backbone.res2.2.conv3,1,sandwich_465430,0.584856474264269
58,backbone.res3.0.conv1,1,sandwich_465430,0.5567071803116216
59,backbone.res3.0.conv2,1,sandwich_465430,0.5592870231911318
60,backbone.res3.0.conv3,1,sandwich_465430,0.5699002804920175
61,backbone.res3.1.conv1,1,sandwich_465430,0.5213072881686545
62,backbone.res3.1.conv2,1,sandwich_465430,0.5201746218988514
63,backbone.res3.1.conv3,1,sandwich_465430,0.5675789541900026
64,backbone.res3.2.conv1,1,sandwich_465430,0.5276496257055808
65,backbone.res3.2.conv2,1,sandwich_465430,0.5386926897399337
66,backbone.res3.2.conv3,1,sandwich_465430,0.5773023837146497
67,backbone.res3.3.conv1,1,sandwich_465430,0.563140395687349
68,backbone.res3.3.conv2,1,sandwich_465430,0.5943914810216182
69,backbone.res3.3.conv3,1,sandwich_465430,0.5364609844575983
70,backbone.res4.0.conv1,1,sandwich_465430,0.4990233695280244
71,backbone.res4.0.conv2,1,sandwich_465430,0.550175432820782
72,backbone.res4.0.conv3,1,sandwich_465430,0.5375081026361863
73,backbone.res4.1.conv1,1,sandwich_465430,0.5255204013707384
74,backbone.res4.1.conv2,1,sandwich_465430,0.5525601826371794
75,backbone.res4.1.conv3,1,sandwich_465430,0.5355136489230329
76,backbone.res4.2.conv1,1,sandwich_465430,0.613297919862212
77,backbone.res4.2.conv2,1,sandwich_465430,0.6147572248172676
78,backbone.res4.2.conv3,1,sandwich_465430,0.5789303982987474
79,backbone.res4.3.conv1,1,sandwich_465430,0.5452197330022633
80,backbone.res4.3.conv2,1,sandwich_465430,0.5872095640570368
81,backbone.res4.3.conv3,1,sandwich_465430,0.6051062250585116
82,backbone.res4.4.conv1,1,sandwich_465430,0.5913865808296542
83,backbone.res4.4.conv2,1,sandwich_465430,0.6118411478912904
84,backbone.res4.4.conv3,1,sandwich_465430,0.5600017317488385
85,backbone.res4.5.conv1,1,sandwich_465430,0.6126737844998625
86,backbone.res4.5.conv2,1,sandwich_465430,0.6828295745522203
87,backbone.res4.5.conv3,2,sandwich_465430,0.3847927811347753
88,roi_heads.pooler.level,2,sandwich_465430,0.41211166964827567
89,roi_heads.res5.0.conv1,2,sandwich_465430,0.5254967330128182
90,roi_heads.res5.0.conv2,2,sandwich_465430,0.6066747422713356
91,roi_heads.res5.0.conv3,2,sandwich_465430,0.48216550658420027
92,roi_heads.res5.1.conv1,2,sandwich_465430,0.54140882671568
93,roi_heads.res5.1.conv2,2,sandwich_465430,0.49816766827569736
94,roi_heads.res5.1.conv3,2,sandwich_465430,0.6169689080533844
95,roi_heads.res5.2.conv1,2,sandwich_465430,0.47512706400624305
96,roi_heads.res5.2.conv2,2,sandwich_465430,0.45360920613484507
97,roi_heads.res5.2.conv3,2,sandwich_465430,0.6329476088940427
98,backbone.res2.0.conv1,1,bed_491757,-0.07196010321034375
99,backbone.res2.0.conv2,1,bed_491757,-0.012479742578689937
100,backbone.res2.0.conv3,1,bed_491757,0.17778324887127067
101,backbone.res2.1.conv1,1,bed_491757,0.15877031610522035
102,backbone.res2.1.conv2,1,bed_491757,0.16592011199114548
103,backbone.res2.1.conv3,1,bed_491757,0.2256758859597436
104,backbone.res2.2.conv1,1,bed_491757,0.12681017897521718
105,backbone.res2.2.conv2,1,bed_491757,0.3355385020549574
106,backbone.res2.2.conv3,1,bed_491757,0.18656712186006758
107,backbone.res3.0.conv1,1,bed_491757,0.058691680265451365
108,backbone.res3.0.conv2,1,bed_491757,0.22659717309041957
109,backbone.res3.0.conv3,1,bed_491757,0.10308938721369355
110,backbone.res3.1.conv1,1,bed_491757,0.3002137598284945
111,backbone.res3.1.conv2,1,bed_491757,0.2895725299067074
112,backbone.res3.1.conv3,1,bed_491757,0.16452899632257073
113,backbone.res3.2.conv1,1,bed_491757,0.1286375850039352
114,backbone.res3.2.conv2,1,bed_491757,0.21460361154928936
115,backbone.res3.2.conv3,1,bed_491757,0.19663650228368496
116,backbone.res3.3.conv1,1,bed_491757,0.16627302950065004
117,backbone.res3.3.conv2,1,bed_491757,0.21101635523802764
118,backbone.res3.3.conv3,1,bed_491757,0.2058153484680686
119,backbone.res4.0.conv1,1,bed_491757,0.21941089081818352
120,backbone.res4.0.conv2,1,bed_491757,0.07712329073972357
121,backbone.res4.0.conv3,1,bed_491757,0.16259892320738054
122,backbone.res4.1.conv1,1,bed_491757,0.19838154272246625
123,backbone.res4.1.conv2,1,bed_491757,0.2502788886747981
124,backbone.res4.1.conv3,1,bed_491757,0.2217987028311066
125,backbone.res4.2.conv1,1,bed_491757,0.27513559592520564
126,backbone.res4.2.conv2,1,bed_491757,0.27370214182357355
127,backbone.res4.2.conv3,1,bed_491757,0.25577724430821985
128,backbone.res4.3.conv1,1,bed_491757,0.28254787998110603
129,backbone.res4.3.conv2,1,bed_491757,0.30071450949285283
130,backbone.res4.3.conv3,1,bed_491757,0.08087967828156756
131,backbone.res4.4.conv1,1,bed_491757,0.14794118318999672
132,backbone.res4.4.conv2,1,bed_491757,0.10509043526925552
133,backbone.res4.4.conv3,1,bed_491757,0.02644088862268812
134,backbone.res4.5.conv1,1,bed_491757,0.21515953738902754
135,backbone.res4.5.conv2,1,bed_491757,0.07794755150328316
136,backbone.res4.5.conv3,2,bed_491757,-0.06371973389496179
137,roi_heads.pooler.level,2,bed_491757,-0.03043839191552094
138,roi_heads.res5.0.conv1,2,bed_491757,0.014326328949476289
139,roi_heads.res5.0.conv2,2,bed_491757,0.15397970815589174
140,roi_heads.res5.0.conv3,2,bed_491757,0.21246545067634345
141,roi_heads.res5.1.conv1,2,bed_491757,0.20371999888652426
142,roi_heads.res5.1.conv2,2,bed_491757,0.35501896077468365
143,roi_heads.res5.1.conv3,2,bed_491757,-0.05002479794686447
144,roi_heads.res5.2.conv1,2,bed_491757,0.2640868861167395
145,roi_heads.res5.2.conv2,2,bed_491757,-0.029401119877977323
146,roi_heads.res5.2.conv3,2,bed_491757,-0.06594826341996411
147,backbone.res2.0.conv1,1,bird_100489,0.563397423516512
148,backbone.res2.0.conv2,1,bird_100489,0.5628529996048193
149,backbone.res2.0.conv3,1,bird_100489,0.6477807427142096
150,backbone.res2.1.conv1,1,bird_100489,0.6102645689315275
151,backbone.res2.1.conv2,1,bird_100489,0.6426526271547994
152,backbone.res2.1.conv3,1,bird_100489,0.6664821605263204
153,backbone.res2.2.conv1,1,bird_100489,0.6229246104727003
154,backbone.res2.2.conv2,1,bird_100489,0.5435604443774543
155,backbone.res2.2.conv3,1,bird_100489,0.6723737579799323
156,backbone.res3.0.conv1,1,bird_100489,0.6507974574442468
157,backbone.res3.0.conv2,1,bird_100489,0.716995955190551
158,backbone.res3.0.conv3,1,bird_100489,0.6650815619413006
159,backbone.res3.1.conv1,1,bird_100489,0.6310806304689454
160,backbone.res3.1.conv2,1,bird_100489,0.6501937700375277
161,backbone.res3.1.conv3,1,bird_100489,0.6601739331175598
162,backbone.res3.2.conv1,1,bird_100489,0.6118650576959612
163,backbone.res3.2.conv2,1,bird_100489,0.6454758476265945
164,backbone.res3.2.conv3,1,bird_100489,0.6671505175097846
165,backbone.res3.3.conv1,1,bird_100489,0.5442767141798468
166,backbone.res3.3.conv2,1,bird_100489,0.5192736457816147
167,backbone.res3.3.conv3,1,bird_100489,0.6666814278141558
168,backbone.res4.0.conv1,1,bird_100489,0.5251628355502728
169,backbone.res4.0.conv2,1,bird_100489,0.6800957075270387
170,backbone.res4.0.conv3,1,bird_100489,0.6653836331470966
171,backbone.res4.1.conv1,1,bird_100489,0.5490123834813736
172,backbone.res4.1.conv2,1,bird_100489,0.5148815159735252
173,backbone.res4.1.conv3,1,bird_100489,0.7129805179915503
174,backbone.res4.2.conv1,1,bird_100489,0.7040709263965095
175,backbone.res4.2.conv2,1,bird_100489,0.6114647546803442
176,backbone.res4.2.conv3,1,bird_100489,0.6992149635334256
177,backbone.res4.3.conv1,1,bird_100489,0.5154864649342383
178,backbone.res4.3.conv2,1,bird_100489,0.6250125507320322
179,backbone.res4.3.conv3,1,bird_100489,0.7037676245167093
180,backbone.res4.4.conv1,1,bird_100489,0.5232385483879275
181,backbone.res4.4.conv2,1,bird_100489,0.5061279680168155
182,backbone.res4.4.conv3,1,bird_100489,0.5279805063241201
183,backbone.res4.5.conv1,1,bird_100489,0.4557207369826665
184,backbone.res4.5.conv2,1,bird_100489,0.29993887511338146
185,backbone.res4.5.conv3,2,bird_100489,0.6778283082173157
186,roi_heads.pooler.level,2,bird_100489,0.6618486461346089
187,roi_heads.res5.0.conv1,2,bird_100489,0.5287318105029328
188,roi_heads.res5.0.conv2,2,bird_100489,0.44486663276223626
189,roi_heads.res5.0.conv3,2,bird_100489,0.5048819977442683
190,roi_heads.res5.1.conv1,2,bird_100489,0.3328334639519075
191,roi_heads.res5.1.conv2,2,bird_100489,0.3416711889250144
192,roi_heads.res5.1.conv3,2,bird_100489,0.6287409189101569
193,roi_heads.res5.2.conv1,2,bird_100489,0.3684492101366105
194,roi_heads.res5.2.conv2,2,bird_100489,0.4649399310017375
195,roi_heads.res5.2.conv3,2,bird_100489,0.5156933840172243
196,backbone.res2.0.conv1,1,bottle_460929,0.3133311109059524
197,backbone.res2.0.conv2,1,bottle_460929,0.36424627926997893
198,backbone.res2.0.conv3,1,bottle_460929,0.3524352667814086
199,backbone.res2.1.conv1,1,bottle_460929,0.40179684864056026
200,backbone.res2.1.conv2,1,bottle_460929,0.4184718791835515
201,backbone.res2.1.conv3,1,bottle_460929,0.3768319077035532
202,backbone.res2.2.conv1,1,bottle_460929,0.4261428865692858
203,backbone.res2.2.conv2,1,bottle_460929,0.4319847610218426
204,backbone.res2.2.conv3,1,bottle_460929,0.39878929870968916
205,backbone.res3.0.conv1,1,bottle_460929,0.4656529568537107
206,backbone.res3.0.conv2,1,bottle_460929,0.4497428954778131
207,backbone.res3.0.conv3,1,bottle_460929,0.38228514665475494
208,backbone.res3.1.conv1,1,bottle_460929,0.40262188935537085
209,backbone.res3.1.conv2,1,bottle_460929,0.462154546191335
210,backbone.res3.1.conv3,1,bottle_460929,0.3899487866549185
211,backbone.res3.2.conv1,1,bottle_460929,0.33366605283199613
212,backbone.res3.2.conv2,1,bottle_460929,0.38132440671437723
213,backbone.res3.2.conv3,1,bottle_460929,0.46558047170173444
214,backbone.res3.3.conv1,1,bottle_460929,0.4686095572368292
215,backbone.res3.3.conv2,1,bottle_460929,0.451163646675426
216,backbone.res3.3.conv3,1,bottle_460929,0.40683950540453695
217,backbone.res4.0.conv1,1,bottle_460929,0.4464270647424691
218,backbone.res4.0.conv2,1,bottle_460929,0.3768810058929568
219,backbone.res4.0.conv3,1,bottle_460929,0.4260445135296254
220,backbone.res4.1.conv1,1,bottle_460929,0.3875030857301182
221,backbone.res4.1.conv2,1,bottle_460929,0.35083552188684186
222,backbone.res4.1.conv3,1,bottle_460929,0.42499671906771136
223,backbone.res4.2.conv1,1,bottle_460929,0.4523518758593123
224,backbone.res4.2.conv2,1,bottle_460929,0.3817929186195917
225,backbone.res4.2.conv3,1,bottle_460929,0.376550934609068
226,backbone.res4.3.conv1,1,bottle_460929,0.3914391766976841
227,backbone.res4.3.conv2,1,bottle_460929,0.34919011549462425
228,backbone.res4.3.conv3,1,bottle_460929,0.26893078925050945
229,backbone.res4.4.conv1,1,bottle_460929,0.27878271070948685
230,backbone.res4.4.conv2,1,bottle_460929,0.13387927358614135
231,backbone.res4.4.conv3,1,bottle_460929,0.27217971004559227
232,backbone.res4.5.conv1,1,bottle_460929,0.12116714266892112
233,backbone.res4.5.conv2,1,bottle_460929,0.0562503465248687
234,backbone.res4.5.conv3,2,bottle_460929,0.3969649410875001
235,roi_heads.pooler.level,2,bottle_460929,0.387854949912286
236,roi_heads.res5.0.conv1,2,bottle_460929,0.20547242817119615
237,roi_heads.res5.0.conv2,2,bottle_460929,0.20011828110164137
238,roi_heads.res5.0.conv3,2,bottle_460929,0.2836645531497493
239,roi_heads.res5.1.conv1,2,bottle_460929,0.22234841899692123
240,roi_heads.res5.1.conv2,2,bottle_460929,0.18106166996436476
241,roi_heads.res5.1.conv3,2,bottle_460929,0.2614913027941612
242,roi_heads.res5.2.conv1,2,bottle_460929,0.36151271802822854
243,roi_heads.res5.2.conv2,2,bottle_460929,0.17367828099607857
244,roi_heads.res5.2.conv3,2,bottle_460929,0.2177189687798496
245,backbone.res2.0.conv1,1,toothbrush_160666,0.3547238325368717
246,backbone.res2.0.conv2,1,toothbrush_160666,0.3323391258580983
247,backbone.res2.0.conv3,1,toothbrush_160666,0.42585162551230527
248,backbone.res2.1.conv1,1,toothbrush_160666,0.4745529793303393
249,backbone.res2.1.conv2,1,toothbrush_160666,0.43103869072814693
250,backbone.res2.1.conv3,1,toothbrush_160666,0.45945259631413166
251,backbone.res2.2.conv1,1,toothbrush_160666,0.4958881194297079
252,backbone.res2.2.conv2,1,toothbrush_160666,0.48626425485629204
