,Layer,Cluster,Image,PCC
0,backbone.res2.0.conv1,1,962,0.5187896208916888
1,backbone.res2.0.conv2,1,962,0.6048738947515867
2,backbone.res2.0.conv3,1,962,0.5065340814229315
3,backbone.res2.1.conv1,1,962,0.5027852219952267
4,backbone.res2.1.conv2,1,962,0.5572291588770629
5,backbone.res2.1.conv3,1,962,0.44686064051055957
6,backbone.res2.2.conv1,1,962,0.49110803159499145
7,backbone.res2.2.conv2,1,962,0.4825209773865759
8,backbone.res2.2.conv3,1,962,0.4305573071007769
9,backbone.res3.0.conv1,1,962,0.5798440199884608
10,backbone.res3.0.conv2,1,962,0.5597850663716276
11,backbone.res3.0.conv3,1,962,0.5656997937421091
12,backbone.res3.1.conv1,1,962,0.4894930938731964
13,backbone.res3.1.conv2,1,962,0.5389694746452699
14,backbone.res3.1.conv3,1,962,0.5245831271795095
15,backbone.res3.2.conv1,1,962,0.48273998501521365
16,backbone.res3.2.conv2,1,962,0.4598394369614938
17,backbone.res3.2.conv3,1,962,0.5858807568502987
18,backbone.res3.3.conv1,1,962,0.5666828333868528
19,backbone.res3.3.conv2,1,962,0.4894220769670911
20,backbone.res3.3.conv3,1,962,0.4361058006627348
21,backbone.res4.0.conv1,1,962,0.4049404879296759
22,backbone.res4.0.conv2,1,962,0.4150487527053744
23,backbone.res4.0.conv3,1,962,0.48503094518696505
24,backbone.res4.1.conv1,1,962,0.43045175349859544
25,backbone.res4.1.conv2,1,962,0.44224874130827196
26,backbone.res4.1.conv3,1,962,0.4589664690067993
27,backbone.res4.2.conv1,1,962,0.4163797536990891
28,backbone.res4.2.conv2,1,962,0.46557557860650056
29,backbone.res4.2.conv3,2,962,0.45700645758267466
30,backbone.res4.3.conv1,1,962,0.42565082844182117
31,backbone.res4.3.conv2,2,962,0.48679375531250196
32,backbone.res4.3.conv3,2,962,0.441774565104453
33,backbone.res4.4.conv1,2,962,0.3673887455993451
34,backbone.res4.4.conv2,2,962,0.4162047986370153
35,backbone.res4.4.conv3,2,962,0.5035310013878603
36,backbone.res4.5.conv1,2,962,0.425575926211462
37,backbone.res4.5.conv2,2,962,0.31749635357040745
38,backbone.res4.5.conv3,2,962,0.3779808970314182
39,roi_heads.pooler.level,2,962,0.3474840280484066
