,Layer,Cluster,Image,PCC
0,backbone.res2.0.conv1,1,962,0.7834498585738514
1,backbone.res2.0.conv2,1,962,0.8864945626849676
2,backbone.res2.0.conv3,1,962,0.7867243652823692
3,backbone.res2.1.conv1,1,962,0.8470269010449776
4,backbone.res2.1.conv2,1,962,0.8474401443108621
5,backbone.res2.1.conv3,1,962,0.68337621515678
6,backbone.res2.2.conv1,1,962,0.7988740844688282
7,backbone.res2.2.conv2,1,962,0.6989411028594619
8,backbone.res2.2.conv3,1,962,0.6533320966236971
9,backbone.res3.0.conv1,1,962,0.7860579844498992
10,backbone.res3.0.conv2,1,962,0.7431907075265659
11,backbone.res3.0.conv3,1,962,0.7909539480612758
12,backbone.res3.1.conv1,1,962,0.7845448575418219
13,backbone.res3.1.conv2,1,962,0.7649192792693738
14,backbone.res3.1.conv3,1,962,0.7878207311252531
15,backbone.res3.2.conv1,1,962,0.7409614428773231
16,backbone.res3.2.conv2,1,962,0.7303762528116807
17,backbone.res3.2.conv3,1,962,0.8080105532466838
18,backbone.res3.3.conv1,3,962,0.8149721644276439
19,backbone.res3.3.conv2,3,962,0.7128237050109656
20,backbone.res3.3.conv3,3,962,0.6521163915168273
21,backbone.res4.0.conv1,3,962,0.600269886500387
22,backbone.res4.0.conv2,3,962,0.5935533361787223
23,backbone.res4.0.conv3,3,962,0.7099368988716457
24,backbone.res4.1.conv1,3,962,0.5883885592838226
25,backbone.res4.1.conv2,3,962,0.6220327498698562
26,backbone.res4.1.conv3,3,962,0.6733659389296757
27,backbone.res4.2.conv1,3,962,0.6841437793282503
28,backbone.res4.2.conv2,3,962,0.6210258730784806
29,backbone.res4.2.conv3,3,962,0.6632380037427869
30,backbone.res4.3.conv1,3,962,0.6782243020309271
31,backbone.res4.3.conv2,3,962,0.7266290320507612
32,backbone.res4.3.conv3,3,962,0.6684239924697394
33,backbone.res4.4.conv1,3,962,0.5687380059666177
34,backbone.res4.4.conv2,2,962,0.5708137651910917
35,backbone.res4.4.conv3,2,962,0.6509540134936284
36,backbone.res4.5.conv1,2,962,0.6193913364139229
37,backbone.res4.5.conv2,2,962,0.3778519800932749
38,backbone.res4.5.conv3,2,962,0.4562643729014028
39,roi_heads.pooler.level,2,962,0.4373350425631791
40,roi_heads.res5.0.conv1,2,962,0.4235345017957217
41,roi_heads.res5.0.conv2,2,962,0.4462372389499287
42,roi_heads.res5.0.conv3,2,962,0.44813054413368403
43,roi_heads.res5.1.conv1,2,962,0.3875541584653734
44,roi_heads.res5.1.conv2,2,962,0.46970658015928424
45,roi_heads.res5.1.conv3,2,962,0.5033624511557704
46,roi_heads.res5.2.conv1,2,962,0.4928761259124167
47,roi_heads.res5.2.conv2,2,962,0.4130998223928908
48,roi_heads.res5.2.conv3,2,962,0.4613407736691109
49,backbone.res2.0.conv1,1,2170,0.8292036550793545
50,backbone.res2.0.conv2,1,2170,0.8424403984002672
51,backbone.res2.0.conv3,1,2170,0.8692320638764015
52,backbone.res2.1.conv1,1,2170,0.914166509450094
53,backbone.res2.1.conv2,1,2170,0.9601800084441441
54,backbone.res2.1.conv3,1,2170,0.6298581779118467
55,backbone.res2.2.conv1,1,2170,0.7571552412166385
56,backbone.res2.2.conv2,1,2170,0.9921729455475075
