,Layer,Cluster,Image,PCC
0,backbone.res2.0.conv1,2,54,0.4892262595165958
1,backbone.res2.0.conv2,2,54,0.4831286520948384
2,backbone.res2.0.conv3,2,54,0.5187317890135352
3,backbone.res2.1.conv1,2,54,0.5147100534510658
4,backbone.res2.1.conv2,2,54,0.5415964941388598
5,backbone.res2.1.conv3,2,54,0.5476127166089393
6,backbone.res2.2.conv1,2,54,0.5523657632751598
7,backbone.res2.2.conv2,2,54,0.5490280913636703
8,backbone.res2.2.conv3,2,54,0.5476927620415069
9,backbone.res3.0.conv1,2,54,0.5067720569211789
10,backbone.res3.0.conv2,2,54,0.5918880995521274
11,backbone.res3.0.conv3,2,54,0.5074241694478314
12,backbone.res3.1.conv1,2,54,0.5340794108945488
13,backbone.res3.1.conv2,2,54,0.5239687146633485
14,backbone.res3.1.conv3,2,54,0.5484203928505913
15,backbone.res3.2.conv1,2,54,0.560494943795803
16,backbone.res3.2.conv2,2,54,0.5178525020748656
17,backbone.res3.2.conv3,2,54,0.3526887236887426
18,backbone.res3.3.conv1,2,54,0.5973470517909725
19,backbone.res3.3.conv2,2,54,0.5803845799416073
20,backbone.res3.3.conv3,2,54,0.34922195537580963
21,backbone.res4.0.conv1,2,54,0.3260702600940333
22,backbone.res4.0.conv2,2,54,0.5426020934958359
23,backbone.res4.0.conv3,2,54,0.5306787547629892
24,backbone.res4.1.conv1,2,54,0.5910868652938821
25,backbone.res4.1.conv2,2,54,0.3659867379647779
26,backbone.res4.1.conv3,2,54,0.3261956620349748
27,backbone.res4.2.conv1,1,54,0.4839841125635805
28,backbone.res4.2.conv2,1,54,0.5286475574826903
29,backbone.res4.2.conv3,2,54,0.5514121202707543
30,backbone.res4.3.conv1,2,54,0.3175471440181147
31,backbone.res4.3.conv2,1,54,0.5565666728039272
32,backbone.res4.3.conv3,1,54,0.5980858666736616
33,backbone.res4.4.conv1,1,54,0.5334825959478443
34,backbone.res4.4.conv2,1,54,0.5237645810949301
35,backbone.res4.4.conv3,1,54,0.600562334535413
36,backbone.res4.5.conv1,1,54,0.4472250814566533
37,backbone.res4.5.conv2,1,54,0.49087931295657306
38,backbone.res4.5.conv3,1,54,0.5123644744447852
39,roi_heads.pooler.level,1,54,0.5909018388668652
40,roi_heads.res5.0.conv1,1,54,0.5341920803483073
41,roi_heads.res5.0.conv2,1,54,0.5082645937417789
42,roi_heads.res5.0.conv3,1,54,0.5121492876035442
43,roi_heads.res5.1.conv1,1,54,0.45024959359579164
44,roi_heads.res5.1.conv2,1,54,0.632286488052804
45,roi_heads.res5.1.conv3,1,54,0.5052021546309164
46,roi_heads.res5.2.conv1,1,54,0.5436806486514613
47,roi_heads.res5.2.conv2,1,54,0.4211891757767675
48,roi_heads.res5.2.conv3,1,54,0.36562650653702766
49,backbone.res2.0.conv1,2,1319,0.8486901548630154
50,backbone.res2.0.conv2,2,1319,0.807222380997778
51,backbone.res2.0.conv3,2,1319,0.6600931653584194
