,Layer,Cluster,Image,PCC
0,backbone.res2.0.conv1,2,54,0.6728647779252005
1,backbone.res2.0.conv2,2,54,0.7156039566795113
2,backbone.res2.0.conv3,2,54,0.6918995312110824
3,backbone.res2.1.conv1,2,54,0.7154464381157066
4,backbone.res2.1.conv2,2,54,0.7226247780110883
5,backbone.res2.1.conv3,2,54,0.6904431355398312
6,backbone.res2.2.conv1,2,54,0.7029081472548588
7,backbone.res2.2.conv2,2,54,0.6830424686538981
8,backbone.res2.2.conv3,2,54,0.6468596435020747
9,backbone.res3.0.conv1,2,54,0.7085045382243563
10,backbone.res3.0.conv2,2,54,0.5304591196447475
11,backbone.res3.0.conv3,2,54,0.7061827354024158
12,backbone.res3.1.conv1,2,54,0.6611262517915528
13,backbone.res3.1.conv2,2,54,0.6730399256700743
14,backbone.res3.1.conv3,2,54,0.6030515762842635
15,backbone.res3.2.conv1,2,54,0.6929893547503799
16,backbone.res3.2.conv2,2,54,0.7325534789698579
17,backbone.res3.2.conv3,2,54,0.5872663093404824
18,backbone.res3.3.conv1,2,54,0.6452853371594574
19,backbone.res3.3.conv2,2,54,0.6084813626475067
20,backbone.res3.3.conv3,2,54,0.5826737517777362
21,backbone.res4.0.conv1,2,54,0.5545048280522541
22,backbone.res4.0.conv2,2,54,0.6027132031389385
23,backbone.res4.0.conv3,2,54,0.6237346589636845
24,backbone.res4.1.conv1,2,54,0.6841684341128742
25,backbone.res4.1.conv2,2,54,0.5874321325487608
26,backbone.res4.1.conv3,2,54,0.5573651139378122
27,backbone.res4.2.conv1,1,54,0.702335761159405
28,backbone.res4.2.conv2,1,54,0.6549979794421747
29,backbone.res4.2.conv3,2,54,0.6440984292880224
30,backbone.res4.3.conv1,2,54,0.5600461482715989
31,backbone.res4.3.conv2,1,54,0.6566023059669311
32,backbone.res4.3.conv3,1,54,0.5743848758967488
33,backbone.res4.4.conv1,1,54,0.7051465785413381
34,backbone.res4.4.conv2,1,54,0.4932001827796024
35,backbone.res4.4.conv3,1,54,0.5998762473053378
36,backbone.res4.5.conv1,1,54,0.5741483371353463
37,backbone.res4.5.conv2,1,54,0.5396364368772133
