,Layer,Cluster,Task,Image,Similarity
0,backbone.res2.0.conv1,2,DET vs FullGradCam,couch_31735,0.4430646103431706
1,backbone.res2.0.conv2,2,DET vs FullGradCam,couch_31735,0.4128107777980459
2,backbone.res2.0.conv3,2,DET vs FullGradCam,couch_31735,0.40386250659535344
3,backbone.res2.1.conv1,2,DET vs FullGradCam,couch_31735,0.37835749042444566
4,backbone.res2.1.conv2,2,DET vs FullGradCam,couch_31735,0.4067506368350436
5,backbone.res2.1.conv3,2,DET vs FullGradCam,couch_31735,0.3996308722290949
6,backbone.res2.2.conv1,2,DET vs FullGradCam,couch_31735,0.34601587480854523
7,backbone.res2.2.conv2,2,DET vs FullGradCam,couch_31735,0.3517786798745182
8,backbone.res2.2.conv3,2,DET vs FullGradCam,couch_31735,0.3786443977527153
9,backbone.res3.0.conv1,2,DET vs FullGradCam,couch_31735,0.3886836602319446
10,backbone.res3.0.conv2,2,DET vs FullGradCam,couch_31735,0.3880161734516302
11,backbone.res3.0.conv3,2,DET vs FullGradCam,couch_31735,0.39729645914943545
12,backbone.res3.1.conv1,2,DET vs FullGradCam,couch_31735,0.32280025909106747
13,backbone.res3.1.conv2,2,DET vs FullGradCam,couch_31735,0.3461576953955279
14,backbone.res3.1.conv3,2,DET vs FullGradCam,couch_31735,0.35859349421990766
15,backbone.res3.2.conv1,2,DET vs FullGradCam,couch_31735,0.23543075870372046
16,backbone.res3.2.conv2,2,DET vs FullGradCam,couch_31735,0.344364542082189
17,backbone.res3.2.conv3,2,DET vs FullGradCam,couch_31735,0.3993726660050305
18,backbone.res3.3.conv1,2,DET vs FullGradCam,couch_31735,0.3750601151222695
19,backbone.res3.3.conv2,2,DET vs FullGradCam,couch_31735,0.38871258743176135
20,backbone.res3.3.conv3,2,DET vs FullGradCam,couch_31735,0.3531026709787317
21,backbone.res4.0.conv1,2,DET vs FullGradCam,couch_31735,0.4107329353427318
22,backbone.res4.0.conv2,2,DET vs FullGradCam,couch_31735,0.4332112982017568
23,backbone.res4.0.conv3,2,DET vs FullGradCam,couch_31735,0.42774275034875575
24,backbone.res4.1.conv1,2,DET vs FullGradCam,couch_31735,0.37908297506207966
25,backbone.res4.1.conv2,2,DET vs FullGradCam,couch_31735,0.35404490787523785
26,backbone.res4.1.conv3,2,DET vs FullGradCam,couch_31735,0.43660470943039825
27,backbone.res4.2.conv1,2,DET vs FullGradCam,couch_31735,0.3610858904989839
28,backbone.res4.2.conv2,1,DET vs FullGradCam,couch_31735,0.4168854092179219
29,backbone.res4.2.conv3,1,DET vs FullGradCam,couch_31735,0.34633649885369294
30,backbone.res4.3.conv1,1,DET vs FullGradCam,couch_31735,0.3404791258508121
31,backbone.res4.3.conv2,1,DET vs FullGradCam,couch_31735,0.4083047231302104
32,backbone.res4.3.conv3,1,DET vs FullGradCam,couch_31735,0.3971096467251489
33,backbone.res4.4.conv1,1,DET vs FullGradCam,couch_31735,0.3577060668572526
34,backbone.res4.4.conv2,1,DET vs FullGradCam,couch_31735,0.4027943747922276
35,backbone.res4.4.conv3,1,DET vs FullGradCam,couch_31735,0.3689756531378362
36,backbone.res4.5.conv1,1,DET vs FullGradCam,couch_31735,0.39363075784927365
37,backbone.res4.5.conv2,1,DET vs FullGradCam,couch_31735,0.3626728545593267
38,backbone.res4.5.conv3,1,DET vs FullGradCam,couch_31735,0.40628300409120693
39,backbone.res2.0.conv1,2,DET vs FullGradCam,parking meter_568147,0.6646860115544548
40,backbone.res2.0.conv2,2,DET vs FullGradCam,parking meter_568147,0.6852460700473515
41,backbone.res2.0.conv3,2,DET vs FullGradCam,parking meter_568147,0.6582736063941252
42,backbone.res2.1.conv1,2,DET vs FullGradCam,parking meter_568147,0.6527205225891678
43,backbone.res2.1.conv2,2,DET vs FullGradCam,parking meter_568147,0.6821687053468221
44,backbone.res2.1.conv3,2,DET vs FullGradCam,parking meter_568147,0.5371819663376903
45,backbone.res2.2.conv1,2,DET vs FullGradCam,parking meter_568147,0.5186209657454084
46,backbone.res2.2.conv2,2,DET vs FullGradCam,parking meter_568147,0.5993314121248293
47,backbone.res2.2.conv3,2,DET vs FullGradCam,parking meter_568147,0.5565849167173342
48,backbone.res3.0.conv1,2,DET vs FullGradCam,parking meter_568147,0.6940729926813872
49,backbone.res3.0.conv2,2,DET vs FullGradCam,parking meter_568147,0.7107519917295007
50,backbone.res3.0.conv3,2,DET vs FullGradCam,parking meter_568147,0.6996524749490549
51,backbone.res3.1.conv1,2,DET vs FullGradCam,parking meter_568147,0.6805235273541502
52,backbone.res3.1.conv2,2,DET vs FullGradCam,parking meter_568147,0.6517885172842911
53,backbone.res3.1.conv3,2,DET vs FullGradCam,parking meter_568147,0.6561805329833883
54,backbone.res3.2.conv1,2,DET vs FullGradCam,parking meter_568147,0.5031092621007087
55,backbone.res3.2.conv2,2,DET vs FullGradCam,parking meter_568147,0.6628416496604995
56,backbone.res3.2.conv3,2,DET vs FullGradCam,parking meter_568147,0.5867083776689961
57,backbone.res3.3.conv1,2,DET vs FullGradCam,parking meter_568147,0.5520104035374386
58,backbone.res3.3.conv2,2,DET vs FullGradCam,parking meter_568147,0.6797003251418489
59,backbone.res3.3.conv3,2,DET vs FullGradCam,parking meter_568147,0.6631411291558189
60,backbone.res4.0.conv1,2,DET vs FullGradCam,parking meter_568147,0.6588576429846769
61,backbone.res4.0.conv2,2,DET vs FullGradCam,parking meter_568147,0.557846685006701
62,backbone.res4.0.conv3,2,DET vs FullGradCam,parking meter_568147,0.5457607733681453
63,backbone.res4.1.conv1,2,DET vs FullGradCam,parking meter_568147,0.7040298582207881
64,backbone.res4.1.conv2,2,DET vs FullGradCam,parking meter_568147,0.6711391062033473
65,backbone.res4.1.conv3,2,DET vs FullGradCam,parking meter_568147,0.6749327217348491
66,backbone.res4.2.conv1,2,DET vs FullGradCam,parking meter_568147,0.6240571126398295
67,backbone.res4.2.conv2,1,DET vs FullGradCam,parking meter_568147,0.6514725462112838
68,backbone.res4.2.conv3,1,DET vs FullGradCam,parking meter_568147,0.589540877941912
69,backbone.res4.3.conv1,1,DET vs FullGradCam,parking meter_568147,0.597123475328219
70,backbone.res4.3.conv2,1,DET vs FullGradCam,parking meter_568147,0.681384283074888
71,backbone.res4.3.conv3,1,DET vs FullGradCam,parking meter_568147,0.6715324641237674
72,backbone.res4.4.conv1,1,DET vs FullGradCam,parking meter_568147,0.6277488007681741
