,Layer,Cluster,Task,Image,Similarity
0,backbone.res2.0.conv1,2,DET vs FullGradCam,couch_31735,0.5020843819794766
1,backbone.res2.0.conv2,2,DET vs FullGradCam,couch_31735,0.4672434008298287
2,backbone.res2.0.conv3,2,DET vs FullGradCam,couch_31735,0.4610751097347426
3,backbone.res2.1.conv1,2,DET vs FullGradCam,couch_31735,0.4903619338049928
4,backbone.res2.1.conv2,2,DET vs FullGradCam,couch_31735,0.49820716848203783
5,backbone.res2.1.conv3,2,DET vs FullGradCam,couch_31735,0.4645037005846646
6,backbone.res2.2.conv1,2,DET vs FullGradCam,couch_31735,0.47977848784244315
7,backbone.res2.2.conv2,2,DET vs FullGradCam,couch_31735,0.4834015718845456
8,backbone.res2.2.conv3,2,DET vs FullGradCam,couch_31735,0.49036017842472346
9,backbone.res3.0.conv1,2,DET vs FullGradCam,couch_31735,0.48611016941625035
10,backbone.res3.0.conv2,2,DET vs FullGradCam,couch_31735,0.49595255411484984
11,backbone.res3.0.conv3,2,DET vs FullGradCam,couch_31735,0.4777848284875537
12,backbone.res3.1.conv1,2,DET vs FullGradCam,couch_31735,0.3901082432021086
13,backbone.res3.1.conv2,2,DET vs FullGradCam,couch_31735,0.4813174010388457
14,backbone.res3.1.conv3,2,DET vs FullGradCam,couch_31735,0.41112706426364326
15,backbone.res3.2.conv1,2,DET vs FullGradCam,couch_31735,0.28799849440038183
16,backbone.res3.2.conv2,2,DET vs FullGradCam,couch_31735,0.4793851242277216
17,backbone.res3.2.conv3,2,DET vs FullGradCam,couch_31735,0.4521758568364595
18,backbone.res3.3.conv1,2,DET vs FullGradCam,couch_31735,0.43366608685452557
19,backbone.res3.3.conv2,2,DET vs FullGradCam,couch_31735,0.4466884300598341
20,backbone.res3.3.conv3,2,DET vs FullGradCam,couch_31735,0.4852961575129522
21,backbone.res4.0.conv1,2,DET vs FullGradCam,couch_31735,0.48955451263024113
22,backbone.res4.0.conv2,2,DET vs FullGradCam,couch_31735,0.501083560356982
23,backbone.res4.0.conv3,2,DET vs FullGradCam,couch_31735,0.5090732805252206
24,backbone.res4.1.conv1,2,DET vs FullGradCam,couch_31735,0.500617653358585
25,backbone.res4.1.conv2,2,DET vs FullGradCam,couch_31735,0.48488933284850577
26,backbone.res4.1.conv3,2,DET vs FullGradCam,couch_31735,0.48115139669176193
27,backbone.res4.2.conv1,2,DET vs FullGradCam,couch_31735,0.4075965235169382
28,backbone.res4.2.conv2,1,DET vs FullGradCam,couch_31735,0.4983633746672231
29,backbone.res4.2.conv3,1,DET vs FullGradCam,couch_31735,0.47737019802739417
30,backbone.res4.3.conv1,1,DET vs FullGradCam,couch_31735,0.47300109089792336
31,backbone.res4.3.conv2,1,DET vs FullGradCam,couch_31735,0.4634890322248009
32,backbone.res4.3.conv3,1,DET vs FullGradCam,couch_31735,0.4446097745887487
33,backbone.res4.4.conv1,1,DET vs FullGradCam,couch_31735,0.40718583350899634
34,backbone.res4.4.conv2,1,DET vs FullGradCam,couch_31735,0.448903869635252
35,backbone.res4.4.conv3,1,DET vs FullGradCam,couch_31735,0.41899135213043937
36,backbone.res4.5.conv1,1,DET vs FullGradCam,couch_31735,0.459971329804976
37,backbone.res4.5.conv2,1,DET vs FullGradCam,couch_31735,0.4391956957980512
38,backbone.res4.5.conv3,1,DET vs FullGradCam,couch_31735,0.47305502584040393
39,backbone.res2.0.conv1,2,DET vs FullGradCam,parking meter_568147,0.7083243526128208
40,backbone.res2.0.conv2,2,DET vs FullGradCam,parking meter_568147,0.7253456739465383
41,backbone.res2.0.conv3,2,DET vs FullGradCam,parking meter_568147,0.6965024111953041
42,backbone.res2.1.conv1,2,DET vs FullGradCam,parking meter_568147,0.6897717070608905
43,backbone.res2.1.conv2,2,DET vs FullGradCam,parking meter_568147,0.721586848779386
44,backbone.res2.1.conv3,2,DET vs FullGradCam,parking meter_568147,0.563545719512372
45,backbone.res2.2.conv1,2,DET vs FullGradCam,parking meter_568147,0.5439706924117873
46,backbone.res2.2.conv2,2,DET vs FullGradCam,parking meter_568147,0.6313732059357169
