,Layer,Cluster,Task,Image,Similarity
0,backbone.res2.0.conv1,1,DET vs FullGradCam,couch_31735,0.31329277431551805
1,backbone.res2.0.conv2,1,DET vs FullGradCam,couch_31735,0.3350059510421277
2,backbone.res2.0.conv3,1,DET vs FullGradCam,couch_31735,0.32868368650576285
3,backbone.res2.1.conv1,1,DET vs FullGradCam,couch_31735,0.2599940386393428
4,backbone.res2.1.conv2,1,DET vs FullGradCam,couch_31735,0.27650593956705743
5,backbone.res2.1.conv3,1,DET vs FullGradCam,couch_31735,0.3172233312134603
6,backbone.res2.2.conv1,1,DET vs FullGradCam,couch_31735,0.2328480191457852
7,backbone.res2.2.conv2,1,DET vs FullGradCam,couch_31735,0.23133548432171266
8,backbone.res2.2.conv3,1,DET vs FullGradCam,couch_31735,0.259207894345149
9,backbone.res3.0.conv1,1,DET vs FullGradCam,couch_31735,0.2773842866830233
10,backbone.res3.0.conv2,1,DET vs FullGradCam,couch_31735,0.259577821481993
11,backbone.res3.0.conv3,1,DET vs FullGradCam,couch_31735,0.2963127907729209
12,backbone.res3.1.conv1,1,DET vs FullGradCam,couch_31735,0.35433889653928313
13,backbone.res3.1.conv2,1,DET vs FullGradCam,couch_31735,0.23584442167705524
14,backbone.res3.1.conv3,1,DET vs FullGradCam,couch_31735,0.3549959499874411
15,backbone.res3.2.conv1,1,DET vs FullGradCam,couch_31735,0.39998859211340365
16,backbone.res3.2.conv2,1,DET vs FullGradCam,couch_31735,0.23363312596077346
17,backbone.res3.2.conv3,1,DET vs FullGradCam,couch_31735,0.33408577017474633
18,backbone.res3.3.conv1,1,DET vs FullGradCam,couch_31735,0.33966420773340517
19,backbone.res3.3.conv2,1,DET vs FullGradCam,couch_31735,0.3335933663135433
20,backbone.res3.3.conv3,1,DET vs FullGradCam,couch_31735,0.2316630535727223
21,backbone.res4.0.conv1,1,DET vs FullGradCam,couch_31735,0.2901925981036085
22,backbone.res4.0.conv2,1,DET vs FullGradCam,couch_31735,0.29434929573030827
23,backbone.res4.0.conv3,1,DET vs FullGradCam,couch_31735,0.2784631879370358
24,backbone.res4.1.conv1,1,DET vs FullGradCam,couch_31735,0.2380489061108961
25,backbone.res4.1.conv2,1,DET vs FullGradCam,couch_31735,0.23105422024122466
26,backbone.res4.1.conv3,1,DET vs FullGradCam,couch_31735,0.3283326278285398
27,backbone.res4.2.conv1,1,DET vs FullGradCam,couch_31735,0.3596869978643412
28,backbone.res4.2.conv2,1,DET vs FullGradCam,couch_31735,0.28575752279869837
29,backbone.res4.2.conv3,2,DET vs FullGradCam,couch_31735,0.23354412196139648
30,backbone.res4.3.conv1,1,DET vs FullGradCam,couch_31735,0.23537546792956007
31,backbone.res4.3.conv2,2,DET vs FullGradCam,couch_31735,0.330258769546596
32,backbone.res4.3.conv3,2,DET vs FullGradCam,couch_31735,0.3516925992109062
33,backbone.res4.4.conv1,2,DET vs FullGradCam,couch_31735,0.36958164298467305
34,backbone.res4.4.conv2,2,DET vs FullGradCam,couch_31735,0.3481095552700343
35,backbone.res4.4.conv3,2,DET vs FullGradCam,couch_31735,0.3607204641251473
