,Layer,Cluster,Task,Image,Similarity
0,backbone.res2.0.conv1,2,DET vs FullGradCam,handbag_383842,119.57576151551382
1,backbone.res2.0.conv2,2,DET vs FullGradCam,handbag_383842,120.1361187589442
2,backbone.res2.0.conv3,1,DET vs FullGradCam,handbag_383842,114.54772769695332
3,backbone.res2.1.conv1,2,DET vs FullGradCam,handbag_383842,100.1607778038256
4,backbone.res2.1.conv2,2,DET vs FullGradCam,handbag_383842,100.31817855133616
5,backbone.res2.1.conv3,2,DET vs FullGradCam,handbag_383842,110.98939941310319
6,backbone.res2.2.conv1,1,DET vs FullGradCam,handbag_383842,111.78529274717106
7,backbone.res2.2.conv2,1,DET vs FullGradCam,handbag_383842,119.7457668804492
8,backbone.res2.2.conv3,1,DET vs FullGradCam,handbag_383842,110.86650165517614
9,backbone.res3.0.conv1,1,DET vs FullGradCam,handbag_383842,113.18167708717675
10,backbone.res3.0.conv2,1,DET vs FullGradCam,handbag_383842,118.39848508651482
11,backbone.res3.0.conv3,2,DET vs FullGradCam,handbag_383842,117.17009321383622
12,backbone.res3.1.conv1,2,DET vs FullGradCam,handbag_383842,114.58964401444004
13,backbone.res3.1.conv2,2,DET vs FullGradCam,handbag_383842,120.90834309628531
14,backbone.res3.1.conv3,2,DET vs FullGradCam,handbag_383842,116.34562626835708
15,backbone.res3.2.conv1,1,DET vs FullGradCam,handbag_383842,116.14834814024621
16,backbone.res3.2.conv2,2,DET vs FullGradCam,handbag_383842,115.37332722594462
17,backbone.res3.2.conv3,2,DET vs FullGradCam,handbag_383842,114.56593755720638
18,backbone.res3.3.conv1,1,DET vs FullGradCam,handbag_383842,116.09843181727427
19,backbone.res3.3.conv2,2,DET vs FullGradCam,handbag_383842,117.78094287063195
20,backbone.res3.3.conv3,2,DET vs FullGradCam,handbag_383842,118.6152472294084
21,backbone.res4.0.conv1,1,DET vs FullGradCam,handbag_383842,115.51106701203301
22,backbone.res4.0.conv2,2,DET vs FullGradCam,handbag_383842,113.67675533905242
23,backbone.res4.0.conv3,2,DET vs FullGradCam,handbag_383842,113.68233968316508
24,backbone.res4.1.conv1,2,DET vs FullGradCam,handbag_383842,114.77957403164066
25,backbone.res4.1.conv2,1,DET vs FullGradCam,handbag_383842,111.01365638012282
26,backbone.res4.1.conv3,2,DET vs FullGradCam,handbag_383842,120.495492403278
27,backbone.res4.2.conv1,2,DET vs FullGradCam,handbag_383842,115.52148788697644
28,backbone.res4.2.conv2,3,DET vs FullGradCam,handbag_383842,116.20932932039642
29,backbone.res4.2.conv3,2,DET vs FullGradCam,handbag_383842,121.72589944980703
30,backbone.res4.3.conv1,2,DET vs FullGradCam,handbag_383842,124.32043139007678
31,backbone.res4.3.conv2,3,DET vs FullGradCam,handbag_383842,112.8059965597518
32,backbone.res4.3.conv3,3,DET vs FullGradCam,handbag_383842,116.10684898310159
33,backbone.res4.4.conv1,3,DET vs FullGradCam,handbag_383842,123.11824994055479
34,backbone.res4.4.conv2,3,DET vs FullGradCam,handbag_383842,107.60267233220921
35,backbone.res4.4.conv3,3,DET vs FullGradCam,handbag_383842,119.96450571805508
36,backbone.res4.5.conv1,3,DET vs FullGradCam,handbag_383842,129.30761389338278
37,backbone.res4.5.conv2,3,DET vs FullGradCam,handbag_383842,118.72217120408436
38,backbone.res4.5.conv3,3,DET vs FullGradCam,handbag_383842,121.70259415822798
39,backbone.res2.0.conv1,2,DET vs FullGradCam,sandwich_465430,28.364848930028906
40,backbone.res2.0.conv2,2,DET vs FullGradCam,sandwich_465430,28.0331754930073
41,backbone.res2.0.conv3,1,DET vs FullGradCam,sandwich_465430,26.66914274819092
42,backbone.res2.1.conv1,2,DET vs FullGradCam,sandwich_465430,27.250426177780984
43,backbone.res2.1.conv2,2,DET vs FullGradCam,sandwich_465430,26.979209118090406
44,backbone.res2.1.conv3,2,DET vs FullGradCam,sandwich_465430,28.62529533659061
45,backbone.res2.2.conv1,1,DET vs FullGradCam,sandwich_465430,29.299309018125307
46,backbone.res2.2.conv2,1,DET vs FullGradCam,sandwich_465430,28.31872087828864
47,backbone.res2.2.conv3,1,DET vs FullGradCam,sandwich_465430,26.308866868748993
48,backbone.res3.0.conv1,1,DET vs FullGradCam,sandwich_465430,23.845392312279213
49,backbone.res3.0.conv2,1,DET vs FullGradCam,sandwich_465430,23.376600784711165
50,backbone.res3.0.conv3,2,DET vs FullGradCam,sandwich_465430,22.479691616542457
51,backbone.res3.1.conv1,2,DET vs FullGradCam,sandwich_465430,30.309759621964275
52,backbone.res3.1.conv2,2,DET vs FullGradCam,sandwich_465430,22.969186828314225
53,backbone.res3.1.conv3,2,DET vs FullGradCam,sandwich_465430,26.76073841813985
54,backbone.res3.2.conv1,1,DET vs FullGradCam,sandwich_465430,21.331929933876566
55,backbone.res3.2.conv2,2,DET vs FullGradCam,sandwich_465430,28.597347019558256
56,backbone.res3.2.conv3,2,DET vs FullGradCam,sandwich_465430,21.069763875377475
57,backbone.res3.3.conv1,1,DET vs FullGradCam,sandwich_465430,22.211308168955437
58,backbone.res3.3.conv2,2,DET vs FullGradCam,sandwich_465430,34.194057231902946
59,backbone.res3.3.conv3,2,DET vs FullGradCam,sandwich_465430,22.442392115758942
60,backbone.res4.0.conv1,1,DET vs FullGradCam,sandwich_465430,26.310346762505688
61,backbone.res4.0.conv2,2,DET vs FullGradCam,sandwich_465430,35.49648346578937
62,backbone.res4.0.conv3,2,DET vs FullGradCam,sandwich_465430,33.92607337053667
63,backbone.res4.1.conv1,2,DET vs FullGradCam,sandwich_465430,27.638864077340816
64,backbone.res4.1.conv2,1,DET vs FullGradCam,sandwich_465430,40.97749994154008
65,backbone.res4.1.conv3,2,DET vs FullGradCam,sandwich_465430,34.384811206914605
66,backbone.res4.2.conv1,2,DET vs FullGradCam,sandwich_465430,40.860821833292896
67,backbone.res4.2.conv2,3,DET vs FullGradCam,sandwich_465430,44.43894364389312
68,backbone.res4.2.conv3,2,DET vs FullGradCam,sandwich_465430,26.547648314039296
69,backbone.res4.3.conv1,2,DET vs FullGradCam,sandwich_465430,25.897867979848613
70,backbone.res4.3.conv2,3,DET vs FullGradCam,sandwich_465430,22.541631092759154
71,backbone.res4.3.conv3,3,DET vs FullGradCam,sandwich_465430,26.648841255409426
72,backbone.res4.4.conv1,3,DET vs FullGradCam,sandwich_465430,29.78165649091553
73,backbone.res4.4.conv2,3,DET vs FullGradCam,sandwich_465430,36.54357848709811
74,backbone.res4.4.conv3,3,DET vs FullGradCam,sandwich_465430,25.481155283428627
75,backbone.res4.5.conv1,3,DET vs FullGradCam,sandwich_465430,45.3462526463497
76,backbone.res4.5.conv2,3,DET vs FullGradCam,sandwich_465430,45.362429671432835
77,backbone.res4.5.conv3,3,DET vs FullGradCam,sandwich_465430,44.49080871815869
78,backbone.res2.0.conv1,2,DET vs FullGradCam,bed_491757,112.86154625074155
79,backbone.res2.0.conv2,2,DET vs FullGradCam,bed_491757,112.49285747426828
80,backbone.res2.0.conv3,1,DET vs FullGradCam,bed_491757,109.62142865143701
81,backbone.res2.1.conv1,2,DET vs FullGradCam,bed_491757,108.1662395891095
82,backbone.res2.1.conv2,2,DET vs FullGradCam,bed_491757,108.5921199922676
83,backbone.res2.1.conv3,2,DET vs FullGradCam,bed_491757,108.35200773683565
84,backbone.res2.2.conv1,1,DET vs FullGradCam,bed_491757,80.54161067001544
85,backbone.res2.2.conv2,1,DET vs FullGradCam,bed_491757,103.04138200295355
86,backbone.res2.2.conv3,1,DET vs FullGradCam,bed_491757,107.59082223567026
87,backbone.res3.0.conv1,1,DET vs FullGradCam,bed_491757,109.0291752553286
88,backbone.res3.0.conv2,1,DET vs FullGradCam,bed_491757,107.73063088811517
89,backbone.res3.0.conv3,2,DET vs FullGradCam,bed_491757,107.5068053347646
90,backbone.res3.1.conv1,2,DET vs FullGradCam,bed_491757,104.63860756093884
91,backbone.res3.1.conv2,2,DET vs FullGradCam,bed_491757,110.61981282898643
92,backbone.res3.1.conv3,2,DET vs FullGradCam,bed_491757,108.07156904272331
93,backbone.res3.2.conv1,1,DET vs FullGradCam,bed_491757,105.91539797894757
94,backbone.res3.2.conv2,2,DET vs FullGradCam,bed_491757,107.21807764756025
95,backbone.res3.2.conv3,2,DET vs FullGradCam,bed_491757,92.4210226942368
96,backbone.res3.3.conv1,1,DET vs FullGradCam,bed_491757,81.71358490096235
97,backbone.res3.3.conv2,2,DET vs FullGradCam,bed_491757,79.41245001503268
98,backbone.res3.3.conv3,2,DET vs FullGradCam,bed_491757,92.39576723054708
99,backbone.res4.0.conv1,1,DET vs FullGradCam,bed_491757,77.96514980041637
100,backbone.res4.0.conv2,2,DET vs FullGradCam,bed_491757,104.03780121526273
101,backbone.res4.0.conv3,2,DET vs FullGradCam,bed_491757,107.61286682213924
102,backbone.res4.1.conv1,2,DET vs FullGradCam,bed_491757,108.88430417514635
103,backbone.res4.1.conv2,1,DET vs FullGradCam,bed_491757,90.73056446111396
104,backbone.res4.1.conv3,2,DET vs FullGradCam,bed_491757,106.73882420521332
105,backbone.res4.2.conv1,2,DET vs FullGradCam,bed_491757,108.14290279328803
106,backbone.res4.2.conv2,3,DET vs FullGradCam,bed_491757,89.31540862173136
107,backbone.res4.2.conv3,2,DET vs FullGradCam,bed_491757,123.34756179893435
108,backbone.res4.3.conv1,2,DET vs FullGradCam,bed_491757,109.9108437406596
109,backbone.res4.3.conv2,3,DET vs FullGradCam,bed_491757,80.22650360280485
110,backbone.res4.3.conv3,3,DET vs FullGradCam,bed_491757,122.92408959816768
111,backbone.res4.4.conv1,3,DET vs FullGradCam,bed_491757,139.8532293922172
112,backbone.res4.4.conv2,3,DET vs FullGradCam,bed_491757,118.048927436142
113,backbone.res4.4.conv3,3,DET vs FullGradCam,bed_491757,115.77175957444082
114,backbone.res4.5.conv1,3,DET vs FullGradCam,bed_491757,111.35659726360606
115,backbone.res4.5.conv2,3,DET vs FullGradCam,bed_491757,81.86213499257519
116,backbone.res4.5.conv3,3,DET vs FullGradCam,bed_491757,108.82203225757027
117,backbone.res2.0.conv1,2,DET vs FullGradCam,bird_100489,43.251203176823076
118,backbone.res2.0.conv2,2,DET vs FullGradCam,bird_100489,48.3995290682998
119,backbone.res2.0.conv3,1,DET vs FullGradCam,bird_100489,45.07705201227215
120,backbone.res2.1.conv1,2,DET vs FullGradCam,bird_100489,42.00883032783731
121,backbone.res2.1.conv2,2,DET vs FullGradCam,bird_100489,41.674281918429664
122,backbone.res2.1.conv3,2,DET vs FullGradCam,bird_100489,40.674356845144416
123,backbone.res2.2.conv1,1,DET vs FullGradCam,bird_100489,43.03669350281598
124,backbone.res2.2.conv2,1,DET vs FullGradCam,bird_100489,43.36035713562797
125,backbone.res2.2.conv3,1,DET vs FullGradCam,bird_100489,40.67836177531265
126,backbone.res3.0.conv1,1,DET vs FullGradCam,bird_100489,43.54856143795434
127,backbone.res3.0.conv2,1,DET vs FullGradCam,bird_100489,39.94844790753716
128,backbone.res3.0.conv3,2,DET vs FullGradCam,bird_100489,39.54167658157139
129,backbone.res3.1.conv1,2,DET vs FullGradCam,bird_100489,44.44845142283194
130,backbone.res3.1.conv2,2,DET vs FullGradCam,bird_100489,43.308784698844406
131,backbone.res3.1.conv3,2,DET vs FullGradCam,bird_100489,39.235891392703444
132,backbone.res3.2.conv1,1,DET vs FullGradCam,bird_100489,39.49267949518933
133,backbone.res3.2.conv2,2,DET vs FullGradCam,bird_100489,46.35632144221198
134,backbone.res3.2.conv3,2,DET vs FullGradCam,bird_100489,40.97004585385845
135,backbone.res3.3.conv1,1,DET vs FullGradCam,bird_100489,40.133274870698905
136,backbone.res3.3.conv2,2,DET vs FullGradCam,bird_100489,42.20473105564817
137,backbone.res3.3.conv3,2,DET vs FullGradCam,bird_100489,39.08542429760199
138,backbone.res4.0.conv1,1,DET vs FullGradCam,bird_100489,57.040711681235365
139,backbone.res4.0.conv2,2,DET vs FullGradCam,bird_100489,38.802349853728145
140,backbone.res4.0.conv3,2,DET vs FullGradCam,bird_100489,40.066875587767086
141,backbone.res4.1.conv1,2,DET vs FullGradCam,bird_100489,62.57862799360214
142,backbone.res4.1.conv2,1,DET vs FullGradCam,bird_100489,44.510262750210714
143,backbone.res4.1.conv3,2,DET vs FullGradCam,bird_100489,34.54458149916094
144,backbone.res4.2.conv1,2,DET vs FullGradCam,bird_100489,53.30545194891264
145,backbone.res4.2.conv2,3,DET vs FullGradCam,bird_100489,33.697931885542616
146,backbone.res4.2.conv3,2,DET vs FullGradCam,bird_100489,35.27490629277322
147,backbone.res4.3.conv1,2,DET vs FullGradCam,bird_100489,49.547489424461915
148,backbone.res4.3.conv2,3,DET vs FullGradCam,bird_100489,34.64585073518455
149,backbone.res4.3.conv3,3,DET vs FullGradCam,bird_100489,36.08335407903372
150,backbone.res4.4.conv1,3,DET vs FullGradCam,bird_100489,69.57980476435327
151,backbone.res4.4.conv2,3,DET vs FullGradCam,bird_100489,34.78440473614737
152,backbone.res4.4.conv3,3,DET vs FullGradCam,bird_100489,36.14643000201595
153,backbone.res4.5.conv1,3,DET vs FullGradCam,bird_100489,55.54782766200015
154,backbone.res4.5.conv2,3,DET vs FullGradCam,bird_100489,36.64096292904371
155,backbone.res4.5.conv3,3,DET vs FullGradCam,bird_100489,35.40979478994925
156,backbone.res2.0.conv1,2,DET vs FullGradCam,bottle_460929,77.67702368138771
157,backbone.res2.0.conv2,2,DET vs FullGradCam,bottle_460929,76.04257709863013
158,backbone.res2.0.conv3,1,DET vs FullGradCam,bottle_460929,73.12006527394291
159,backbone.res2.1.conv1,2,DET vs FullGradCam,bottle_460929,74.3199249723449
160,backbone.res2.1.conv2,2,DET vs FullGradCam,bottle_460929,77.48869635261457
161,backbone.res2.1.conv3,2,DET vs FullGradCam,bottle_460929,73.08121894526579
162,backbone.res2.2.conv1,1,DET vs FullGradCam,bottle_460929,75.55183514969664
163,backbone.res2.2.conv2,1,DET vs FullGradCam,bottle_460929,77.69836459161388
164,backbone.res2.2.conv3,1,DET vs FullGradCam,bottle_460929,74.61822971680631
165,backbone.res3.0.conv1,1,DET vs FullGradCam,bottle_460929,80.05979577778284
166,backbone.res3.0.conv2,1,DET vs FullGradCam,bottle_460929,79.52270642417832
167,backbone.res3.0.conv3,2,DET vs FullGradCam,bottle_460929,77.79161369551824
168,backbone.res3.1.conv1,2,DET vs FullGradCam,bottle_460929,76.66754126723184
169,backbone.res3.1.conv2,2,DET vs FullGradCam,bottle_460929,79.26552187075069
170,backbone.res3.1.conv3,2,DET vs FullGradCam,bottle_460929,76.00697731624167
171,backbone.res3.2.conv1,1,DET vs FullGradCam,bottle_460929,73.56316541856293
172,backbone.res3.2.conv2,2,DET vs FullGradCam,bottle_460929,79.95441654460578
173,backbone.res3.2.conv3,2,DET vs FullGradCam,bottle_460929,77.6408766079223
174,backbone.res3.3.conv1,1,DET vs FullGradCam,bottle_460929,75.48117680947665
175,backbone.res3.3.conv2,2,DET vs FullGradCam,bottle_460929,80.29040070926673
176,backbone.res3.3.conv3,2,DET vs FullGradCam,bottle_460929,76.86848154464089
177,backbone.res4.0.conv1,1,DET vs FullGradCam,bottle_460929,70.67949769809026
178,backbone.res4.0.conv2,2,DET vs FullGradCam,bottle_460929,71.74784102514398
179,backbone.res4.0.conv3,2,DET vs FullGradCam,bottle_460929,82.98388774822001
180,backbone.res4.1.conv1,2,DET vs FullGradCam,bottle_460929,79.09806172607291
181,backbone.res4.1.conv2,1,DET vs FullGradCam,bottle_460929,73.59421619592264
182,backbone.res4.1.conv3,2,DET vs FullGradCam,bottle_460929,76.42583235218058
