,Layer,Cluster,Task,Image,Similarity
0,backbone.res2.0.conv1,1,DET vs FullGradCam,handbag_383842,0.24558203569012063
1,backbone.res2.0.conv2,1,DET vs FullGradCam,handbag_383842,0.27572006175997105
2,backbone.res2.0.conv3,1,DET vs FullGradCam,handbag_383842,0.36070660220103223
3,backbone.res2.1.conv1,1,DET vs FullGradCam,handbag_383842,0.43300276986205266
4,backbone.res2.1.conv2,1,DET vs FullGradCam,handbag_383842,0.39799047136850874
5,backbone.res2.1.conv3,1,DET vs FullGradCam,handbag_383842,0.31164793373331384
6,backbone.res2.2.conv1,1,DET vs FullGradCam,handbag_383842,0.4176861630156024
7,backbone.res2.2.conv2,2,DET vs FullGradCam,handbag_383842,0.24252107063004957
8,backbone.res2.2.conv3,2,DET vs FullGradCam,handbag_383842,0.22881824484071114
9,backbone.res3.0.conv1,1,DET vs FullGradCam,handbag_383842,0.2999403844707014
10,backbone.res3.0.conv2,1,DET vs FullGradCam,handbag_383842,0.33166822048579025
11,backbone.res3.0.conv3,1,DET vs FullGradCam,handbag_383842,0.371386118943796
12,backbone.res3.1.conv1,1,DET vs FullGradCam,handbag_383842,0.35725472635219707
13,backbone.res3.1.conv2,1,DET vs FullGradCam,handbag_383842,0.3039556717815901
14,backbone.res3.1.conv3,1,DET vs FullGradCam,handbag_383842,0.38507990194009356
15,backbone.res3.2.conv1,1,DET vs FullGradCam,handbag_383842,0.40368166050147575
16,backbone.res3.2.conv2,1,DET vs FullGradCam,handbag_383842,0.23283160954333376
17,backbone.res3.2.conv3,1,DET vs FullGradCam,handbag_383842,0.28855956516712333
18,backbone.res3.3.conv1,1,DET vs FullGradCam,handbag_383842,0.30268585858742386
19,backbone.res3.3.conv2,2,DET vs FullGradCam,handbag_383842,0.24488053679268246
20,backbone.res3.3.conv3,2,DET vs FullGradCam,handbag_383842,0.16473530355989793
21,backbone.res4.0.conv1,1,DET vs FullGradCam,handbag_383842,0.3252120452112403
22,backbone.res4.0.conv2,1,DET vs FullGradCam,handbag_383842,0.5811766859206958
23,backbone.res4.0.conv3,1,DET vs FullGradCam,handbag_383842,0.40096170806435677
24,backbone.res4.1.conv1,1,DET vs FullGradCam,handbag_383842,0.32136537166751533
25,backbone.res4.1.conv2,1,DET vs FullGradCam,handbag_383842,0.5835149741654154
26,backbone.res4.1.conv3,1,DET vs FullGradCam,handbag_383842,0.6228052113155329
27,backbone.res4.2.conv1,1,DET vs FullGradCam,handbag_383842,0.5616066641736451
28,backbone.res4.2.conv2,1,DET vs FullGradCam,handbag_383842,0.6511217338839905
29,backbone.res4.2.conv3,1,DET vs FullGradCam,handbag_383842,0.6746156378538906
30,backbone.res4.3.conv1,1,DET vs FullGradCam,handbag_383842,0.609726810513776
31,backbone.res4.3.conv2,2,DET vs FullGradCam,handbag_383842,0.5698395496223931
32,backbone.res4.3.conv3,2,DET vs FullGradCam,handbag_383842,0.5671220597153257
33,backbone.res4.4.conv1,2,DET vs FullGradCam,handbag_383842,0.4659911094220065
34,backbone.res4.4.conv2,2,DET vs FullGradCam,handbag_383842,0.5964525887345993
35,backbone.res4.4.conv3,2,DET vs FullGradCam,handbag_383842,0.44232746008290585
36,backbone.res4.5.conv1,2,DET vs FullGradCam,handbag_383842,0.4662584271318837
37,backbone.res4.5.conv2,2,DET vs FullGradCam,handbag_383842,0.5552796313462816
38,backbone.res4.5.conv3,2,DET vs FullGradCam,handbag_383842,0.4014534536602069
39,backbone.res2.0.conv1,1,DET vs FullGradCam,sandwich_465430,0.28792751351209833
40,backbone.res2.0.conv2,1,DET vs FullGradCam,sandwich_465430,0.3051306363807137
41,backbone.res2.0.conv3,1,DET vs FullGradCam,sandwich_465430,0.2889847211229494
42,backbone.res2.1.conv1,1,DET vs FullGradCam,sandwich_465430,0.308180879671135
43,backbone.res2.1.conv2,1,DET vs FullGradCam,sandwich_465430,0.3225063379835353
44,backbone.res2.1.conv3,1,DET vs FullGradCam,sandwich_465430,0.24133246033604505
45,backbone.res2.2.conv1,1,DET vs FullGradCam,sandwich_465430,0.3038840157252892
46,backbone.res2.2.conv2,2,DET vs FullGradCam,sandwich_465430,0.20779642464782178
47,backbone.res2.2.conv3,2,DET vs FullGradCam,sandwich_465430,0.183682700272631
48,backbone.res3.0.conv1,1,DET vs FullGradCam,sandwich_465430,0.3388906266197733
49,backbone.res3.0.conv2,1,DET vs FullGradCam,sandwich_465430,0.3056162007766291
50,backbone.res3.0.conv3,1,DET vs FullGradCam,sandwich_465430,0.32260054929256154
51,backbone.res3.1.conv1,1,DET vs FullGradCam,sandwich_465430,0.26417413683531954
52,backbone.res3.1.conv2,1,DET vs FullGradCam,sandwich_465430,0.276249901402319
