,Layer,Cluster,Task,Image,Similarity
0,backbone.res2.0.conv1,1,DET vs FullGradCam,handbag_383842,0.2631251145478045
1,backbone.res2.0.conv2,1,DET vs FullGradCam,handbag_383842,0.29205460677386397
2,backbone.res2.0.conv3,1,DET vs FullGradCam,handbag_383842,0.373874944961276
3,backbone.res2.1.conv1,1,DET vs FullGradCam,handbag_383842,0.44507672171443535
4,backbone.res2.1.conv2,1,DET vs FullGradCam,handbag_383842,0.4108675617008672
5,backbone.res2.1.conv3,1,DET vs FullGradCam,handbag_383842,0.32192066367903605
6,backbone.res2.2.conv1,1,DET vs FullGradCam,handbag_383842,0.4291291476545042
7,backbone.res2.2.conv2,2,DET vs FullGradCam,handbag_383842,0.2508721377763744
8,backbone.res2.2.conv3,2,DET vs FullGradCam,handbag_383842,0.2371895055291695
9,backbone.res3.0.conv1,1,DET vs FullGradCam,handbag_383842,0.3150103457029676
10,backbone.res3.0.conv2,1,DET vs FullGradCam,handbag_383842,0.3447853692121099
11,backbone.res3.0.conv3,1,DET vs FullGradCam,handbag_383842,0.38256819129182207
12,backbone.res3.1.conv1,1,DET vs FullGradCam,handbag_383842,0.36952015437737695
13,backbone.res3.1.conv2,1,DET vs FullGradCam,handbag_383842,0.3160323368341228
14,backbone.res3.1.conv3,1,DET vs FullGradCam,handbag_383842,0.3962736549403527
15,backbone.res3.2.conv1,1,DET vs FullGradCam,handbag_383842,0.4125159079103432
16,backbone.res3.2.conv2,1,DET vs FullGradCam,handbag_383842,0.24564358699732786
17,backbone.res3.2.conv3,1,DET vs FullGradCam,handbag_383842,0.3025814365693871
18,backbone.res3.3.conv1,1,DET vs FullGradCam,handbag_383842,0.31698099875444696
19,backbone.res3.3.conv2,2,DET vs FullGradCam,handbag_383842,0.25367427384914554
20,backbone.res3.3.conv3,2,DET vs FullGradCam,handbag_383842,0.17489187110204307
21,backbone.res4.0.conv1,1,DET vs FullGradCam,handbag_383842,0.34039350218269215
22,backbone.res4.0.conv2,1,DET vs FullGradCam,handbag_383842,0.5903569242682283
23,backbone.res4.0.conv3,1,DET vs FullGradCam,handbag_383842,0.41342585693182604
24,backbone.res4.1.conv1,1,DET vs FullGradCam,handbag_383842,0.3348706108110143
25,backbone.res4.1.conv2,1,DET vs FullGradCam,handbag_383842,0.5909242529806622
26,backbone.res4.1.conv3,1,DET vs FullGradCam,handbag_383842,0.6274347945302752
27,backbone.res4.2.conv1,1,DET vs FullGradCam,handbag_383842,0.5691227391781388
28,backbone.res4.2.conv2,1,DET vs FullGradCam,handbag_383842,0.6549199060315234
29,backbone.res4.2.conv3,1,DET vs FullGradCam,handbag_383842,0.6776795786552184
30,backbone.res4.3.conv1,1,DET vs FullGradCam,handbag_383842,0.6141937246483
31,backbone.res4.3.conv2,2,DET vs FullGradCam,handbag_383842,0.5735734263569724
32,backbone.res4.3.conv3,2,DET vs FullGradCam,handbag_383842,0.5698784487779506
33,backbone.res4.4.conv1,2,DET vs FullGradCam,handbag_383842,0.4704962235152064
34,backbone.res4.4.conv2,2,DET vs FullGradCam,handbag_383842,0.5957437845835771
35,backbone.res4.4.conv3,2,DET vs FullGradCam,handbag_383842,0.4449561306441382
36,backbone.res4.5.conv1,2,DET vs FullGradCam,handbag_383842,0.46813919542785876
37,backbone.res4.5.conv2,2,DET vs FullGradCam,handbag_383842,0.5552865474793115
38,backbone.res4.5.conv3,2,DET vs FullGradCam,handbag_383842,0.4028268604348997
39,backbone.res2.0.conv1,1,DET vs FullGradCam,sandwich_465430,0.34272432227431004
40,backbone.res2.0.conv2,1,DET vs FullGradCam,sandwich_465430,0.362950156789686
41,backbone.res2.0.conv3,1,DET vs FullGradCam,sandwich_465430,0.3419781995550207
42,backbone.res2.1.conv1,1,DET vs FullGradCam,sandwich_465430,0.36516860651339894
43,backbone.res2.1.conv2,1,DET vs FullGradCam,sandwich_465430,0.3793512552493236
44,backbone.res2.1.conv3,1,DET vs FullGradCam,sandwich_465430,0.28787592675023665
45,backbone.res2.2.conv1,1,DET vs FullGradCam,sandwich_465430,0.35704037056175036
46,backbone.res2.2.conv2,2,DET vs FullGradCam,sandwich_465430,0.24452808393959602
47,backbone.res2.2.conv3,2,DET vs FullGradCam,sandwich_465430,0.2216824288300286
48,backbone.res3.0.conv1,1,DET vs FullGradCam,sandwich_465430,0.3943076024009414
49,backbone.res3.0.conv2,1,DET vs FullGradCam,sandwich_465430,0.3631418422653978
50,backbone.res3.0.conv3,1,DET vs FullGradCam,sandwich_465430,0.3780680683824517
51,backbone.res3.1.conv1,1,DET vs FullGradCam,sandwich_465430,0.32245045318399035
52,backbone.res3.1.conv2,1,DET vs FullGradCam,sandwich_465430,0.3328916733256033
53,backbone.res3.1.conv3,1,DET vs FullGradCam,sandwich_465430,0.3936146719492965
54,backbone.res3.2.conv1,1,DET vs FullGradCam,sandwich_465430,0.3828560762488803
55,backbone.res3.2.conv2,1,DET vs FullGradCam,sandwich_465430,0.3392517324865347
56,backbone.res3.2.conv3,1,DET vs FullGradCam,sandwich_465430,0.3550268181897937
57,backbone.res3.3.conv1,1,DET vs FullGradCam,sandwich_465430,0.34957911482984494
58,backbone.res3.3.conv2,2,DET vs FullGradCam,sandwich_465430,0.2070309406572032
59,backbone.res3.3.conv3,2,DET vs FullGradCam,sandwich_465430,0.24557065435965136
60,backbone.res4.0.conv1,1,DET vs FullGradCam,sandwich_465430,0.3506234956859081
61,backbone.res4.0.conv2,1,DET vs FullGradCam,sandwich_465430,0.27611791515923434
62,backbone.res4.0.conv3,1,DET vs FullGradCam,sandwich_465430,0.32650504953563986
63,backbone.res4.1.conv1,1,DET vs FullGradCam,sandwich_465430,0.36563138074357016
64,backbone.res4.1.conv2,1,DET vs FullGradCam,sandwich_465430,0.24959177876835006
65,backbone.res4.1.conv3,1,DET vs FullGradCam,sandwich_465430,0.2383654913769095
66,backbone.res4.2.conv1,1,DET vs FullGradCam,sandwich_465430,0.28825224507953495
67,backbone.res4.2.conv2,1,DET vs FullGradCam,sandwich_465430,0.22787432389395604
68,backbone.res4.2.conv3,1,DET vs FullGradCam,sandwich_465430,0.22353959628261988
69,backbone.res4.3.conv1,1,DET vs FullGradCam,sandwich_465430,0.267373322564337
70,backbone.res4.3.conv2,2,DET vs FullGradCam,sandwich_465430,0.1975826183778759
71,backbone.res4.3.conv3,2,DET vs FullGradCam,sandwich_465430,0.1969082640072587
72,backbone.res4.4.conv1,2,DET vs FullGradCam,sandwich_465430,0.17682382685618014
73,backbone.res4.4.conv2,2,DET vs FullGradCam,sandwich_465430,0.1691995762512771
74,backbone.res4.4.conv3,2,DET vs FullGradCam,sandwich_465430,0.16246130124530223
75,backbone.res4.5.conv1,2,DET vs FullGradCam,sandwich_465430,0.16862662867748734
76,backbone.res4.5.conv2,2,DET vs FullGradCam,sandwich_465430,0.1740979085800548
77,backbone.res4.5.conv3,2,DET vs FullGradCam,sandwich_465430,0.17576136049948915
78,backbone.res2.0.conv1,1,DET vs FullGradCam,bed_491757,0.044676060286716016
79,backbone.res2.0.conv2,1,DET vs FullGradCam,bed_491757,0.04537291173190222
80,backbone.res2.0.conv3,1,DET vs FullGradCam,bed_491757,0.04392344231558244
81,backbone.res2.1.conv1,1,DET vs FullGradCam,bed_491757,0.046903442573443865
82,backbone.res2.1.conv2,1,DET vs FullGradCam,bed_491757,0.046859300722911015
83,backbone.res2.1.conv3,1,DET vs FullGradCam,bed_491757,0.03326223590972402
84,backbone.res2.2.conv1,1,DET vs FullGradCam,bed_491757,0.039407453790396785
85,backbone.res2.2.conv2,2,DET vs FullGradCam,bed_491757,0.03165324882751967
86,backbone.res2.2.conv3,2,DET vs FullGradCam,bed_491757,0.026083489709750746
87,backbone.res3.0.conv1,1,DET vs FullGradCam,bed_491757,0.04512860672020991
88,backbone.res3.0.conv2,1,DET vs FullGradCam,bed_491757,0.04120847560462562
89,backbone.res3.0.conv3,1,DET vs FullGradCam,bed_491757,0.03580881996736888
90,backbone.res3.1.conv1,1,DET vs FullGradCam,bed_491757,0.04615460598129641
91,backbone.res3.1.conv2,1,DET vs FullGradCam,bed_491757,0.036638413314168616
92,backbone.res3.1.conv3,1,DET vs FullGradCam,bed_491757,0.02869316106459838
93,backbone.res3.2.conv1,1,DET vs FullGradCam,bed_491757,0.029627580894098282
94,backbone.res3.2.conv2,1,DET vs FullGradCam,bed_491757,0.02438270150848664
