,Layer,Cluster,Task,Image,Similarity
0,backbone.res2.0.conv1,1,DET vs FullGradCam,handbag_383842,121.19908540923286
1,backbone.res2.0.conv2,1,DET vs FullGradCam,handbag_383842,131.42640084836785
2,backbone.res2.0.conv3,1,DET vs FullGradCam,handbag_383842,119.1360133434869
3,backbone.res2.1.conv1,1,DET vs FullGradCam,handbag_383842,115.06360957649652
4,backbone.res2.1.conv2,1,DET vs FullGradCam,handbag_383842,117.89604082231135
5,backbone.res2.1.conv3,1,DET vs FullGradCam,handbag_383842,121.82001960703309
6,backbone.res2.2.conv1,1,DET vs FullGradCam,handbag_383842,116.23139504857086
7,backbone.res2.2.conv2,1,DET vs FullGradCam,handbag_383842,139.58544396456998
8,backbone.res2.2.conv3,1,DET vs FullGradCam,handbag_383842,130.40797728201738
9,backbone.res3.0.conv1,1,DET vs FullGradCam,handbag_383842,120.25850354152612
10,backbone.res3.0.conv2,1,DET vs FullGradCam,handbag_383842,118.81417209293299
11,backbone.res3.0.conv3,1,DET vs FullGradCam,handbag_383842,117.6910661586071
12,backbone.res3.1.conv1,1,DET vs FullGradCam,handbag_383842,118.03393185944239
13,backbone.res3.1.conv2,1,DET vs FullGradCam,handbag_383842,121.54982922270511
14,backbone.res3.1.conv3,1,DET vs FullGradCam,handbag_383842,116.53821592998598
15,backbone.res3.2.conv1,1,DET vs FullGradCam,handbag_383842,116.49850792470559
16,backbone.res3.2.conv2,1,DET vs FullGradCam,handbag_383842,117.26911177894549
17,backbone.res3.2.conv3,1,DET vs FullGradCam,handbag_383842,116.24563068596314
18,backbone.res3.3.conv1,1,DET vs FullGradCam,handbag_383842,117.55802512931831
19,backbone.res3.3.conv2,1,DET vs FullGradCam,handbag_383842,119.0388842323124
20,backbone.res3.3.conv3,1,DET vs FullGradCam,handbag_383842,119.54328500615189
21,backbone.res4.0.conv1,1,DET vs FullGradCam,handbag_383842,110.44737737345999
22,backbone.res4.0.conv2,1,DET vs FullGradCam,handbag_383842,110.6178030137515
23,backbone.res4.0.conv3,1,DET vs FullGradCam,handbag_383842,111.96946777470686
24,backbone.res4.1.conv1,1,DET vs FullGradCam,handbag_383842,113.6843580612541
25,backbone.res4.1.conv2,1,DET vs FullGradCam,handbag_383842,110.51601432526454
26,backbone.res4.1.conv3,1,DET vs FullGradCam,handbag_383842,115.33390770501009
27,backbone.res4.2.conv1,1,DET vs FullGradCam,handbag_383842,113.58669588786101
28,backbone.res4.2.conv2,2,DET vs FullGradCam,handbag_383842,117.76969521994337
29,backbone.res4.2.conv3,2,DET vs FullGradCam,handbag_383842,118.2987829029383
30,backbone.res4.3.conv1,2,DET vs FullGradCam,handbag_383842,119.34360428564821
31,backbone.res4.3.conv2,2,DET vs FullGradCam,handbag_383842,118.53495982082723
32,backbone.res4.3.conv3,2,DET vs FullGradCam,handbag_383842,123.8845398939207
33,backbone.res4.4.conv1,2,DET vs FullGradCam,handbag_383842,123.50039890394146
34,backbone.res4.4.conv2,2,DET vs FullGradCam,handbag_383842,125.65711094548301
35,backbone.res4.4.conv3,2,DET vs FullGradCam,handbag_383842,136.13994005665967
36,backbone.res4.5.conv1,2,DET vs FullGradCam,handbag_383842,135.40882147803512
37,backbone.res4.5.conv2,2,DET vs FullGradCam,handbag_383842,131.9327525598018
38,backbone.res4.5.conv3,2,DET vs FullGradCam,handbag_383842,136.28407678358474
39,backbone.res2.0.conv1,1,DET vs FullGradCam,sandwich_465430,37.22745911916721
40,backbone.res2.0.conv2,1,DET vs FullGradCam,sandwich_465430,32.101656418079926
41,backbone.res2.0.conv3,1,DET vs FullGradCam,sandwich_465430,28.909912180057063
42,backbone.res2.1.conv1,1,DET vs FullGradCam,sandwich_465430,31.514289175451523
43,backbone.res2.1.conv2,1,DET vs FullGradCam,sandwich_465430,30.36030105164824
44,backbone.res2.1.conv3,1,DET vs FullGradCam,sandwich_465430,28.977378073107843
45,backbone.res2.2.conv1,1,DET vs FullGradCam,sandwich_465430,34.93609504126235
46,backbone.res2.2.conv2,1,DET vs FullGradCam,sandwich_465430,30.953370791166193
47,backbone.res2.2.conv3,1,DET vs FullGradCam,sandwich_465430,31.668730004879833
48,backbone.res3.0.conv1,1,DET vs FullGradCam,sandwich_465430,30.114190710068755
49,backbone.res3.0.conv2,1,DET vs FullGradCam,sandwich_465430,31.6648450858711
50,backbone.res3.0.conv3,1,DET vs FullGradCam,sandwich_465430,30.278732022838238
51,backbone.res3.1.conv1,1,DET vs FullGradCam,sandwich_465430,43.20650789634366
52,backbone.res3.1.conv2,1,DET vs FullGradCam,sandwich_465430,32.317980974588224
53,backbone.res3.1.conv3,1,DET vs FullGradCam,sandwich_465430,28.924649288804822
54,backbone.res3.2.conv1,1,DET vs FullGradCam,sandwich_465430,29.217545980028028
55,backbone.res3.2.conv2,1,DET vs FullGradCam,sandwich_465430,30.66615015842617
56,backbone.res3.2.conv3,1,DET vs FullGradCam,sandwich_465430,30.86372078059209
57,backbone.res3.3.conv1,1,DET vs FullGradCam,sandwich_465430,33.88541788633833
58,backbone.res3.3.conv2,1,DET vs FullGradCam,sandwich_465430,37.9495649905317
59,backbone.res3.3.conv3,1,DET vs FullGradCam,sandwich_465430,31.790074086676455
60,backbone.res4.0.conv1,1,DET vs FullGradCam,sandwich_465430,35.72999509637806
61,backbone.res4.0.conv2,1,DET vs FullGradCam,sandwich_465430,45.71694284377315
62,backbone.res4.0.conv3,1,DET vs FullGradCam,sandwich_465430,45.77187446222092
63,backbone.res4.1.conv1,1,DET vs FullGradCam,sandwich_465430,41.1883554761975
64,backbone.res4.1.conv2,1,DET vs FullGradCam,sandwich_465430,51.46676858691497
65,backbone.res4.1.conv3,1,DET vs FullGradCam,sandwich_465430,49.26297180162875
66,backbone.res4.2.conv1,1,DET vs FullGradCam,sandwich_465430,47.40589101784974
67,backbone.res4.2.conv2,2,DET vs FullGradCam,sandwich_465430,47.462260393013196
68,backbone.res4.2.conv3,2,DET vs FullGradCam,sandwich_465430,49.84862875012595
69,backbone.res4.3.conv1,2,DET vs FullGradCam,sandwich_465430,47.64850544509311
70,backbone.res4.3.conv2,2,DET vs FullGradCam,sandwich_465430,52.81961497394321
71,backbone.res4.3.conv3,2,DET vs FullGradCam,sandwich_465430,58.100358431820865
72,backbone.res4.4.conv1,2,DET vs FullGradCam,sandwich_465430,61.629395134847016
73,backbone.res4.4.conv2,2,DET vs FullGradCam,sandwich_465430,58.88277737859105
74,backbone.res4.4.conv3,2,DET vs FullGradCam,sandwich_465430,60.93242886613985
75,backbone.res4.5.conv1,2,DET vs FullGradCam,sandwich_465430,60.01180196990035
76,backbone.res4.5.conv2,2,DET vs FullGradCam,sandwich_465430,73.29968111349402
77,backbone.res4.5.conv3,2,DET vs FullGradCam,sandwich_465430,72.90698758966778
78,backbone.res2.0.conv1,1,DET vs FullGradCam,bed_491757,114.06612320846773
79,backbone.res2.0.conv2,1,DET vs FullGradCam,bed_491757,116.83395104727879
80,backbone.res2.0.conv3,1,DET vs FullGradCam,bed_491757,109.34855362060705
81,backbone.res2.1.conv1,1,DET vs FullGradCam,bed_491757,108.35349701996671
82,backbone.res2.1.conv2,1,DET vs FullGradCam,bed_491757,110.11920800989378
83,backbone.res2.1.conv3,1,DET vs FullGradCam,bed_491757,111.02431531527522
84,backbone.res2.2.conv1,1,DET vs FullGradCam,bed_491757,108.9917904708763
85,backbone.res2.2.conv2,1,DET vs FullGradCam,bed_491757,111.55937944230381
