,Layer,Cluster,Task,Image,Similarity
0,backbone.res2.0.conv1,1,DET vs FullGradCam,couch_31735,0.4066814481366204
1,backbone.res2.0.conv2,1,DET vs FullGradCam,couch_31735,0.42841819245579166
2,backbone.res2.0.conv3,1,DET vs FullGradCam,couch_31735,0.4580606708152749
3,backbone.res2.1.conv1,1,DET vs FullGradCam,couch_31735,0.4237845027419928
4,backbone.res2.1.conv2,1,DET vs FullGradCam,couch_31735,0.4247811349232903
5,backbone.res2.1.conv3,1,DET vs FullGradCam,couch_31735,0.45971141919900804
6,backbone.res2.2.conv1,1,DET vs FullGradCam,couch_31735,0.3921328910078613
7,backbone.res2.2.conv2,1,DET vs FullGradCam,couch_31735,0.4208684569281533
8,backbone.res2.2.conv3,1,DET vs FullGradCam,couch_31735,0.46020421352461527
9,backbone.res3.0.conv1,1,DET vs FullGradCam,couch_31735,0.5005490115065102
10,backbone.res3.0.conv2,1,DET vs FullGradCam,couch_31735,0.4931752660987488
11,backbone.res3.0.conv3,1,DET vs FullGradCam,couch_31735,0.3388443505166676
12,backbone.res3.1.conv1,1,DET vs FullGradCam,couch_31735,0.442020904447804
13,backbone.res3.1.conv2,1,DET vs FullGradCam,couch_31735,0.44287358439778585
14,backbone.res3.1.conv3,1,DET vs FullGradCam,couch_31735,0.36388813384299273
15,backbone.res3.2.conv1,1,DET vs FullGradCam,couch_31735,0.3612688307967471
16,backbone.res3.2.conv2,1,DET vs FullGradCam,couch_31735,0.3989389165366474
17,backbone.res3.2.conv3,1,DET vs FullGradCam,couch_31735,0.38998764806323905
18,backbone.res3.3.conv1,1,DET vs FullGradCam,couch_31735,0.4900473715695822
19,backbone.res3.3.conv2,1,DET vs FullGradCam,couch_31735,0.4610069562048735
20,backbone.res3.3.conv3,1,DET vs FullGradCam,couch_31735,0.39532407817447135
21,backbone.res4.0.conv1,1,DET vs FullGradCam,couch_31735,0.33802881691586273
22,backbone.res4.0.conv2,1,DET vs FullGradCam,couch_31735,0.4485494074439331
23,backbone.res4.0.conv3,1,DET vs FullGradCam,couch_31735,0.3883750889634241
24,backbone.res4.1.conv1,1,DET vs FullGradCam,couch_31735,0.4721876198778928
25,backbone.res4.1.conv2,1,DET vs FullGradCam,couch_31735,0.4704637234627676
26,backbone.res4.1.conv3,1,DET vs FullGradCam,couch_31735,0.3374223815543081
27,backbone.res4.2.conv1,1,DET vs FullGradCam,couch_31735,0.436332198549126
28,backbone.res4.2.conv2,1,DET vs FullGradCam,couch_31735,0.41881064219235775
29,backbone.res4.2.conv3,1,DET vs FullGradCam,couch_31735,0.2879317686298509
30,backbone.res4.3.conv1,1,DET vs FullGradCam,couch_31735,0.42231976128057713
31,backbone.res4.3.conv2,1,DET vs FullGradCam,couch_31735,0.4414775505282944
32,backbone.res4.3.conv3,1,DET vs FullGradCam,couch_31735,0.33222137877787944
33,backbone.res4.4.conv1,1,DET vs FullGradCam,couch_31735,0.3107295497847885
34,backbone.res4.4.conv2,1,DET vs FullGradCam,couch_31735,0.3161760929388871
35,backbone.res4.4.conv3,1,DET vs FullGradCam,couch_31735,0.17154157538558568
36,backbone.res4.5.conv1,1,DET vs FullGradCam,couch_31735,0.3205310123025532
37,backbone.res4.5.conv2,1,DET vs FullGradCam,couch_31735,0.33482410718275596
38,backbone.res4.5.conv3,2,DET vs FullGradCam,couch_31735,0.4310914858484263
39,roi_heads.pooler.level,2,DET vs FullGradCam,couch_31735,0.3490858235992153
40,roi_heads.res5.0.conv1,2,DET vs FullGradCam,couch_31735,0.46894188674365567
41,roi_heads.res5.0.conv2,2,DET vs FullGradCam,couch_31735,0.28539093958450407
42,roi_heads.res5.0.conv3,2,DET vs FullGradCam,couch_31735,0.44344991642275394
43,roi_heads.res5.1.conv1,2,DET vs FullGradCam,couch_31735,0.494143972742157
44,roi_heads.res5.1.conv2,2,DET vs FullGradCam,couch_31735,0.4946357401743849
45,roi_heads.res5.1.conv3,2,DET vs FullGradCam,couch_31735,0.3365551721272074
46,roi_heads.res5.2.conv1,2,DET vs FullGradCam,couch_31735,0.1291804870671467
47,roi_heads.res5.2.conv2,2,DET vs FullGradCam,couch_31735,0.4721675396998275
48,roi_heads.res5.2.conv3,2,DET vs FullGradCam,couch_31735,0.28647872299758415
49,backbone.res2.0.conv1,1,DET vs FullGradCam,parking meter_568147,0.5195478747277164
50,backbone.res2.0.conv2,1,DET vs FullGradCam,parking meter_568147,0.5456475282056485
51,backbone.res2.0.conv3,1,DET vs FullGradCam,parking meter_568147,0.5738929419113403
52,backbone.res2.1.conv1,1,DET vs FullGradCam,parking meter_568147,0.42358038450200813
53,backbone.res2.1.conv2,1,DET vs FullGradCam,parking meter_568147,0.4426354244717349
54,backbone.res2.1.conv3,1,DET vs FullGradCam,parking meter_568147,0.534088882477606
55,backbone.res2.2.conv1,1,DET vs FullGradCam,parking meter_568147,0.3881412420383558
56,backbone.res2.2.conv2,1,DET vs FullGradCam,parking meter_568147,0.5469543560707716
57,backbone.res2.2.conv3,1,DET vs FullGradCam,parking meter_568147,0.5644439446788267
58,backbone.res3.0.conv1,1,DET vs FullGradCam,parking meter_568147,0.4389327027774153
59,backbone.res3.0.conv2,1,DET vs FullGradCam,parking meter_568147,0.3838498224703944
60,backbone.res3.0.conv3,1,DET vs FullGradCam,parking meter_568147,0.5157940724839903
61,backbone.res3.1.conv1,1,DET vs FullGradCam,parking meter_568147,0.439393462443528
62,backbone.res3.1.conv2,1,DET vs FullGradCam,parking meter_568147,0.4148734752970573
63,backbone.res3.1.conv3,1,DET vs FullGradCam,parking meter_568147,0.47625320685298894
64,backbone.res3.2.conv1,1,DET vs FullGradCam,parking meter_568147,0.43545871848441614
65,backbone.res3.2.conv2,1,DET vs FullGradCam,parking meter_568147,0.4020370936476853
66,backbone.res3.2.conv3,1,DET vs FullGradCam,parking meter_568147,0.31462957312660433
67,backbone.res3.3.conv1,1,DET vs FullGradCam,parking meter_568147,0.39462340038765586
68,backbone.res3.3.conv2,1,DET vs FullGradCam,parking meter_568147,0.49241295976808536
69,backbone.res3.3.conv3,1,DET vs FullGradCam,parking meter_568147,0.32647637898234255
70,backbone.res4.0.conv1,1,DET vs FullGradCam,parking meter_568147,0.42818578806797947
71,backbone.res4.0.conv2,1,DET vs FullGradCam,parking meter_568147,0.5069293386602267
72,backbone.res4.0.conv3,1,DET vs FullGradCam,parking meter_568147,0.21798008806721336
73,backbone.res4.1.conv1,1,DET vs FullGradCam,parking meter_568147,0.4295670467808101
74,backbone.res4.1.conv2,1,DET vs FullGradCam,parking meter_568147,0.5462693797113171
75,backbone.res4.1.conv3,1,DET vs FullGradCam,parking meter_568147,0.43535847839191094
76,backbone.res4.2.conv1,1,DET vs FullGradCam,parking meter_568147,0.5620121104679112
77,backbone.res4.2.conv2,1,DET vs FullGradCam,parking meter_568147,0.44792716630240753
78,backbone.res4.2.conv3,1,DET vs FullGradCam,parking meter_568147,0.22054162861630838
79,backbone.res4.3.conv1,1,DET vs FullGradCam,parking meter_568147,0.6549970082913393
80,backbone.res4.3.conv2,1,DET vs FullGradCam,parking meter_568147,0.5123003147499879
81,backbone.res4.3.conv3,1,DET vs FullGradCam,parking meter_568147,0.534369259977476
82,backbone.res4.4.conv1,1,DET vs FullGradCam,parking meter_568147,0.44164579802369247
83,backbone.res4.4.conv2,1,DET vs FullGradCam,parking meter_568147,0.7248169543761842
84,backbone.res4.4.conv3,1,DET vs FullGradCam,parking meter_568147,0.16212336867264082
85,backbone.res4.5.conv1,1,DET vs FullGradCam,parking meter_568147,0.4600317978819131
86,backbone.res4.5.conv2,1,DET vs FullGradCam,parking meter_568147,0.6318944301776548
87,backbone.res4.5.conv3,2,DET vs FullGradCam,parking meter_568147,0.5033672034560869
88,roi_heads.pooler.level,2,DET vs FullGradCam,parking meter_568147,0.5053167283167295
89,roi_heads.res5.0.conv1,2,DET vs FullGradCam,parking meter_568147,0.4704851612879326
90,roi_heads.res5.0.conv2,2,DET vs FullGradCam,parking meter_568147,0.5128515597134177
91,roi_heads.res5.0.conv3,2,DET vs FullGradCam,parking meter_568147,0.44986581123920605
92,roi_heads.res5.1.conv1,2,DET vs FullGradCam,parking meter_568147,0.4233044001640081
93,roi_heads.res5.1.conv2,2,DET vs FullGradCam,parking meter_568147,0.44130409548824945
94,roi_heads.res5.1.conv3,2,DET vs FullGradCam,parking meter_568147,0.4155251842566366
95,roi_heads.res5.2.conv1,2,DET vs FullGradCam,parking meter_568147,0.1833813226296668
96,roi_heads.res5.2.conv2,2,DET vs FullGradCam,parking meter_568147,0.38880761925145424
97,roi_heads.res5.2.conv3,2,DET vs FullGradCam,parking meter_568147,0.618024689868534
98,backbone.res2.0.conv1,1,DET vs FullGradCam,umbrella_455157,0.20936566749616217
99,backbone.res2.0.conv2,1,DET vs FullGradCam,umbrella_455157,0.19785763453373795
100,backbone.res2.0.conv3,1,DET vs FullGradCam,umbrella_455157,0.36254305097375433
101,backbone.res2.1.conv1,1,DET vs FullGradCam,umbrella_455157,0.19537454375183022
102,backbone.res2.1.conv2,1,DET vs FullGradCam,umbrella_455157,0.1866335882622466
103,backbone.res2.1.conv3,1,DET vs FullGradCam,umbrella_455157,0.3092073029022678
104,backbone.res2.2.conv1,1,DET vs FullGradCam,umbrella_455157,0.1547306169654466
105,backbone.res2.2.conv2,1,DET vs FullGradCam,umbrella_455157,0.11774016981868349
106,backbone.res2.2.conv3,1,DET vs FullGradCam,umbrella_455157,0.261614409099748
107,backbone.res3.0.conv1,1,DET vs FullGradCam,umbrella_455157,0.2354678901218584
108,backbone.res3.0.conv2,1,DET vs FullGradCam,umbrella_455157,0.21799828474011831
109,backbone.res3.0.conv3,1,DET vs FullGradCam,umbrella_455157,0.24916684493422794
110,backbone.res3.1.conv1,1,DET vs FullGradCam,umbrella_455157,0.19302592179429937
111,backbone.res3.1.conv2,1,DET vs FullGradCam,umbrella_455157,0.32831752409923876
112,backbone.res3.1.conv3,1,DET vs FullGradCam,umbrella_455157,0.42227694741685223
113,backbone.res3.2.conv1,1,DET vs FullGradCam,umbrella_455157,0.3643974911928475
114,backbone.res3.2.conv2,1,DET vs FullGradCam,umbrella_455157,0.3807181775651918
115,backbone.res3.2.conv3,1,DET vs FullGradCam,umbrella_455157,0.23350988201885253
116,backbone.res3.3.conv1,1,DET vs FullGradCam,umbrella_455157,0.10902276522140468
117,backbone.res3.3.conv2,1,DET vs FullGradCam,umbrella_455157,0.17175614507032558
118,backbone.res3.3.conv3,1,DET vs FullGradCam,umbrella_455157,0.24274493779356526
119,backbone.res4.0.conv1,1,DET vs FullGradCam,umbrella_455157,0.22577834197006835
120,backbone.res4.0.conv2,1,DET vs FullGradCam,umbrella_455157,0.3023743912513939
121,backbone.res4.0.conv3,1,DET vs FullGradCam,umbrella_455157,0.2760358572103571
122,backbone.res4.1.conv1,1,DET vs FullGradCam,umbrella_455157,0.47733845742181674
123,backbone.res4.1.conv2,1,DET vs FullGradCam,umbrella_455157,0.30694852704303655
124,backbone.res4.1.conv3,1,DET vs FullGradCam,umbrella_455157,0.360787736992788
125,backbone.res4.2.conv1,1,DET vs FullGradCam,umbrella_455157,0.4308093872154833
126,backbone.res4.2.conv2,1,DET vs FullGradCam,umbrella_455157,0.28434427096587095
127,backbone.res4.2.conv3,1,DET vs FullGradCam,umbrella_455157,0.27488934933655756
128,backbone.res4.3.conv1,1,DET vs FullGradCam,umbrella_455157,0.39147821759080703
129,backbone.res4.3.conv2,1,DET vs FullGradCam,umbrella_455157,0.27533973507412174
130,backbone.res4.3.conv3,1,DET vs FullGradCam,umbrella_455157,0.3719518057311236
131,backbone.res4.4.conv1,1,DET vs FullGradCam,umbrella_455157,0.25039225084847255
132,backbone.res4.4.conv2,1,DET vs FullGradCam,umbrella_455157,0.43519474010783016
133,backbone.res4.4.conv3,1,DET vs FullGradCam,umbrella_455157,0.46318498999620716
