,Layer,Cluster,Task,Image,Similarity
0,backbone.res2.0.conv1,1,DET vs FullGradCam,couch_31735,0.5190939919228423
1,backbone.res2.0.conv2,1,DET vs FullGradCam,couch_31735,0.5267552481003216
2,backbone.res2.0.conv3,1,DET vs FullGradCam,couch_31735,0.5505327316856136
3,backbone.res2.1.conv1,1,DET vs FullGradCam,couch_31735,0.5154561905050314
4,backbone.res2.1.conv2,1,DET vs FullGradCam,couch_31735,0.5151486779404234
5,backbone.res2.1.conv3,1,DET vs FullGradCam,couch_31735,0.552546188082951
6,backbone.res2.2.conv1,1,DET vs FullGradCam,couch_31735,0.4871854638412123
7,backbone.res2.2.conv2,1,DET vs FullGradCam,couch_31735,0.5114551454077335
8,backbone.res2.2.conv3,1,DET vs FullGradCam,couch_31735,0.548338282080627
9,backbone.res3.0.conv1,1,DET vs FullGradCam,couch_31735,0.5820769885285505
10,backbone.res3.0.conv2,1,DET vs FullGradCam,couch_31735,0.5796718064933611
11,backbone.res3.0.conv3,1,DET vs FullGradCam,couch_31735,0.4363726654688815
12,backbone.res3.1.conv1,1,DET vs FullGradCam,couch_31735,0.53004270006694
13,backbone.res3.1.conv2,1,DET vs FullGradCam,couch_31735,0.5327850145964163
14,backbone.res3.1.conv3,1,DET vs FullGradCam,couch_31735,0.45920525195911815
15,backbone.res3.2.conv1,1,DET vs FullGradCam,couch_31735,0.46982423373468124
16,backbone.res3.2.conv2,1,DET vs FullGradCam,couch_31735,0.5159020227377847
17,backbone.res3.2.conv3,1,DET vs FullGradCam,couch_31735,0.48566635038682227
18,backbone.res3.3.conv1,1,DET vs FullGradCam,couch_31735,0.5787531637665269
19,backbone.res3.3.conv2,1,DET vs FullGradCam,couch_31735,0.551944852956966
20,backbone.res3.3.conv3,1,DET vs FullGradCam,couch_31735,0.49491150787625243
21,backbone.res4.0.conv1,1,DET vs FullGradCam,couch_31735,0.43259990418808975
22,backbone.res4.0.conv2,1,DET vs FullGradCam,couch_31735,0.5503128859264317
23,backbone.res4.0.conv3,1,DET vs FullGradCam,couch_31735,0.48110997105488823
24,backbone.res4.1.conv1,1,DET vs FullGradCam,couch_31735,0.5673017132625654
25,backbone.res4.1.conv2,1,DET vs FullGradCam,couch_31735,0.5629782895511495
26,backbone.res4.1.conv3,1,DET vs FullGradCam,couch_31735,0.42805921665260294
27,backbone.res4.2.conv1,1,DET vs FullGradCam,couch_31735,0.5310798096532814
28,backbone.res4.2.conv2,1,DET vs FullGradCam,couch_31735,0.5128391046708487
29,backbone.res4.2.conv3,1,DET vs FullGradCam,couch_31735,0.38545403182261484
30,backbone.res4.3.conv1,1,DET vs FullGradCam,couch_31735,0.5272717609320232
31,backbone.res4.3.conv2,1,DET vs FullGradCam,couch_31735,0.54530144569889
32,backbone.res4.3.conv3,1,DET vs FullGradCam,couch_31735,0.4360679220032528
33,backbone.res4.4.conv1,1,DET vs FullGradCam,couch_31735,0.42113011025714064
34,backbone.res4.4.conv2,1,DET vs FullGradCam,couch_31735,0.41526860059822224
35,backbone.res4.4.conv3,1,DET vs FullGradCam,couch_31735,0.25556878100810965
36,backbone.res4.5.conv1,1,DET vs FullGradCam,couch_31735,0.41335302967511467
37,backbone.res4.5.conv2,1,DET vs FullGradCam,couch_31735,0.42666054779975565
38,backbone.res4.5.conv3,2,DET vs FullGradCam,couch_31735,0.5358807906388355
39,roi_heads.pooler.level,2,DET vs FullGradCam,couch_31735,0.4806222315329257
40,roi_heads.res5.0.conv1,2,DET vs FullGradCam,couch_31735,0.5630300526485011
41,roi_heads.res5.0.conv2,2,DET vs FullGradCam,couch_31735,0.39559459672524766
