,Layer,Cluster,Task,Image,Similarity
0,backbone.res2.0.conv1,1,DET vs FullGradCam,couch_31735,0.22644439478357153
1,backbone.res2.0.conv2,1,DET vs FullGradCam,couch_31735,0.2500559358298616
2,backbone.res2.0.conv3,1,DET vs FullGradCam,couch_31735,0.23843656857883286
3,backbone.res2.1.conv1,1,DET vs FullGradCam,couch_31735,0.2512242448922596
4,backbone.res2.1.conv2,1,DET vs FullGradCam,couch_31735,0.25337527025245876
5,backbone.res2.1.conv3,1,DET vs FullGradCam,couch_31735,0.23504897407004788
6,backbone.res2.2.conv1,1,DET vs FullGradCam,couch_31735,0.2639649801297173
7,backbone.res2.2.conv2,1,DET vs FullGradCam,couch_31735,0.2552204294564708
8,backbone.res2.2.conv3,1,DET vs FullGradCam,couch_31735,0.23703087847639887
9,backbone.res3.0.conv1,1,DET vs FullGradCam,couch_31735,0.22037018941286934
10,backbone.res3.0.conv2,1,DET vs FullGradCam,couch_31735,0.21643429552094684
11,backbone.res3.0.conv3,1,DET vs FullGradCam,couch_31735,0.2798737448408747
12,backbone.res3.1.conv1,1,DET vs FullGradCam,couch_31735,0.24302905834762675
13,backbone.res3.1.conv2,1,DET vs FullGradCam,couch_31735,0.2395219035660445
14,backbone.res3.1.conv3,1,DET vs FullGradCam,couch_31735,0.26906874693563915
15,backbone.res3.2.conv1,1,DET vs FullGradCam,couch_31735,0.25749046134057924
16,backbone.res3.2.conv2,1,DET vs FullGradCam,couch_31735,0.2226022975634295
17,backbone.res3.2.conv3,1,DET vs FullGradCam,couch_31735,0.25615621815060374
18,backbone.res3.3.conv1,1,DET vs FullGradCam,couch_31735,0.2145211798109617
19,backbone.res3.3.conv2,1,DET vs FullGradCam,couch_31735,0.2294670242637208
20,backbone.res3.3.conv3,1,DET vs FullGradCam,couch_31735,0.24927077789399427
21,backbone.res4.0.conv1,1,DET vs FullGradCam,couch_31735,0.2731265183078382
22,backbone.res4.0.conv2,1,DET vs FullGradCam,couch_31735,0.21017009434452721
23,backbone.res4.0.conv3,1,DET vs FullGradCam,couch_31735,0.25875660692005403
24,backbone.res4.1.conv1,1,DET vs FullGradCam,couch_31735,0.20963310844108543
25,backbone.res4.1.conv2,1,DET vs FullGradCam,couch_31735,0.22244271760441495
26,backbone.res4.1.conv3,1,DET vs FullGradCam,couch_31735,0.2835382022335151
27,backbone.res4.2.conv1,1,DET vs FullGradCam,couch_31735,0.2478326311728794
