,Layer,Cluster,Task,Image,Similarity
0,backbone.res2.0.conv1,1,DET vs FullGradCam,handbag_383842,114.95680766417985
1,backbone.res2.0.conv2,1,DET vs FullGradCam,handbag_383842,118.7591715799723
2,backbone.res2.0.conv3,1,DET vs FullGradCam,handbag_383842,100.05594737180729
3,backbone.res2.1.conv1,1,DET vs FullGradCam,handbag_383842,99.00989713306734
4,backbone.res2.1.conv2,1,DET vs FullGradCam,handbag_383842,99.24766354039005
5,backbone.res2.1.conv3,1,DET vs FullGradCam,handbag_383842,97.12498376052943
6,backbone.res2.2.conv1,1,DET vs FullGradCam,handbag_383842,98.54668454274515
7,backbone.res2.2.conv2,1,DET vs FullGradCam,handbag_383842,116.27248585457417
8,backbone.res2.2.conv3,1,DET vs FullGradCam,handbag_383842,97.44726441411484
9,backbone.res3.0.conv1,1,DET vs FullGradCam,handbag_383842,99.3314472370007
10,backbone.res3.0.conv2,1,DET vs FullGradCam,handbag_383842,114.61774891799442
11,backbone.res3.0.conv3,1,DET vs FullGradCam,handbag_383842,111.49547888376728
12,backbone.res3.1.conv1,1,DET vs FullGradCam,handbag_383842,97.62908033142836
13,backbone.res3.1.conv2,1,DET vs FullGradCam,handbag_383842,98.44118363055222
14,backbone.res3.1.conv3,1,DET vs FullGradCam,handbag_383842,97.58791588156335
15,backbone.res3.2.conv1,1,DET vs FullGradCam,handbag_383842,100.54641831564962
16,backbone.res3.2.conv2,1,DET vs FullGradCam,handbag_383842,114.93189348931874
17,backbone.res3.2.conv3,1,DET vs FullGradCam,handbag_383842,111.69071074030948
18,backbone.res3.3.conv1,1,DET vs FullGradCam,handbag_383842,115.75578493333651
19,backbone.res3.3.conv2,1,DET vs FullGradCam,handbag_383842,121.90846829866729
20,backbone.res3.3.conv3,1,DET vs FullGradCam,handbag_383842,110.02736977254258
21,backbone.res4.0.conv1,1,DET vs FullGradCam,handbag_383842,112.03736335886211
22,backbone.res4.0.conv2,1,DET vs FullGradCam,handbag_383842,118.09396966236449
23,backbone.res4.0.conv3,1,DET vs FullGradCam,handbag_383842,113.70908425801215
24,backbone.res4.1.conv1,1,DET vs FullGradCam,handbag_383842,110.42811510394836
25,backbone.res4.1.conv2,1,DET vs FullGradCam,handbag_383842,108.91306666466556
26,backbone.res4.1.conv3,1,DET vs FullGradCam,handbag_383842,121.70679275843256
27,backbone.res4.2.conv1,1,DET vs FullGradCam,handbag_383842,118.79572757994276
28,backbone.res4.2.conv2,1,DET vs FullGradCam,handbag_383842,123.13322389054991
29,backbone.res4.2.conv3,1,DET vs FullGradCam,handbag_383842,122.17927226689683
30,backbone.res4.3.conv1,1,DET vs FullGradCam,handbag_383842,117.55129501584351
31,backbone.res4.3.conv2,1,DET vs FullGradCam,handbag_383842,124.9507534778386
32,backbone.res4.3.conv3,1,DET vs FullGradCam,handbag_383842,129.1994725676553
33,backbone.res4.4.conv1,1,DET vs FullGradCam,handbag_383842,130.3022869019651
34,backbone.res4.4.conv2,1,DET vs FullGradCam,handbag_383842,128.67966024906758
35,backbone.res4.4.conv3,1,DET vs FullGradCam,handbag_383842,130.29413342804366
36,backbone.res4.5.conv1,1,DET vs FullGradCam,handbag_383842,127.06902304191289
37,backbone.res4.5.conv2,1,DET vs FullGradCam,handbag_383842,147.84239192523395
38,backbone.res4.5.conv3,2,DET vs FullGradCam,handbag_383842,139.92440598577403
39,roi_heads.pooler.level,2,DET vs FullGradCam,handbag_383842,140.04545899299913
40,roi_heads.res5.0.conv1,2,DET vs FullGradCam,handbag_383842,127.02479551639598
41,roi_heads.res5.0.conv2,2,DET vs FullGradCam,handbag_383842,131.02470549697824
42,roi_heads.res5.0.conv3,2,DET vs FullGradCam,handbag_383842,134.41814831023476
43,roi_heads.res5.1.conv1,2,DET vs FullGradCam,handbag_383842,108.52211607569515
44,roi_heads.res5.1.conv2,2,DET vs FullGradCam,handbag_383842,119.04963241048503
45,roi_heads.res5.1.conv3,2,DET vs FullGradCam,handbag_383842,127.63112515160338
46,roi_heads.res5.2.conv1,2,DET vs FullGradCam,handbag_383842,144.71167602748795
47,roi_heads.res5.2.conv2,2,DET vs FullGradCam,handbag_383842,124.39262889427093
48,roi_heads.res5.2.conv3,1,DET vs FullGradCam,handbag_383842,128.0342611724051
49,backbone.res2.0.conv1,1,DET vs FullGradCam,sandwich_465430,64.72920244128522
50,backbone.res2.0.conv2,1,DET vs FullGradCam,sandwich_465430,63.28720422440465
51,backbone.res2.0.conv3,1,DET vs FullGradCam,sandwich_465430,78.39219493159719
52,backbone.res2.1.conv1,1,DET vs FullGradCam,sandwich_465430,56.200989688699366
53,backbone.res2.1.conv2,1,DET vs FullGradCam,sandwich_465430,54.64672703860079
54,backbone.res2.1.conv3,1,DET vs FullGradCam,sandwich_465430,54.11350631371488
55,backbone.res2.2.conv1,1,DET vs FullGradCam,sandwich_465430,76.62090865475048
56,backbone.res2.2.conv2,1,DET vs FullGradCam,sandwich_465430,53.64570888166692
57,backbone.res2.2.conv3,1,DET vs FullGradCam,sandwich_465430,61.08044857545723
58,backbone.res3.0.conv1,1,DET vs FullGradCam,sandwich_465430,54.54483379543281
59,backbone.res3.0.conv2,1,DET vs FullGradCam,sandwich_465430,51.45940996342475
60,backbone.res3.0.conv3,1,DET vs FullGradCam,sandwich_465430,51.83964893319422
61,backbone.res3.1.conv1,1,DET vs FullGradCam,sandwich_465430,63.35904879599566
62,backbone.res3.1.conv2,1,DET vs FullGradCam,sandwich_465430,61.24733469701184
63,backbone.res3.1.conv3,1,DET vs FullGradCam,sandwich_465430,49.09418133921986
64,backbone.res3.2.conv1,1,DET vs FullGradCam,sandwich_465430,46.83274099190352
65,backbone.res3.2.conv2,1,DET vs FullGradCam,sandwich_465430,54.75424599061991
66,backbone.res3.2.conv3,1,DET vs FullGradCam,sandwich_465430,63.31923322574616
67,backbone.res3.3.conv1,1,DET vs FullGradCam,sandwich_465430,71.92753153162155
68,backbone.res3.3.conv2,1,DET vs FullGradCam,sandwich_465430,48.455968552957124
69,backbone.res3.3.conv3,1,DET vs FullGradCam,sandwich_465430,56.28401592060878
70,backbone.res4.0.conv1,1,DET vs FullGradCam,sandwich_465430,57.38923739043564
71,backbone.res4.0.conv2,1,DET vs FullGradCam,sandwich_465430,54.761346550281274
72,backbone.res4.0.conv3,1,DET vs FullGradCam,sandwich_465430,54.0633350998074
73,backbone.res4.1.conv1,1,DET vs FullGradCam,sandwich_465430,74.80717718862644
74,backbone.res4.1.conv2,1,DET vs FullGradCam,sandwich_465430,56.80255226010387
75,backbone.res4.1.conv3,1,DET vs FullGradCam,sandwich_465430,46.159501117050304
76,backbone.res4.2.conv1,1,DET vs FullGradCam,sandwich_465430,37.54504683063797
77,backbone.res4.2.conv2,1,DET vs FullGradCam,sandwich_465430,37.340645736413045
78,backbone.res4.2.conv3,1,DET vs FullGradCam,sandwich_465430,46.86262925210109
79,backbone.res4.3.conv1,1,DET vs FullGradCam,sandwich_465430,50.12527942327719
80,backbone.res4.3.conv2,1,DET vs FullGradCam,sandwich_465430,49.97632292813073
81,backbone.res4.3.conv3,1,DET vs FullGradCam,sandwich_465430,44.5798770916866
82,backbone.res4.4.conv1,1,DET vs FullGradCam,sandwich_465430,34.00667000199584
83,backbone.res4.4.conv2,1,DET vs FullGradCam,sandwich_465430,28.217646317779607
84,backbone.res4.4.conv3,1,DET vs FullGradCam,sandwich_465430,51.377536741390955
85,backbone.res4.5.conv1,1,DET vs FullGradCam,sandwich_465430,25.550860913796217
86,backbone.res4.5.conv2,1,DET vs FullGradCam,sandwich_465430,36.30215738160386
87,backbone.res4.5.conv3,2,DET vs FullGradCam,sandwich_465430,70.36572866929498
88,roi_heads.pooler.level,2,DET vs FullGradCam,sandwich_465430,72.39889398071497
89,roi_heads.res5.0.conv1,2,DET vs FullGradCam,sandwich_465430,60.52132746698335
90,roi_heads.res5.0.conv2,2,DET vs FullGradCam,sandwich_465430,61.16367034931807
91,roi_heads.res5.0.conv3,2,DET vs FullGradCam,sandwich_465430,64.84864012877495
92,roi_heads.res5.1.conv1,2,DET vs FullGradCam,sandwich_465430,76.49388054332596
93,roi_heads.res5.1.conv2,2,DET vs FullGradCam,sandwich_465430,68.91163954239697
94,roi_heads.res5.1.conv3,2,DET vs FullGradCam,sandwich_465430,48.52748245459847
95,roi_heads.res5.2.conv1,2,DET vs FullGradCam,sandwich_465430,50.66194984203531
96,roi_heads.res5.2.conv2,2,DET vs FullGradCam,sandwich_465430,65.62745957542602
97,roi_heads.res5.2.conv3,1,DET vs FullGradCam,sandwich_465430,55.91606839691399
98,backbone.res2.0.conv1,1,DET vs FullGradCam,bed_491757,74.1591086734292
99,backbone.res2.0.conv2,1,DET vs FullGradCam,bed_491757,72.47471252098396
100,backbone.res2.0.conv3,1,DET vs FullGradCam,bed_491757,70.01240842173867
101,backbone.res2.1.conv1,1,DET vs FullGradCam,bed_491757,69.59943926119863
102,backbone.res2.1.conv2,1,DET vs FullGradCam,bed_491757,68.13047703704555
103,backbone.res2.1.conv3,1,DET vs FullGradCam,bed_491757,70.27882945479011
104,backbone.res2.2.conv1,1,DET vs FullGradCam,bed_491757,68.76859474523258
105,backbone.res2.2.conv2,1,DET vs FullGradCam,bed_491757,68.29974520944455
106,backbone.res2.2.conv3,1,DET vs FullGradCam,bed_491757,73.35717846085505
107,backbone.res3.0.conv1,1,DET vs FullGradCam,bed_491757,71.86211335043463
108,backbone.res3.0.conv2,1,DET vs FullGradCam,bed_491757,70.9289227599594
109,backbone.res3.0.conv3,1,DET vs FullGradCam,bed_491757,72.69349397213607
110,backbone.res3.1.conv1,1,DET vs FullGradCam,bed_491757,76.70572083613021
111,backbone.res3.1.conv2,1,DET vs FullGradCam,bed_491757,72.80103319129401
112,backbone.res3.1.conv3,1,DET vs FullGradCam,bed_491757,70.42541222213505
113,backbone.res3.2.conv1,1,DET vs FullGradCam,bed_491757,69.77411136193825
114,backbone.res3.2.conv2,1,DET vs FullGradCam,bed_491757,76.04617397376173
115,backbone.res3.2.conv3,1,DET vs FullGradCam,bed_491757,69.91707194034477
116,backbone.res3.3.conv1,1,DET vs FullGradCam,bed_491757,67.37935109690774
117,backbone.res3.3.conv2,1,DET vs FullGradCam,bed_491757,61.4836948147682
118,backbone.res3.3.conv3,1,DET vs FullGradCam,bed_491757,67.28467449945708
119,backbone.res4.0.conv1,1,DET vs FullGradCam,bed_491757,71.92310769645823
120,backbone.res4.0.conv2,1,DET vs FullGradCam,bed_491757,69.35787725094929
121,backbone.res4.0.conv3,1,DET vs FullGradCam,bed_491757,60.40051283559849
122,backbone.res4.1.conv1,1,DET vs FullGradCam,bed_491757,65.93736845529872
123,backbone.res4.1.conv2,1,DET vs FullGradCam,bed_491757,63.32990114514149
124,backbone.res4.1.conv3,1,DET vs FullGradCam,bed_491757,59.64678912041845
125,backbone.res4.2.conv1,1,DET vs FullGradCam,bed_491757,58.971025877699034
126,backbone.res4.2.conv2,1,DET vs FullGradCam,bed_491757,57.203092322288725
127,backbone.res4.2.conv3,1,DET vs FullGradCam,bed_491757,60.96573582041736
128,backbone.res4.3.conv1,1,DET vs FullGradCam,bed_491757,54.899601315347645
129,backbone.res4.3.conv2,1,DET vs FullGradCam,bed_491757,53.94276534148807
130,backbone.res4.3.conv3,1,DET vs FullGradCam,bed_491757,64.03030125006876
131,backbone.res4.4.conv1,1,DET vs FullGradCam,bed_491757,52.61258925202422
132,backbone.res4.4.conv2,1,DET vs FullGradCam,bed_491757,54.08359087226873
133,backbone.res4.4.conv3,1,DET vs FullGradCam,bed_491757,76.74388135796762
134,backbone.res4.5.conv1,1,DET vs FullGradCam,bed_491757,56.34220286413202
135,backbone.res4.5.conv2,1,DET vs FullGradCam,bed_491757,53.908668317345644
136,backbone.res4.5.conv3,2,DET vs FullGradCam,bed_491757,113.58690423486031
137,roi_heads.pooler.level,2,DET vs FullGradCam,bed_491757,123.55622464437207
138,roi_heads.res5.0.conv1,2,DET vs FullGradCam,bed_491757,117.17801851014102
139,roi_heads.res5.0.conv2,2,DET vs FullGradCam,bed_491757,93.4282072345014
140,roi_heads.res5.0.conv3,2,DET vs FullGradCam,bed_491757,64.8723239287473
141,roi_heads.res5.1.conv1,2,DET vs FullGradCam,bed_491757,58.035375329249476
142,roi_heads.res5.1.conv2,2,DET vs FullGradCam,bed_491757,115.98985248278728
143,roi_heads.res5.1.conv3,2,DET vs FullGradCam,bed_491757,174.07127400264494
144,roi_heads.res5.2.conv1,2,DET vs FullGradCam,bed_491757,91.15871466522245
145,roi_heads.res5.2.conv2,2,DET vs FullGradCam,bed_491757,111.35318840999365
146,roi_heads.res5.2.conv3,1,DET vs FullGradCam,bed_491757,74.34488827685982
147,backbone.res2.0.conv1,1,DET vs FullGradCam,bird_100489,24.51347416053987
148,backbone.res2.0.conv2,1,DET vs FullGradCam,bird_100489,24.26460292279262
149,backbone.res2.0.conv3,1,DET vs FullGradCam,bird_100489,15.413653451924798
150,backbone.res2.1.conv1,1,DET vs FullGradCam,bird_100489,16.413868344398722
151,backbone.res2.1.conv2,1,DET vs FullGradCam,bird_100489,15.087814467088126
152,backbone.res2.1.conv3,1,DET vs FullGradCam,bird_100489,14.638359662984199
153,backbone.res2.2.conv1,1,DET vs FullGradCam,bird_100489,15.281983467913516
154,backbone.res2.2.conv2,1,DET vs FullGradCam,bird_100489,16.85087356716855
155,backbone.res2.2.conv3,1,DET vs FullGradCam,bird_100489,14.207829508882488
156,backbone.res3.0.conv1,1,DET vs FullGradCam,bird_100489,17.138748533825833
157,backbone.res3.0.conv2,1,DET vs FullGradCam,bird_100489,14.063850209406178
158,backbone.res3.0.conv3,1,DET vs FullGradCam,bird_100489,15.96771773873246
159,backbone.res3.1.conv1,1,DET vs FullGradCam,bird_100489,13.849050566231789
160,backbone.res3.1.conv2,1,DET vs FullGradCam,bird_100489,14.664904291148805
161,backbone.res3.1.conv3,1,DET vs FullGradCam,bird_100489,15.931681380945228
162,backbone.res3.2.conv1,1,DET vs FullGradCam,bird_100489,13.811228046605418
163,backbone.res3.2.conv2,1,DET vs FullGradCam,bird_100489,17.921042610667094
