,Layer,Cluster,Task,Image,Similarity
0,backbone.res2.0.conv1,1,DET vs FullGradCam,handbag_383842,115.64855276934307
1,backbone.res2.0.conv2,1,DET vs FullGradCam,handbag_383842,122.48889630891355
2,backbone.res2.0.conv3,1,DET vs FullGradCam,handbag_383842,113.37083067420767
3,backbone.res2.1.conv1,1,DET vs FullGradCam,handbag_383842,112.86087367685991
4,backbone.res2.1.conv2,1,DET vs FullGradCam,handbag_383842,113.05948789145822
5,backbone.res2.1.conv3,1,DET vs FullGradCam,handbag_383842,113.97513322660814
6,backbone.res2.2.conv1,1,DET vs FullGradCam,handbag_383842,112.86286085893957
7,backbone.res2.2.conv2,1,DET vs FullGradCam,handbag_383842,131.327873112939
8,backbone.res2.2.conv3,1,DET vs FullGradCam,handbag_383842,121.95860642783491
9,backbone.res3.0.conv1,1,DET vs FullGradCam,handbag_383842,114.12202114474294
10,backbone.res3.0.conv2,1,DET vs FullGradCam,handbag_383842,113.53389260877981
11,backbone.res3.0.conv3,1,DET vs FullGradCam,handbag_383842,111.07722274135259
12,backbone.res3.1.conv1,1,DET vs FullGradCam,handbag_383842,112.21933153711389
13,backbone.res3.1.conv2,1,DET vs FullGradCam,handbag_383842,113.8458763337769
14,backbone.res3.1.conv3,1,DET vs FullGradCam,handbag_383842,111.97866241087632
15,backbone.res3.2.conv1,1,DET vs FullGradCam,handbag_383842,114.46668753388818
16,backbone.res3.2.conv2,1,DET vs FullGradCam,handbag_383842,115.60233081856038
17,backbone.res3.2.conv3,1,DET vs FullGradCam,handbag_383842,111.42972912229152
18,backbone.res3.3.conv1,1,DET vs FullGradCam,handbag_383842,115.48699572842183
19,backbone.res3.3.conv2,1,DET vs FullGradCam,handbag_383842,122.43395240812595
20,backbone.res3.3.conv3,1,DET vs FullGradCam,handbag_383842,113.4873796727116
21,backbone.res4.0.conv1,1,DET vs FullGradCam,handbag_383842,112.0239304629921
22,backbone.res4.0.conv2,1,DET vs FullGradCam,handbag_383842,116.3211834120739
23,backbone.res4.0.conv3,1,DET vs FullGradCam,handbag_383842,110.55429259182628
24,backbone.res4.1.conv1,1,DET vs FullGradCam,handbag_383842,108.36497952282926
25,backbone.res4.1.conv2,1,DET vs FullGradCam,handbag_383842,106.81398060032896
26,backbone.res4.1.conv3,1,DET vs FullGradCam,handbag_383842,118.2395933552119
27,backbone.res4.2.conv1,1,DET vs FullGradCam,handbag_383842,116.17322692696575
28,backbone.res4.2.conv2,1,DET vs FullGradCam,handbag_383842,120.35663866965353
29,backbone.res4.2.conv3,1,DET vs FullGradCam,handbag_383842,121.11290139062646
30,backbone.res4.3.conv1,1,DET vs FullGradCam,handbag_383842,115.02421392527202
31,backbone.res4.3.conv2,1,DET vs FullGradCam,handbag_383842,123.70621349434572
32,backbone.res4.3.conv3,1,DET vs FullGradCam,handbag_383842,126.11290962251712
33,backbone.res4.4.conv1,1,DET vs FullGradCam,handbag_383842,126.08709396608583
34,backbone.res4.4.conv2,1,DET vs FullGradCam,handbag_383842,130.95701371759407
35,backbone.res4.4.conv3,1,DET vs FullGradCam,handbag_383842,127.22822481487037
36,backbone.res4.5.conv1,1,DET vs FullGradCam,handbag_383842,125.23258661283707
37,backbone.res4.5.conv2,1,DET vs FullGradCam,handbag_383842,144.33576878724514
38,backbone.res4.5.conv3,2,DET vs FullGradCam,handbag_383842,137.0059325268623
39,roi_heads.pooler.level,2,DET vs FullGradCam,handbag_383842,132.48837390846796
40,roi_heads.res5.0.conv1,2,DET vs FullGradCam,handbag_383842,124.13598008862002
41,roi_heads.res5.0.conv2,2,DET vs FullGradCam,handbag_383842,127.61401000355265
42,roi_heads.res5.0.conv3,2,DET vs FullGradCam,handbag_383842,127.30089724450593
43,roi_heads.res5.1.conv1,2,DET vs FullGradCam,handbag_383842,134.63260815698595
44,roi_heads.res5.1.conv2,2,DET vs FullGradCam,handbag_383842,119.90148293078771
45,roi_heads.res5.1.conv3,2,DET vs FullGradCam,handbag_383842,116.65365309637231
46,roi_heads.res5.2.conv1,2,DET vs FullGradCam,handbag_383842,138.4329345894206
47,roi_heads.res5.2.conv2,2,DET vs FullGradCam,handbag_383842,127.41786634337038
48,roi_heads.res5.2.conv3,1,DET vs FullGradCam,handbag_383842,114.95321572070736
49,backbone.res2.0.conv1,1,DET vs FullGradCam,sandwich_465430,61.47317519383262
50,backbone.res2.0.conv2,1,DET vs FullGradCam,sandwich_465430,56.72825210248905
