,Layer,Cluster,Task,Image,Similarity
0,backbone.res2.0.conv1,1,DET vs FullGradCam,411,0.7223101884698422
1,backbone.res2.0.conv2,1,DET vs FullGradCam,411,0.7433363942398684
2,backbone.res2.0.conv3,1,DET vs FullGradCam,411,0.7225916015460603
3,backbone.res2.1.conv1,1,DET vs FullGradCam,411,0.7447503121223368
4,backbone.res2.1.conv2,1,DET vs FullGradCam,411,0.7406812239280663
5,backbone.res2.1.conv3,1,DET vs FullGradCam,411,0.7019783824021496
6,backbone.res2.2.conv1,1,DET vs FullGradCam,411,0.7155840435246645
7,backbone.res2.2.conv2,1,DET vs FullGradCam,411,0.6943094620583822
8,backbone.res2.2.conv3,1,DET vs FullGradCam,411,0.7333532646178659
9,backbone.res3.0.conv1,1,DET vs FullGradCam,411,0.6485523548295481
10,backbone.res3.0.conv2,1,DET vs FullGradCam,411,0.6131195298407812
11,backbone.res3.0.conv3,1,DET vs FullGradCam,411,0.6603751463076128
12,backbone.res3.1.conv1,1,DET vs FullGradCam,411,0.6485630289638569
13,backbone.res3.1.conv2,1,DET vs FullGradCam,411,0.672271945341041
14,backbone.res3.1.conv3,1,DET vs FullGradCam,411,0.7259195955640798
15,backbone.res3.2.conv1,1,DET vs FullGradCam,411,0.8078318529019056
16,backbone.res3.2.conv2,1,DET vs FullGradCam,411,0.7850104063801334
17,backbone.res3.2.conv3,2,DET vs FullGradCam,411,0.7973415357746731
18,backbone.res3.3.conv1,2,DET vs FullGradCam,411,0.694440183035612
19,backbone.res3.3.conv2,2,DET vs FullGradCam,411,0.700550614100509
20,backbone.res3.3.conv3,2,DET vs FullGradCam,411,0.8400011843102028
21,backbone.res4.0.conv1,2,DET vs FullGradCam,411,0.7606477753044832
22,backbone.res4.0.conv2,2,DET vs FullGradCam,411,0.8343712291954145
23,backbone.res4.0.conv3,2,DET vs FullGradCam,411,0.828000544562813
24,backbone.res4.1.conv1,2,DET vs FullGradCam,411,0.7543574554163024
25,backbone.res4.1.conv2,2,DET vs FullGradCam,411,0.8462182326088816
26,backbone.res4.1.conv3,2,DET vs FullGradCam,411,0.8629801746139273
27,backbone.res4.2.conv1,2,DET vs FullGradCam,411,0.7971495660936792
28,backbone.res4.2.conv2,2,DET vs FullGradCam,411,0.6705549182405179
29,backbone.res4.2.conv3,2,DET vs FullGradCam,411,0.6837792794818296
30,backbone.res4.3.conv1,2,DET vs FullGradCam,411,0.7391281800381226
31,backbone.res4.3.conv2,2,DET vs FullGradCam,411,0.8571707898796533
32,backbone.res4.3.conv3,2,DET vs FullGradCam,411,0.8485818501438869
33,backbone.res4.4.conv1,2,DET vs FullGradCam,411,0.760897187028611
34,backbone.res4.4.conv2,2,DET vs FullGradCam,411,0.799326514368463
35,backbone.res4.4.conv3,2,DET vs FullGradCam,411,0.8478464960476672
36,backbone.res4.5.conv1,2,DET vs FullGradCam,411,0.8629759692146923
37,backbone.res4.5.conv2,2,DET vs FullGradCam,411,0.7973210073172232
38,backbone.res4.5.conv3,2,DET vs FullGradCam,411,0.8316405941653348
39,backbone.res2.0.conv1,1,DET vs FullGradCam,1053,0.40953799148435543
40,backbone.res2.0.conv2,1,DET vs FullGradCam,1053,0.3761093297491122
41,backbone.res2.0.conv3,1,DET vs FullGradCam,1053,0.4984982924268629
42,backbone.res2.1.conv1,1,DET vs FullGradCam,1053,0.5009353184798251
43,backbone.res2.1.conv2,1,DET vs FullGradCam,1053,0.42782954664648243
44,backbone.res2.1.conv3,1,DET vs FullGradCam,1053,0.45255838646242075
45,backbone.res2.2.conv1,1,DET vs FullGradCam,1053,0.5134349128588412
46,backbone.res2.2.conv2,1,DET vs FullGradCam,1053,0.37573451085538795
47,backbone.res2.2.conv3,1,DET vs FullGradCam,1053,0.43275977176993874
48,backbone.res3.0.conv1,1,DET vs FullGradCam,1053,0.4739717031702845
49,backbone.res3.0.conv2,1,DET vs FullGradCam,1053,0.2829099486053786
50,backbone.res3.0.conv3,1,DET vs FullGradCam,1053,0.46447480518821366
51,backbone.res3.1.conv1,1,DET vs FullGradCam,1053,0.5086495285838474
52,backbone.res3.1.conv2,1,DET vs FullGradCam,1053,0.4653334063402947
53,backbone.res3.1.conv3,1,DET vs FullGradCam,1053,0.4663751788089648
54,backbone.res3.2.conv1,1,DET vs FullGradCam,1053,0.5202304564232703
55,backbone.res3.2.conv2,1,DET vs FullGradCam,1053,0.4280694434778676
56,backbone.res3.2.conv3,2,DET vs FullGradCam,1053,0.3778246682366888
57,backbone.res3.3.conv1,2,DET vs FullGradCam,1053,0.28555221758770366
58,backbone.res3.3.conv2,2,DET vs FullGradCam,1053,0.47645898541786114
59,backbone.res3.3.conv3,2,DET vs FullGradCam,1053,0.3149196216166377
60,backbone.res4.0.conv1,2,DET vs FullGradCam,1053,0.443788341333572
61,backbone.res4.0.conv2,2,DET vs FullGradCam,1053,0.41053501601365766
62,backbone.res4.0.conv3,2,DET vs FullGradCam,1053,0.47465093896357685
63,backbone.res4.1.conv1,2,DET vs FullGradCam,1053,0.19170195216177674
64,backbone.res4.1.conv2,2,DET vs FullGradCam,1053,0.268360289168099
65,backbone.res4.1.conv3,2,DET vs FullGradCam,1053,0.36441571819245916
66,backbone.res4.2.conv1,2,DET vs FullGradCam,1053,0.24067583085485353
67,backbone.res4.2.conv2,2,DET vs FullGradCam,1053,0.29170423299386794
68,backbone.res4.2.conv3,2,DET vs FullGradCam,1053,0.3322451451946735
69,backbone.res4.3.conv1,2,DET vs FullGradCam,1053,0.3573603322026996
70,backbone.res4.3.conv2,2,DET vs FullGradCam,1053,0.43723057960051465
71,backbone.res4.3.conv3,2,DET vs FullGradCam,1053,0.4216802772056796
72,backbone.res4.4.conv1,2,DET vs FullGradCam,1053,0.3848046783967263
73,backbone.res4.4.conv2,2,DET vs FullGradCam,1053,0.3673520223247067
74,backbone.res4.4.conv3,2,DET vs FullGradCam,1053,0.40623963805279234
75,backbone.res4.5.conv1,2,DET vs FullGradCam,1053,0.3200357652082283
76,backbone.res4.5.conv2,2,DET vs FullGradCam,1053,0.3066629279080768
77,backbone.res4.5.conv3,2,DET vs FullGradCam,1053,0.3453440960757549
78,backbone.res2.0.conv1,1,DET vs FullGradCam,1166,0.6825922759872518
79,backbone.res2.0.conv2,1,DET vs FullGradCam,1166,0.6802533749621491
80,backbone.res2.0.conv3,1,DET vs FullGradCam,1166,0.6863972023937678
81,backbone.res2.1.conv1,1,DET vs FullGradCam,1166,0.7734621040687496
82,backbone.res2.1.conv2,1,DET vs FullGradCam,1166,0.768234733625452
83,backbone.res2.1.conv3,1,DET vs FullGradCam,1166,0.7401366787946629
84,backbone.res2.2.conv1,1,DET vs FullGradCam,1166,0.7806670921528375
85,backbone.res2.2.conv2,1,DET vs FullGradCam,1166,0.7029772797220907
86,backbone.res2.2.conv3,1,DET vs FullGradCam,1166,0.6321483892341895
87,backbone.res3.0.conv1,1,DET vs FullGradCam,1166,0.7374394090157362
88,backbone.res3.0.conv2,1,DET vs FullGradCam,1166,0.6439431268518849
89,backbone.res3.0.conv3,1,DET vs FullGradCam,1166,0.6217594256619722
90,backbone.res3.1.conv1,1,DET vs FullGradCam,1166,0.691036089884366
91,backbone.res3.1.conv2,1,DET vs FullGradCam,1166,0.6099823947956131
92,backbone.res3.1.conv3,1,DET vs FullGradCam,1166,0.626264378352306
93,backbone.res3.2.conv1,1,DET vs FullGradCam,1166,0.6419061017507774
94,backbone.res3.2.conv2,1,DET vs FullGradCam,1166,0.5741187457666087
95,backbone.res3.2.conv3,2,DET vs FullGradCam,1166,0.6791495062040449
96,backbone.res3.3.conv1,2,DET vs FullGradCam,1166,0.7241134170988588
97,backbone.res3.3.conv2,2,DET vs FullGradCam,1166,0.6918299268928219
98,backbone.res3.3.conv3,2,DET vs FullGradCam,1166,0.7268628176105241
99,backbone.res4.0.conv1,2,DET vs FullGradCam,1166,0.6901126142270962
100,backbone.res4.0.conv2,2,DET vs FullGradCam,1166,0.41755345276194206
101,backbone.res4.0.conv3,2,DET vs FullGradCam,1166,0.5420280150214161
102,backbone.res4.1.conv1,2,DET vs FullGradCam,1166,0.6866415579644318
103,backbone.res4.1.conv2,2,DET vs FullGradCam,1166,0.6729078791726931
104,backbone.res4.1.conv3,2,DET vs FullGradCam,1166,0.570684640379746
105,backbone.res4.2.conv1,2,DET vs FullGradCam,1166,0.5513308573388956
106,backbone.res4.2.conv2,2,DET vs FullGradCam,1166,0.579605058074229
107,backbone.res4.2.conv3,2,DET vs FullGradCam,1166,0.64767546252847
108,backbone.res4.3.conv1,2,DET vs FullGradCam,1166,0.6404266727636817
109,backbone.res4.3.conv2,2,DET vs FullGradCam,1166,0.7055331779851309
110,backbone.res4.3.conv3,2,DET vs FullGradCam,1166,0.676494008559584
111,backbone.res4.4.conv1,2,DET vs FullGradCam,1166,0.653324926694265
112,backbone.res4.4.conv2,2,DET vs FullGradCam,1166,0.7330080316683542
113,backbone.res4.4.conv3,2,DET vs FullGradCam,1166,0.7445222117535802
114,backbone.res4.5.conv1,2,DET vs FullGradCam,1166,0.6873870471176144
115,backbone.res4.5.conv2,2,DET vs FullGradCam,1166,0.6540263895948931
116,backbone.res4.5.conv3,2,DET vs FullGradCam,1166,0.7677207614179989
117,backbone.res2.0.conv1,1,DET vs FullGradCam,1451,0.7032785755734788
118,backbone.res2.0.conv2,1,DET vs FullGradCam,1451,0.7294418044249004
119,backbone.res2.0.conv3,1,DET vs FullGradCam,1451,0.6937232461718448
120,backbone.res2.1.conv1,1,DET vs FullGradCam,1451,0.7258718039637027
121,backbone.res2.1.conv2,1,DET vs FullGradCam,1451,0.7446391824485036
122,backbone.res2.1.conv3,1,DET vs FullGradCam,1451,0.6569833944024565
123,backbone.res2.2.conv1,1,DET vs FullGradCam,1451,0.6845918279734465
124,backbone.res2.2.conv2,1,DET vs FullGradCam,1451,0.5983489873111671
125,backbone.res2.2.conv3,1,DET vs FullGradCam,1451,0.579975040130888
126,backbone.res3.0.conv1,1,DET vs FullGradCam,1451,0.5271946377313725
127,backbone.res3.0.conv2,1,DET vs FullGradCam,1451,0.45976735041961764
128,backbone.res3.0.conv3,1,DET vs FullGradCam,1451,0.5140731296362028
129,backbone.res3.1.conv1,1,DET vs FullGradCam,1451,0.476922429116878
130,backbone.res3.1.conv2,1,DET vs FullGradCam,1451,0.6136547732218671
131,backbone.res3.1.conv3,1,DET vs FullGradCam,1451,0.5920008117567335
132,backbone.res3.2.conv1,1,DET vs FullGradCam,1451,0.7074830047956977
133,backbone.res3.2.conv2,1,DET vs FullGradCam,1451,0.7662167148281003
134,backbone.res3.2.conv3,2,DET vs FullGradCam,1451,0.7307363935975705
135,backbone.res3.3.conv1,2,DET vs FullGradCam,1451,0.6798488201162864
136,backbone.res3.3.conv2,2,DET vs FullGradCam,1451,0.513498781532751
137,backbone.res3.3.conv3,2,DET vs FullGradCam,1451,0.6710955575992127
138,backbone.res4.0.conv1,2,DET vs FullGradCam,1451,0.6216776077274101
139,backbone.res4.0.conv2,2,DET vs FullGradCam,1451,0.7894916711737362
140,backbone.res4.0.conv3,2,DET vs FullGradCam,1451,0.7245558798413553
141,backbone.res4.1.conv1,2,DET vs FullGradCam,1451,0.7289351542130655
142,backbone.res4.1.conv2,2,DET vs FullGradCam,1451,0.7678354032626317
143,backbone.res4.1.conv3,2,DET vs FullGradCam,1451,0.7874160891175617
144,backbone.res4.2.conv1,2,DET vs FullGradCam,1451,0.7507261746657737
145,backbone.res4.2.conv2,2,DET vs FullGradCam,1451,0.7974875678457627
146,backbone.res4.2.conv3,2,DET vs FullGradCam,1451,0.7986034460255813
147,backbone.res4.3.conv1,2,DET vs FullGradCam,1451,0.5727738877934346
148,backbone.res4.3.conv2,2,DET vs FullGradCam,1451,0.7899699514633388
149,backbone.res4.3.conv3,2,DET vs FullGradCam,1451,0.8167159641155786
150,backbone.res4.4.conv1,2,DET vs FullGradCam,1451,0.8168529140974409
