,Layer,Cluster,Task,Image,Similarity
0,backbone.res2.0.conv1,1,DET vs FullGradCam,411,0.7302230382354638
1,backbone.res2.0.conv2,1,DET vs FullGradCam,411,0.7520216423160506
2,backbone.res2.0.conv3,1,DET vs FullGradCam,411,0.730822533271255
3,backbone.res2.1.conv1,1,DET vs FullGradCam,411,0.7522501079265512
4,backbone.res2.1.conv2,1,DET vs FullGradCam,411,0.7485431281365515
5,backbone.res2.1.conv3,1,DET vs FullGradCam,411,0.7101752926905462
6,backbone.res2.2.conv1,1,DET vs FullGradCam,411,0.7231794047314508
7,backbone.res2.2.conv2,1,DET vs FullGradCam,411,0.7010033163204831
8,backbone.res2.2.conv3,1,DET vs FullGradCam,411,0.7422030048638082
9,backbone.res3.0.conv1,1,DET vs FullGradCam,411,0.6605498864933503
10,backbone.res3.0.conv2,1,DET vs FullGradCam,411,0.6259148798298984
11,backbone.res3.0.conv3,1,DET vs FullGradCam,411,0.6729581152371682
12,backbone.res3.1.conv1,1,DET vs FullGradCam,411,0.6597341310095064
13,backbone.res3.1.conv2,1,DET vs FullGradCam,411,0.6823404426466196
14,backbone.res3.1.conv3,1,DET vs FullGradCam,411,0.7355035648175001
15,backbone.res3.2.conv1,1,DET vs FullGradCam,411,0.8119796797426349
16,backbone.res3.2.conv2,1,DET vs FullGradCam,411,0.7874521621892723
17,backbone.res3.2.conv3,2,DET vs FullGradCam,411,0.8041881407198488
18,backbone.res3.3.conv1,2,DET vs FullGradCam,411,0.7067098218123915
19,backbone.res3.3.conv2,2,DET vs FullGradCam,411,0.7147809791541867
20,backbone.res3.3.conv3,2,DET vs FullGradCam,411,0.8450183994676883
21,backbone.res4.0.conv1,2,DET vs FullGradCam,411,0.7729137867608132
22,backbone.res4.0.conv2,2,DET vs FullGradCam,411,0.8402421208306686
23,backbone.res4.0.conv3,2,DET vs FullGradCam,411,0.8332692242433751
24,backbone.res4.1.conv1,2,DET vs FullGradCam,411,0.7639641822769697
25,backbone.res4.1.conv2,2,DET vs FullGradCam,411,0.848120772706147
26,backbone.res4.1.conv3,2,DET vs FullGradCam,411,0.8666248797237164
27,backbone.res4.2.conv1,2,DET vs FullGradCam,411,0.8052294492784753
28,backbone.res4.2.conv2,2,DET vs FullGradCam,411,0.6737386559278188
29,backbone.res4.2.conv3,2,DET vs FullGradCam,411,0.6870863456864686
30,backbone.res4.3.conv1,2,DET vs FullGradCam,411,0.7492800443561557
31,backbone.res4.3.conv2,2,DET vs FullGradCam,411,0.8602028015155218
32,backbone.res4.3.conv3,2,DET vs FullGradCam,411,0.8510731415889118
33,backbone.res4.4.conv1,2,DET vs FullGradCam,411,0.7620697246991412
34,backbone.res4.4.conv2,2,DET vs FullGradCam,411,0.7977555040683024
35,backbone.res4.4.conv3,2,DET vs FullGradCam,411,0.8524251952268926
36,backbone.res4.5.conv1,2,DET vs FullGradCam,411,0.8668472040698432
37,backbone.res4.5.conv2,2,DET vs FullGradCam,411,0.7968096039572942
38,backbone.res4.5.conv3,2,DET vs FullGradCam,411,0.8379276559186072
39,backbone.res2.0.conv1,1,DET vs FullGradCam,1053,0.42871672723798027
40,backbone.res2.0.conv2,1,DET vs FullGradCam,1053,0.3958544556379824
41,backbone.res2.0.conv3,1,DET vs FullGradCam,1053,0.5107466061814689
42,backbone.res2.1.conv1,1,DET vs FullGradCam,1053,0.5136819051205005
43,backbone.res2.1.conv2,1,DET vs FullGradCam,1053,0.44297027979689896
44,backbone.res2.1.conv3,1,DET vs FullGradCam,1053,0.4654784690125919
45,backbone.res2.2.conv1,1,DET vs FullGradCam,1053,0.5221178934771684
46,backbone.res2.2.conv2,1,DET vs FullGradCam,1053,0.385871067597067
47,backbone.res2.2.conv3,1,DET vs FullGradCam,1053,0.44542020704910534
48,backbone.res3.0.conv1,1,DET vs FullGradCam,1053,0.4899478394034199
49,backbone.res3.0.conv2,1,DET vs FullGradCam,1053,0.30495197579149647
50,backbone.res3.0.conv3,1,DET vs FullGradCam,1053,0.47658610927136646
51,backbone.res3.1.conv1,1,DET vs FullGradCam,1053,0.5206956514259853
52,backbone.res3.1.conv2,1,DET vs FullGradCam,1053,0.4748200747935798
53,backbone.res3.1.conv3,1,DET vs FullGradCam,1053,0.47716488357245257
54,backbone.res3.2.conv1,1,DET vs FullGradCam,1053,0.5247591357473861
55,backbone.res3.2.conv2,1,DET vs FullGradCam,1053,0.4340257445128855
56,backbone.res3.2.conv3,2,DET vs FullGradCam,1053,0.3920406409028356
57,backbone.res3.3.conv1,2,DET vs FullGradCam,1053,0.30196823387653376
58,backbone.res3.3.conv2,2,DET vs FullGradCam,1053,0.48041415799195863
59,backbone.res3.3.conv3,2,DET vs FullGradCam,1053,0.3301878403856018
60,backbone.res4.0.conv1,2,DET vs FullGradCam,1053,0.45692319491315575
61,backbone.res4.0.conv2,2,DET vs FullGradCam,1053,0.4233523396337916
62,backbone.res4.0.conv3,2,DET vs FullGradCam,1053,0.4828001401532984
63,backbone.res4.1.conv1,2,DET vs FullGradCam,1053,0.21433632097071054
64,backbone.res4.1.conv2,2,DET vs FullGradCam,1053,0.28256941673378005
65,backbone.res4.1.conv3,2,DET vs FullGradCam,1053,0.3725307803480203
66,backbone.res4.2.conv1,2,DET vs FullGradCam,1053,0.256039105143878
67,backbone.res4.2.conv2,2,DET vs FullGradCam,1053,0.2986614337112373
68,backbone.res4.2.conv3,2,DET vs FullGradCam,1053,0.3369228478250991
69,backbone.res4.3.conv1,2,DET vs FullGradCam,1053,0.3644123150638357
70,backbone.res4.3.conv2,2,DET vs FullGradCam,1053,0.437260227629639
71,backbone.res4.3.conv3,2,DET vs FullGradCam,1053,0.4209033770659745
72,backbone.res4.4.conv1,2,DET vs FullGradCam,1053,0.3863704344999553
73,backbone.res4.4.conv2,2,DET vs FullGradCam,1053,0.36971197148850393
74,backbone.res4.4.conv3,2,DET vs FullGradCam,1053,0.40576764111418195
75,backbone.res4.5.conv1,2,DET vs FullGradCam,1053,0.3238925109611785
76,backbone.res4.5.conv2,2,DET vs FullGradCam,1053,0.3096583557278425
77,backbone.res4.5.conv3,2,DET vs FullGradCam,1053,0.3476560165291823
78,backbone.res2.0.conv1,1,DET vs FullGradCam,1166,0.6902061593761266
79,backbone.res2.0.conv2,1,DET vs FullGradCam,1166,0.6897652848383855
80,backbone.res2.0.conv3,1,DET vs FullGradCam,1166,0.6929221024904872
81,backbone.res2.1.conv1,1,DET vs FullGradCam,1166,0.7925187656360339
82,backbone.res2.1.conv2,1,DET vs FullGradCam,1166,0.7896156016231203
83,backbone.res2.1.conv3,1,DET vs FullGradCam,1166,0.7483209880307389
84,backbone.res2.2.conv1,1,DET vs FullGradCam,1166,0.796066030163455
85,backbone.res2.2.conv2,1,DET vs FullGradCam,1166,0.7108615550619838
86,backbone.res2.2.conv3,1,DET vs FullGradCam,1166,0.6394555565178506
87,backbone.res3.0.conv1,1,DET vs FullGradCam,1166,0.7452946037738121
88,backbone.res3.0.conv2,1,DET vs FullGradCam,1166,0.652859007413154
89,backbone.res3.0.conv3,1,DET vs FullGradCam,1166,0.6316319741655201
