,Layer,Cluster,Task,Image,Similarity
0,backbone.res2.0.conv1,1,DET vs FullGradCam,411,0.2747278085496405
1,backbone.res2.0.conv2,1,DET vs FullGradCam,411,0.26024989603293863
2,backbone.res2.0.conv3,1,DET vs FullGradCam,411,0.26744790336970037
3,backbone.res2.1.conv1,1,DET vs FullGradCam,411,0.2640566826824907
4,backbone.res2.1.conv2,1,DET vs FullGradCam,411,0.26322809493505794
5,backbone.res2.1.conv3,1,DET vs FullGradCam,411,0.2622450736029191
6,backbone.res2.2.conv1,1,DET vs FullGradCam,411,0.25886118005427716
7,backbone.res2.2.conv2,1,DET vs FullGradCam,411,0.26978725695483935
8,backbone.res2.2.conv3,1,DET vs FullGradCam,411,0.2543360774778506
9,backbone.res3.0.conv1,1,DET vs FullGradCam,411,0.28287992533147094
10,backbone.res3.0.conv2,1,DET vs FullGradCam,411,0.2846732663498205
11,backbone.res3.0.conv3,1,DET vs FullGradCam,411,0.2634960342300561
12,backbone.res3.1.conv1,1,DET vs FullGradCam,411,0.27090450527669724
13,backbone.res3.1.conv2,1,DET vs FullGradCam,411,0.26374115295944384
14,backbone.res3.1.conv3,1,DET vs FullGradCam,411,0.24773962086531176
15,backbone.res3.2.conv1,1,DET vs FullGradCam,411,0.23890520498969353
16,backbone.res3.2.conv2,1,DET vs FullGradCam,411,0.24785917202562105
17,backbone.res3.2.conv3,1,DET vs FullGradCam,411,0.23177313797695942
18,backbone.res3.3.conv1,1,DET vs FullGradCam,411,0.25463956143333555
19,backbone.res3.3.conv2,2,DET vs FullGradCam,411,0.264920040833227
20,backbone.res3.3.conv3,1,DET vs FullGradCam,411,0.2182575959654571
21,backbone.res4.0.conv1,1,DET vs FullGradCam,411,0.2474724308775072
22,backbone.res4.0.conv2,1,DET vs FullGradCam,411,0.2217724531378839
23,backbone.res4.0.conv3,1,DET vs FullGradCam,411,0.22553080310632262
24,backbone.res4.1.conv1,1,DET vs FullGradCam,411,0.23853368887022577
25,backbone.res4.1.conv2,1,DET vs FullGradCam,411,0.22971687771821353
26,backbone.res4.1.conv3,2,DET vs FullGradCam,411,0.20818781123514543
27,backbone.res4.2.conv1,2,DET vs FullGradCam,411,0.23580236405886962
28,backbone.res4.2.conv2,2,DET vs FullGradCam,411,0.30500624471822846
29,backbone.res4.2.conv3,2,DET vs FullGradCam,411,0.2963286092019713
30,backbone.res4.3.conv1,2,DET vs FullGradCam,411,0.2540852691993342
31,backbone.res4.3.conv2,2,DET vs FullGradCam,411,0.21692400087541255
32,backbone.res4.3.conv3,2,DET vs FullGradCam,411,0.22138508695877782
33,backbone.res4.4.conv1,2,DET vs FullGradCam,411,0.2836983716346268
34,backbone.res4.4.conv2,2,DET vs FullGradCam,411,0.2657337819679578
35,backbone.res4.4.conv3,2,DET vs FullGradCam,411,0.2128401789493403
36,backbone.res4.5.conv1,2,DET vs FullGradCam,411,0.20772967061019373
