,Layer,Cluster,Task,Image,Similarity
0,backbone.res2.0.conv1,1,DET vs FullGradCam,962,178.5395564430364
1,backbone.res2.0.conv2,1,DET vs FullGradCam,962,169.81671914043636
2,backbone.res2.0.conv3,1,DET vs FullGradCam,962,164.26626181980237
3,backbone.res2.1.conv1,1,DET vs FullGradCam,962,167.36103847403203
4,backbone.res2.1.conv2,1,DET vs FullGradCam,962,168.70517464773275
5,backbone.res2.1.conv3,1,DET vs FullGradCam,962,164.76743817325104
6,backbone.res2.2.conv1,1,DET vs FullGradCam,962,175.79430477638067
7,backbone.res2.2.conv2,1,DET vs FullGradCam,962,174.1987733186263
8,backbone.res2.2.conv3,1,DET vs FullGradCam,962,165.07091350229712
9,backbone.res3.0.conv1,1,DET vs FullGradCam,962,172.50629803094563
10,backbone.res3.0.conv2,1,DET vs FullGradCam,962,180.9255626408507
11,backbone.res3.0.conv3,1,DET vs FullGradCam,962,173.951056036206
12,backbone.res3.1.conv1,1,DET vs FullGradCam,962,179.47298271233555
13,backbone.res3.1.conv2,1,DET vs FullGradCam,962,172.4591378504574
14,backbone.res3.1.conv3,1,DET vs FullGradCam,962,174.06438609988848
15,backbone.res3.2.conv1,2,DET vs FullGradCam,962,171.4549039577613
16,backbone.res3.2.conv2,1,DET vs FullGradCam,962,166.29749245686287
17,backbone.res3.2.conv3,1,DET vs FullGradCam,962,177.95503147905472
18,backbone.res3.3.conv1,1,DET vs FullGradCam,962,178.56718957014158
19,backbone.res3.3.conv2,2,DET vs FullGradCam,962,176.36119750382457
20,backbone.res3.3.conv3,1,DET vs FullGradCam,962,168.60151807121736
21,backbone.res4.0.conv1,1,DET vs FullGradCam,962,162.25976996056693
22,backbone.res4.0.conv2,1,DET vs FullGradCam,962,170.62922098793527
23,backbone.res4.0.conv3,1,DET vs FullGradCam,962,177.84150510479608
24,backbone.res4.1.conv1,1,DET vs FullGradCam,962,169.87480612695825
25,backbone.res4.1.conv2,1,DET vs FullGradCam,962,177.4760520986477
26,backbone.res4.1.conv3,1,DET vs FullGradCam,962,176.0411963620141
27,backbone.res4.2.conv1,1,DET vs FullGradCam,962,170.8401726268924
28,backbone.res4.2.conv2,1,DET vs FullGradCam,962,173.66602707293512
29,backbone.res4.2.conv3,1,DET vs FullGradCam,962,178.25270880662106
