,Layer,Cluster,Task,Image,Similarity
0,backbone.res2.0.conv1,1,DET vs FullGradCam,962,0.39912089703714904
1,backbone.res2.0.conv2,1,DET vs FullGradCam,962,0.4520262359882079
2,backbone.res2.0.conv3,1,DET vs FullGradCam,962,0.35369648083100846
3,backbone.res2.1.conv1,1,DET vs FullGradCam,962,0.4502153239488051
4,backbone.res2.1.conv2,1,DET vs FullGradCam,962,0.384203000405125
5,backbone.res2.1.conv3,1,DET vs FullGradCam,962,0.3112411953826456
6,backbone.res2.2.conv1,1,DET vs FullGradCam,962,0.35213471490173376
7,backbone.res2.2.conv2,2,DET vs FullGradCam,962,0.2941563231742096
8,backbone.res2.2.conv3,2,DET vs FullGradCam,962,0.25843741265789283
9,backbone.res3.0.conv1,1,DET vs FullGradCam,962,0.5281421069295629
10,backbone.res3.0.conv2,1,DET vs FullGradCam,962,0.5059097107012672
11,backbone.res3.0.conv3,1,DET vs FullGradCam,962,0.48890442603807793
12,backbone.res3.1.conv1,1,DET vs FullGradCam,962,0.5401426430707625
13,backbone.res3.1.conv2,1,DET vs FullGradCam,962,0.48629762035862184
14,backbone.res3.1.conv3,1,DET vs FullGradCam,962,0.4544670336954383
15,backbone.res3.2.conv1,1,DET vs FullGradCam,962,0.38308401576788154
16,backbone.res3.2.conv2,1,DET vs FullGradCam,962,0.37166234308798246
17,backbone.res3.2.conv3,1,DET vs FullGradCam,962,0.44389128990961835
18,backbone.res3.3.conv1,1,DET vs FullGradCam,962,0.36303529939491325
19,backbone.res3.3.conv2,2,DET vs FullGradCam,962,0.2463102324962757
20,backbone.res3.3.conv3,2,DET vs FullGradCam,962,0.2623918204478853
21,backbone.res4.0.conv1,1,DET vs FullGradCam,962,0.4095974106652709
22,backbone.res4.0.conv2,1,DET vs FullGradCam,962,0.437255501373074
23,backbone.res4.0.conv3,1,DET vs FullGradCam,962,0.5611404363466103
24,backbone.res4.1.conv1,1,DET vs FullGradCam,962,0.4048845344047267
25,backbone.res4.1.conv2,1,DET vs FullGradCam,962,0.4601509346964843
26,backbone.res4.1.conv3,1,DET vs FullGradCam,962,0.47228693947934014
27,backbone.res4.2.conv1,1,DET vs FullGradCam,962,0.41611020491924333
28,backbone.res4.2.conv2,1,DET vs FullGradCam,962,0.41236685238877824
29,backbone.res4.2.conv3,1,DET vs FullGradCam,962,0.42328733542081
30,backbone.res4.3.conv1,1,DET vs FullGradCam,962,0.4478054308721624
31,backbone.res4.3.conv2,1,DET vs FullGradCam,962,0.48469528185544014
32,backbone.res4.3.conv3,1,DET vs FullGradCam,962,0.3936365824991588
33,backbone.res4.4.conv1,1,DET vs FullGradCam,962,0.3969419446940766
34,backbone.res4.4.conv2,1,DET vs FullGradCam,962,0.4574533474314423
35,backbone.res4.4.conv3,1,DET vs FullGradCam,962,0.4112942875863558
36,backbone.res4.5.conv1,1,DET vs FullGradCam,962,0.43286350470887613
37,backbone.res4.5.conv2,1,DET vs FullGradCam,962,0.3344720367478614
38,backbone.res4.5.conv3,1,DET vs FullGradCam,962,0.39405878418676105
39,backbone.res2.0.conv1,1,DET vs FullGradCam,2170,0.45568454234943345
40,backbone.res2.0.conv2,1,DET vs FullGradCam,2170,0.46522445093973674
41,backbone.res2.0.conv3,1,DET vs FullGradCam,2170,0.5062332022157537
42,backbone.res2.1.conv1,1,DET vs FullGradCam,2170,0.5333840351799862
43,backbone.res2.1.conv2,1,DET vs FullGradCam,2170,0.5276307684206087
44,backbone.res2.1.conv3,1,DET vs FullGradCam,2170,0.40401497210154985
45,backbone.res2.2.conv1,1,DET vs FullGradCam,2170,0.5106219316996803
46,backbone.res2.2.conv2,2,DET vs FullGradCam,2170,0.29438025616982083
47,backbone.res2.2.conv3,2,DET vs FullGradCam,2170,0.32175924872027933
48,backbone.res3.0.conv1,1,DET vs FullGradCam,2170,0.557100472917751
49,backbone.res3.0.conv2,1,DET vs FullGradCam,2170,0.4780766474377085
50,backbone.res3.0.conv3,1,DET vs FullGradCam,2170,0.5330882875162646
51,backbone.res3.1.conv1,1,DET vs FullGradCam,2170,0.5628103151500339
52,backbone.res3.1.conv2,1,DET vs FullGradCam,2170,0.49019418582363095
53,backbone.res3.1.conv3,1,DET vs FullGradCam,2170,0.5448902915285542
54,backbone.res3.2.conv1,1,DET vs FullGradCam,2170,0.5556076321146046
55,backbone.res3.2.conv2,1,DET vs FullGradCam,2170,0.531040357300255
56,backbone.res3.2.conv3,1,DET vs FullGradCam,2170,0.5233782248461605
57,backbone.res3.3.conv1,1,DET vs FullGradCam,2170,0.5160415611860484
58,backbone.res3.3.conv2,2,DET vs FullGradCam,2170,0.3348748681049013
59,backbone.res3.3.conv3,2,DET vs FullGradCam,2170,0.35838747360912926
60,backbone.res4.0.conv1,1,DET vs FullGradCam,2170,0.5491770738072103
61,backbone.res4.0.conv2,1,DET vs FullGradCam,2170,0.5402695148832667
62,backbone.res4.0.conv3,1,DET vs FullGradCam,2170,0.5764296301966281
63,backbone.res4.1.conv1,1,DET vs FullGradCam,2170,0.5604193476554726
64,backbone.res4.1.conv2,1,DET vs FullGradCam,2170,0.5882798502440683
65,backbone.res4.1.conv3,1,DET vs FullGradCam,2170,0.6244078718526922
66,backbone.res4.2.conv1,1,DET vs FullGradCam,2170,0.6392881261525847
67,backbone.res4.2.conv2,1,DET vs FullGradCam,2170,0.48651578605833995
68,backbone.res4.2.conv3,1,DET vs FullGradCam,2170,0.5242181675777459
69,backbone.res4.3.conv1,1,DET vs FullGradCam,2170,0.6048563835183333
70,backbone.res4.3.conv2,1,DET vs FullGradCam,2170,0.45818021189736485
71,backbone.res4.3.conv3,1,DET vs FullGradCam,2170,0.5307816942366688
72,backbone.res4.4.conv1,1,DET vs FullGradCam,2170,0.5402357667979244
73,backbone.res4.4.conv2,1,DET vs FullGradCam,2170,0.4638441942534476
74,backbone.res4.4.conv3,1,DET vs FullGradCam,2170,0.48028969359620544
75,backbone.res4.5.conv1,1,DET vs FullGradCam,2170,0.4649626785794187
76,backbone.res4.5.conv2,1,DET vs FullGradCam,2170,0.3292329754663837
77,backbone.res4.5.conv3,1,DET vs FullGradCam,2170,0.4532920032576122
78,backbone.res2.0.conv1,1,DET vs FullGradCam,1227,0.4068809923127682
79,backbone.res2.0.conv2,1,DET vs FullGradCam,1227,0.4009780836850411
80,backbone.res2.0.conv3,1,DET vs FullGradCam,1227,0.3706930653397104
81,backbone.res2.1.conv1,1,DET vs FullGradCam,1227,0.41990761616683214
82,backbone.res2.1.conv2,1,DET vs FullGradCam,1227,0.4037266124658101
83,backbone.res2.1.conv3,1,DET vs FullGradCam,1227,0.30932698470477527
84,backbone.res2.2.conv1,1,DET vs FullGradCam,1227,0.3700293646826194
85,backbone.res2.2.conv2,2,DET vs FullGradCam,1227,0.2106487014535462
86,backbone.res2.2.conv3,2,DET vs FullGradCam,1227,0.2418117047917988
87,backbone.res3.0.conv1,1,DET vs FullGradCam,1227,0.4438300399097733
88,backbone.res3.0.conv2,1,DET vs FullGradCam,1227,0.43961420594703937
89,backbone.res3.0.conv3,1,DET vs FullGradCam,1227,0.4092648676299958
90,backbone.res3.1.conv1,1,DET vs FullGradCam,1227,0.39023485371638233
91,backbone.res3.1.conv2,1,DET vs FullGradCam,1227,0.4029090519731637
92,backbone.res3.1.conv3,1,DET vs FullGradCam,1227,0.41805546984784814
93,backbone.res3.2.conv1,1,DET vs FullGradCam,1227,0.384765234586777
94,backbone.res3.2.conv2,1,DET vs FullGradCam,1227,0.39885350498087724
95,backbone.res3.2.conv3,1,DET vs FullGradCam,1227,0.37937002925301727
96,backbone.res3.3.conv1,1,DET vs FullGradCam,1227,0.33583406129346066
97,backbone.res3.3.conv2,2,DET vs FullGradCam,1227,0.2292424033219776
98,backbone.res3.3.conv3,2,DET vs FullGradCam,1227,0.27454502095253347
99,backbone.res4.0.conv1,1,DET vs FullGradCam,1227,0.4777368510327502
100,backbone.res4.0.conv2,1,DET vs FullGradCam,1227,0.46653006572603845
101,backbone.res4.0.conv3,1,DET vs FullGradCam,1227,0.47495901168914323
102,backbone.res4.1.conv1,1,DET vs FullGradCam,1227,0.4550163757316285
103,backbone.res4.1.conv2,1,DET vs FullGradCam,1227,0.4583534479965318
104,backbone.res4.1.conv3,1,DET vs FullGradCam,1227,0.3497961762795722
105,backbone.res4.2.conv1,1,DET vs FullGradCam,1227,0.44613115590010544
106,backbone.res4.2.conv2,1,DET vs FullGradCam,1227,0.40323652279505073
107,backbone.res4.2.conv3,1,DET vs FullGradCam,1227,0.35570805690786245
108,backbone.res4.3.conv1,1,DET vs FullGradCam,1227,0.4412776097472966
109,backbone.res4.3.conv2,1,DET vs FullGradCam,1227,0.3774321152977154
110,backbone.res4.3.conv3,1,DET vs FullGradCam,1227,0.3249215191660831
111,backbone.res4.4.conv1,1,DET vs FullGradCam,1227,0.3458454305463093
112,backbone.res4.4.conv2,1,DET vs FullGradCam,1227,0.3822799327121584
113,backbone.res4.4.conv3,1,DET vs FullGradCam,1227,0.3459147993711949
114,backbone.res4.5.conv1,1,DET vs FullGradCam,1227,0.36721450852691634
115,backbone.res4.5.conv2,1,DET vs FullGradCam,1227,0.32849353077157617
116,backbone.res4.5.conv3,1,DET vs FullGradCam,1227,0.3434843317892978
117,backbone.res2.0.conv1,1,DET vs FullGradCam,1430,0.3846093197129439
118,backbone.res2.0.conv2,1,DET vs FullGradCam,1430,0.34746446412368726
119,backbone.res2.0.conv3,1,DET vs FullGradCam,1430,0.3908500689175238
120,backbone.res2.1.conv1,1,DET vs FullGradCam,1430,0.36082152640993925
121,backbone.res2.1.conv2,1,DET vs FullGradCam,1430,0.311314701289776
122,backbone.res2.1.conv3,1,DET vs FullGradCam,1430,0.31267051028712517
123,backbone.res2.2.conv1,1,DET vs FullGradCam,1430,0.3544337835062129
124,backbone.res2.2.conv2,2,DET vs FullGradCam,1430,0.1741926730511696
125,backbone.res2.2.conv3,2,DET vs FullGradCam,1430,0.24146020366509854
126,backbone.res3.0.conv1,1,DET vs FullGradCam,1430,0.3508582777952267
127,backbone.res3.0.conv2,1,DET vs FullGradCam,1430,0.29561530828007404
128,backbone.res3.0.conv3,1,DET vs FullGradCam,1430,0.4234783300631342
129,backbone.res3.1.conv1,1,DET vs FullGradCam,1430,0.35017834372661755
130,backbone.res3.1.conv2,1,DET vs FullGradCam,1430,0.3263648688651363
131,backbone.res3.1.conv3,1,DET vs FullGradCam,1430,0.40639015668885026
132,backbone.res3.2.conv1,1,DET vs FullGradCam,1430,0.3250607713212478
133,backbone.res3.2.conv2,1,DET vs FullGradCam,1430,0.34341422819569634
134,backbone.res3.2.conv3,1,DET vs FullGradCam,1430,0.35985505340676827
135,backbone.res3.3.conv1,1,DET vs FullGradCam,1430,0.31950856017595025
136,backbone.res3.3.conv2,2,DET vs FullGradCam,1430,0.20012381700502682
137,backbone.res3.3.conv3,2,DET vs FullGradCam,1430,0.18790911516358366
138,backbone.res4.0.conv1,1,DET vs FullGradCam,1430,0.30220884605091014
139,backbone.res4.0.conv2,1,DET vs FullGradCam,1430,0.35861546371157027
140,backbone.res4.0.conv3,1,DET vs FullGradCam,1430,0.36598684215813704
141,backbone.res4.1.conv1,1,DET vs FullGradCam,1430,0.4236512375684558
142,backbone.res4.1.conv2,1,DET vs FullGradCam,1430,0.37411762951065153
143,backbone.res4.1.conv3,1,DET vs FullGradCam,1430,0.28701078085766607
144,backbone.res4.2.conv1,1,DET vs FullGradCam,1430,0.3884816483374386
145,backbone.res4.2.conv2,1,DET vs FullGradCam,1430,0.28207204935855484
146,backbone.res4.2.conv3,1,DET vs FullGradCam,1430,0.334727071091154
147,backbone.res4.3.conv1,1,DET vs FullGradCam,1430,0.31296391015754993
148,backbone.res4.3.conv2,1,DET vs FullGradCam,1430,0.3949158226440933
149,backbone.res4.3.conv3,1,DET vs FullGradCam,1430,0.28739077186171913
150,backbone.res4.4.conv1,1,DET vs FullGradCam,1430,0.2569370677821226
151,backbone.res4.4.conv2,1,DET vs FullGradCam,1430,0.32383780383979693
152,backbone.res4.4.conv3,1,DET vs FullGradCam,1430,0.3064209450255102
153,backbone.res4.5.conv1,1,DET vs FullGradCam,1430,0.3586859506386101
154,backbone.res4.5.conv2,1,DET vs FullGradCam,1430,0.23674822239660287
155,backbone.res4.5.conv3,1,DET vs FullGradCam,1430,0.3026638492724658
156,backbone.res2.0.conv1,1,DET vs FullGradCam,2108,0.41122012901476523
157,backbone.res2.0.conv2,1,DET vs FullGradCam,2108,0.44415987551626757
158,backbone.res2.0.conv3,1,DET vs FullGradCam,2108,0.36451323121147255
159,backbone.res2.1.conv1,1,DET vs FullGradCam,2108,0.3597355053183423
160,backbone.res2.1.conv2,1,DET vs FullGradCam,2108,0.35811436101305805
161,backbone.res2.1.conv3,1,DET vs FullGradCam,2108,0.34808021767752007
162,backbone.res2.2.conv1,1,DET vs FullGradCam,2108,0.378282803321387
163,backbone.res2.2.conv2,2,DET vs FullGradCam,2108,0.21919822897932387
164,backbone.res2.2.conv3,2,DET vs FullGradCam,2108,0.28013835162560524
165,backbone.res3.0.conv1,1,DET vs FullGradCam,2108,0.4619912450863618
166,backbone.res3.0.conv2,1,DET vs FullGradCam,2108,0.44426389004797145
167,backbone.res3.0.conv3,1,DET vs FullGradCam,2108,0.4911789378517154
168,backbone.res3.1.conv1,1,DET vs FullGradCam,2108,0.43279175394814806
169,backbone.res3.1.conv2,1,DET vs FullGradCam,2108,0.4599119245030093
170,backbone.res3.1.conv3,1,DET vs FullGradCam,2108,0.4901285418238358
171,backbone.res3.2.conv1,1,DET vs FullGradCam,2108,0.45808500847709654
172,backbone.res3.2.conv2,1,DET vs FullGradCam,2108,0.43143391295464717
173,backbone.res3.2.conv3,1,DET vs FullGradCam,2108,0.3867471487814378
174,backbone.res3.3.conv1,1,DET vs FullGradCam,2108,0.3575678519140814
175,backbone.res3.3.conv2,2,DET vs FullGradCam,2108,0.26797894544222445
176,backbone.res3.3.conv3,2,DET vs FullGradCam,2108,0.22671888880680346
177,backbone.res4.0.conv1,1,DET vs FullGradCam,2108,0.4245091254753629
178,backbone.res4.0.conv2,1,DET vs FullGradCam,2108,0.44147756268038296
179,backbone.res4.0.conv3,1,DET vs FullGradCam,2108,0.4980584984065166
180,backbone.res4.1.conv1,1,DET vs FullGradCam,2108,0.4889943617383217
181,backbone.res4.1.conv2,1,DET vs FullGradCam,2108,0.4436526726156562
182,backbone.res4.1.conv3,1,DET vs FullGradCam,2108,0.46462920391998996
183,backbone.res4.2.conv1,1,DET vs FullGradCam,2108,0.3932347460133153
184,backbone.res4.2.conv2,1,DET vs FullGradCam,2108,0.35390355913394833
185,backbone.res4.2.conv3,1,DET vs FullGradCam,2108,0.3485034439460129
186,backbone.res4.3.conv1,1,DET vs FullGradCam,2108,0.33680346860654276
187,backbone.res4.3.conv2,1,DET vs FullGradCam,2108,0.3524827801417719
188,backbone.res4.3.conv3,1,DET vs FullGradCam,2108,0.3524108832254572
189,backbone.res4.4.conv1,1,DET vs FullGradCam,2108,0.3506085410859385
