,Layer,Cluster,Task,Image,Similarity
0,backbone.res2.0.conv1,1,DET vs FullGradCam,962,0.3717734825354663
1,backbone.res2.0.conv2,1,DET vs FullGradCam,962,0.34714224454368264
2,backbone.res2.0.conv3,1,DET vs FullGradCam,962,0.3850325190225655
3,backbone.res2.1.conv1,1,DET vs FullGradCam,962,0.357492793335225
4,backbone.res2.1.conv2,1,DET vs FullGradCam,962,0.37535304368449574
5,backbone.res2.1.conv3,1,DET vs FullGradCam,962,0.40845881034000286
6,backbone.res2.2.conv1,1,DET vs FullGradCam,962,0.39981706766052494
7,backbone.res2.2.conv2,2,DET vs FullGradCam,962,0.484820080333547
8,backbone.res2.2.conv3,2,DET vs FullGradCam,962,0.4721678772929995
9,backbone.res3.0.conv1,1,DET vs FullGradCam,962,0.3420736053959555
10,backbone.res3.0.conv2,1,DET vs FullGradCam,962,0.34857152516700785
11,backbone.res3.0.conv3,1,DET vs FullGradCam,962,0.3546307932668702
12,backbone.res3.1.conv1,1,DET vs FullGradCam,962,0.3469791891770188
13,backbone.res3.1.conv2,1,DET vs FullGradCam,962,0.36308680707979735
14,backbone.res3.1.conv3,1,DET vs FullGradCam,962,0.3561944272647843
15,backbone.res3.2.conv1,1,DET vs FullGradCam,962,0.3955492539647912
16,backbone.res3.2.conv2,1,DET vs FullGradCam,962,0.39394551864579297
17,backbone.res3.2.conv3,1,DET vs FullGradCam,962,0.3653359242557665
18,backbone.res3.3.conv1,1,DET vs FullGradCam,962,0.3724471481150252
19,backbone.res3.3.conv2,2,DET vs FullGradCam,962,0.49289385550666875
20,backbone.res3.3.conv3,2,DET vs FullGradCam,962,0.47859193862605437
21,backbone.res4.0.conv1,1,DET vs FullGradCam,962,0.3732188510255193
22,backbone.res4.0.conv2,1,DET vs FullGradCam,962,0.3633488774745972
23,backbone.res4.0.conv3,1,DET vs FullGradCam,962,0.33030117147931015
24,backbone.res4.1.conv1,1,DET vs FullGradCam,962,0.3910080532971891
25,backbone.res4.1.conv2,1,DET vs FullGradCam,962,0.3698054488632221
26,backbone.res4.1.conv3,1,DET vs FullGradCam,962,0.3744547083462756
27,backbone.res4.2.conv1,1,DET vs FullGradCam,962,0.3866824256331519
28,backbone.res4.2.conv2,2,DET vs FullGradCam,962,0.4115217354833748
29,backbone.res4.2.conv3,2,DET vs FullGradCam,962,0.41573089121557305
30,backbone.res4.3.conv1,2,DET vs FullGradCam,962,0.39587835563264545
31,backbone.res4.3.conv2,2,DET vs FullGradCam,962,0.4044985765021655
32,backbone.res4.3.conv3,2,DET vs FullGradCam,962,0.44917965334978366
33,backbone.res4.4.conv1,2,DET vs FullGradCam,962,0.4374574338250644
34,backbone.res4.4.conv2,2,DET vs FullGradCam,962,0.44882577029868254
35,backbone.res4.4.conv3,2,DET vs FullGradCam,962,0.4749838948106296
36,backbone.res4.5.conv1,2,DET vs FullGradCam,962,0.46113509062086416
37,backbone.res4.5.conv2,2,DET vs FullGradCam,962,0.5373080079986957
38,backbone.res4.5.conv3,2,DET vs FullGradCam,962,0.5099995437970578
39,backbone.res2.0.conv1,1,DET vs FullGradCam,2170,0.333584211950921
40,backbone.res2.0.conv2,1,DET vs FullGradCam,2170,0.31271005643238303
41,backbone.res2.0.conv3,1,DET vs FullGradCam,2170,0.31301181328980837
42,backbone.res2.1.conv1,1,DET vs FullGradCam,2170,0.30123684848335586
43,backbone.res2.1.conv2,1,DET vs FullGradCam,2170,0.3000990392066771
44,backbone.res2.1.conv3,1,DET vs FullGradCam,2170,0.34088109092389807
45,backbone.res2.2.conv1,1,DET vs FullGradCam,2170,0.3128994000202824
46,backbone.res2.2.conv2,2,DET vs FullGradCam,2170,0.4528908244159712
47,backbone.res2.2.conv3,2,DET vs FullGradCam,2170,0.43042864784228557
48,backbone.res3.0.conv1,1,DET vs FullGradCam,2170,0.29441792681948703
49,backbone.res3.0.conv2,1,DET vs FullGradCam,2170,0.30760437232315546
50,backbone.res3.0.conv3,1,DET vs FullGradCam,2170,0.3023342999394961
51,backbone.res3.1.conv1,1,DET vs FullGradCam,2170,0.30076752423421815
52,backbone.res3.1.conv2,1,DET vs FullGradCam,2170,0.3275764044484997
53,backbone.res3.1.conv3,1,DET vs FullGradCam,2170,0.2992473415628505
54,backbone.res3.2.conv1,1,DET vs FullGradCam,2170,0.2970044961711053
55,backbone.res3.2.conv2,1,DET vs FullGradCam,2170,0.3272255334046708
56,backbone.res3.2.conv3,1,DET vs FullGradCam,2170,0.3182731193693997
57,backbone.res3.3.conv1,1,DET vs FullGradCam,2170,0.3106977879783581
58,backbone.res3.3.conv2,2,DET vs FullGradCam,2170,0.4372096475788873
59,backbone.res3.3.conv3,2,DET vs FullGradCam,2170,0.44119703198297106
60,backbone.res4.0.conv1,1,DET vs FullGradCam,2170,0.3082016900658341
61,backbone.res4.0.conv2,1,DET vs FullGradCam,2170,0.3143589827289173
62,backbone.res4.0.conv3,1,DET vs FullGradCam,2170,0.31003379071336523
63,backbone.res4.1.conv1,1,DET vs FullGradCam,2170,0.29404791318020573
64,backbone.res4.1.conv2,1,DET vs FullGradCam,2170,0.290356546276186
65,backbone.res4.1.conv3,1,DET vs FullGradCam,2170,0.31313703321540126
66,backbone.res4.2.conv1,1,DET vs FullGradCam,2170,0.3120916525613426
