,Layer,Cluster,Task,Image,Similarity
0,backbone.res2.0.conv1,1,DET vs FullGradCam,962,174.43607950361175
1,backbone.res2.0.conv2,1,DET vs FullGradCam,962,171.80486677033423
2,backbone.res2.0.conv3,1,DET vs FullGradCam,962,168.97928298155097
3,backbone.res2.1.conv1,1,DET vs FullGradCam,962,173.0876401642741
4,backbone.res2.1.conv2,1,DET vs FullGradCam,962,166.75559745661334
5,backbone.res2.1.conv3,1,DET vs FullGradCam,962,168.07114870857964
6,backbone.res2.2.conv1,1,DET vs FullGradCam,962,171.74648483682574
7,backbone.res2.2.conv2,1,DET vs FullGradCam,962,205.64276958583156
8,backbone.res2.2.conv3,1,DET vs FullGradCam,962,169.51300335750327
9,backbone.res3.0.conv1,1,DET vs FullGradCam,962,175.47577162387515
10,backbone.res3.0.conv2,1,DET vs FullGradCam,962,192.25572403238817
11,backbone.res3.0.conv3,1,DET vs FullGradCam,962,176.00782586925112
12,backbone.res3.1.conv1,1,DET vs FullGradCam,962,186.57008410709577
13,backbone.res3.1.conv2,1,DET vs FullGradCam,962,173.9922101645471
14,backbone.res3.1.conv3,1,DET vs FullGradCam,962,173.39866154742617
15,backbone.res3.2.conv1,1,DET vs FullGradCam,962,168.85096343485847
16,backbone.res3.2.conv2,1,DET vs FullGradCam,962,164.9150504797368
17,backbone.res3.2.conv3,1,DET vs FullGradCam,962,175.000190024455
18,backbone.res3.3.conv1,1,DET vs FullGradCam,962,171.6912163597312
19,backbone.res3.3.conv2,1,DET vs FullGradCam,962,179.02017351871518
20,backbone.res3.3.conv3,1,DET vs FullGradCam,962,171.152408689086
21,backbone.res4.0.conv1,1,DET vs FullGradCam,962,161.31710164207698
22,backbone.res4.0.conv2,1,DET vs FullGradCam,962,169.53502537285246
23,backbone.res4.0.conv3,1,DET vs FullGradCam,962,177.84491167004722
24,backbone.res4.1.conv1,1,DET vs FullGradCam,962,169.77983763447094
25,backbone.res4.1.conv2,1,DET vs FullGradCam,962,176.54775027971363
26,backbone.res4.1.conv3,1,DET vs FullGradCam,962,175.93460214612367
27,backbone.res4.2.conv1,1,DET vs FullGradCam,962,169.63549348009474
28,backbone.res4.2.conv2,1,DET vs FullGradCam,962,173.52024089452783
29,backbone.res4.2.conv3,1,DET vs FullGradCam,962,178.54947171432974
30,backbone.res4.3.conv1,1,DET vs FullGradCam,962,172.45456838283715
31,backbone.res4.3.conv2,2,DET vs FullGradCam,962,182.1109478983367
32,backbone.res4.3.conv3,2,DET vs FullGradCam,962,183.82851217447552
33,backbone.res4.4.conv1,2,DET vs FullGradCam,962,181.08470890497046
34,backbone.res4.4.conv2,2,DET vs FullGradCam,962,187.78456087531214
35,backbone.res4.4.conv3,2,DET vs FullGradCam,962,184.54227553974783
36,backbone.res4.5.conv1,2,DET vs FullGradCam,962,176.72140307590254
37,backbone.res4.5.conv2,2,DET vs FullGradCam,962,191.67856566634129
38,backbone.res4.5.conv3,2,DET vs FullGradCam,962,182.20351304178763
39,backbone.res2.0.conv1,1,DET vs FullGradCam,2170,113.63086919340122
40,backbone.res2.0.conv2,1,DET vs FullGradCam,2170,110.42559296310193
41,backbone.res2.0.conv3,1,DET vs FullGradCam,2170,102.2024224261935
42,backbone.res2.1.conv1,1,DET vs FullGradCam,2170,101.79731054698541
43,backbone.res2.1.conv2,1,DET vs FullGradCam,2170,103.1095102379027
44,backbone.res2.1.conv3,1,DET vs FullGradCam,2170,103.06481476545152
45,backbone.res2.2.conv1,1,DET vs FullGradCam,2170,107.37266473311456
46,backbone.res2.2.conv2,1,DET vs FullGradCam,2170,113.3928094218555
47,backbone.res2.2.conv3,1,DET vs FullGradCam,2170,104.52163344842995
48,backbone.res3.0.conv1,1,DET vs FullGradCam,2170,98.91197150621653
49,backbone.res3.0.conv2,1,DET vs FullGradCam,2170,100.45115206931249
50,backbone.res3.0.conv3,1,DET vs FullGradCam,2170,107.72524051619618
51,backbone.res3.1.conv1,1,DET vs FullGradCam,2170,105.58040008917513
52,backbone.res3.1.conv2,1,DET vs FullGradCam,2170,114.90204753483918
53,backbone.res3.1.conv3,1,DET vs FullGradCam,2170,106.25328282096024
54,backbone.res3.2.conv1,1,DET vs FullGradCam,2170,109.40920039886987
55,backbone.res3.2.conv2,1,DET vs FullGradCam,2170,99.62632227811038
56,backbone.res3.2.conv3,1,DET vs FullGradCam,2170,99.45637928448384
57,backbone.res3.3.conv1,1,DET vs FullGradCam,2170,103.90263605655096
58,backbone.res3.3.conv2,1,DET vs FullGradCam,2170,109.70765557725645
59,backbone.res3.3.conv3,1,DET vs FullGradCam,2170,107.87112005124976
60,backbone.res4.0.conv1,1,DET vs FullGradCam,2170,99.40049189289535
