,Layer,Cluster,Task,Image,Similarity
0,backbone.res2.0.conv1,1,DET vs FullGradCam,411,0.6211402488619979
1,backbone.res2.0.conv2,1,DET vs FullGradCam,411,0.6232404673800281
2,backbone.res2.0.conv3,1,DET vs FullGradCam,411,0.6249209441840446
3,backbone.res2.1.conv1,1,DET vs FullGradCam,411,0.653133301174328
4,backbone.res2.1.conv2,1,DET vs FullGradCam,411,0.7454532595669288
5,backbone.res2.1.conv3,1,DET vs FullGradCam,411,0.6695763358329866
6,backbone.res2.2.conv1,1,DET vs FullGradCam,411,0.6843369330295713
7,backbone.res2.2.conv2,1,DET vs FullGradCam,411,0.616580766400443
8,backbone.res2.2.conv3,1,DET vs FullGradCam,411,0.6122280258927995
9,backbone.res3.0.conv1,1,DET vs FullGradCam,411,0.6912562974543576
10,backbone.res3.0.conv2,1,DET vs FullGradCam,411,0.7558031676769231
11,backbone.res3.0.conv3,1,DET vs FullGradCam,411,0.6714303341797161
12,backbone.res3.1.conv1,1,DET vs FullGradCam,411,0.6122770502419965
13,backbone.res3.1.conv2,1,DET vs FullGradCam,411,0.6298586589609892
14,backbone.res3.1.conv3,1,DET vs FullGradCam,411,0.7723430949819228
15,backbone.res3.2.conv1,1,DET vs FullGradCam,411,0.7938705079266298
16,backbone.res3.2.conv2,1,DET vs FullGradCam,411,0.7327864706835816
17,backbone.res3.2.conv3,1,DET vs FullGradCam,411,0.7346856292266957
18,backbone.res3.3.conv1,1,DET vs FullGradCam,411,0.6556706660970061
19,backbone.res3.3.conv2,1,DET vs FullGradCam,411,0.6604304462600767
20,backbone.res3.3.conv3,1,DET vs FullGradCam,411,0.7591085544925772
21,backbone.res4.0.conv1,1,DET vs FullGradCam,411,0.7135132815216567
22,backbone.res4.0.conv2,1,DET vs FullGradCam,411,0.7454147758607395
23,backbone.res4.0.conv3,1,DET vs FullGradCam,411,0.7934352456024045
24,backbone.res4.1.conv1,1,DET vs FullGradCam,411,0.7091002185192312
25,backbone.res4.1.conv2,1,DET vs FullGradCam,411,0.821084711922506
26,backbone.res4.1.conv3,1,DET vs FullGradCam,411,0.6390423332708173
27,backbone.res4.2.conv1,1,DET vs FullGradCam,411,0.678938425593565
28,backbone.res4.2.conv2,1,DET vs FullGradCam,411,0.585752847598968
29,backbone.res4.2.conv3,2,DET vs FullGradCam,411,0.8447774830612851
30,backbone.res4.3.conv1,1,DET vs FullGradCam,411,0.6916291038510223
31,backbone.res4.3.conv2,2,DET vs FullGradCam,411,0.690630799623337
32,backbone.res4.3.conv3,2,DET vs FullGradCam,411,0.6674062235736984
33,backbone.res4.4.conv1,2,DET vs FullGradCam,411,0.6159123976877083
34,backbone.res4.4.conv2,2,DET vs FullGradCam,411,0.818555030743954
