,Layer,Cluster,Task,Image,Similarity
0,backbone.res2.0.conv1,1,DET vs FullGradCam,411,0.3241168099753025
1,backbone.res2.0.conv2,1,DET vs FullGradCam,411,0.3229682858173679
2,backbone.res2.0.conv3,1,DET vs FullGradCam,411,0.3213325211328115
3,backbone.res2.1.conv1,1,DET vs FullGradCam,411,0.3069860538968466
4,backbone.res2.1.conv2,1,DET vs FullGradCam,411,0.2623985043722404
5,backbone.res2.1.conv3,1,DET vs FullGradCam,411,0.29820176716211144
6,backbone.res2.2.conv1,1,DET vs FullGradCam,411,0.29090097398755305
7,backbone.res2.2.conv2,1,DET vs FullGradCam,411,0.3262784507663432
8,backbone.res2.2.conv3,1,DET vs FullGradCam,411,0.2873731735890099
9,backbone.res3.0.conv1,1,DET vs FullGradCam,411,0.2872335247619633
10,backbone.res3.0.conv2,1,DET vs FullGradCam,411,0.2554976458913358
11,backbone.res3.0.conv3,1,DET vs FullGradCam,411,0.2982445354846384
12,backbone.res3.1.conv1,1,DET vs FullGradCam,411,0.2906736295800988
13,backbone.res3.1.conv2,1,DET vs FullGradCam,411,0.3180506940559331
14,backbone.res3.1.conv3,1,DET vs FullGradCam,411,0.24638310960404197
15,backbone.res3.2.conv1,1,DET vs FullGradCam,411,0.25143895237554537
16,backbone.res3.2.conv2,1,DET vs FullGradCam,411,0.264212521545582
17,backbone.res3.2.conv3,1,DET vs FullGradCam,411,0.2545617571820025
18,backbone.res3.3.conv1,1,DET vs FullGradCam,411,0.2884564085350419
19,backbone.res3.3.conv2,1,DET vs FullGradCam,411,0.2921236755385518
20,backbone.res3.3.conv3,1,DET vs FullGradCam,411,0.2568667976085055
21,backbone.res4.0.conv1,1,DET vs FullGradCam,411,0.2572895611888499
22,backbone.res4.0.conv2,1,DET vs FullGradCam,411,0.2559623962979797
23,backbone.res4.0.conv3,1,DET vs FullGradCam,411,0.25170639524859295
24,backbone.res4.1.conv1,1,DET vs FullGradCam,411,0.2556686953957749
25,backbone.res4.1.conv2,1,DET vs FullGradCam,411,0.24329860367046063
26,backbone.res4.1.conv3,1,DET vs FullGradCam,411,0.31545828836651063
27,backbone.res4.2.conv1,1,DET vs FullGradCam,411,0.2730380949090464
28,backbone.res4.2.conv2,1,DET vs FullGradCam,411,0.3115532924233492
29,backbone.res4.2.conv3,2,DET vs FullGradCam,411,0.23612320776002851
30,backbone.res4.3.conv1,1,DET vs FullGradCam,411,0.27863190914554875
31,backbone.res4.3.conv2,2,DET vs FullGradCam,411,0.28693525203025816
32,backbone.res4.3.conv3,2,DET vs FullGradCam,411,0.312053185426245
