,Layer,Cluster,Task,Image,Similarity
0,backbone.res2.0.conv1,1,DET vs FullGradCam,962,175.5976941966748
1,backbone.res2.0.conv2,1,DET vs FullGradCam,962,172.5328968393435
2,backbone.res2.0.conv3,1,DET vs FullGradCam,962,165.95376443103538
3,backbone.res2.1.conv1,1,DET vs FullGradCam,962,165.336456995313
4,backbone.res2.1.conv2,1,DET vs FullGradCam,962,170.05224129655693
5,backbone.res2.1.conv3,1,DET vs FullGradCam,962,165.40749044617118
6,backbone.res2.2.conv1,1,DET vs FullGradCam,962,168.57190837877664
7,backbone.res2.2.conv2,1,DET vs FullGradCam,962,168.72049699263667
8,backbone.res2.2.conv3,1,DET vs FullGradCam,962,164.1353699627932
9,backbone.res3.0.conv1,1,DET vs FullGradCam,962,172.666731148568
10,backbone.res3.0.conv2,1,DET vs FullGradCam,962,172.04543752226624
11,backbone.res3.0.conv3,1,DET vs FullGradCam,962,168.58464718030396
12,backbone.res3.1.conv1,1,DET vs FullGradCam,962,167.0972021332188
13,backbone.res3.1.conv2,1,DET vs FullGradCam,962,169.12847982062993
14,backbone.res3.1.conv3,1,DET vs FullGradCam,962,166.24506322248226
15,backbone.res3.2.conv1,1,DET vs FullGradCam,962,170.75528433407356
16,backbone.res3.2.conv2,1,DET vs FullGradCam,962,170.45353881650738
17,backbone.res3.2.conv3,1,DET vs FullGradCam,962,177.54557419501907
18,backbone.res3.3.conv1,1,DET vs FullGradCam,962,176.62862413814918
19,backbone.res3.3.conv2,1,DET vs FullGradCam,962,182.33079771146515
20,backbone.res3.3.conv3,1,DET vs FullGradCam,962,168.82229285791675
21,backbone.res4.0.conv1,1,DET vs FullGradCam,962,162.6734290889139
22,backbone.res4.0.conv2,1,DET vs FullGradCam,962,170.21178407381547
23,backbone.res4.0.conv3,1,DET vs FullGradCam,962,176.3680075847468
24,backbone.res4.1.conv1,1,DET vs FullGradCam,962,185.0964895048116
25,backbone.res4.1.conv2,2,DET vs FullGradCam,962,177.80123789615544
26,backbone.res4.1.conv3,2,DET vs FullGradCam,962,170.6836152736723
27,backbone.res4.2.conv1,2,DET vs FullGradCam,962,170.27465206343203
28,backbone.res4.2.conv2,2,DET vs FullGradCam,962,178.50421309855244
29,backbone.res4.2.conv3,2,DET vs FullGradCam,962,178.61833719060417
30,backbone.res4.3.conv1,2,DET vs FullGradCam,962,173.32758227481014
31,backbone.res4.3.conv2,2,DET vs FullGradCam,962,180.57314654424155
