,Layer,Cluster,Task,Image,Similarity
0,backbone.res2.0.conv1,1,DET vs FullGradCam,962,0.3769129037478934
1,backbone.res2.0.conv2,1,DET vs FullGradCam,962,0.3447571902812672
2,backbone.res2.0.conv3,1,DET vs FullGradCam,962,0.3900779307618796
3,backbone.res2.1.conv1,1,DET vs FullGradCam,962,0.36314406388623255
4,backbone.res2.1.conv2,1,DET vs FullGradCam,962,0.3789965054196574
5,backbone.res2.1.conv3,1,DET vs FullGradCam,962,0.41557263089809027
6,backbone.res2.2.conv1,1,DET vs FullGradCam,962,0.3879613963447754
7,backbone.res2.2.conv2,1,DET vs FullGradCam,962,0.47173645938438297
8,backbone.res2.2.conv3,1,DET vs FullGradCam,962,0.4888084186733562
9,backbone.res3.0.conv1,1,DET vs FullGradCam,962,0.3279847194693783
10,backbone.res3.0.conv2,1,DET vs FullGradCam,962,0.35590564300079897
11,backbone.res3.0.conv3,1,DET vs FullGradCam,962,0.3632448300112543
12,backbone.res3.1.conv1,1,DET vs FullGradCam,962,0.37984356623981613
13,backbone.res3.1.conv2,1,DET vs FullGradCam,962,0.3801774115390001
14,backbone.res3.1.conv3,1,DET vs FullGradCam,962,0.36344114012054746
15,backbone.res3.2.conv1,1,DET vs FullGradCam,962,0.3966108772423072
16,backbone.res3.2.conv2,1,DET vs FullGradCam,962,0.4007339271200839
17,backbone.res3.2.conv3,1,DET vs FullGradCam,962,0.36176971340196823
18,backbone.res3.3.conv1,1,DET vs FullGradCam,962,0.3465354484834903
19,backbone.res3.3.conv2,1,DET vs FullGradCam,962,0.44710240191631984
20,backbone.res3.3.conv3,1,DET vs FullGradCam,962,0.47415902380948904
21,backbone.res4.0.conv1,1,DET vs FullGradCam,962,0.3714086691979094
22,backbone.res4.0.conv2,1,DET vs FullGradCam,962,0.3587778071139963
23,backbone.res4.0.conv3,1,DET vs FullGradCam,962,0.3405071600996562
24,backbone.res4.1.conv1,1,DET vs FullGradCam,962,0.3675125320580815
25,backbone.res4.1.conv2,1,DET vs FullGradCam,962,0.39313963375793953
26,backbone.res4.1.conv3,1,DET vs FullGradCam,962,0.36478295095656005
27,backbone.res4.2.conv1,1,DET vs FullGradCam,962,0.3620154462867869
28,backbone.res4.2.conv2,1,DET vs FullGradCam,962,0.39422892848457763
29,backbone.res4.2.conv3,1,DET vs FullGradCam,962,0.40413663916883785
30,backbone.res4.3.conv1,1,DET vs FullGradCam,962,0.39697566033851767
31,backbone.res4.3.conv2,1,DET vs FullGradCam,962,0.4094045777247197
32,backbone.res4.3.conv3,1,DET vs FullGradCam,962,0.4256307760705617
33,backbone.res4.4.conv1,1,DET vs FullGradCam,962,0.43634554614339915
34,backbone.res4.4.conv2,1,DET vs FullGradCam,962,0.4417737089823677
35,backbone.res4.4.conv3,1,DET vs FullGradCam,962,0.42751204214817096
36,backbone.res4.5.conv1,1,DET vs FullGradCam,962,0.44756147580636624
37,backbone.res4.5.conv2,1,DET vs FullGradCam,962,0.5207026716237145
38,backbone.res4.5.conv3,1,DET vs FullGradCam,962,0.48936983673669715
39,roi_heads.pooler.level,2,DET vs FullGradCam,962,0.6337329429273795
40,roi_heads.res5.0.conv1,2,DET vs FullGradCam,962,0.6070622225484767
41,roi_heads.res5.0.conv2,2,DET vs FullGradCam,962,0.5991325450662338
42,roi_heads.res5.0.conv3,2,DET vs FullGradCam,962,0.6006017511951651
43,roi_heads.res5.1.conv1,2,DET vs FullGradCam,962,0.6024414559935005
44,roi_heads.res5.1.conv2,2,DET vs FullGradCam,962,0.5924313595578544
45,roi_heads.res5.1.conv3,2,DET vs FullGradCam,962,0.5921653686364476
46,roi_heads.res5.2.conv1,2,DET vs FullGradCam,962,0.6156860783583288
47,roi_heads.res5.2.conv2,2,DET vs FullGradCam,962,0.6328935851417642
48,roi_heads.res5.2.conv3,2,DET vs FullGradCam,962,0.5884644568583395
49,backbone.res2.0.conv1,1,DET vs FullGradCam,2170,0.3171714552771067
50,backbone.res2.0.conv2,1,DET vs FullGradCam,2170,0.3076736849380277
51,backbone.res2.0.conv3,1,DET vs FullGradCam,2170,0.3175211466651117
52,backbone.res2.1.conv1,1,DET vs FullGradCam,2170,0.29142345721859697
53,backbone.res2.1.conv2,1,DET vs FullGradCam,2170,0.29353721404863947
54,backbone.res2.1.conv3,1,DET vs FullGradCam,2170,0.346658991576307
55,backbone.res2.2.conv1,1,DET vs FullGradCam,2170,0.307866216050863
56,backbone.res2.2.conv2,1,DET vs FullGradCam,2170,0.4344122675813194
57,backbone.res2.2.conv3,1,DET vs FullGradCam,2170,0.43993864901209073
58,backbone.res3.0.conv1,1,DET vs FullGradCam,2170,0.292430802587346
59,backbone.res3.0.conv2,1,DET vs FullGradCam,2170,0.320711975090709
60,backbone.res3.0.conv3,1,DET vs FullGradCam,2170,0.29645711690639936
61,backbone.res3.1.conv1,1,DET vs FullGradCam,2170,0.29351719205332794
62,backbone.res3.1.conv2,1,DET vs FullGradCam,2170,0.3086459188510776
63,backbone.res3.1.conv3,1,DET vs FullGradCam,2170,0.3032685858564033
64,backbone.res3.2.conv1,1,DET vs FullGradCam,2170,0.27032482617072773
65,backbone.res3.2.conv2,1,DET vs FullGradCam,2170,0.30205191790577224
66,backbone.res3.2.conv3,1,DET vs FullGradCam,2170,0.2985499531883752
67,backbone.res3.3.conv1,1,DET vs FullGradCam,2170,0.300054825298122
68,backbone.res3.3.conv2,1,DET vs FullGradCam,2170,0.4254555602917925
69,backbone.res3.3.conv3,1,DET vs FullGradCam,2170,0.4187764030448391
70,backbone.res4.0.conv1,1,DET vs FullGradCam,2170,0.32261248677346016
71,backbone.res4.0.conv2,1,DET vs FullGradCam,2170,0.2921336705623509
72,backbone.res4.0.conv3,1,DET vs FullGradCam,2170,0.2949924454686217
73,backbone.res4.1.conv1,1,DET vs FullGradCam,2170,0.2859465802873321
74,backbone.res4.1.conv2,1,DET vs FullGradCam,2170,0.2914342195950806
