,Layer,Cluster,Task,Image,Similarity
0,backbone.res2.0.conv1,1,DET vs FullGradCam,962,174.81491716032713
1,backbone.res2.0.conv2,1,DET vs FullGradCam,962,180.51117240709755
2,backbone.res2.0.conv3,1,DET vs FullGradCam,962,168.2598766170764
3,backbone.res2.1.conv1,1,DET vs FullGradCam,962,171.17961630919842
4,backbone.res2.1.conv2,1,DET vs FullGradCam,962,170.8985043854699
5,backbone.res2.1.conv3,1,DET vs FullGradCam,962,168.44778724339048
6,backbone.res2.2.conv1,1,DET vs FullGradCam,962,169.09808389198062
7,backbone.res2.2.conv2,1,DET vs FullGradCam,962,190.88994509415977
8,backbone.res2.2.conv3,1,DET vs FullGradCam,962,169.61783003420197
9,backbone.res3.0.conv1,1,DET vs FullGradCam,962,190.18518980514534
10,backbone.res3.0.conv2,1,DET vs FullGradCam,962,171.09355982218452
11,backbone.res3.0.conv3,1,DET vs FullGradCam,962,167.23799201557753
12,backbone.res3.1.conv1,1,DET vs FullGradCam,962,167.39828078329793
13,backbone.res3.1.conv2,1,DET vs FullGradCam,962,166.52362164525013
14,backbone.res3.1.conv3,1,DET vs FullGradCam,962,165.71198636837215
15,backbone.res3.2.conv1,1,DET vs FullGradCam,962,172.11631836023253
16,backbone.res3.2.conv2,1,DET vs FullGradCam,962,170.55729675143795
17,backbone.res3.2.conv3,1,DET vs FullGradCam,962,169.15215218765366
18,backbone.res3.3.conv1,1,DET vs FullGradCam,962,170.81034591616748
19,backbone.res3.3.conv2,1,DET vs FullGradCam,962,184.0062121259077
20,backbone.res3.3.conv3,1,DET vs FullGradCam,962,171.60023945151818
21,backbone.res4.0.conv1,1,DET vs FullGradCam,962,160.52678546524493
22,backbone.res4.0.conv2,1,DET vs FullGradCam,962,169.6688989405855
23,backbone.res4.0.conv3,1,DET vs FullGradCam,962,176.33483214742967
24,backbone.res4.1.conv1,1,DET vs FullGradCam,962,180.8551351879161
25,backbone.res4.1.conv2,1,DET vs FullGradCam,962,176.71397215792447
26,backbone.res4.1.conv3,1,DET vs FullGradCam,962,170.28827392183067
27,backbone.res4.2.conv1,1,DET vs FullGradCam,962,169.35847565058282
28,backbone.res4.2.conv2,1,DET vs FullGradCam,962,177.60723410502393
29,backbone.res4.2.conv3,1,DET vs FullGradCam,962,178.10381838359177
30,backbone.res4.3.conv1,1,DET vs FullGradCam,962,172.86313185713442
31,backbone.res4.3.conv2,1,DET vs FullGradCam,962,181.18610899129465
32,backbone.res4.3.conv3,1,DET vs FullGradCam,962,181.60037418573424
33,backbone.res4.4.conv1,1,DET vs FullGradCam,962,178.02198900098156
34,backbone.res4.4.conv2,1,DET vs FullGradCam,962,176.82914993462103
35,backbone.res4.4.conv3,1,DET vs FullGradCam,962,183.17434894409655
36,backbone.res4.5.conv1,1,DET vs FullGradCam,962,176.83087496750485
37,backbone.res4.5.conv2,1,DET vs FullGradCam,962,183.83823129616925
38,backbone.res4.5.conv3,1,DET vs FullGradCam,962,175.5189452992965
39,roi_heads.pooler.level,2,DET vs FullGradCam,962,211.13177437921263
40,roi_heads.res5.0.conv1,2,DET vs FullGradCam,962,187.87881420345562
41,roi_heads.res5.0.conv2,2,DET vs FullGradCam,962,191.57027609225693
42,roi_heads.res5.0.conv3,2,DET vs FullGradCam,962,190.0811482769161
43,roi_heads.res5.1.conv1,2,DET vs FullGradCam,962,182.29983464659256
44,roi_heads.res5.1.conv2,2,DET vs FullGradCam,962,188.88654089999153
45,roi_heads.res5.1.conv3,2,DET vs FullGradCam,962,189.00697981057937
46,roi_heads.res5.2.conv1,2,DET vs FullGradCam,962,187.5833292068897
47,roi_heads.res5.2.conv2,2,DET vs FullGradCam,962,250.3201457247142
48,roi_heads.res5.2.conv3,2,DET vs FullGradCam,962,180.74489286000193
49,backbone.res2.0.conv1,1,DET vs FullGradCam,2170,101.62405728413155
50,backbone.res2.0.conv2,1,DET vs FullGradCam,2170,104.04836539214307
51,backbone.res2.0.conv3,1,DET vs FullGradCam,2170,99.03061197723962
52,backbone.res2.1.conv1,1,DET vs FullGradCam,2170,100.08522245512208
53,backbone.res2.1.conv2,1,DET vs FullGradCam,2170,99.40580357928042
54,backbone.res2.1.conv3,1,DET vs FullGradCam,2170,101.40910410264115
55,backbone.res2.2.conv1,1,DET vs FullGradCam,2170,102.09206013632235
56,backbone.res2.2.conv2,1,DET vs FullGradCam,2170,110.24964087141937
57,backbone.res2.2.conv3,1,DET vs FullGradCam,2170,99.62392420931985
58,backbone.res3.0.conv1,1,DET vs FullGradCam,2170,95.31679444752339
59,backbone.res3.0.conv2,1,DET vs FullGradCam,2170,110.56229454373093
60,backbone.res3.0.conv3,1,DET vs FullGradCam,2170,99.54731964697484
61,backbone.res3.1.conv1,1,DET vs FullGradCam,2170,98.04537661000558
62,backbone.res3.1.conv2,1,DET vs FullGradCam,2170,96.80035377890897
63,backbone.res3.1.conv3,1,DET vs FullGradCam,2170,95.81299954589164
64,backbone.res3.2.conv1,1,DET vs FullGradCam,2170,98.1860099742113
65,backbone.res3.2.conv2,1,DET vs FullGradCam,2170,99.26368238699766
66,backbone.res3.2.conv3,1,DET vs FullGradCam,2170,99.80822733843615
67,backbone.res3.3.conv1,1,DET vs FullGradCam,2170,102.22288644226205
68,backbone.res3.3.conv2,1,DET vs FullGradCam,2170,102.82439915331307
69,backbone.res3.3.conv3,1,DET vs FullGradCam,2170,106.26127564129703
